platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
depop,durtday-alexander-mcqueen-skull-print-scarf-blackocean-05b1,Alexander Mcqueen Skull Print Scarf Blackocean,79.45,GBP,,,,durtday,,https://media-photos.depop.com/b1/8016707/3500379535_007285b73b354186bf42259f5af83f89/P10.jpg,https://www.depop.com/products/durtday-alexander-mcqueen-skull-print-scarf-blackocean-05b1/,,2026-03-09T13:15:21.171797+00:00,Alexander Mcqueen Scarf
depop,ashleighg1985-alexander-mcqueen-scarf-like-new,Alexander Mcqueen Scarf Like,74.20,GBP,,,,ashleighg1985,,https://media-photos.depop.com/b0/2448187/1154827790_5ce26af8cb5e455db2938cf5571db237/P10.jpg,https://www.depop.com/products/ashleighg1985-alexander-mcqueen-scarf-like-new/,,2026-03-09T13:15:21.171805+00:00,Alexander Mcqueen Scarf
depop,mmorr8-alexander-mcqueen-skull-silk-scarf-b21b,Alexander Mcqueen Skull Silk Scarf,137.20,GBP,,,,mmorr8,,https://media-photos.depop.com/b1/1067303/3414544886_1f61c1348c484fac984d4bcee769cb1d/P10.jpg,https://www.depop.com/products/mmorr8-alexander-mcqueen-skull-silk-scarf-b21b/,,2026-03-09T13:15:21.171841+00:00,Alexander Mcqueen Scarf
depop,swoodyvintage-alexandermcqueen-scarf-gray-6190-condition,Alexandermcqueen Scarf Gray 6190,65.70,GBP,,,,swoodyvintage,,https://media-photos.depop.com/b1/496847490/3092729265_8789e5d60d7e486b9b76e3589b90f723/P10.jpg,https://www.depop.com/products/swoodyvintage-alexandermcqueen-scarf-gray-6190-condition/,,2026-03-09T13:15:21.171853+00:00,Alexander Mcqueen Scarf
depop,jasgoodger-alexander-mcqueen-multi-coloured-scarf-with-b56a,Alexander Mcqueen Multi Coloured Scarf With,51.10,GBP,,,,jasgoodger,,https://media-photos.depop.com/b1/4874078/3406962943_ba609e48b37a4574bfe2011b5d914a13/P10.jpg,https://www.depop.com/products/jasgoodger-alexander-mcqueen-multi-coloured-scarf-with-b56a/,,2026-03-09T13:15:21.171858+00:00,Alexander Mcqueen Scarf
depop,bshopper94-unisex-alexander-mcqueen-skull-scarf-5423,Unisex Alexander Mcqueen Skull Scarf,105.70,GBP,,,,bshopper94,,https://media-photos.depop.com/b1/363412153/3417958433_571ccbacace741bb9fde0a336509fff3/P10.jpg,https://www.depop.com/products/bshopper94-unisex-alexander-mcqueen-skull-scarf-5423/,,2026-03-09T13:15:21.171882+00:00,Alexander Mcqueen Scarf
depop,swoodyvintage-alexandermcqueen-scarf-red-6190-condition,Alexandermcqueen Scarf Red 6190,65.70,GBP,,,,swoodyvintage,,https://media-photos.depop.com/b1/496847490/3092719670_73fe441617bd424fbbd80e0db0d1560a/P10.jpg,https://www.depop.com/products/swoodyvintage-alexandermcqueen-scarf-red-6190-condition/,,2026-03-09T13:15:21.171925+00:00,Alexander Mcqueen Scarf
depop,narrowgrocery-alexander-mcqueen-scarf-black-and,Alexander Mcqueen Scarf Black,84.70,GBP,,,,narrowgrocery,,https://media-photos.depop.com/b1/11671413/2278063470_aa0e6c93566b40408b6cae8b5dc38652/P10.jpg,https://www.depop.com/products/narrowgrocery-alexander-mcqueen-scarf-black-and/,,2026-03-09T13:15:21.171965+00:00,Alexander Mcqueen Scarf
depop,cesareattuoni-alexander-mcqueen-black-scarf-with,Alexander Mcqueen Black Scarf,37.45,GBP,,,,cesareattuoni,,https://media-photos.depop.com/b1/4289367/3025994367_5b9b279b490a444cab4df30d748dd1dc/P10.jpg,https://www.depop.com/products/cesareattuoni-alexander-mcqueen-black-scarf-with/,,2026-03-09T13:15:21.171980+00:00,Alexander Mcqueen Scarf
depop,ying10-alexander-mcqueen-silk-scarf-only,Alexander Mcqueen Silk Scarf,126.70,GBP,,,,ying10,,https://media-photos.depop.com/b0/26224780/1109030352_0844062637c049b1b9e4892e508b5977/P10.jpg,https://www.depop.com/products/ying10-alexander-mcqueen-silk-scarf-only/,,2026-03-09T13:15:21.172033+00:00,Alexander Mcqueen Scarf
