platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
ebay,v1|298098887198|0,Authentic Alexander Mcqueen scarf RRP £265,68.29,GBP,Pre-owned - Good,,,stonesthreads,GB,,https://www.ebay.co.uk/itm/298098887198?_skw=Alexander+Mcqueen+Scarf&hash=item4568140a1e:g:LfAAAeSwLfpprIUZ,,2026-03-09T13:14:57.685178+00:00,Alexander Mcqueen Scarf
ebay,v1|267597062410|0,Alexander Mcqueen Vintage Scarf Scarf ￼ From 2010,156.69,GBP,Pre-owned - Good,,,ukmjackson,GB,,https://www.ebay.co.uk/itm/267597062410?_skw=Alexander+Mcqueen+Scarf&hash=item3e4e07210a:g:7PYAAeSwu6hprEhd,,2026-03-09T13:14:57.685206+00:00,Alexander Mcqueen Scarf
ebay,v1|206115694897|0,Alexander McQueen Skull Scarf 90 cm x 90 cm Silk Orange Red,80.00,GBP,Pre-owned - Good,,,designer_exchange,GB,,https://www.ebay.co.uk/itm/206115694897?_skw=Alexander+Mcqueen+Scarf&hash=item2ffd73e931:g:KWAAAeSwultprqny,,2026-03-09T13:14:57.685212+00:00,Alexander Mcqueen Scarf
ebay,v1|206115694867|0,Alexander McQueen Skull Scarf 35 x 180cm Wool Blue,160.00,GBP,Pre-owned - Good,,,designer_exchange,GB,,https://www.ebay.co.uk/itm/206115694867?_skw=Alexander+Mcqueen+Scarf&hash=item2ffd73e913:g:prEAAeSwxONprqrx,,2026-03-09T13:14:57.685216+00:00,Alexander Mcqueen Scarf
ebay,v1|206115694895|0,Alexander McQueen Skull Scarf 100x100cm Silk Blue Burgundy,80.00,GBP,Pre-owned - Good,,,designer_exchange,GB,,https://www.ebay.co.uk/itm/206115694895?_skw=Alexander+Mcqueen+Scarf&hash=item2ffd73e92f:i:206115694895,,2026-03-09T13:14:57.685220+00:00,Alexander Mcqueen Scarf
ebay,v1|198160561891|0,Alexander McQueen Wool & Silk mix Scarf RRP £395 NEW TAGS,245.00,GBP,New with tags,,,wardrobeln,GB,,https://www.ebay.co.uk/itm/198160561891?_skw=Alexander+Mcqueen+Scarf&hash=item2e234a36e3:g:XTAAAeSwPGtpQd~P,,2026-03-09T13:14:57.685223+00:00,Alexander Mcqueen Scarf
ebay,v1|298091270643|0,Limited Edition Alexander McQueen 'Karma Sutra Skeletons' Black Silk Scarf,873.70,GBP,Pre-owned - Excellent,,,stickysquirrel,GB,,https://www.ebay.co.uk/itm/298091270643?_skw=Alexander+Mcqueen+Scarf&hash=item45679fd1f3:g:Mx4AAeSw9KNpqWpB,,2026-03-09T13:14:57.685227+00:00,Alexander Mcqueen Scarf
ebay,v1|117070500157|0,Alexander McQueen Skull Scarf blue Silk Twill square 90 x 90 cm New with Tags,175.00,GBP,New with tags,,,kaz-sandvika,GB,,https://www.ebay.co.uk/itm/117070500157?_skw=Alexander+Mcqueen+Scarf&hash=item1b41f2113d:g:nSsAAOSwOABnTHTF,,2026-03-09T13:14:57.685230+00:00,Alexander Mcqueen Scarf
ebay,v1|127719098773|0,Alexander McQueen Scarf Large Silk God Save McQueen Union Jack New with Tags,799.00,GBP,New with tags,,,kaz-sandvika,GB,,https://www.ebay.co.uk/itm/127719098773?_skw=Alexander+Mcqueen+Scarf&hash=item1dbca6c995:g:dFAAAeSw4-ppGI3C,,2026-03-09T13:14:57.685233+00:00,Alexander Mcqueen Scarf
ebay,v1|287179993394|0,Brand New Alexander McQueen Blown Up Selvedge  Wool & Cashmere Scarf,125.50,GBP,New with tags,,,goodysprout,GB,,https://www.ebay.co.uk/itm/287179993394?_skw=Alexander+Mcqueen+Scarf&hash=item42dd42f132:g:KIQAAOSw0ltnTMwl,,2026-03-09T13:14:57.685237+00:00,Alexander Mcqueen Scarf
ebay,v1|287177457445|0,Brand New Alexander McQueen Cashmere Logo Branded Fringed Scarf,90.50,GBP,New with tags,,,goodysprout,GB,,https://www.ebay.co.uk/itm/287177457445?_skw=Alexander+Mcqueen+Scarf&hash=item42dd1c3f25:g:X~UAAOSwx6JoCULK,,2026-03-09T13:14:57.685243+00:00,Alexander Mcqueen Scarf
ebay,v1|257389590139|0,Alexander McQueen large scarf,51.66,GBP,New with tags,,,pomiatko,GB,,https://www.ebay.co.uk/itm/257389590139?_skw=Alexander+Mcqueen+Scarf&hash=item3bed9d767b:g:RxMAAeSwdnFppzIX,,2026-03-09T13:14:57.685246+00:00,Alexander Mcqueen Scarf
