platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
vinted,8349867258,Alexander McQueen botanical scarf,60.0,GBP,New with tags,Alexander McQueen,,clearwardrobe155,,https://images1.vinted.net/t/06_02605_hzhRXevBnCSy85We7qbFozup/f800/1773044899.jpeg?s=84d50441566880bf825c197274caf8e7ab55469c,https://www.vinted.co.uk/items/8349867258,,2026-03-09T13:15:05.897788+00:00,Alexander Mcqueen Scarf
vinted,8349183288,Alexander McQueen scarf,75.0,GBP,Very good,Alexander McQueen,,missbee28,,https://images1.vinted.net/t/01_01f42_rfFy4KxmhPx62vATQbeEMZ64/f800/1773011112.jpeg?s=d2b863c80704035a9f1cd5a803776b0426c2b4ee,https://www.vinted.co.uk/items/8349183288,,2026-03-09T13:15:05.897797+00:00,Alexander Mcqueen Scarf
vinted,8344551667,Alexander McQueen skull print scarf,85.0,GBP,Very good,Alexander McQueen,,harleyb23,,https://images1.vinted.net/t/05_02305_vGsx21G6BocZRovhWjgsD3qs/f800/1772981983.jpeg?s=df5b56c422ac20fffd0bed9a2c3c85dbdbd52f78,https://www.vinted.co.uk/items/8344551667,,2026-03-09T13:15:05.897872+00:00,Alexander Mcqueen Scarf
vinted,8342513126,Alexander McQueen Scarf,50.0,GBP,Satisfactory,Alexander McQueen,,revogueglam,,https://images1.vinted.net/t/05_01885_vB8ZzDu32XV94K4Yhkf57EfL/f800/1772972862.jpeg?s=d4f63d232f9ceb0182b149588accee90e3dc2945,https://www.vinted.co.uk/items/8342513126,,2026-03-09T13:15:05.897882+00:00,Alexander Mcqueen Scarf
vinted,8342208546,Alexander McQueen Vintage Scarf,70.0,GBP,Very good,Alexander McQueen,,revogueglam,,https://images1.vinted.net/t/05_01d88_jvNidbFwwStVodb7P6fPWUdh/f800/1772971419.jpeg?s=f0ecfeaa2c9643eef204fc2e4899c862daf6021c,https://www.vinted.co.uk/items/8342208546,,2026-03-09T13:15:05.897889+00:00,Alexander Mcqueen Scarf
vinted,8342123356,Alexander McQueen Skull Scarf Pink – Excellent Condition,100.0,GBP,Very good,McQ Alexander McQueen,,sonia.spiga,,https://images1.vinted.net/t/06_01203_qWBUZivFJ9XuqyGAyycBbEqE/f800/1772971009.jpeg?s=f557fcc06536582633bccfad4707c513ce29ea5c,https://www.vinted.co.uk/items/8342123356,,2026-03-09T13:15:05.897896+00:00,Alexander Mcqueen Scarf
vinted,8341909194,McQueen Silk Scarf,200.0,GBP,Very good,Alexander McQueen,,stunninglately,,https://images1.vinted.net/t/06_0186f_JWEifn2DGLihkuyiCyksmo4M/f800/1772990574.jpeg?s=a5fd8a7370246e01ccee4fec90d66d2cdc0c33ee,https://www.vinted.co.uk/items/8341909194,,2026-03-09T13:15:05.897901+00:00,Alexander Mcqueen Scarf
vinted,8341494294,Alexander McQueen skull scarf hot pink women’s,80.0,GBP,Satisfactory,Alexander McQueen,,laurenrosed,,https://images1.vinted.net/t/06_00c74_uuGb815anhZbMT8EAVRRGX2a/f800/1772968046.jpeg?s=4235c03063d0e368bd881367bf0cd8f8478f4ca2,https://www.vinted.co.uk/items/8341494294,,2026-03-09T13:15:05.897907+00:00,Alexander Mcqueen Scarf
vinted,8340283270,Alexander McQueen skull scarf,50.0,GBP,Very good,Alexander McQueen,,casadei160,,https://images1.vinted.net/t/05_00347_9MZqw1FSpxWwmSWvqQBkHt77/f800/1772962086.jpeg?s=fb9d615117104c8e95f388a32b782e23870d2b90,https://www.vinted.co.uk/items/8340283270,,2026-03-09T13:15:05.897914+00:00,Alexander Mcqueen Scarf
vinted,8339508194,"Alexander McQueen silk chiffon skull scarf huge 40""x 44""",59.0,GBP,Very good,Alexander McQueen,,ettafia,,https://images1.vinted.net/t/01_0071e_5MmcrBQrwDnnZGdmJSvrA1H8/f800/1772955235.jpeg?s=ab86ad8eed80b5562787ba1eba09844946934dc7,https://www.vinted.co.uk/items/8339508194,,2026-03-09T13:15:05.897919+00:00,Alexander Mcqueen Scarf
vinted,8338294534,Alexander McQueen scarf,64.99,GBP,Good,Alexander McQueen,,stonesandthreads,,https://images1.vinted.net/t/05_019e5_PbcCDkC6u3kXymMBYJ535Vpp/f800/1772914844.jpeg?s=e03338ec3ee054d2a4d0307ac76972ce1d425ecc,https://www.vinted.co.uk/items/8338294534,,2026-03-09T13:15:05.897925+00:00,Alexander Mcqueen Scarf
