item_id,title,category,size,price,currency,shipping,best_offer,end_time,listed_at,condition,short_desc,seller,seller_feedback,location,listing_type,url,fetched_at,search_query,last_seen,times_seen,presumed_sold,sold_at
v1|137094564063|0,All Saints Men's Conroy Leather Jacket Oxblood Red Size M,Leather,l,119.99,GBP,£4.66,True,,2026-03-04T16:34:21.000Z,Pre-owned - Excellent,,sideshow_chris,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/137094564063?_skw=All+Saints+Leather+Jacket&hash=item1feb7908df:g:37kAAeSw0uxpqF3k,2026-03-04T16:50:37.629627,All Saints Leather Jacket,2026-03-04T20:28:49.278450,2,True,2026-03-06T14:54:08.026003
v1|287179654475|0,Allsaints Netia Black Leather Jacket 14,Leather,l,100.0,GBP,£5.21,True,,2026-03-04T16:29:55.000Z,Pre-owned - Good,,katieandkarl,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/287179654475?_skw=All+Saints+Leather+Jacket&hash=item42dd3dc54b:g:y7cAAeSwf6xpqF2h,2026-03-04T16:50:37.629867,All Saints Leather Jacket,2026-03-04T20:28:49.278450,2,True,2026-03-06T14:54:08.026003
v1|117069927368|0,All Saints Gidley Black Leather Biker Moto Jacket US 4 US 0,Leather,l,148.97,GBP,£28.19,True,,2026-03-04T16:28:06.000Z,Pre-owned - Good,,chiclavender,97.7,US,FIXED_PRICE,https://www.ebay.co.uk/itm/117069927368?_skw=All+Saints+Leather+Jacket&hash=item1b41e953c8:g:sf8AAeSwHzNpg8Tf,2026-03-04T16:50:37.629888,All Saints Leather Jacket,2026-03-04T20:28:49.278450,2,True,2026-03-06T14:54:08.026003
v1|287179648482|0,AllSaints Women's Stanton Leather Jacket 14,Leather,l,125.0,GBP,£5.88,True,,2026-03-04T16:21:27.000Z,Pre-owned - Excellent,,katieandkarl,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/287179648482?_skw=All+Saints+Leather+Jacket&hash=item42dd3dade2:g:WX8AAeSwHq9pqFsI,2026-03-04T16:50:37.629901,All Saints Leather Jacket,2026-03-04T20:28:49.278450,2,True,2026-03-06T14:54:08.026003
v1|257390562368|0,ALL SAINTS Leather Jacket SMALL Mens Black Biker Bomber Celebrity Grail CATCH,Leather,L,89.99,GBP,Free,True,,2026-03-04T16:00:00.000Z,Pre-owned - Excellent,,londonink,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/257390562368?_skw=All+Saints+Leather+Jacket&hash=item3bedac4c40:g:QGsAAOSwZCJl3Rfo,2026-03-04T16:50:37.629911,All Saints Leather Jacket,2026-03-04T20:28:49.278450,2,True,2026-03-06T14:54:08.026003
v1|257390683410|0,ALL SAINTS Leather Jacket Mens MEDIUM Black Biker Bomber Celebrity Hooded COBDEN,Leather,L,299.99,GBP,Free,True,,2026-03-04T16:00:00.000Z,Pre-owned - Good,,londonink,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/257390683410?_skw=All+Saints+Leather+Jacket&hash=item3bedae2512:g:uBwAAOSw22xoUrq~,2026-03-04T16:50:37.629921,All Saints Leather Jacket,2026-03-04T20:28:49.278450,2,True,2026-03-06T14:54:08.026003
v1|257390691685|0,ALL SAINTS Leather Jacket Mens EXTRA SMALL Brown Biker Bomber Celebrity CONROY,Leather,L,119.99,GBP,Free,True,,2026-03-04T16:00:00.000Z,Pre-owned - Good,,londonink,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/257390691685?_skw=All+Saints+Leather+Jacket&hash=item3bedae4565:g:9pUAAeSwhlppgkod,2026-03-04T16:50:37.629930,All Saints Leather Jacket,2026-03-04T20:28:49.278450,2,True,2026-03-06T14:54:08.026003
v1|257390756576|0,All Saints Watson Womens Leather Jacket UK2 Biker Bomber Grail US00 EU30 XS XXS,Leather,l,49.99,GBP,Free,False,,2026-03-04T15:30:00.000Z,Pre-owned - Good,,londonink,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/257390756576?_skw=All+Saints+Leather+Jacket&hash=item3bedaf42e0:g:6RgAAeSwqWBpZZIc,2026-03-04T16:50:37.629939,All Saints Leather Jacket,2026-03-04T20:28:49.278450,2,True,2026-03-06T14:54:08.026003
v1|336463249019|0,Allsaints Alkan Sheep Leather Jacket Sz L Boyfriend Wash Black Brown RRP £399,Leather,l,140.0,GBP,£3.60,True,,2026-03-04T15:28:22.000Z,New with tags,,stockunion,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/336463249019?_skw=All+Saints+Leather+Jacket&hash=item4e56c5be7b:g:FvEAAeSwq1ppqFJP,2026-03-04T16:50:37.629953,All Saints Leather Jacket,2026-03-04T20:28:49.278450,2,True,2026-03-06T14:54:08.026003
v1|127718394325|0,Vintage Allsaints Leather Cargo Biker Jacket Zip Distressed Faded Women 12 M 8,Leather,l,94.33,GBP,£17.97,True,,2026-03-04T15:26:09.000Z,Pre-owned - Good,,kazbetov.store,99.6,UA,FIXED_PRICE,https://www.ebay.co.uk/itm/127718394325?_skw=All+Saints+Leather+Jacket&hash=item1dbc9c09d5:g:QowAAeSwd6FpqEzl,2026-03-04T16:50:37.629966,All Saints Leather Jacket,2026-03-04T20:28:49.278450,2,True,2026-03-06T14:54:08.026003
