platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
depop,wardy96-black-leather-biker-jacket-biker-a73d,Black Leather Biker Jacket Biker,74.20,GBP,,AllSaints,,wardy96,,https://media-photos.depop.com/b1/2314779/3503768381_8501839152db404d89f3915b2a7e88c0/P10.jpg,https://www.depop.com/products/wardy96-black-leather-biker-jacket-biker-a73d/,,2026-03-10T13:33:19.426126+00:00,All Saints Leather Jacket
depop,lockedoff08-allsaints-leather-biker-jacket-size-0697,Allsaints Leather Biker Jacket Size,53.20,GBP,,AllSaints,UK 8,lockedoff08,,https://media-photos.depop.com/b1/304018/3430157674_02285e3e203b4058994f8b835957e3a6/P10.jpg,https://www.depop.com/products/lockedoff08-allsaints-leather-biker-jacket-size-0697/,,2026-03-10T13:33:19.426177+00:00,All Saints Leather Jacket
depop,chirag_c4-allsaints-holt-slim-leather-jacket-5258,Allsaints Holt Slim Leather Jacket,110.95,GBP,,AllSaints,,chirag_c4,,https://media-photos.depop.com/b1/14915209/3366866773_6fb3249a194546db8d02c51e4ac61a69/P10.jpg,https://www.depop.com/products/chirag_c4-allsaints-holt-slim-leather-jacket-5258/,,2026-03-10T13:33:19.426193+00:00,All Saints Leather Jacket
depop,minidange-allsaints-black-leather-biker-jacket-fb46,Allsaints Black Leather Biker Jacket,53.20,GBP,,AllSaints,,minidange,,https://media-photos.depop.com/b1/10394643/3506222868_8cdfb46100d64f38bab70e7f07fdb98c/P10.jpg,https://www.depop.com/products/minidange-allsaints-black-leather-biker-jacket-fb46/,,2026-03-10T13:33:19.426197+00:00,All Saints Leather Jacket
depop,harrisasjad-black-allsaints-leather-biker-jacket-5852,Black Allsaints Leather Biker Jacket,53.20,GBP,,AllSaints,,harrisasjad,,https://media-photos.depop.com/b1/13643817/3480638983_452a51f41b144a30861ed964442aa38c/P10.jpg,https://www.depop.com/products/harrisasjad-black-allsaints-leather-biker-jacket-5852/,,2026-03-10T13:33:19.426213+00:00,All Saints Leather Jacket
depop,lleese24-allsaints-black-leather-jacket-size-66be,Allsaints Black Leather Jacket Size,63.70,GBP,,AllSaints,,lleese24,,https://media-photos.depop.com/b1/49698410/3458644588_8ea4ccecb33e4b18b7eb32607fc676c9/P10.jpg,https://www.depop.com/products/lleese24-allsaints-black-leather-jacket-size-66be/,,2026-03-10T13:33:19.426221+00:00,All Saints Leather Jacket
depop,cheapskate____-vintage-allsaints-brown-leather-jacket-d045,Vintage Allsaints Brown Leather Jacket,84.70,GBP,,XS,,cheapskate____,,https://media-photos.depop.com/b1/2979328/3440970817_703f98c26a6a49f49e9cb15f912d108a/P10.jpg,https://www.depop.com/products/cheapskate____-vintage-allsaints-brown-leather-jacket-d045/,,2026-03-10T13:33:19.426249+00:00,All Saints Leather Jacket
depop,inriyungboy-allsaints-black-leather-jacket-size,Allsaints Black Leather Jacket,66.85,GBP,,AllSaints,,inriyungboy,,https://media-photos.depop.com/b1/49741706/3324955553_57db79105c104f08858f7abaf6a7e4a7/P10.jpg,https://www.depop.com/products/inriyungboy-allsaints-black-leather-jacket-size/,,2026-03-10T13:33:19.426258+00:00,All Saints Leather Jacket
depop,steviej25-allsaints-real-leather-jacket-womens-49e8,Allsaints Real Leather Jacket Womens,37.45,GBP,,AllSaints,,steviej25,,https://media-photos.depop.com/b1/336164697/3500374293_bd68ef2bc2684e79acb9db09cec1047e/P10.jpg,https://www.depop.com/products/steviej25-allsaints-real-leather-jacket-womens-49e8/,,2026-03-10T13:33:19.426266+00:00,All Saints Leather Jacket
depop,raezy-allsaints-genuine-mens-leather-jacket-314f,Allsaints Genuine Mens Leather Jacket,84.70,GBP,,AllSaints,,raezy,,https://media-photos.depop.com/b1/32602381/3456980159_23b7e1be520b40ac955bd4b80f1548fd/P10.jpg,https://www.depop.com/products/raezy-allsaints-genuine-mens-leather-jacket-314f/,,2026-03-10T13:33:19.426280+00:00,All Saints Leather Jacket
