platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
ebay,v1|257398645073|0,ALL SAINTS Leather Blazer SURVEY Jacket Mens XXL Black Buffalo Celebrity 2XL,369.99,GBP,Pre-owned - Excellent,,,londonink,GB,,https://www.ebay.co.uk/itm/257398645073?_skw=All+Saints+Leather+Jacket&hash=item3bee27a151:g:JAoAAOSwr9NoGTb-,,2026-03-10T13:32:49.125916+00:00,All Saints Leather Jacket
ebay,v1|257398645071|0,ALL SAINTS Leather Blazer Jacket Mens SMALL Waxed Suede Celebrity Grail SURVEY,259.99,GBP,Pre-owned - Good,,,londonink,GB,,https://www.ebay.co.uk/itm/257398645071?_skw=All+Saints+Leather+Jacket&hash=item3bee27a14f:g:hVcAAeSw-35pamDT,,2026-03-10T13:32:49.125948+00:00,All Saints Leather Jacket
ebay,v1|206125055666|0,Allsaints Jones Bomber Jacket Leather XXL,156.70,GBP,Pre-owned - Excellent,,,mark_hill,GB,,https://www.ebay.co.uk/itm/206125055666?_skw=All+Saints+Leather+Jacket&hash=item2ffe02beb2:g:x7MAAeSwYs9psAXK,,2026-03-10T13:32:49.125954+00:00,All Saints Leather Jacket
ebay,v1|206125055333|0,All Saints Milo Black Leather Biker Jacket Size XXL,208.70,GBP,Pre-owned - Excellent,,,mark_hill,GB,,https://www.ebay.co.uk/itm/206125055333?_skw=All+Saints+Leather+Jacket&hash=item2ffe02bd65:g:u1sAAeSwEGZpsAU~,,2026-03-10T13:32:49.125959+00:00,All Saints Leather Jacket
ebay,v1|277789840224|0,Allsaints Leather Bomber Jacket ‘Kino’ Mocha/Grey Size L Large,52.70,GBP,Pre-owned - Excellent,,,garcia75_2008,GB,,https://www.ebay.co.uk/itm/277789840224?_skw=All+Saints+Leather+Jacket&hash=item40ad909360:g:aHYAAeSwUN9pr~1B,,2026-03-10T13:32:49.125964+00:00,All Saints Leather Jacket
ebay,v1|257398503608|0,ALL SAINTS Suede Leather Jacket Mens MEDIUM Black M Biker Bomber Celebrity KIRK,229.99,GBP,Pre-owned - Excellent,,,londonink,GB,,https://www.ebay.co.uk/itm/257398503608?_skw=All+Saints+Leather+Jacket&hash=item3bee2578b8:g:~w0AAOSw7x9oQex5,,2026-03-10T13:32:49.125967+00:00,All Saints Leather Jacket
ebay,v1|127730877144|0,ALLSAINTS Keaton Denim Leather Sleeves Trucker Biker Moto Jacket UK 12,102.62,GBP,Pre-owned - Good,,,catsclaw12,GB,,https://www.ebay.co.uk/itm/127730877144?_skw=All+Saints+Leather+Jacket&hash=item1dbd5a82d8:g:ZT0AAeSwGZJo85D9,,2026-03-10T13:32:49.125971+00:00,All Saints Leather Jacket
ebay,v1|257398503602|0,ALL SAINTS Shearling Leather Jacket LARGE Mens  Sheepskin Coat Celebrity REIDUN,799.99,GBP,Pre-owned - Excellent,,,londonink,GB,,https://www.ebay.co.uk/itm/257398503602?_skw=All+Saints+Leather+Jacket&hash=item3bee2578b2:g:FAsAAOSwfQ1kfeSI,,2026-03-10T13:32:49.125976+00:00,All Saints Leather Jacket
ebay,v1|327037608842|0,All Saints Quilted Men’s Leather Jacket,104.70,GBP,Pre-owned - Excellent,,,incredible_mr_a,GB,,https://www.ebay.co.uk/itm/327037608842?_skw=All+Saints+Leather+Jacket&hash=item4c24f5e38a:g:qzUAAeSwMWJpr-8o,,2026-03-10T13:32:49.125979+00:00,All Saints Leather Jacket
ebay,v1|257398503616|0,ALL SAINTS Leather Jacket Mens LARGE Black L Biker Bomber Celebrity Grail BLOC,239.99,GBP,Pre-owned - Excellent,,,londonink,GB,,https://www.ebay.co.uk/itm/257398503616?_skw=All+Saints+Leather+Jacket&hash=item3bee2578c0:g:pKIAAOSwCjZoQYRq,,2026-03-10T13:32:49.125984+00:00,All Saints Leather Jacket
