title,price,condition,date_sold,url
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
NEW LISTING,80.00,Pre-owned ·,Sold 10 Mar 2026,https://www.ebay.co.uk/itm/147195641594?_skw=All+Saints+Leather+Jacket&itmmeta=01KKBZFQGK8W7NABKF6V88R7NH&hash=item22458b3efa:g:rngAAOSwBR1no6En&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCmrlpfTdGrxxkPASHNyqvPVxbot1qbCUh%2B5FLff5Bn4btgQGCGV7vTLCxFfRgnHnVCJ8P3UzqW0SVmzOd39Zq41YRnj0cPwD%2BVaY9ANhJkpfYI1w%2F7ceb9UkFoP1aLusJVAHuVctSCVts5njclMMrUPk1f3As9EXeqEQCOH3tvru5Wk4w%2FI9JHsCb15AvLKL27zPTKU7dvYUUvY9grWjh6WYkIyqEKvm%2FWXCwyp76U71NZQxEyEY1pK6WfLj1uIXk%3D%7Ctkp%3ABk9SR774vv-aZw
NEW LISTING,69.76,Pre-owned ·,Sold 10 Mar 2026,https://www.ebay.co.uk/itm/397695987191?_skw=All+Saints+Leather+Jacket&itmmeta=01KKBZFQGK1A88G914M5AZRD3S&hash=item5c98872df7:g:OF4AAeSwcrlprJJA&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBpMDxnxwd0VZiNDMxUwsRHuMx6VvQVLXo19kiTD6V9h2Lo2CAU3FXmWHmlVe5DwDQk%2FaPnLLJjzLrAePUpxjgcaIIyP42sKzDz%2BnX58ZzzltLTE%2FYyPg0NziuUJrNSRQ%2BCMrGTAALKlRO7U%2B5voWlN%2Bg56e2hDnXXkoVQl19Z0Xf6l8Wwd%2FJM4a%2FEHjpxdcxVk1ALDwevpCl6EPUCwB%2BHAzfjXONhxEpmoqPv4N%2FynqNixHz3TGOi%2FY9EtL%2BA7QdU%3D%7Ctkp%3ABk9SR774vv-aZw
NEW LISTING,130.00,Brand new ·,Sold 10 Mar 2026,https://www.ebay.co.uk/itm/168220334068?_skw=All+Saints+Leather+Jacket&itmmeta=01KKBZFQGKKDRRGC1PF0ZMBK5X&hash=item272ab697f4:g:6NoAAeSwFqdpY1d9&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xAEqog0ru0%2BPeNgV%2Bm19IIfDBADPK%2BhIFD3him9KX7zGuL5AEDXSTzzTjcx4%2B7pi83WAYKr9LP12Owb%2Fn2xybmGshf9g9rc7onhn%2FWnw1MMQ6s18DDE9IzIj%2BdE8pNhtQFu36vdyIUKp6aaGpvJBSK8Op0MpxBBtYsGefrwbHukHsbQiWOt0VXYTuItEiwAeN0smRvPw4Jpv7%2FTZmQZeAUtYeJENs5398LLKiD430iDZ6iGjwIElrYxi5vIcu%2BwAA8Cm2FfMB9Hid7KwOPDQPXs%7Ctkp%3ABk9SR774vv-aZw
ALL SAINTS Leather Shirt Jacket Mens EXTRA LARGE Brown XL Biker Celebrity MCKAY,229.99,Pre-owned ·,Sold 10 Mar 2026,https://www.ebay.co.uk/itm/257380708239?_skw=All+Saints+Leather+Jacket&itmmeta=01KKBZFQGKE2KQCJEQEWD3SJFK&hash=item3bed15ef8f:g:uhIAAeSwK7VoXtKx&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDw8TRvf99Z1gu3egBJVywwghkmaQtyb06RCj0Kw2JM7Nbw6uTKFo7cL7zZiVz1jfZjeEvA90qJoJUi4N%2F3CcpbVtLPJpBJHk%2BgoGl0Sgv0Lme3MyTR4LqTTTcdnatolYKw51UwC9izTpt89QSwBPdGOEWY9WO6yd5m1DXIGQmtJAdH1VaBiyNNaRWYvY%2BBW3Nf3kY%2FSQaqDfZRF6ReszR1mI7yecUECC6V4iLJbWcKGHkWB3MYzlZaccib9AQIPvmTWrCX6DE1YBBZk0gzg5Rk%7Ctkp%3ABk9SR774vv-aZw
Allsaints black Dalby Biker Jacket New Size 16 BNWT £349 RRP,130.00,Brand new ·,Sold 10 Mar 2026,https://www.ebay.co.uk/itm/168199915904?_skw=All+Saints+Leather+Jacket&itmmeta=01KKBZFQGK6NMHQKDX5X7GBPHK&hash=item27297f0980:g:6NoAAeSwFqdpY1d9&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xAZnDONOJA9lNVJaJymw5vqsTCoYdHus7coIQxPm6UQDRD9WDnoG0P5vYGuWI27ihQ0oV3eOeIvTZNNGaFsXhAqI5SQvoOQhHgsKbRePWvbKYi0mNfxl0sELu%2B%2FEs%2Blxb32aQ4Dlt6hhkNFoSLmDQErED0%2BEOusLg%2FsaMDQYR0mvP881QAZWjmluCiKPk2h7wMqgZzg6wangFHGp%2FLNezRC5Xw9hHUF9EtmomU8bQ2zsgkD84hEmNm9LNLGltZRcUqT7JlHETAyGOQ80K55Cyqf9m56RtRclnSkT9NwdzjoHqtoYqo9DjLntjAJWRzVlm4%3D%7Ctkp%3ABk9SR774vv-aZw
"Large 40"" Chest Black Mens All Saints Leather Jacket With Zip, Pockets & Lapels",37.10,Pre-owned ·,Sold 10 Mar 2026,https://www.ebay.co.uk/itm/298074019569?_skw=All+Saints+Leather+Jacket&itmmeta=01KKBZFQGKGANSW27VCP03TBE2&hash=item45669896f1:g:z20AAeSwWxhoTzCv&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDJzesXF%2FwcBJabYaMZeIX%2F%2BgxnTPAO53EPw3mDW29q7uua%2BF1OVPT0MSqwkEHH3yQzc%2FtCtv%2F6XIJzteugeeGDxoeRfq%2FNo0I93QpEKKeRMdAOv4TJyt7K1E%2FYTH594vgrUVhmBpEOB5CaNtRzKkugaKg0F1063VFWcLARKgmoOXmRWObtR%2FNjGSWImxxM7mz7Js1LahoupBfc18XSZ6G8nZVvRQaGUmyDDVcARYP%2B2gk%2BqRSvPKnv6OCNKpvvbVc%3D%7Ctkp%3ABk9SR8D4vv-aZw
All Saints Blake Biker Womens Black leather jacket Coat size 10,80.00,Pre-owned ·,Sold 10 Mar 2026,https://www.ebay.co.uk/itm/336412155067?_skw=All+Saints+Leather+Jacket&itmmeta=01KKBZFQGKG03GJYA2Y92ZHT91&hash=item4e53ba1cbb:g:S0oAAeSw1KJosHra&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBiipzuZa2j8A8wBoPdh2AotGsmv09AmY25sV9GWgZMFjrQ48MFTYEDzPD8ycMxmU%2FARzqxvLDoxctSAFu2LRctr2EEeny3t3Hel5DBMaZ73nsZhyZUumNxO3pR8BmYdyBhOg4270zHFJz2dZl51U%2BDQxq%2BIDD4C8ejP0%2B26ut8R9%2BfSoBJp1ey16nqDt3EukaF4b5o92x9AhfcES%2FtJ80x83%2FrYpOwtCJJD9OrM12BD8--Xg3E%2B7iWPeBTxAcy36I%3D%7Ctkp%3ABk9SR8D4vv-aZw
AllSaints Black Leather Cropped Voxan Biker Jacket UK Size 10 3/4 Length Sleeves,90.00,Pre-owned ·,Sold 10 Mar 2026,https://www.ebay.co.uk/itm/177328662063?_skw=All+Saints+Leather+Jacket&itmmeta=01KKBZFQGK7YCBS4853JPP497D&hash=item29499ca62f:g:~eQAAeSw-z5omNe0&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xAeM8ls5ho7T7IgV8G6caP6pn%2BHjWVdv6w5%2B3%2BtOgUkLfV0tiEXB0Xaa8OTM3oO0LqGeyHN1sH6H8DTHQFn5nvFrN4joJxvOXA1DICGxF2gaK22vN4vSP7%2BgV9iYnHqAU2fauB225mkEuy5j5pltjsCop7PVSLJdzcF0so6JOKCkoiu%2Bvt7Vw4I0%2FV1KlG5JZbddwYysfoaYIrVXsNdQeVcUGp4hJuN2C0Yl5RixoH7zUJ6IbABU6TgjkW%2FKZ4diEWPaeyF3Ax2OASrjto8VuqeBXkAGzBOu37jxw%2BmT8fNpgk4upRPPabcuvVIipD3nU0%3D%7Ctkp%3ABk9SR8D4vv-aZw
