platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
vinted,8360222496,Vintage AllSaints Black leather jacket S,25.0,GBP,Good,AllSaints,S,cb1418,,https://images1.vinted.net/t/05_013e4_QJYCPhYKGvc7EdAW444KXZmm/f800/1773149536.jpeg?s=0fb815ea507149ec6cd2a909a8a689a214ccc9e6,https://www.vinted.co.uk/items/8360222496,,2026-03-10T13:33:04.690374+00:00,All Saints Leather Jacket
vinted,8360098166,Brand new All Saints genuine leather biker jacket with tags,77.0,GBP,Good,AllSaints,XS / UK 4-6,lorijones5944,,https://images1.vinted.net/t/06_01d48_MY1RhpTvbugssdqLoShwKWA7/f800/1773148704.jpeg?s=3a67b82bed430a66387a5b1b49b03e3ebe34b10b,https://www.vinted.co.uk/items/8360098166,,2026-03-10T13:33:04.690395+00:00,All Saints Leather Jacket
vinted,8360160511,"AllSaints, suede leather jacket. Size 10",25.0,GBP,Very good,AllSaints,S / UK 8-10,hippolis,,https://images1.vinted.net/t/05_02557_gonw189woHpkUZe2PbszfB57/f800/1773149122.jpeg?s=07989fac3bf69318e3970c2e6056f0e9fb17bfca,https://www.vinted.co.uk/items/8360160511,,2026-03-10T13:33:04.690401+00:00,All Saints Leather Jacket
vinted,8353948211,AllSaints suede/leather jacket large,30.0,GBP,Very good,AllSaints,L,chestercopperpot77,,https://images1.vinted.net/t/05_0163b_2oTTEuC4s5EJtcUNxPANVdMP/f800/1773073066.jpeg?s=2dd875c90493fd583c6c88c8e420f4aad1ec9154,https://www.vinted.co.uk/items/8353948211,,2026-03-10T13:33:04.690406+00:00,All Saints Leather Jacket
vinted,8360103219,All Saints leather Biker jacket size 12,70.0,GBP,Very good,AllSaints,M / UK 12-14,loved-goods,,https://images1.vinted.net/t/01_0015e_YbmiaQBepKA3ArULDLdfeMVp/f800/1773148738.jpeg?s=566984d53828a61fd817212d146371e577a169aa,https://www.vinted.co.uk/items/8360103219,,2026-03-10T13:33:04.690409+00:00,All Saints Leather Jacket
vinted,8360049097,All Saints Balfern Leather Moto Style Black Womens Jacket Size US 10 UK 14,59.95,GBP,Good,AllSaints,M / UK 12-14,hardshoulders,,https://images1.vinted.net/t/06_012f1_BrKaXsLeutwGpTjLueECGuMs/f800/1773148373.jpeg?s=ec4c6b25d885f8827f24fd2e8b8dce3ec49f5e72,https://www.vinted.co.uk/items/8360049097,,2026-03-10T13:33:04.690413+00:00,All Saints Leather Jacket
vinted,8359971906,All Saints leather jacket. Size small.,50.0,GBP,Very good,AllSaints,S,rodge1976,,https://images1.vinted.net/t/06_014a3_VA6ojSwEHskG2hNEJ6NYp5wa/f800/1773147848.jpeg?s=636ec2e1854dc38bd31fa1a8fbe5685a6011f6fc,https://www.vinted.co.uk/items/8359971906,,2026-03-10T13:33:04.690416+00:00,All Saints Leather Jacket
vinted,8359906819,AllSaints lambs leather jacket,87.0,GBP,Good,AllSaints,M,georgeburke1258,,https://images1.vinted.net/t/01_007e9_LpbBneyXTyhoP9urncDdcgFx/f800/1773147399.jpeg?s=50e410a9d4dc6424cf73f1fbf176d1e435914fea,https://www.vinted.co.uk/items/8359906819,,2026-03-10T13:33:04.690419+00:00,All Saints Leather Jacket
vinted,8359888295,All Saints leather jacket. Size small,50.0,GBP,Very good,AllSaints,S,rodge1976,,https://images1.vinted.net/t/06_00f3a_2NhkTDW8gtvSMojEUA6JShD5/f800/1773147273.jpeg?s=cb18923fcdfa95fd442217a764cf1d633057dcb0,https://www.vinted.co.uk/items/8359888295,,2026-03-10T13:33:04.690422+00:00,All Saints Leather Jacket
vinted,8356066997,Allsaints men’s leather jacket,50.0,GBP,New without tags,AllSaints,M,flomilsom,,https://images1.vinted.net/t/05_018b5_rfeCz23NMfD5JGgjtL3bL5kS/f800/1773086833.jpeg?s=59973fe8376d4e7dc3dfed87e76698abd54de213,https://www.vinted.co.uk/items/8356066997,,2026-03-10T13:33:04.690426+00:00,All Saints Leather Jacket
vinted,8359863923,Leather biker jacket,60.0,GBP,Very good,AllSaints,M / UK 12-14,tjones1993,,https://images1.vinted.net/t/01_01733_1RzDBSKUaGZMRe8o9XXxGGHs/f800/1773147107.jpeg?s=763bfda2bc4e19faea9b7873d80883ec39d27cfd,https://www.vinted.co.uk/items/8359863923,,2026-03-10T13:33:04.690429+00:00,All Saints Leather Jacket
vinted,8359817649,Allsaints Leather Balfern Jacket,95.0,GBP,Very good,AllSaints,S / UK 8-10,lucybeatrix,,https://images1.vinted.net/t/06_01d3d_ogRmWF2P3uQ9izVVBEH4jPBT/f800/1773146789.jpeg?s=b01b73452d5ee6c47038dfdf986784cb5a35b264,https://www.vinted.co.uk/items/8359817649,,2026-03-10T13:33:04.690432+00:00,All Saints Leather Jacket
vinted,8359776215,AllSaints Men’s Powell Lamb’s Leather Quilted Biker Jacket - Size Medium,84.0,GBP,Very good,AllSaints,M,kencal999,,https://images1.vinted.net/t/06_02693_yQmKguyPJbogodEsNSnQeHM2/f800/1773146498.jpeg?s=d592f54035fc5aee4f9783662c3fae69a424cdab,https://www.vinted.co.uk/items/8359776215,,2026-03-10T13:33:04.690435+00:00,All Saints Leather Jacket
vinted,8359650780,All Saints Distressed Leather Jacket,94.0,GBP,Good,AllSaints,M / UK 12-14,christinalopez9022,,https://images1.vinted.net/t/01_01658_PwnijAEDvkQkG1bvnppArrmK/f800/1773145628.jpeg?s=66f0d792f9df0c75b74cf365405cb1c77d28441b,https://www.vinted.co.uk/items/8359650780,,2026-03-10T13:33:04.690438+00:00,All Saints Leather Jacket
vinted,8359716488,All saints biker leather jacket,82.0,GBP,Good,AllSaints,XL,ericagomez3268,,https://images1.vinted.net/t/05_00d71_RymF5uBii18No8bNbnKyT8gJ/f800/1773146082.jpeg?s=1abf23bf1430ccd78ef4db32539d47576b4fb5f0,https://www.vinted.co.uk/items/8359716488,,2026-03-10T13:33:04.690441+00:00,All Saints Leather Jacket
vinted,8359671156,All Saints Cargo leather biker jacket,90.0,GBP,Good,AllSaints,M / UK 12-14,thomashernandez8270,,https://images1.vinted.net/t/06_00e66_jLg76PJEjGQ2739BqTEVc7u4/f800/1773145769.jpeg?s=8068e81da2018a5af5e3c395072a599ad4985e68,https://www.vinted.co.uk/items/8359671156,,2026-03-10T13:33:04.690444+00:00,All Saints Leather Jacket
