platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
depop,olliehillman-grey-suede-balenciaga-arenas-eu44-0d4b,Grey Suede Balenciaga Arenas Eu44,116.20,GBP,,Balenciaga,UK 10,olliehillman,,https://media-photos.depop.com/b1/36111567/repop_23619511_2542732909/3425164170_8bf2f973b7f743be995b1130b9756099/P10.jpg,https://www.depop.com/products/olliehillman-grey-suede-balenciaga-arenas-eu44-0d4b/,,2026-03-09T13:15:20.912633+00:00,Balenciaga Arena
depop,dappashakstore-mens-balenciaga-arena-high-top-9e95,Mens Balenciaga Arena High Top,105.65,GBP,,Balenciaga,UK 7,dappashakstore,,https://media-photos.depop.com/b1/45351292/3472395348_bf918e5321bc491daf0d33c17acd60ab/P10.jpg,https://www.depop.com/products/dappashakstore-mens-balenciaga-arena-high-top-9e95/,,2026-03-09T13:15:20.912675+00:00,Balenciaga Arena
depop,noahsupplies-mens-balenciaga-arena-high-top-28ee,Mens Balenciaga Arena High Top,158.20,GBP,,Balenciaga,UK 9,noahsupplies,,https://media-photos.depop.com/b1/40570116/repop_45351292_3282756132/3414726343_21b45fa45e524fdd959ba975cc7cc279/P10.jpg,https://www.depop.com/products/noahsupplies-mens-balenciaga-arena-high-top-28ee/,,2026-03-09T13:15:20.912682+00:00,Balenciaga Arena
depop,7iow-balenciaga-arena-size-uk10-20cf,Balenciaga Arena Size Uk10,205.45,GBP,,Balenciaga,UK 10,7iow,,https://media-photos.depop.com/b1/38816708/3500318522_c65de50a3e6a41d8818a421fc0194c8a/P10.jpg,https://www.depop.com/products/7iow-balenciaga-arena-size-uk10-20cf/,,2026-03-09T13:15:20.912771+00:00,Balenciaga Arena
depop,clrtw-belenciaga-arena-high-tops-red,Belenciaga Arena High Tops,89.95,GBP,,Balenciaga,UK 10,clrtw,,https://media-photos.depop.com/b1/35700424/1791612430_1c21abf109964c119d36a10ed3472877/P10.jpg,https://www.depop.com/products/clrtw-belenciaga-arena-high-tops-red/,,2026-03-09T13:15:20.912782+00:00,Balenciaga Arena
depop,wok1eqqq-balenciaga-arena-size-42-a7c4,Balenciaga Arena Size 42,84.70,GBP,,Balenciaga,UK 8,wok1eqqq,,https://media-photos.depop.com/b1/465943817/3489216635_2e0df7ad9cda4afcbef7ed178d8546bf/P10.jpg,https://www.depop.com/products/wok1eqqq-balenciaga-arena-size-42-a7c4/,,2026-03-09T13:15:20.912789+00:00,Balenciaga Arena
depop,jayscollectives-balenciaga-arena-high-top-sneaker-d52c,Balenciaga Arena High Top Sneaker,100.44,GBP,,Balenciaga,UK 9.5,jayscollectives,,https://media-photos.depop.com/b1/5435500/3481477344_f49359d1b9934d5cadda420b4c6eabc2/P10.jpg,https://www.depop.com/products/jayscollectives-balenciaga-arena-high-top-sneaker-d52c/,,2026-03-09T13:15:20.912796+00:00,Balenciaga Arena
depop,timeflow_-mens-balenciaga-arena-ombre-size-abe7,Mens Balenciaga Arena Ombre Size,336.70,GBP,,Balenciaga,UK 7,timeflow_,,https://media-photos.depop.com/b1/52040421/3448156688_fd6f4285ceb841cd8453ea30f6d33c16/P10.jpg,https://www.depop.com/products/timeflow_-mens-balenciaga-arena-ombre-size-abe7/,,2026-03-09T13:15:20.912808+00:00,Balenciaga Arena
depop,zdoh-balenciaga-arenas-white-with-black-6db4,Balenciaga Arenas White With Black,131.95,GBP,,Balenciaga,UK 8,zdoh,,https://media-photos.depop.com/b1/47813660/3430873899_dd3a1a0b48de4d5283377bebe76e2faf/P10.jpg,https://www.depop.com/products/zdoh-balenciaga-arenas-white-with-black-6db4/,,2026-03-09T13:15:20.912816+00:00,Balenciaga Arena
depop,1manix-balenciaga-arenas-black-high-top-e8d9,Balenciaga Arenas Black High Top,89.95,GBP,,Balenciaga,UK 8,1manix,,https://media-photos.depop.com/b1/207780947/3497293553_0162a0e1b0664bd1a6307138ece8cacc/P10.jpg,https://www.depop.com/products/1manix-balenciaga-arenas-black-high-top-e8d9/,,2026-03-09T13:15:20.912829+00:00,Balenciaga Arena
depop,porchewear-balenciaga-arenas-trainers-great-condition-d71d,Balenciaga Arenas Trainers Great Condition,231.70,GBP,,Balenciaga,UK 10,porchewear,,https://media-photos.depop.com/r1/50354035/3361477885_9faaa45ab314440cb91be33397485486/P10.jpg,https://www.depop.com/products/porchewear-balenciaga-arenas-trainers-great-condition-d71d/,,2026-03-09T13:15:20.912862+00:00,Balenciaga Arena
depop,awallclothes-balenciaga-high-top-arena-size,Balenciaga High Top Arena,61.60,GBP,,Balenciaga,UK 8,awallclothes,,https://media-photos.depop.com/b0/16144597/1199710799_815224a1849f425fb5f08921a4b52e60/P10.jpg,https://www.depop.com/products/awallclothes-balenciaga-high-top-arena-size/,,2026-03-09T13:15:20.912881+00:00,Balenciaga Arena
depop,thzqo__-balenciaga-arenas-size-45-uk-3bfe,Balenciaga Arenas Size 45 Uk,194.95,GBP,,Balenciaga,UK 10,thzqo__,,https://media-photos.depop.com/b1/214778976/3413880239_b339e77a255f49b08bc17ac1281daa6d/P10.jpg,https://www.depop.com/products/thzqo__-balenciaga-arenas-size-45-uk-3bfe/,,2026-03-09T13:15:20.913145+00:00,Balenciaga Arena
depop,jodiee12-mens-balenciaga-arena-trainers-size-c259,Mens Balenciaga Arena Trainers Size,179.20,GBP,,Balenciaga,UK 8,jodiee12,,https://media-photos.depop.com/b1/1583494/3430047727_da6c3aa5e16b4f18bd315b4014a84344/P10.jpg,https://www.depop.com/products/jodiee12-mens-balenciaga-arena-trainers-size-c259/,,2026-03-09T13:15:20.913166+00:00,Balenciaga Arena
depop,sujypat10-balenciaga-arena-city-snakeskin-high,Balenciaga Arena City Snakeskin,368.20,GBP,,Balenciaga,UK 8,sujypat10,,https://media-photos.depop.com/b1/5367878/3246998384_5199c64fba4145b2b9c051c011b363bc/P10.jpg,https://www.depop.com/products/sujypat10-balenciaga-arena-city-snakeskin-high/,,2026-03-09T13:15:20.913184+00:00,Balenciaga Arena
depop,thzqo__-red-balenciaga-arenas-size-45-2147,Red Balenciaga Arenas Size 45,179.20,GBP,,Balenciaga,UK 10,thzqo__,,https://media-photos.depop.com/b1/214778976/3418373360_e6ebf33236294865919e6459984d381c/P10.jpg,https://www.depop.com/products/thzqo__-red-balenciaga-arenas-size-45-2147/,,2026-03-09T13:15:20.913194+00:00,Balenciaga Arena
depop,7iow-balenciaga-arena-size-uk9-0b37,Balenciaga Arena Size Uk9,100.45,GBP,,Balenciaga,UK 9,7iow,,https://media-photos.depop.com/b1/38816708/3484396510_812dc19d63cb47c08f5168918c74054b/P10.jpg,https://www.depop.com/products/7iow-balenciaga-arena-size-uk9-0b37/,,2026-03-09T13:15:20.913197+00:00,Balenciaga Arena
depop,jumpyray1-balenciaga-arena-one-there-are,Balenciaga Arena One There,315.70,GBP,,Balenciaga,UK 8,jumpyray1,,https://media-photos.depop.com/b1/5627009/1382997368_19287b8597b642f5abffa5c6e4a89208/P10.jpg,https://www.depop.com/products/jumpyray1-balenciaga-arena-one-there-are/,,2026-03-09T13:15:20.913212+00:00,Balenciaga Arena
depop,porchewear-balenciaga-arena-trainers-some-wear-0319,Balenciaga Arena Trainers Some Wear,173.95,GBP,,Balenciaga,UK 9,porchewear,,https://media-photos.depop.com/r1/50354035/3361480604_181d0e95ccaf4ed69591380eecdd0205/P10.jpg,https://www.depop.com/products/porchewear-balenciaga-arena-trainers-some-wear-0319/,,2026-03-09T13:15:20.913216+00:00,Balenciaga Arena
depop,millieredheadx-genuine-balenciaga-arena-grey-trainers,Genuine Balenciaga Arena Grey,184.45,GBP,,Balenciaga,UK 8,millieredheadx,,https://media-photos.depop.com/b0/6042877/917621171_f88b9e14409e44669432ff2e23b76fe9/P10.jpg,https://www.depop.com/products/millieredheadx-genuine-balenciaga-arena-grey-trainers/,,2026-03-09T13:15:20.913220+00:00,Balenciaga Arena
