platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
ebay,v1|389717200225|0,"Balenciaga Arena Trainer Men’s Size 8 Uk, EU 42, Good Condition Without Box",70.99,GBP,Pre-owned - Good,,,alex_wardrobe,GB,,https://www.ebay.co.uk/itm/389717200225?_skw=Balenciaga+Arena&hash=item5abcf48d61:g:pGwAAeSws3xpreF0,,2026-03-09T13:14:57.278793+00:00,Balenciaga Arena
ebay,v1|257396520472|0,Balenciaga Beige Leather Arena Studded Flat Sandals Size 37.5 ONLY WORN TWICE,182.70,GBP,Pre-owned - Good,,,raygri4,GB,,https://www.ebay.co.uk/itm/257396520472?_skw=Balenciaga+Arena&hash=item3bee073618:g:KYAAAOSw0kFjxHoS,,2026-03-09T13:14:57.278821+00:00,Balenciaga Arena
ebay,v1|317969352269|0,Authentic Balenciaga Le City First Bag Black Arena Lambskin Leather Handbag.,780.00,GBP,Pre-owned - Good,,,firstratethrift91,GB,,https://www.ebay.co.uk/itm/317969352269?_skw=Balenciaga+Arena&hash=item4a0873464d:g:mXYAAeSwc-BprMez,,2026-03-09T13:14:57.278829+00:00,Balenciaga Arena
ebay,v1|366252188484|0,Balenciaga Arena Grey Suede High Tops UK9/EU43,182.70,GBP,New with box,,,broa-1464,GB,,https://www.ebay.co.uk/itm/366252188484?_skw=Balenciaga+Arena&hash=item554654e344:g:BHAAAeSwlXFpq3zM,,2026-03-09T13:14:57.278835+00:00,Balenciaga Arena
ebay,v1|317964521034|0,Men’s Balenciaga Arena Trainers size 10,135.00,GBP,Pre-owned - Good,,,evssells,GB,,https://www.ebay.co.uk/itm/317964521034?_skw=Balenciaga+Arena&hash=item4a08298e4a:g:8vwAAeSw6YBpq0Do,,2026-03-09T13:14:57.278840+00:00,Balenciaga Arena
ebay,v1|206115692421|0,Balenciaga Arena Trainers Black Leather Womens 5,220.00,GBP,Pre-owned - Good,,,designer_exchange,GB,,https://www.ebay.co.uk/itm/206115692421?_skw=Balenciaga+Arena&hash=item2ffd73df85:g:dIgAAeSwcrlprqkx,,2026-03-09T13:14:57.278846+00:00,Balenciaga Arena
ebay,v1|188124568050|0,BALENCIAGA ARENA T-BAR FLAT SANDALS UK 4.5 EU37.5 studded distressed leather,50.99,GBP,Pre-owned - Good,,,annabellasarcade,GB,,https://www.ebay.co.uk/itm/188124568050?_skw=Balenciaga+Arena&hash=item2bcd1919f2:g:j50AAOSwmC5luAPC,,2026-03-09T13:14:57.278856+00:00,Balenciaga Arena
ebay,v1|389700588791|0,Balenciaga Arena low,260.70,GBP,New with defects,,,sl_4277,GB,,https://www.ebay.co.uk/itm/389700588791?_skw=Balenciaga+Arena&hash=item5abbf714f7:g:YhoAAeSwSARpqPKY,,2026-03-09T13:14:57.278861+00:00,Balenciaga Arena
ebay,v1|236668756150|0,Balenciaga arenas low sneakers Size UK6  White  Good condition,113.02,GBP,Pre-owned - Good,,,lyfstyle_archive,GB,,https://www.ebay.co.uk/itm/236668756150?_skw=Balenciaga+Arena&hash=item371a8ea0b6:g:YmgAAeSw~0VpqGMP,,2026-03-09T13:14:57.278865+00:00,Balenciaga Arena
ebay,v1|147184656643|0,Balenciaga Arena High Top Trainers Sneakers Size UK 9.5,99.49,GBP,Pre-owned - Excellent,,,jayscollectives,GB,,https://www.ebay.co.uk/itm/147184656643?_skw=Balenciaga+Arena&hash=item2244e3a103:g:gfcAAeSwsV9pqCw2,,2026-03-09T13:14:57.278869+00:00,Balenciaga Arena
ebay,v1|336459913229|0,"Authentic Black Balenciaga Arena Low, UK 8",167.10,GBP,Pre-owned - Good,,,gerradop,GB,,https://www.ebay.co.uk/itm/336459913229?_skw=Balenciaga+Arena&hash=item4e5692d80d:g:p50AAeSwVi5ppabb,,2026-03-09T13:14:57.278874+00:00,Balenciaga Arena
ebay,v1|336458122053|0,"Womens Balenciaga Arena Lowtop Trainers size 4, Beige, Very Good Con - Free Del",167.10,GBP,Pre-owned - Good,,,nlfsales,GB,,https://www.ebay.co.uk/itm/336458122053?_skw=Balenciaga+Arena&hash=item4e56778345:g:HyYAAeSw2jxppC1W,,2026-03-09T13:14:57.278878+00:00,Balenciaga Arena
ebay,v1|306795746961|0,balenciaga arena,86.89,GBP,Pre-owned - Good,,,yu183364,GB,,https://www.ebay.co.uk/itm/306795746961?_skw=Balenciaga+Arena&hash=item476e739691:g:sHsAAeSwrWhpo0K3,,2026-03-09T13:14:57.278882+00:00,Balenciaga Arena
ebay,v1|198139415727|0,Rare Balenciaga Mens Arena Logo Sneaker  - Black,208.70,GBP,Pre-owned - Excellent,,,carolinei09,GB,,https://www.ebay.co.uk/itm/198139415727?_skw=Balenciaga+Arena&hash=item2e22078caf:g:qU0AAeSwZo9poEfX,,2026-03-09T13:14:57.278886+00:00,Balenciaga Arena
ebay,v1|336452139808|0,Balenciaga Arena Red and Black Trainers Uk10,104.70,GBP,Pre-owned - Good,,,haconn-0,GB,,https://www.ebay.co.uk/itm/336452139808?_skw=Balenciaga+Arena&hash=item4e561c3b20:g:1qUAAeSwdqNpn2BM,,2026-03-09T13:14:57.278891+00:00,Balenciaga Arena
ebay,v1|287159980163|0,Balenciaga Arena High Top,465.70,GBP,New with box,,,thomcfa_93,GB,,https://www.ebay.co.uk/itm/287159980163?_skw=Balenciaga+Arena&hash=item42dc119083:g:xxsAAeSw2zhpnIdm,,2026-03-09T13:14:57.278895+00:00,Balenciaga Arena
ebay,v1|287159972039|0,Balenciaga Arena Rouge Grenade High,465.70,GBP,New with box,,,thomcfa_93,GB,,https://www.ebay.co.uk/itm/287159972039?_skw=Balenciaga+Arena&hash=item42dc1170c7:g:wdUAAeSw2zhpnIZt,,2026-03-09T13:14:57.278899+00:00,Balenciaga Arena
ebay,v1|376983973970|0,Rare Balenciaga Suede Arena Trainers Size UK 8 Brand New In Box,414.70,GBP,New with box,,,jurock_33,GB,,https://www.ebay.co.uk/itm/376983973970?_skw=Balenciaga+Arena&hash=item57c5fef052:g:KaIAAeSwVkBpm0~T,,2026-03-09T13:14:57.278903+00:00,Balenciaga Arena
ebay,v1|257373341468|0,Balenciaga Men's Noir Arena Pelle S.Gomm Trainers Size UK 8 / EU 42,187.90,GBP,Pre-owned - Excellent,,,stewleele,GB,,https://www.ebay.co.uk/itm/257373341468?_skw=Balenciaga+Arena&hash=item3beca5871c:g:rXkAAeSwkf1pmxbu,,2026-03-09T13:14:57.278907+00:00,Balenciaga Arena
ebay,v1|137052005788|0,Balenciaga Arena Leather High-Top Lace Up Sneakers Red & Black Mens Size 6 EU 40,156.70,GBP,Pre-owned - Good,,,c.loucas,GB,,https://www.ebay.co.uk/itm/137052005788?_skw=Balenciaga+Arena&hash=item1fe8efa59c:g:q2cAAeSw2zhpl0u~,,2026-03-09T13:14:57.278912+00:00,Balenciaga Arena
ebay,v1|376971571290|0,Balenciaga Arena Trainers,188.48,GBP,Pre-owned - Good,,,okewul-0,GB,,https://www.ebay.co.uk/itm/376971571290?_skw=Balenciaga+Arena&hash=item57c541b05a:g:x00AAeSwtNpplK8s,,2026-03-09T13:14:57.278916+00:00,Balenciaga Arena
ebay,v1|306776006397|0,💎 Balenciaga Arena Low Sneakers – Baby Blue,115.10,GBP,Pre-owned - Excellent,,,omerta44,GB,,https://www.ebay.co.uk/itm/306776006397?_skw=Balenciaga+Arena&hash=item476d465efd:g:jv0AAeSwEdBplKml,,2026-03-09T13:14:57.278920+00:00,Balenciaga Arena
