title,price,condition,date_sold,url
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
NEW LISTING,21.50,Pre-owned ·,Sold 8 Mar 2026,https://www.ebay.co.uk/itm/157735060090?_skw=Balenciaga+Arena&itmmeta=01KK9C01F9Q6WMGRFS8DV6T9VG&hash=item24b9be027a:g:J-EAAeSwcrlprZnS&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAKqggiRsbgDVPOSaTeTI8tAIrR4NGMKDafIL%2Bwijph8SmkoMCWN48xuzwnYjEjlP8K8N%2FxHQVCmU79tB1VPG3xLEVdUrya17gu6%2FXPUhgNiSWtOmmImhl3HLvXDuDGd9MTQ3IPZFsz55hW8lwvjfOMxohw4uLBfOHC%2Bft5xbbDwA6jJGaqeTrAiG3l2FV6SR%2FyIEFd8dtz%2Bx4g05bszoCfuCGXYD3jtc2Tr4TvKU2AQwA80cCPSgfQ6mzLFjA0LBw%3D%7Ctkp%3ABk9SR8aYgKyaZw
Balenciaga Arena Trainers (Read Description),37.10,Pre-owned ·,Sold 7 Mar 2026,https://www.ebay.co.uk/itm/358269999626?_skw=Balenciaga+Arena&itmmeta=01KK9C01F91FDQ5QN5GYFFGD4G&hash=item536a8e5a0a:g:1KAAAeSwVCtpWteN&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDV%2BelmE0mQPPv6ocPQQI52bWCicZaYHW90geP8l8i1Ts1wZ4hGhU0H3nDi97I0O%2BRmaSUCW9FRGWQr2nr7ScX5J3iuFSd4mDxRi8lW8zYhNRfycS2rWdGjY4r1EiMrenq%2BDJrX70Ml1p5k%2FSy%2B9b0yXTrJRYyR0lG%2BKPKWgTpWWZ%2BtuB%2BZFx4DLsDxZu5IdKZFKI14H6If0oISyejquy5Qcc99fJ4QVs39DJi22i2aZXXiX48WD5QUDvgkOCfyBMRlyEbhreOGCU5b5gDVg53QS4zT%2Bx9%2B9dApusT68mdS3w%3D%3D%7Ctkp%3ABk9SR8aYgKyaZw
Womens Balenciaga Arena Low Trainers size 4,78.70,Pre-owned ·,Sold 3 Mar 2026,https://www.ebay.co.uk/itm/256182290137?_skw=Balenciaga+Arena&itmmeta=01KK9C01FAVD859QVQS969VBYY&hash=item3ba5a786d9:g:vwEAAOSw8Cdk2js0&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAd31YGE11SApDEYBGqtY9TpsOH5MpxGbQfQDZXq23M5aOXqTp0EY3ylO6avaZSqt9QttbOzEdFy1844ywt3M8qEmY9kvy2h8n47L%2BjDJYRfOprgWz7IYQw6HWtnYTt9kWiKJfCap%2BMqM4NDWJvLARq7NAlFWlniavOZzBdTJ38rdn8Z6nw8511xwsvCE2XVB7eljn7xBthCyhOGp4cPlkvwjtMlsE2DR%2BaWzXhZz226XjLk%2BkqB5n2lRbc3TY%2FB3g%3D%7Ctkp%3ABk9SR8aYgKyaZw
Balenciaga Arena Ballet Flats,135.90,Brand new ·,Sold 1 Mar 2026,https://www.ebay.co.uk/itm/397559927198?_skw=Balenciaga+Arena&itmmeta=01KK9C01FA78188P36WGAGDY8G&hash=item5c906b119e:g:MLQAAeSwnBxpf4bu&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAB3aW6MHphZMSRewjqJ3bkko8s3jNy6etAq1Jl%2BWDDyeRONIhu%2FyQCHz5N63otqX9I0aqMLfxu70eEwTzB2%2BPG9s1KJzLosBpVt49eceObup63ye7z3ChaIeBmcW1QnbRcAdtwqxMMY8I6WD4LeC1BUI3FSFezLiiT8vDlbHITMOXMM09%2BKUeKFgLurp2kwDSX79KBFWnBiSSFvNW9jafZ%2FM4mnZGFSZwYoHJbCeVlavwWF3ODoIajlP%2FGP4uz5%2Fk%3D%7Ctkp%3ABk9SR8aYgKyaZw
Balenciaga Arena Size 8.5(42),77.68,Pre-owned ·,Sold 1 Mar 2026,https://www.ebay.co.uk/itm/198139697235?_skw=Balenciaga+Arena&itmmeta=01KK9C01FA6QNG2ZEJS6SC5748&hash=item2e220bd853:g:jP8AAeSwlGBpoHQz&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xA9iLD%2FSvBrovO7ZQJHQ436cATvDNJBtZf8s0t8q7eQn4Zq%2FtiY91Qp%2B9dJqBji9mhGwC8MgeA%2FKY1OU6kx5GE%2FfI9LCme9tM%2BVuFYnZJOJtYlvgFmYIkY7BZECl%2FDZTFtGMZTddYAZajnZnk07hANzPr9roMb9yp2GVLEgHRdJHe%2B1IfBMVfbKr6Yis7koEJLdDxyRbZiQNeMNT%2BRagZ6AABzjvXWyWpru4pbUkxeaCVLIgJ%2BO%2Bs6GPaadrVerF9EtYhJLArjmaBK1mKuDEAkPYo4sO1FTL1VGalSMvOkc5g%3D%3D%7Ctkp%3ABk9SR8aYgKyaZw
Balenciaga Womens Arena trainers Uk4/37,99.50,Pre-owned ·,Sold 28 Feb 2026,https://www.ebay.co.uk/itm/285099721711?_skw=Balenciaga+Arena&itmmeta=01KK9C01FAH9D2S7Q6FARFYJQB&hash=item42614483ef:g:0hUAAOSwl91jt0wL&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAFJuaYErnWu5w2Q5fwSbfWQ1klHk36%2BIPA96KdQDoWLddmw9SoZlt3F4Ip1I0hEfYhzBCjib5EkzThpAfeC1uZHCHkXlYG30zm8erU5dmmBXyLNB%2F4UPAk1B%2FdPJ91ewSmNKnt8Wx6FL%2ByL8SqrBJP2pgBeZuApoT7OyQ7o5Vlv149GpZyeDIMtnlpo%2Fdg9ua45tBsY9VdM6oY0xUHWZyTE5X8c0oHpW8S8CuMRbbVsCd%2Bj0svp3GAmeiIFdBzBjgnVLVd5vVrcNP7XHEt1udVutLXMOzwaRtQw4J1pr3zRA%3D%3D%7Ctkp%3ABk9SR8aYgKyaZw
Balenciaga Arena High Top Trainers Sneakers Size EU 43 UK 9 Black Leather Men's,136.93,Pre-owned ·,Sold 27 Feb 2026,https://www.ebay.co.uk/itm/168170485425?_skw=Balenciaga+Arena&itmmeta=01KK9C01FAY27XCM3VSH9E0YZW&hash=item2727bdf6b1:g:5VYAAeSwemZplrnE&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAAB%2BA6JUEmYkC1UPArE9rysnLZA1WUtXCRFIcTJJLTpNKNRwndTwb04epceUQhm1rysE4wFZPU0uivErxwggI8QHgOWePYrrAfryE7sOpD%2FfbpV%2FSqQbnZsh%2B8zqCinEiK98UmFfBhMzOD9INFFIsB3m%2BkrlP%2Fts0snW%2B%2BQ%2F7ucbl%2BTaYYIbLNANE7RCuzde7lTCmMeVtQ5EDx4veXyF01ivXuOWKazMX%2FhdgwJB1F%2F2YP6VQHHs4Iq5Ol7Rp7hgUVoTgtI7cA5j31P60uj7b5%2FiPf48Gd4oshCeO1xOLtHg%3D%3D%7Ctkp%3ABk9SR8aYgKyaZw
Balenciaga Arena High Blue Suede Size 8 UK,125.50,Pre-owned ·,Sold 24 Feb 2026,https://www.ebay.co.uk/itm/175744569105?_skw=Balenciaga+Arena&itmmeta=01KK9C01FAXJ38558ZHSYF6Y4Z&hash=item28eb314f11:g:2voAAOSwDGRkbmLW&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCaPHzY4GbqoqGuacrDlY0gO%2FKRnshRBZ0sN%2BcgjkNFj6BL81Z%2FTuTw0rug6qyYahG5hlrcx5%2F8zLaCEOGkDgqnKCdDO87Kt%2BI%2FWQsW5ZKTYvaFP657qqcIR7hfoB9F%2BZdP%2BH8Kqs14B9Fr4RnIs%2Bf1cIbYnmIL8sMcmRxeZIj6tvTyJf3AiMjuBQgaYYOJLsdeQEBcVGwLQWJsSluz34HVniPQ%2Bzr7pttSbRQ2RwKV5mNjaSe2xooDOmg7GOTdXv8JBtHGDl%2BiPn3sVmwYkKSGvv8550QN1OLYE%2BmYNVt2pQ%3D%3D%7Ctkp%3ABk9SR8aYgKyaZw
