platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
vinted,8349746561,Balenciaga Arena shoes/trainers size 3,100.0,GBP,Very good,Balenciaga,3,louisdeans96,,https://images1.vinted.net/t/05_00238_KYvJK7Bds28sRBd63oRfPkuK/f800/1773043404.jpeg?s=b497236146144be03f727cabf77b4c6dbd488cc7,https://www.vinted.co.uk/items/8349746561,,2026-03-09T13:15:05.634396+00:00,Balenciaga Arena
vinted,8346736248,Genuine Balenciaga Grey Suede Arena Trainers,125.0,GBP,Very good,Balenciaga,8,craig_coates_clothes,,https://images1.vinted.net/t/05_0151c_xBLL75bWoPCKPthgYnucmDfX/f800/1772991464.jpeg?s=279999b8c7a08348d60a333416e771e45e87ae13,https://www.vinted.co.uk/items/8346736248,,2026-03-09T13:15:05.634452+00:00,Balenciaga Arena
vinted,8349306915,balenciaga arenas high top,190.0,GBP,Good,Balenciaga,9,oliverdancer,,https://images1.vinted.net/t/01_0051f_Qw6jMoV8j2S13M63vcsAWCYB/f800/1773017261.jpeg?s=3ccd2366234539196e2e3e26e6babc867591a09f,https://www.vinted.co.uk/items/8349306915,,2026-03-09T13:15:05.634526+00:00,Balenciaga Arena
vinted,8341527976,Balenciaga arena low,75.0,GBP,Satisfactory,Balenciaga,11,arlokelly00,,https://images1.vinted.net/t/05_01a98_5WHmu56CJvfEcq2FhWiedPdP/f800/1772968202.jpeg?s=c116f5e9e77912377ec2a221c1c76144602c377f,https://www.vinted.co.uk/items/8341527976,,2026-03-09T13:15:05.634615+00:00,Balenciaga Arena
vinted,8337140017,Balenciaga Arenas,120.0,GBP,Good,Balenciaga,8,delvanek1,,https://images1.vinted.net/t/06_00023_DmZmMHj7CJK35zGdadvptdd9/f800/1772905528.jpeg?s=1648d83efdb75664545b84e0b11c2bc72677b486,https://www.vinted.co.uk/items/8337140017,,2026-03-09T13:15:05.634638+00:00,Balenciaga Arena
vinted,8335920351,Balenciaga Arena shoe/trainers size 3,70.0,GBP,Good,Balenciaga,3,louisdeans96,,https://images1.vinted.net/t/06_02196_Kcw14bP1BEq8woioVi1QuxTZ/f800/1772898458.jpeg?s=6567e02184c8fde2d803824016ccaf847d711f86,https://www.vinted.co.uk/items/8335920351,,2026-03-09T13:15:05.634647+00:00,Balenciaga Arena
vinted,8332799420,Balenciaga arenas trainers,120.0,GBP,Good,Balenciaga,10,eve0038,,https://images1.vinted.net/t/01_0159e_GdYwdPU1ZpCASxbA9PNzgfh7/f800/1772881265.jpeg?s=57aa71608413f3c3e1ad01991a260518af9213d6,https://www.vinted.co.uk/items/8332799420,,2026-03-09T13:15:05.634654+00:00,Balenciaga Arena
vinted,8328908714,Balenciaga arenas red,125.0,GBP,Very good,Balenciaga,9,chewy.2real,,https://images1.vinted.net/t/05_00d3f_BQnV7Jj8joCG91Ed1ubNBjJT/f800/1772819679.jpeg?s=19e9aee504f51806619203b14789841db2d584ca,https://www.vinted.co.uk/items/8328908714,,2026-03-09T13:15:05.634684+00:00,Balenciaga Arena
vinted,8329709443,Men’s balenciaga arena trainers size 10,120.0,GBP,Satisfactory,Balenciaga,10,shelevs,,https://images1.vinted.net/t/06_0131b_dBznYh8zChtA44qAB6Tr2UCw/f800/1772826424.jpeg?s=9fe1b24e63b0e8e79ab53ebf13630f9c1c860dc4,https://www.vinted.co.uk/items/8329709443,,2026-03-09T13:15:05.634693+00:00,Balenciaga Arena
vinted,8324999953,Balenciaga Arenas - Mena – Grey – Size 7,220.0,GBP,Very good,Balenciaga,7,sophien886,,https://images1.vinted.net/t/01_01d50_cRPyynEMu3oJZNhfXiXbeL7y/f800/1772791532.jpeg?s=7b17c270deddf567cb60550c9552ef237f225171,https://www.vinted.co.uk/items/8324999953,,2026-03-09T13:15:05.634700+00:00,Balenciaga Arena
