title,price,condition,date_sold,url
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Balenciaga City Motocross Taupe LeatherHandbag (Vintage),414.70,Pre-owned,Sold 7 Mar 2026,https://www.ebay.co.uk/itm/366236675588?_skw=balenciaga+le+city+vintage&itmmeta=01KK9TQX1GMAQ148B5YMQX7ZAJ&hash=item5545682e04:g:SPkAAeSwq6Jpo-vf&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDZvxGL0qEvRY7j3HoBS4k8JwvEI1%2BKavAP%2B5rcnK62OjTAOc32YY1PPNX%2FrEBxKbKq0ZQhBsIApUYCcoK9We93G2LEZTbtV9BRMTN0dmq6ONAn8k3UkOh4RkIC8dVbqdXx0Tu7zJ5HPdecgll5XkDph0eHyldpE1t3X3VSUNCcXrNeMP2j%2Bd4hBw9RSarBCXCJ0SwFZkH08eSeu7nv7UgM0tKqO1tGb257zDUvt%2BcW5E2mnY04%2BlhdFdrqYUV1k013jwdKFrLb0dR2LDzepVlz%7Ctkp%3ABk9SR4zR37qaZw
Balenciaga Le City Small Black Leather,301.26,Pre-owned,Sold 12 Jan 2026,https://www.ebay.co.uk/itm/168074782846?_skw=balenciaga+le+city+vintage&itmmeta=01KK9TQX1GZVYWEMMVKFBBFFYB&hash=item272209a87e:g:8owAAeSwNJNpY92T&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xBjeGfDC5IMMtB5sQaVwnBzMOmahfZSD95LbmrHnV4lWPsQ36MbaYdaAGVeUevh%2BUgw2TnEZ3hmMhY6QBpIiy0SELbRDXJDZr77a77q8avE%2F0IV2UZ7s1PyR76aXWmyXID8xL15CkyRIrcBhOJIToPQG9yDeuY0DD4QFEk45xEir9p8bGwqgRJiemr0hj%2F17GNz1QyTwrkKqgBRKOIqhNaWt%2BNP32fCnZYnX66e6T2NSALu3Wi8Tc8HONVuJTTGnie6GUB6yPZUnFCWoweIa8K6Z7I%2Bp2ltWBHhmYNNgrTjjd%2BW%2FFIsAaW8OoTSGYmIFz0%3D%7Ctkp%3ABk9SR4zR37qaZw
Balenciaga Le Dix 1970s Vintage EDT Bottle Paris France,42.30,Pre-owned,Sold 3 Mar 2026,https://www.ebay.co.uk/itm/267587365861?_skw=balenciaga+le+city+vintage&itmmeta=01KK9TQX1G5KK4N0Z9EQNV74CQ&hash=item3e4d732be5:g:TcYAAeSwCJ5poDc3&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xC06dM8Mh3b%2BhI5%2Fn7sjbC0WIagvps4ZLfeLno7ZoNvMbMpbYm4hH%2FyyaY0GzWyTBdkaR%2BOL00p229XYv4Bt8bhMGquIfr5O19nbIBdj5LoRdTPRddYuJOJvwZx71M26aJQFEMMDAlTwBk75AS%2F4eapVfEhI5WsruErTqReFNIe1wqwvcZ1At6w%2FW2Qm%2BHpM2s5Vm3PMoncaoqU5V462tf4o%2BOH4rQ%2Fy9YosQKI3No59fESG52584ArnurSL4jNtAAx6UpoBRqSYXTAWjx4BnMX%7Ctkp%3ABk9SR4zR37qaZw
Vintage BALENCIAGA LE DIX Eau de Toilette EDT 4 fl. oz 90° RARE UNOPENED PERFUME,100.00,Pre-owned,Sold 9 Jan 2026,https://www.ebay.co.uk/itm/116882046181?_skw=balenciaga+le+city+vintage&itmmeta=01KK9TQX1G55SH86Q204Y1ANGZ&hash=item1b36b67ce5:g:dC8AAeSwrA9o1QWO&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDWJoOiGVhnP3nwXRXFhzEJ8gC%2B4%2Fxl%2Fm0qDyFLIA5SJjqXWlHEsFlv2pWUj341h8WoVHxevufMaXIIn1ISCRTVz9X%2BtKdUqrzmpcwSZHIbAyCmGpRMtrdbKwsUIzBE4ASUqoWKa2trJ%2FgGuC9jbbMfno%2FI1NRUol60pvJRc%2BHVtNN9fNdWbRHQ%2FPIP%2F1fNWZZnYNEeqWyuG5uKcq7EMwCop%2F1qH7S64cst8QnHOVQ0X9kgB5us7MEcXzb1J%2Fjt8h79GWx4FT7srITZg0roVifo%7Ctkp%3ABk9SR4zR37qaZw
Gorgeous Balenciaga Classic City Vintage Pink Bag,550.00,Pre-owned,Sold 29 Jan 2026,https://www.ebay.co.uk/itm/147124499946?_skw=balenciaga+le+city+vintage&itmmeta=01KK9TQX1GAMQHS41E61MA681D&hash=item22414db5ea:g:ucAAAeSw--Vpe3aJ&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xAcTSv2OciL5nDSV5t85DouQV0QIAKdUzOB8Pq%2FHmFZSV3LdPgnTHvLH%2BYi%2BP7AEPwsWG2eI2FM8pBhDupbf77eRS%2FNK5pLHjLImbsqdffk0Br3y9WABmj5AJmR9mO8Ck8jlmwQWKf%2FJv0SG5jvRXrFUek2RHE95jm1VS6Hvyyp%2FFdigdNTMOWr0tA1uL9um%2BMD3FNsRI368XmBFYHoczApj01Y4Br2SYOma0QAk1UEOT3QAbOpFOmJYvQglLnlr%2BTpuXbjDVKqI8JY6xfny%2BYC%7Ctkp%3ABk9SR4zR37qaZw
Vintage Balenciaga Grey City Bag,260.70,Pre-owned,Sold 18 Dec 2025,https://www.ebay.co.uk/itm/389377627145?_skw=balenciaga+le+city+vintage&itmmeta=01KK9TQX1GC5N72ZFPW9J4T9M6&hash=item5aa8b71409:g:WBEAAeSwH9ZpQSur&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xDNy%2Fms6IBBIfVisX%2FIRDYPTPh1KSVE7e3DBCS3HCBMfKCwjfhGCRkO4R95o015KAyOvT2IPZuADTFYXJi0pGWhKBjnS3%2FHbO5OKDBghFOtqNBEU66XnmPRT%2BjlxsLPW1Fh997FlPQhCwV7b3Kjy5lJ6NdYohx5KaReV%2BE8CyHIS25tPmVCeb1OD8HTSCw2LpeJtOYSpwSysbiMkKRyH97n0HLarL0d6ZhGNIe567BsPOycn1j4eYc2X46FKhPZpbUp%2FqcskagYWBcDtP9jxkQQVAtoGshhyHSdMGDEVCUHtqXKeR6uAhSI1xiXrM0zPOo%3D%7Ctkp%3ABk9SR4zR37qaZw
Vintage Balenciaga City Bag Blue Turquoise Leather With Mirror,669.70,Pre-owned,Sold 25 Jan 2026,https://www.ebay.co.uk/itm/236562690083?_skw=balenciaga+le+city+vintage&itmmeta=01KK9TQX1GXN9MMZ7EQW52E5R4&hash=item37143c3023:g:jiEAAeSwqxlpWSYV&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xBPw8NhmwbaN%2BVn2QhxPIxgNuli9kDOnd4NjcEHbT9D7q%2F3mGgDBa4V3d7Ucv2Dq3XZg%2FB9%2BDYlCwve6%2Bpx9V393bCvrpO%2BCld55R%2Fmml%2F%2BbsAWvePMqdjHkgwytutV4w0p7DZUKGt6mBZAwFn1miM%2F9suh9zS8HGdxvVFzxe7ZRDrkIwsqCq03%2BYydBBFAvdWcXn4ZbddTJ32kZzzwlEddM0b3uTKuaUN0aiYabIpTBurF%2FhdQVQhmrOeHHEVrJGErvJTw87Mpqm5zvlVIinrNqZ9n%2BdaJ4KURHZMoHyQgLh5Cnk7hBTp04zGzgj0%2B3xY%3D%7Ctkp%3ABk9SR47R37qaZw
Balenciaga Le city bag,894.10,Pre-owned,Sold 23 Feb 2026,https://www.ebay.co.uk/itm/198087653162?_skw=balenciaga+le+city+vintage&itmmeta=01KK9TQX1GMM4G7VRH1TYN21HA&hash=item2e1ef1b72a:g:RlgAAeSw8GNph-dY&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xD%2Br7FISAtsUDkmomHAaxGK%2Bl6NqUGPLO8z6HcVu5ehEI86rxiMe6BkTm60XHVIK1JdM2OSE%2B%2F33yOJusflGfY%2BnRpbSMl41gl9o7j7Hh%2FmL9bDIuol434XM5STQ571%2BBl%2FA0DqC%2FPPEwkF2wsJPqVq1e1%2BcPYMyicmdo3SPcacHfQWo9w%2BNtBm76sPXpunHXnw84OcW5pqsO%2BU5WrtmygpL3I7C6CwkkXBwlce1yx8VJ5amVbs9eKlIFSgeGOBVwGng7ezBcOt0Er3hGxTRiJW%7Ctkp%3ABk9SR47R37qaZw
