platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
ebay,v1|366246226428|0,Friendly Hunting CELINE VELOUR SWEATSUIT TRACKSUIT SIZE M-S,276.70,GBP,New with tags,,,eliz-81033,GB,,https://www.ebay.co.uk/itm/366246226428?_skw=Celine+Tracksuit&hash=item5545f9e9fc:g:qiEAAeSw4h1pqJeP,,2026-03-09T13:14:56.910756+00:00,Celine Tracksuit
ebay,v1|366245993475|0,FH Celine GardenEden Dior Dioriviera Toile De Jouy Velour tracksuit Velvet set S,275.46,GBP,New with tags,,,eliz-81033,GB,,https://www.ebay.co.uk/itm/366245993475?_skw=Celine+Tracksuit&hash=item5545f65c03:g:bSoAAeSwyndpqHqk,,2026-03-09T13:14:56.910765+00:00,Celine Tracksuit
ebay,v1|317890619523|0,FH Celine GardenEden Dior Dioriviera Toile De Jouy Velour tracksuit Velvet set S,356.56,GBP,New with tags,,,oxmy-87,GB,,https://www.ebay.co.uk/itm/317890619523?_skw=Celine+Tracksuit&hash=item4a03c1e883:g:qp8AAeSwERtplEb3,,2026-03-09T13:14:56.910796+00:00,Celine Tracksuit
ebay,v1|287103413031|0,Celine Men’s Tracksuit Top UK Mint Condition 100% authentic,260.70,GBP,Pre-owned - Excellent,,,casinokid0,GB,,https://www.ebay.co.uk/itm/287103413031?_skw=Celine+Tracksuit&hash=item42d8b26b27:g:h-4AAeSwemNpeIQe,,2026-03-09T13:14:56.910812+00:00,Celine Tracksuit
ebay,v1|177783487007|0,S Celine Tracksuit Men’s Black Size S Brand New with Tags,94.30,GBP,New with tags,,,vinnie703,GB,,https://www.ebay.co.uk/itm/177783487007?_skw=Celine+Tracksuit&hash=item2964b8ba1f:g:Su4AAeSwsPRpaldA,,2026-03-09T13:14:56.910827+00:00,Celine Tracksuit
ebay,v1|136945303700|0,Celine Velvet Jersey Tracksuits - BNWT Size L - RRP £2080! Proof Of Purchase,1179.70,GBP,New with tags,,,stephmlw183,GB,,https://www.ebay.co.uk/itm/136945303700?_skw=Celine+Tracksuit&hash=item1fe2938094:g:WgIAAeSw~g5pZnSN,,2026-03-09T13:14:56.910834+00:00,Celine Tracksuit
ebay,v1|136934664435|0,CELINE Tracksuit Navy size L - RRP £1820 Proof Of Purchase,491.20,GBP,Pre-owned - Good,,,stephmlw183,GB,,https://www.ebay.co.uk/itm/136934664435?_skw=Celine+Tracksuit&hash=item1fe1f128f3:g:LDcAAeSwRuZpYRrs,,2026-03-09T13:14:56.910841+00:00,Celine Tracksuit
ebay,v1|136959869115|0,Celine Logo Tracksuit Bottoms Size S,312.70,GBP,Pre-owned - Excellent,,,ruqafat_0,GB,,https://www.ebay.co.uk/itm/136959869115?_skw=Celine+Tracksuit&hash=item1fe371c0bb:g:1ecAAeSw92hpWSog,,2026-03-09T13:14:56.910847+00:00,Celine Tracksuit
ebay,v1|167989335067|0,Celine Double Face Tracksuit Black Red Snap Button Detail Size M Italy,975.00,GBP,New with tags,,,luxuryxarr,GB,,https://www.ebay.co.uk/itm/167989335067?_skw=Celine+Tracksuit&hash=item271cf1d41b:g:HQAAAOSwqcdnj~WI,,2026-03-09T13:14:56.910853+00:00,Celine Tracksuit
ebay,v1|395813778941|0,celine tracksuit Botom Joggers Size M,312.70,GBP,Pre-owned - Good,,,aidukasxxx,GB,,https://www.ebay.co.uk/itm/395813778941?_skw=Celine+Tracksuit&hash=item5c2856f5fd:g:6XMAAOSwLltnFVlw,,2026-03-09T13:14:56.910864+00:00,Celine Tracksuit
