title,price,condition,date_sold,url
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Celine Men’s Tracksuit Top. Original Purchase Bond St UK Mint,312.70,Pre-owned,Sold 2 Mar 2026,https://www.ebay.co.uk/itm/287103371327?_skw=Celine+Tracksuit&itmmeta=01KK9B1T3VF41S9D8KYSWBB8YR&hash=item42d8b1c83f:g:Q48AAeSwegJpeH2j&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAr4Lmf8fgYv%2BfQxMe7DhHjkuCWQY%2FoMM7jpmwDFbws3bFidiObPAqn9RPqV9nU1xSr9O0wZsLSdgmIemgQeDVcNKnwEh2TxnrqaRwfCvDRopaYrxox38JOY%2BWEQyFHOLi8yEyv1jEP3mzL5aLg6yPBQqpd99nsvA7Da%2FFo5cxIEM1W6midWksrMz8v9d%2Bfrq6LTZ%2F9yoZA6m%2FrriAaAnXOkGMwWDQLhWuiLm12lE2uopurSLYW7afdHEzxc%2BcbuXQ%3D%7Ctkp%3ABk9SR5aih6uaZw
Genuine Celine Velvet Tracksuit Set Size L Excellent Condition,208.70,Brand new,Sold 31 Jan 2026,https://www.ebay.co.uk/itm/358151539184?_skw=Celine+Tracksuit&itmmeta=01KK9B1T3VQ0Z94YF5ESZDEETF&hash=item53637ec9f0:g:EU0AAeSwc99pRy~K&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xC%2F3w2ZgXGAUh7UMOBn6CPkju%2BLnQlGI%2FNWwtPAoaihj1BNAeMR9AAiaTE%2FVejGeZ%2FSM%2FbBU7%2FduSt2Hgt1T2yAkvXmB6c%2FWNVH719vxsFNfJOWfbZoqVOFYEshl4dRF%2Bbz3C9%2FDtG7Jzv95dvwwV3yp1XB6sbbaSdgnYW51dQ2ahs4pAycz0uJ00BsVpDPbamRitcc8rWbqVLnmmZv93HYLgMYJ4hFVubnku5E2ooSUNAwRX4HFusrM%2BhnIsTZ1hw%3D%7Ctkp%3ABk9SR5aih6uaZw
Celine Logo Tracksuit Bottoms Size S,373.90,Pre-owned,Sold 18 Jan 2026,https://www.ebay.co.uk/itm/136914782681?_skw=Celine+Tracksuit&itmmeta=01KK9B1T3V7TQ34TNKWCTQABPV&hash=item1fe0c1c9d9:g:1ecAAeSw92hpWSog&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBDA1HVUFgfMfFWq3yRhdGkMxmhv30b1WVYi56shAlzW1j8ECiVx0mYnlgKo7zJBD7gw8MpCfQHAPnSFT9fInXuBrd33Brwgky6I4QblR%2Bk2A%2F%2B%2F4B0IRQmd8u%2BCPHvSq4L30owwUhpahvbZtr7PecsGRml0uMMNQWfskuzmQYxaTdumrnHu9XwEr9cLcQk%2BmxRUS232l7MRBdDOKoa3m8938S3TyQgrWSNSCfSYcJUFm0RJwkKux%2F3cyFInSRS0CoDRRV48e%2BFg1Il0RLOlZEvCGgO9mgLxK0jUDIRdxw82w%3D%3D%7Ctkp%3ABk9SR5aih6uaZw
Nike Men's Tracksuit,12.40,Brand new,Sold 6 Mar 2026,https://www.ebay.co.uk/itm/168210546198?_skw=Celine+Tracksuit&itmmeta=01KK9B1T3V9Z77E9G5ZPMR0Q3Y&hash=item272a213e16:g:SzwAAeSwdW5pqj9k&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAAJJq%2B2XP%2FOB6wT%2FXKXzK1Bp4IYE4dWOVbepONvB3ET6S9GMAyun0B8YXd8cJiYdYoiTs%2Bs5Ub2%2FcyoY27LGSY%2FA2zoo0xcEcZSifRXla7hQOt98kLGBEUfQUbtbCQqew7Luhrbi8NPPsajy3dSqQ%2BBnC%2F%2BdKCT--ne6swf88Ci2vmFWu%2Fj5lWdXw5RwPt50ISKYZKarBHh%2Bdr9cz%2BBCiPYNIgIkl60QwTkJkXFsfquX3LU98Z6OloBynuVJkQrdm9dt6xsvClal39Er4kB8FfBGkwdtuYgaABijuF2MWFTg%3D%3D%7Ctkp%3ABk9SR5aih6uaZw
Canada Goose Men's Tracksuit Size L Grey,41.26,Brand new,Sold 7 Mar 2026,https://www.ebay.co.uk/itm/366248523342?_skw=Celine+Tracksuit&itmmeta=01KK9B1T3WGHEGKJS1ZN9F10VW&hash=item55461cf64e:g:E50AAeSwVqdpqce3&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAzH7UCMloDYLg9OknJJNeJ1D%2F0ei3JDEsa%2B%2BkH5IfhK50lDNr%2BLmzbth4OxIVIlmoiXlpW7oytK7uyCMN7hAAH6%2BwGigMDKUgE0Fdu8Xuhvya18OCV95QZ3sfsgTdCPeHrM8HLzxA5GcGcLuTYWPYe1VlEBkkxNj2FZ25hvBsaRm7sTNtSPKTjFk6h7hySdeSKQKqLzZ%2F936UuGMnQgcCCoXyySQGsKwYMsgpV6wvshhEwuWK3mcO4xDvhJr2jJQ4%3D%7Ctkp%3ABk9SR5aih6uaZw
Polo Ralph Lauren Tracksuit Set,45.00,Brand new,Sold 7 Mar 2026,https://www.ebay.co.uk/itm/168212672055?_skw=Celine+Tracksuit&itmmeta=01KK9B1T3WSDBZG059R6Y43ZDT&hash=item272a41ae37:g:dzsAAeSwM3FprAmX&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAiW%2Fz3LpyNQw%2BC5ZegZYyOmpMprKJJfF393YaEr2bHN1fy3F3%2BeejDhZkXqGBjj6kIaSnfz2oHl7koVpYnDe%2FyO%2BwLQiUJ%2B9Wn4GVQhZd7599ErnxeJkdNfCm7EKmtq4iJ8UNBJaV8%2FVD%2BTl9RFylMq545CuBgN2PrUrcx%2FgsERxF2OQKGxtJWaRCzZ63MrCJ4khH1mhxLlgf6Xb2%2BDELa8fIsh9DpdXT8eqQO6fJGrHU9ZYe6z%2FeJrnJxFnxpTwI%3D%7Ctkp%3ABk9SR5aih6uaZw
Essentials Oatmeal Tracksuit,47.50,New (other),Sold 7 Mar 2026,https://www.ebay.co.uk/itm/198155613968?_skw=Celine+Tracksuit&itmmeta=01KK9B1T3W3BZSBYWYA947NN2S&hash=item2e22feb710:g:lFoAAeSw~WxppsTs&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCiyyZ114niN5%2BkIXI8LRLpUA2NVD2yksMsIXTQ4Lvu29DLa6gNZTHP9OrnJ5wURQRxJds%2BrtkCeG5m4xtKDgOzfSrzllcwC97q2BRF7z8O8omy7ujZpgx61kfX8ywSNbUGeKV5nY2AXScA8ww--yCWYRr1g0NzoNGlPKZNo6T9aQPNPQucPG9bCKpCD%2F4hDVBQATAK8MgmDSEfkthOXPx6dl215TsYr1XZMobzOy%2BbZAIalPu4PTDodwaLp8ZgKg6RL7RBf5ZhVyx9D7irZUQS6fVZ1vl5ukpcB74%2B9XsX8Q%3D%3D%7Ctkp%3ABk9SR5iih6uaZw
Nike Tech Fleece Tracksuit Set,85.00,New (other),Sold 8 Mar 2026,https://www.ebay.co.uk/itm/406737990189?_skw=Celine+Tracksuit&itmmeta=01KK9B1T3W7QH4778WEA9GVPRT&hash=item5eb379322d:g:lAsAAeSwcQFpqMDG&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xD10SRPdny5S1h%2FMmrF%2BjSmBNlnwmsaPVpmmvTmAANxDRoIJEXVtV3pPhhFgXTZ7%2FjDh0l7fJvDbZrkX7bXuwpZe9Ro8yH3qcNqQD%2FKFbWdSGQ0FHSuU4iOXLt1WTYCS1FrjMm3nGXipwzz%2FZnQqXEB6wFJ7E%2BryaWf2sUPXZPh0jSSh7CijrwFf3fn%2FYQW9BavjP7GQX6uaUIbjeHBiVdLH5fXqOMdgn5pHapdXDBLhDJhhfqyvNfQqjeMq2rZpXQ%3D%7Ctkp%3ABk9SR5iih6uaZw
