platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
vinted,8269578934,Celine Tracksuit Black/White - Size Small,69.99,GBP,Very good,Céline,S,highqualityonlyuk,,https://images1.vinted.net/t/05_0189f_UAkMBCFyrRspYWQHT9tTXKLU/f800/1772148712.jpeg?s=0e391ff0c12ebc68ccfe985594e6ee2b666cc478,https://www.vinted.co.uk/items/8269578934,,2026-03-09T13:15:03.932338+00:00,Celine Tracksuit
vinted,8269549772,Celine Tracksuit Navy - Size Medium,69.99,GBP,Very good,Céline,M,highqualityonlyuk,,https://images1.vinted.net/t/05_0093e_GteXhXqUsfygLaowkCBUmTED/f800/1772147676.jpeg?s=8bc7dcd145c4e3dfa0463e2926dd904ea77edb10,https://www.vinted.co.uk/items/8269549772,,2026-03-09T13:15:03.932380+00:00,Celine Tracksuit
vinted,8237483365,Celine Tracksuit,120.0,GBP,Good,Céline,M,trustedseller0121,,https://images1.vinted.net/t/06_01dac_GTuSgwavNb5R4qo1enuug8Ho/f800/1771778304.jpeg?s=1ed2f35ccc50748470e490e3169b5ce94af08577,https://www.vinted.co.uk/items/8237483365,,2026-03-09T13:15:03.932387+00:00,Celine Tracksuit
vinted,8040147896,Tracksuit Celine,320.0,GBP,Good,Céline,M,ricogotit,,https://images1.vinted.net/t/01_00265_uwqRinZQEiU7Ekn13WqfDJeY/f800/1769528090.jpeg?s=145b3066cacf0a55a71ffe90af43461160693c43,https://www.vinted.co.uk/items/8040147896,,2026-03-09T13:15:03.932394+00:00,Celine Tracksuit
vinted,7879723817,Celine Tracksuit,80.0,GBP,New without tags,,M,joewoods77,,https://images1.vinted.net/t/05_01367_jvgv3BccbebegfzzEE2dTGRm/f800/1767619536.jpeg?s=a1f9120cbe9286d922f3489b557bbb9087603311,https://www.vinted.co.uk/items/7879723817,,2026-03-09T13:15:03.932408+00:00,Celine Tracksuit
vinted,7556565377,Celine by Heidi Slimane Velvet Full Tracksuit BNWT,550.0,GBP,New with tags,Céline,M,edsimsonsales,,https://images1.vinted.net/t/01_01fdb_y4M817r3bk5f2pVUFS29G8fq/f800/1763159300.jpeg?s=544fc7fabc0b3e3efa51aeab2094de34bdf244ae,https://www.vinted.co.uk/items/7556565377,,2026-03-09T13:15:03.932419+00:00,Celine Tracksuit
vinted,7435666924,Celine womens tracksuit bottoms size L,140.0,GBP,Very good,Céline,L / UK 16-18,rabbit0007,,https://images1.vinted.net/t/03_0092e_Jm3L25hTdwmmqFRjwPMXZZdr/f800/1761751071.jpeg?s=afa87dc707e9ad233ac435ceb0746d58f4b4b7e0,https://www.vinted.co.uk/items/7435666924,,2026-03-09T13:15:03.932423+00:00,Celine Tracksuit
vinted,7416506565,Celine Tracksuit,360.0,GBP,Very good,Me,M / UK 12-14,exclusivebuyers,,https://images1.vinted.net/t/03_021ef_srCSSJ5zvMnsVXhV7N4jCY9W/f800/1761518630.jpeg?s=847c340aef743cbaaaf4ab9a15216f72e589f070,https://www.vinted.co.uk/items/7416506565,,2026-03-09T13:15:03.932426+00:00,Celine Tracksuit
vinted,7069951879,Celine Tracksuit Grey in Double Face Jersey for men,315.0,GBP,Very good,Céline,S,andresy1,,https://images1.vinted.net/t/04_01ed7_7T56zoE5gzKpd2cQg17qEpjc/f800/1757690990.jpeg?s=f591b4b1d6bb05a2311c80c49d3b89a6c10c8852,https://www.vinted.co.uk/items/7069951879,,2026-03-09T13:15:03.932430+00:00,Celine Tracksuit
vinted,7055692639,Celine tracksuit pants,18.0,GBP,Satisfactory,True,L / UK 16-18,x105,,https://images1.vinted.net/t/02_000ee_tofGmAxgVmK8oRnWkS1EFZ3E/f800/1757514359.jpeg?s=22e7409017581f8a21451b01067796e428bfae7a,https://www.vinted.co.uk/items/7055692639,,2026-03-09T13:15:03.932433+00:00,Celine Tracksuit
vinted,7048745699,Celine Reversible Tracksuit Jacket - S,300.0,GBP,Very good,Céline,S,varoques3,,https://images1.vinted.net/t/04_01962_SpU57PyPtiMgPaJbL66KWpCx/f800/1757429358.jpeg?s=58564b7b2d57931f9f37a1dd3ca6a9a3658c5c92,https://www.vinted.co.uk/items/7048745699,,2026-03-09T13:15:03.932436+00:00,Celine Tracksuit
vinted,6653042558,Celine navy tracksuit top zip jacket S new with tag,1100.0,GBP,New with tags,Céline,S / UK 8-10,karena2012,,https://images1.vinted.net/t/02_00b01_jkrUJ1y5oNqEANQn4zzGw21B/f800/1752063122.jpeg?s=a664a9a3035eb2b0ae12194e6d7740b34acfca10,https://www.vinted.co.uk/items/6653042558,,2026-03-09T13:15:03.932443+00:00,Celine Tracksuit
vinted,6530985704,Celine loose zipple full tracksuit,545.0,GBP,New with tags,Céline,M / UK 12-14,dnddots,,https://images1.vinted.net/t/02_00fdb_tCYm3KjB4jA4uyvmVyEGXaYa/f800/1750171214.jpeg?s=4ddaaa0e4a5cbcb0e0debd69fedc82ce89d1d7c6,https://www.vinted.co.uk/items/6530985704,,2026-03-09T13:15:03.932446+00:00,Celine Tracksuit
vinted,6501854299,Designer top Celine Triomphe Double-Faced Jersey Tracksuit Multicolor Size L Women's,300.0,GBP,New without tags,Céline,XXL / UK 24-26,mannyjoshi,,https://images1.vinted.net/t/03_0113b_8Vpq3bqkf2meDEau85BZiKXb/f800/1749727959.jpeg?s=8eeab42481735ffee22e554ac5185a2be8d4a246,https://www.vinted.co.uk/items/6501854299,,2026-03-09T13:15:03.932449+00:00,Celine Tracksuit
vinted,6472626357,Celine Tracksuit,570.0,GBP,Good,Céline,L / UK 16-18,jacbro10,,https://images1.vinted.net/t/02_01759_CGkpZUMvbs7Tzc4sPakYoRDM/f800/1749317700.jpeg?s=a3dcb5d5e96a07ff89d8ff70e948c7b962088584,https://www.vinted.co.uk/items/6472626357,,2026-03-09T13:15:03.932453+00:00,Celine Tracksuit
vinted,6324056578,Celine tracksuit,75.0,GBP,Very good,,S / UK 8-10,user444441,,https://images1.vinted.net/t/02_0245f_aHJNNFT6DD8U41epn8zSYu1Y/f800/1747175651.jpeg?s=c639d07989cdf48a65379a775a1062cfa70d52b0,https://www.vinted.co.uk/items/6324056578,,2026-03-09T13:15:03.932458+00:00,Celine Tracksuit
