item_id,title,category,size,price,currency,shipping,best_offer,end_time,listed_at,condition,short_desc,seller,seller_feedback,location,listing_type,url,fetched_at,search_query,last_seen,times_seen,presumed_sold,sold_at
v1|277774300705|0,DOLCE & GABBANA Shoes White DG Leather Low Top Sneakers Womens EU35 / US4.5,Leather,L,175.17,GBP,£9.69,False,,2026-03-04T15:21:33.000Z,New with defects,,modemanioutlet,99.4,SE,FIXED_PRICE,https://www.ebay.co.uk/itm/277774300705?_skw=DG+womens+top&hash=item40aca37621:g:Zc0AAeSwC1VpqE7w,2026-03-04T20:53:52.311629,DG womens top,2026-03-04T20:53:52.311629,1,False,
v1|377008362187|0,DG2 Diane Gilman Top Womens 3X Ivory Embroidered Casual Western Barn Farm Boho,Other,l,17.92,GBP,£21.41,True,,2026-03-04T12:01:25.000Z,Pre-owned - Excellent,,xyzthrift,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/377008362187?_skw=DG+womens+top&hash=item57c77312cb:g:Fa4AAeSwE3hpMPbe,2026-03-04T20:53:52.311720,DG womens top,2026-03-04T20:53:52.311720,1,False,
v1|358281334354|0,DG2 by Diane Gilman Womens Long Sleeve hi Low Shirt Top in Black Sz Large Cotton,Other,l,22.46,GBP,£26.81,True,,2026-03-03T12:56:26.000Z,New with tags,,kate6874,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/358281334354?_skw=DG+womens+top&hash=item536b3b4e52:g:daUAAeSwi7NpWba7,2026-03-04T20:53:52.311854,DG womens top,2026-03-04T20:53:52.311854,1,False,
v1|377005127756|0,DG2 Diane Gilman 2X Womens Southwest Top Shirt Boxy Chevron NEW,Other,l,12.85,GBP,£17.38,True,,2026-03-03T05:06:49.000Z,New with tags,,hickorycastle,99.9,US,FIXED_PRICE,https://www.ebay.co.uk/itm/377005127756?_skw=DG+womens+top&hash=item57c741b84c:g:o24AAeSwHM1o8CNk,2026-03-04T20:53:52.311889,DG womens top,2026-03-04T20:53:52.311889,1,False,
v1|366241542823|0,Diane Gilman DG2 Tunic Top Womens plus size 1X Brown Blouse Rayon Stretch Shirt,Other,l,19.79,GBP,£18.82,True,,2026-03-03T00:52:57.000Z,Pre-owned - Excellent,,piece-of-scrap,99.9,US,FIXED_PRICE,https://www.ebay.co.uk/itm/366241542823?_skw=DG+womens+top&hash=item5545b272a7:g:~kUAAeSw7z5ppjAS,2026-03-04T20:53:52.311915,DG womens top,2026-03-04T20:53:52.311915,1,False,
v1|336460009614|0,DG2 Diane Gilman Black Short Sleeve V-Neck Tee Shirt Top L Crochet Trim Womens,Other,l,9.87,GBP,£21.35,False,,2026-03-02T16:03:55.000Z,New with tags,,secondhandjewelz,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/336460009614?_skw=DG+womens+top&hash=item4e5694508e:g:RnkAAOSw4F5m~fFD,2026-03-04T20:53:52.311962,DG womens top,2026-03-04T20:53:52.311962,1,False,
v1|137086823501|0,Diane Gilman DG2 Womens Embroidered Paisley Tunic Top Sz 3X Boho Flowy Coastal,Other,l,16.68,GBP,£18.72,True,,2026-03-02T10:56:57.000Z,New with tags,,dacaru-47,99.9,US,FIXED_PRICE,https://www.ebay.co.uk/itm/137086823501?_skw=DG+womens+top&hash=item1feb02ec4d:g:aXcAAeSweWlpB96j,2026-03-04T20:53:52.312005,DG womens top,2026-03-04T20:53:52.312005,1,False,
v1|206102868085|0,DG2 Womens 2X 3X Orange Pink Purple Stripe Poncho Top Asymmetrical Hem,Other,m,16.22,GBP,£62.61,True,,2026-03-01T10:00:17.000Z,New with tags,,lizzyn8997,99.7,US,FIXED_PRICE,https://www.ebay.co.uk/itm/206102868085?_skw=DG+womens+top&hash=item2ffcb03075:g:Ov4AAeSwCDlpVlO2,2026-03-04T20:53:52.312106,DG womens top,2026-03-04T20:53:52.312106,1,False,
v1|277763686299|0,Diane Gilman DG2 Top Blouse NEW w/ Tags Lime Green Gorgeous Sequins Womens Small,Other,l,26.05,GBP,£20.54,False,,2026-03-01T02:19:09.000Z,New with tags,,foxxtrader,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/277763686299?_skw=DG+womens+top&hash=item40ac017f9b:g:39MAAeSw79Jo2uOH,2026-03-04T20:53:52.312146,DG womens top,2026-03-04T20:53:52.312146,1,False,
v1|177906332087|0,DG2 by Diane Gilman Womens layer Sleeveless Tank top in Cream Size S,Other,l,22.45,GBP,£12.61,True,,2026-02-28T15:31:07.000Z,New with tags,,2015market,99.8,US,FIXED_PRICE,https://www.ebay.co.uk/itm/177906332087?_skw=DG+womens+top&hash=item296c0b31b7:g:GJIAAeSw5jdo75Ur,2026-03-04T20:53:52.312221,DG womens top,2026-03-04T20:53:52.312221,1,False,
v1|177906176232|0,DG2 by Diane Gilman Womens Printed Top in Black Size S,Other,l,17.96,GBP,£12.48,False,,2026-02-28T14:24:08.000Z,New with tags,,2015market,99.8,US,FIXED_PRICE,https://www.ebay.co.uk/itm/177906176232?_skw=DG+womens+top&hash=item296c08d0e8:g:DqcAAeSwkV5o3VJB,2026-03-04T20:53:52.312284,DG womens top,2026-03-04T20:53:52.312284,1,False,
v1|177906154827|0,DG2 by Diane Gilman Womens Two Pack Top in Multicolor Size XS,Other,l,26.94,GBP,£12.74,True,,2026-02-28T14:10:14.000Z,New with tags,,2015market,99.8,US,FIXED_PRICE,https://www.ebay.co.uk/itm/177906154827?_skw=DG+womens+top&hash=item296c087d4b:g:0EQAAeSwivlo38EP,2026-03-04T20:53:52.312326,DG womens top,2026-03-04T20:53:52.312326,1,False,
v1|366234785681|0,New DG2 Diane Gilman American Flag Tank Top Black White Womens XS Cotton Casual,Other,l,11.49,GBP,£26.64,True,,2026-02-28T13:13:57.000Z,New with tags,,brave_digger,99.9,US,FIXED_PRICE,https://www.ebay.co.uk/itm/366234785681?_skw=DG+womens+top&hash=item55454b5791:g:CYcAAeSwYepo24ix,2026-03-04T20:53:52.312370,DG womens top,2026-03-04T20:53:52.312370,1,False,
v1|397659632310|0,DG2 Diane Gilman SoftCell Breathable Easy Womens Tank Top Pink Sleeveless 3X NWT,Other,l,26.95,GBP,£19.31,True,,2026-02-28T08:20:54.000Z,New with tags,,bohobudgetbae,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/397659632310?_skw=DG+womens+top&hash=item5c965c72b6:g:w4kAAeSwoPdpoqZe,2026-03-04T20:53:52.312411,DG womens top,2026-03-04T20:53:52.312411,1,False,
v1|188104375681|0,NIKE Womens De Paul Graphic Vest Top UK 6 XS Blue Polyester DG18,Other,m,8.61,GBP,£1.95,True,,2026-02-28T03:05:29.000Z,Pre-owned - Good,,messina-hembry,99.7,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/188104375681?_skw=DG+womens+top&hash=item2bcbe4fd81:g:2UMAAeSwE01polx4,2026-03-04T20:53:52.312449,DG womens top,2026-03-04T20:53:52.312449,1,False,
v1|188104375419|0,FANATICS Womens Houston Astons Graphic T-Shirt Top UK 14 Large White DG90,Other,S,7.59,GBP,£1.95,True,,2026-02-28T03:05:13.000Z,Pre-owned - Good,,messina-hembry,99.7,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/188104375419?_skw=DG+womens+top&hash=item2bcbe4fc7b:g:9MUAAeSwTqFpolxr,2026-03-04T20:53:52.312477,DG womens top,2026-03-04T20:53:52.312477,1,False,
v1|188103645062|0,ANDREA MARE Womens Long Sleeve Blouse Top IT 46 Large Off White Floral DG24,Other,M,9.61,GBP,£1.95,True,,2026-02-27T22:02:16.000Z,Pre-owned - Good,,messina-hembry,99.7,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/188103645062?_skw=DG+womens+top&hash=item2bcbd9d786:g:e~AAAeSwUStpohXJ,2026-03-04T20:53:52.312521,DG womens top,2026-03-04T20:53:52.312521,1,False,
v1|188103507710|0,MONSOON Womens Crop Strapless Top UK 10 Small  Purple Silk DG14,Other,M,12.7,GBP,£1.95,True,,2026-02-27T21:06:08.000Z,Pre-owned - Good,,messina-hembry,99.7,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/188103507710?_skw=DG+womens+top&hash=item2bcbd7befe:g:djUAAeSwfQhpoggr,2026-03-04T20:53:52.312563,DG womens top,2026-03-04T20:53:52.312563,1,False,
v1|168192604277|0,ELLESSE Womens Crop Oversized Graphic T-Shirt Top UK 10 Small Black Cotton DG27,Other,L,9.52,GBP,£1.95,True,,2026-02-27T21:05:18.000Z,Pre-owned - Good,,messina-hembry,99.7,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/168192604277?_skw=DG+womens+top&hash=item27290f7875:g:XqkAAeSwiK5poggE,2026-03-04T20:53:52.312590,DG womens top,2026-03-04T20:53:52.312590,1,False,
v1|157713625191|0,PUMA Womens See Through Graphic T-Shirt Top UK 12 Medium White Cotton DG26,Other,M,9.52,GBP,£1.95,True,,2026-02-27T21:03:40.000Z,Pre-owned - Good,,messina-hembry,99.7,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/157713625191?_skw=DG+womens+top&hash=item24b876f067:g:YLIAAeSwvDJpogfb,2026-03-04T20:53:52.312617,DG womens top,2026-03-04T20:53:52.312617,1,False,
v1|177903596419|0,DG2 by Diane Gilman Womens Mesh Poncho Top in Black Size S,Other,l,24.25,GBP,£12.66,True,,2026-02-27T19:11:56.000Z,New with tags,,2015market,99.8,US,FIXED_PRICE,https://www.ebay.co.uk/itm/177903596419?_skw=DG+womens+top&hash=item296be17383:g:6voAAeSwjQJpUXJV,2026-03-04T20:53:52.312652,DG womens top,2026-03-04T20:53:52.312652,1,False,
v1|177903518270|0,DG2 by Diane Gilman Womens Printed sleeveless Top Black X-SMALL,Other,l,17.96,GBP,£11.05,False,,2026-02-27T18:27:10.000Z,New with tags,,2015market,99.8,US,FIXED_PRICE,https://www.ebay.co.uk/itm/177903518270?_skw=DG+womens+top&hash=item296be0423e:g:68kAAeSwvlJpoexq,2026-03-04T20:53:52.312684,DG womens top,2026-03-04T20:53:52.312684,1,False,
v1|188102722475|0,NIKE Womens Dri Fit Zip Neck Pullover Tracksuit Top UK 6 XS Grey Polyester DG03,Other,m,10.13,GBP,£1.95,True,,2026-02-27T15:05:23.000Z,Pre-owned - Good,,messina-hembry,99.7,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/188102722475?_skw=DG+womens+top&hash=item2bcbcbc3ab:g:fSkAAeSwjH5pobLz,2026-03-04T20:53:52.312734,DG womens top,2026-03-04T20:53:52.312734,1,False,
v1|168192037085|0,ASICS Womens Graphic Top Long Sleeve UK 18 XL Pink Cotton DG10,Other,S,7.09,GBP,£1.95,True,,2026-02-27T15:04:54.000Z,Pre-owned - Good,,messina-hembry,99.7,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/168192037085?_skw=DG+womens+top&hash=item272906d0dd:g:m34AAeSw3nxpobNU,2026-03-04T20:53:52.312759,DG womens top,2026-03-04T20:53:52.312759,1,False,
v1|168191915083|0,ADIDAS Womens Graphic Vest Top UK 12 Medium Purple Polyester DG25,Other,S,7.59,GBP,£1.95,True,,2026-02-27T14:04:24.000Z,Pre-owned - Good,,messina-hembry,99.7,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/168191915083?_skw=DG+womens+top&hash=item272904f44b:g:KAwAAeSwmG1poaSp,2026-03-04T20:53:52.312785,DG womens top,2026-03-04T20:53:52.312785,1,False,
v1|168191912936|0,REEBOK Womens T-Shirt Top UK 14 Medium Navy Blue DG02,Other,m,7.59,GBP,£1.95,True,,2026-02-27T14:03:08.000Z,Pre-owned - Good,,messina-hembry,99.7,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/168191912936?_skw=DG+womens+top&hash=item272904ebe8:g:nSgAAeSwx2hpoaTU,2026-03-04T20:53:52.312809,DG womens top,2026-03-04T20:53:52.312809,1,False,
v1|168191506756|0,TOMMY HILFIGER Womens Tracksuit Top Jacket UK 14 Large Brown Check Cotton DG37,Other,M,15.22,GBP,£1.95,True,,2026-02-27T10:06:24.000Z,Pre-owned - Good,,messina-hembry,99.7,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/168191506756?_skw=DG+womens+top&hash=item2728feb944:g:z9YAAeSw~~1poW4k,2026-03-04T20:53:52.312832,DG womens top,2026-03-04T20:53:52.312832,1,False,
