title,model,price,shipping,date_sold,days_ago,condition,url
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
NIKE Womens Fit Dry Hooded Pullover Tracksuit Top US 12/14 Large Burgundy DG21,,£14.98,delivery in 2-3 days,1 Mar 2026,3,Pre-owned ·,https://www.ebay.co.uk/itm/188042039591?_skw=DG+womens+top&itmmeta=01KJXA1E0TP15J7KZ2NXCNED9Z&hash=item2bc82dd127:g:b3gAAeSwz6xpiepM&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCGZuxDKWzDbLFC33Un4HNcJjs56kg3EN9VDdrBcR%2FwH%2BfKr9hHsdv1ma1vj6X8zfZZrt13X6r4BB%2FOj40CTU2dB%2BmBkXzQdWTj555y%2By78mJCO0ULothtdtvOusbV1xfZ3oregiB7qxEX1nymU4XPNnbl%2F1maO%2F1eSFY%2FZLD0XNVIlYCwM9QQjI2IQk%2FGncmh9omOQycxbw3vsKRh73fP3bxO%2FG6ee9zABBSmD%2FwAFyMFy3QNd4nqeC7fUeIP3xAfjChXxAkj84RmHDYTL3qCI%2FaZmz95D3BL%2BW1AzktMXGw%3D%3D%7Ctkp%3ABk9SR-bghaqXZw
Make It Sew T-Shirt Mens Womens Oversized T shirt Unisex Tee Top #P1#PR#D,,£10.99,Free delivery,1 Mar 2026,3,Brand new ·,https://www.ebay.co.uk/itm/295452883619?_skw=DG+womens+top&itmmeta=01KJXA1E0TKACSMMM70XPAHV4N&hash=item44ca5d3aa3:g:wWoAAOSw6uZms0m7&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAlgen4bMVj3yDxTJPvsVvGD7kXldeYsiWKYLVpx%2B%2FP%2FrRmtsEo40Nh9Y7c7wbLG2NKUU%2BTJv%2BT8L5lqit3xuS91nHnZ%2FTWv6wO3HvRMxG3IjkO6YTlA8fU%2FHZallgekEk91ykwBBYSjZ2cT2q6ssbKRKOEq8JZTz%2FG8kBL3fkTazM43cW7qD7Fz8YriwMvtyhHLROid25rGQuhnDk829ZuK0Bz7vIqdhHkanCDuSAml08nGveVXlEyVptGL6DwR8U%3D%7Ctkp%3ABk9SR-bghaqXZw
Crow With Book T-Shirt Mens Womens Oversized T shirt Unisex Tee Top #P1#PR#D,,£9.99,Free delivery,28 Feb 2026,4,Brand new ·,https://www.ebay.co.uk/itm/234845325706?_skw=DG+womens+top&itmmeta=01KJXA1E0T1419G09ZKS9145Z3&hash=item36addf498a:g:6e8AAOSwCyFmsyqf&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDeOq7pb275135EBLiYGhuF8B3fyQNdg3%2FQbAPVl2qQ21sBnq9T3h9net656obKpr3t8CJb%2BmKe321xg6%2FdhlgHTdqvfONa6kPW%2Fd4R6fVatHKdqjOXWRx7KLhOo%2BzgVYY6g%2FdxO9%2B6D8ZgSV1p82WUfhPB29Ed6yOm%2Fu6QXOwNOGEzSVhJyftuXdnyvZUCg1zyT89AYt05I4f53SsHeEmPp5AwgptnE7UQpKa16xdHNAp1lMmredDxh9XlaCHKdtVbeHgXBzrjJ9a6646K%2BuTwFplTvZjLZ5Nn0xL8yYWaUw%3D%3D%7Ctkp%3ABk9SR-bghaqXZw
Born To Sparkle But Not Today Lazy Unicorn Gift Mens Womens T shirt Top #P1#PR#D,,£10.99,Free delivery,15 Feb 2026,17,Brand new ·,https://www.ebay.co.uk/itm/295452883623?_skw=DG+womens+top&itmmeta=01KJXA1E0T3W296VEV9C14JYDW&hash=item44ca5d3aa7:g:EUAAAOSwvvhms0pl&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDsaJEiUJlp%2BEHC8bH2bTTj8AOl%2Bh1pTpU4mPbAJQUzbrKnl226y2L7uXC5E1G53bvSsVCn%2F7zZaAQRZHSDwJLfSJbRsr6adwcxBHYtMZK5D6WmulpYBsbUys%2FPqEXmYz9QEP7uS10irOnRIIf6xLcm2BweCHdfvI3GDTcwKrqFIkPrPYXQp%2F0L5IAtM8n3%2FfLN0CjA5tEuDnnuI3W2D0HgeBdFbuB8d5GqgOGy3fabs5fbZYYFPErU22Tic20g%2F3I%3D%7Ctkp%3ABk9SR-jghaqXZw
NIKE Womens Dri Fit T-Shirt Top UK 16 Large Navy Blue Cotton DG43,,£8.01,+£1.95 delivery,6 Feb 2026,26,Pre-owned ·,https://www.ebay.co.uk/itm/167926256823?_skw=DG+womens+top&itmmeta=01KJXA1E0V87BNTTZY5MCWD91Y&hash=item27192f54b7:g:idkAAeSwpmFpFgJx&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBYjQGFKn7CA24nr3RZn7pKOwOFCBSeEliSo%2BRUjs%2BBUeySpJif7PuOpsTXbi5c8MdeMKFPJtVG6KLzoqnWrQLmEbHxIdraZ80Nchzp8XFg5c%2B4x8%2FQSW3YtMBE0Fq2obSqviueHm3y1YKyaWPLggvMM7Vgpgxd1V5a5YbHI63SJnfqxVjwfkeilFkr2C3DJB7TS9EO%2FbxLJ3FEYKjYp1olK5vRCFxHogjO9xgZF4vccJiiV4m6cIqzKRTv2izgQKzPBPYDfjLEg%2ForDMq2zTXLlOVt6BwCvPwRuwxc%2FA2xOw%3D%3D%7Ctkp%3ABk9SR-jghaqXZw
ANDREA MARE Womens Long Sleeve Blouse Top IT 46 Large Off White Floral DG24,,£9.73,+£1.95 delivery,6 Feb 2026,26,Pre-owned ·,https://www.ebay.co.uk/itm/187741201081?_skw=DG+womens+top&itmmeta=01KJXA1E0VG1E0N18C1RDE3KXZ&hash=item2bb63f62b9:g:BWEAAeSwiC1pFze8&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDh679SLe5yix%2Bc21ryBdpcLKOzN727ftSPl4ikvx%2B95XNdclLdmxk2x4CvYM0VDpqULw33mhJDuih6BxfAXDNCl5z%2FyEk2MCL9k5SARFm8JTR237LEWqJXuir%2BmYQgXNdj4YhgpRVoedLJKNs7Vs%2FFqklYo%2By1fsbxearH4sxi9EPXGuFvCZM8w3ny%2F1cBDr4vH6PVwRdUrjKMxUdNIs%2BU%2BuRiQVsNarvJgWASV25gOdumEvubCBqwt6d3g0YKCd5xYg4jmLRzFoCttod8aYAF0t7cW8eWowSBmgcsylem5A%3D%3D%7Ctkp%3ABk9SR-jghaqXZw
CALVIN KLEIN JEANS Womens Vest Tank Top UK 16 Large Burgundy Geometric DG38,,£15.46,+£1.95 delivery,4 Feb 2026,28,Pre-owned ·,https://www.ebay.co.uk/itm/187737029040?_skw=DG+womens+top&itmmeta=01KJXA1E0VWDR1S87QC3M0QBPY&hash=item2bb5ffb9b0:g:L5oAAeSwV41pFYMT&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCKPQnlYcy%2FE2nkZ4WYJdzfJs5mn2VVQk18JRwkVJmr85q41gjK1e3tmIib65Kr9eZAh0JkREFO2BVftwLNF54oDwQhwce98iYESYgJL%2FAc31yKHQC2n58D%2F3jZzxZ2AAAqbjaEGMqIc92uXB8lYJQ5NIB3UBMNrMQykVuzjeAev2NH%2FyJWI%2FMGMLbmYfraaSxdEP1Xbb64jsVsIRB0lZpb636kC0utdr3Wbr1%2B3orICMe8cpKDEnC1MtVMB%2B1As9DNpGxUwtCLKlre5uJuQBDoDncIibXW1H%2BeAb3C7Bscyw%3D%3D%7Ctkp%3ABk9SR-jghaqXZw
ROSANNA MANZONI Womens Sleeveless Crop Top IT 44 Medium Green Floral DG58,,£10.34,+£1.95 delivery,1 Feb 2026,31,Pre-owned ·,https://www.ebay.co.uk/itm/157506023746?_skw=DG+womens+top&itmmeta=01KJXA1E0VB9CWT4Y0X2EX35VD&hash=item24ac173142:g:WYoAAeSwWBVpKY94&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAKvWx%2Fq8JG%2B9viRXxy0A7hVxoa--vzk4NgwBKD%2F56JpVXt0ZHnwWSQ5hpNG1fo7NROu9VPEcpXNA2u2T0Y8QwR0KuRAc3tmLsEmox2dvfIeXvdXM4VSOXOu6kHIqQINFjZwOqqPhvVwoIRTLMH8zTkOUKtjylyES%2Fh%2BU76OVexAWz22lnd%2FvanEBEe9susoatBfM6UvT%2F9dDCi0a9EI3cniVyXiBNTcIP%2BkhS8bSaHET2wPWMrkqsYab%2FCIfkiRTI%3D%7Ctkp%3ABk9SR-jghaqXZw
