title,model,price,shipping,date_sold,days_ago,condition,url
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Dolce & Gabbana Monogram Women T-Shirt / vest underwear EU Size M,,£28.00,+£3.38 delivery,4 Mar 2026,0,Pre-owned ·,https://www.ebay.co.uk/itm/277771375962?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG402QNBDQYXEFKTC77&hash=item40ac76d55a:g:hCIAAeSwwNlppw2i&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xACrBxqUylKBFuUC8N9HF3lSsIJpsZy%2FW6A4aPAx8BSUWp4iYYnIPJA%2F9nnH4QaHG31eCfgbyriFFrs%2BJASX%2FOa05aWCplR7nOsVUmBHcZpCR6MgCz79NHUPXKNO9skmLv0Eeo92K3Oofyup%2BDl1gPSatEayzv5wZRnqqAavR7DK7dWSUuBv1cliEzpfXjT%2Fyd6ck0vcWqXCCQKX5Ye5%2FPxbR2K2krSV5qLrA020kiSr9kgjINLkld0IgiBzcS8Ehk4iSrAra%2FOofnL1pOcDYGmdHh%2B%2FPT74oQZKNlK2dgOYlWSjm9BcsJxcPPrlRLfpcQ%3D%7Ctkp%3ABk9SR7qokaqXZw
Women's DOLCE & GABBANA Pink/Purple Pig Ballerina T-Shirt Size 4 - B63,,£10.50,+£4.25 delivery,24 Feb 2026,8,Pre-owned ·,https://www.ebay.co.uk/itm/397629209361?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG48VTRX11WSPWRGSZH&hash=item5c948c3b11:g:kr0AAeSwz2Zpl3M-&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDdlfL4EtVoMky6yJTMIr1OHT6U2NYmVipvQeONBysYC32eb1dxm3Bd62Lw7Xjq%2FVvFvbM3Im2wXPzkYHlVeUfeOLpgzqJT31wWgUFoZfS3CQRCTW0KrrR6V%2FZOJiqRFaXiyru2RpQrMpiGuZVCb27R5oDFIN5FEO%2B3h7TFc69EwSgkRn9fr16E5ERyN1%2B%2F8A2FNmkh8wAqDSIGC0ZhODpGEl7KKPSxzetWSO%2B1Vv0z2%2FKZFZxCqaa%2BwQ2vpn2R1ysXMt7udxH5Z25NHKvaNsr4%7Ctkp%3ABk9SR7yokaqXZw
Dolce & Gabbana T Shirt Dress Womens IT 40 Sleeveless Cotton Round Neck,,£31.90,+£2.94 delivery,21 Feb 2026,11,Pre-owned ·,https://www.ebay.co.uk/itm/177352660018?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG461Q4VJ473KXHE5HJ&hash=item294b0ad432:g:wC8AAeSwPI9opiZr&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xB2L%2FaCcnaAWzTc0vJqB8MK6RFCwLlCy3oq6kUvcAimkshxtLAI%2FRWroo2nvVBC%2FyxxvletJv0BBpSqELIF9bMGMlyV%2FVDHUvA%2BZ4Ir6%2F6G6GzFcr%2BEo2MgZTToPNlInK1SIg%2FeGnfdkdZ5LzVsnNa5dN7AHXF8KSEPX5uWjlI%2FOKHk9faKknL3w1eOCDUxgKmlptct6Je8RKEJV4rNr25ib8hNYvKQAWHQ5GkBJhf2oPbH0ZpFjpOEDd3dc5AZfSaG5gwewdhnPUqcAukhpI2N%7Ctkp%3ABk9SR7yokaqXZw
Dolce & Gabbana Intimo Athletic ribbed grey T shirt IT 54 XXL women's H1,,£34.99,delivery in 2-3 days,16 Feb 2026,16,Pre-owned ·,https://www.ebay.co.uk/itm/167794490961?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG4N4KHYZQMVXYW0C0G&hash=item271154be51:g:CDsAAOSwNz9oWRPB&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xCD1BqMw5CQcZr9YKqnI%2BVm2wRbxsj4Vbr9It95xtrDiA2%2BBEjVPBujyGY4CsED5OMiT8xuhbqm3fBRPQF%2B7dkmhL0--6bTPOc0nep5oW5pRD0hHbUvIIuIu%2BruY6bUnyQUOuG3LEvJRF%2F9tbEIdJOWEcBlXfQtkY%2BbAHFOBIFwu7QXu9XkNYwl%2BdV7ikjzZO%2FNJNTLVPR1MWOAq2s9N%2FH6%2BV9LwBPob6NCbiPM%2B9NjKHqexhwGq5K6i7uuJWBE8QVmPsFwwEu%2BIkHqhxdTNLrC76tgVqY7L3r0WsmONubSCOvnjN4cg%2Bia%2BoLRtyeY%2BQ4%3D%7Ctkp%3ABk9SR7yokaqXZw
Dolce and Gabbana Leopard Print T-Shirt in Black Cotton,,£150.00,Free delivery,7 Feb 2026,25,Pre-owned,https://www.ebay.co.uk/itm/157654737348?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG447CKF7CR3XKTR8M1&hash=item24b4f461c4:g:Y80AAeSwbNxpgLgb&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xCLks3AZd8rNXQfw9wSsSYM8tCVkKLV8y78ffb63ksyg5QMF1IvQc1JTPKYRHy8uzfYhIAlHyXRxJa2Gg072jjLc5Lqp58l0nsFyf0UVxz6AlzChtxXjtozR7A%2FhaiJgoWddjkG997Thvaxr93VuKwL1%2BgY0eTEiHSvf%2F5O2aNY%2BRpVJ5F%2BPtBQNh9MxvPZsfnRNWMx7s0KYT%2F6oItCu4FnwnlQhY7imT32k%2FnqR3bUqn0xuUQUQvyE4lONSyVq7tgSo9zN3r6ZajZ5avfzIkenBMH%2Bz31Uf3QCg14H5Tt6iWPxDhMBjEzDB3%2BZUN58mHQ%3D%7Ctkp%3ABk9SR7yokaqXZw
Dolce & Gabbana Short Sleeve T-Shirt Women's EU 46 / UK 12 Print Made In Italy,,£31.89,+£2.94 delivery,30 Jan 2026,33,Pre-owned ·,https://www.ebay.co.uk/itm/116921595000?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG4T7RHTP8Q5TZJ01QM&hash=item1b3911f478:g:A0sAAeSwBB9pGJMF&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xCfrU6AbQk2ehiQmmqyiUWW5FvtHbaNiZd6%2BJCzd5eQym8k%2BOb%2BMhSPAPm6T99OOCOt2NTZfg3Sr1jkSOf7mFU6JFf9VjLmC5o2wa9FYgVW340wcTQt%2FS9SLB7sUjD2nYmp6Lnd1GqiLA2G6PWJs402nVeVfWRn5rzGYa5MjsH6Hq2tFKzzDmfNL6LXuCq%2BpW%2BKHYEZ7ZtDQvXJY7vjXgbamDPVxLSzLykYwWaZS%2F0AloH8%2BLw90WEXZ37aTS8KRgbs6FF%2FE2xtvlNG4UFkSMeHtjBGSfagP3pR5Cfe1UK%2BAtaCn6XTHjgohg59M6qsiVM%3D%7Ctkp%3ABk9SR7yokaqXZw
White Diamanté Dolce & Gabbana Women’s T shirt,,£12.94,+£2.94 delivery,16 Jan 2026,47,New (other) ·,https://www.ebay.co.uk/itm/236583470308?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG4WCPN71TQMXCRNX3W&hash=item37157944e4:g:SVUAAeSwFjVpaPqs&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xCTeeJhiuXG3XDVMcCo%2Fi9MM3kO5tYMPcdnpKG9A%2BycR1YKjoSbHS3wwbv7%2BefMbyNbK38n4adPHUoVMRTYJE7lkklIMkAd0Xl7Z20Q436r3LF82SEnRhg5%2FS9i3O9QElNXVSWj%2Fl9NdsOgu0Jeq08rH5lncuuoa56CRmO7QHiP9XZhkp9HF%2FuEEfK3I2zPTvX%2BIhJjEWF80c0bDut6LNv7LHFYjyW0jqNeixA%2F0wtZ2tjvNf9aDb3EVI7bHH6mD5Ss0X6ej8u7drNPEBGti1NK%7Ctkp%3ABk9SR76okaqXZw
Pretty Women’s Dolce & Gabbana T shirt White With Coloured Diamanté DC on Front,,£10.80,+£2.94 delivery,16 Jan 2026,47,Pre-owned ·,https://www.ebay.co.uk/itm/236583505989?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG4D0PQ510ZAGFX3EP8&hash=item371579d045:g:TJsAAeSwWGZpaQF8&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xDE0s0n%2BnYjn53IQZ%2FQ3Ng2YHPix71fmEPbK4czmtKKZg6x1QDgTS7nDPt92ds8jQPpywF8aOHen6X%2BywW41rMAsla8ioPskbURu0%2FCbIxBeD73sUYONkRxIms%2FTue%2Fk9nE0NivPMPYODM1w3WQBp70zY4VIxmshXd2kKfR3VTva8vZ6aWA9I8GdLj1CwUadaVvhjFGKr%2F1Nst%2FoyruDqlymnJHcC2jDUx%2BmcvIByG28hqTCToOgI0XsZFlnyfnnen8qOgCvzr4MQY0C8YIshIkkvQXdO7qGVy%2BB7Irkao5Gp%2Flat4TM%2BA%2B5B5Z3qCNVu8%3D%7Ctkp%3ABk9SR76okaqXZw
