title,price,condition,date_sold,url
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Heliot Emil Men’s Padded Gilet Black Size L Used Sparingly,90.14,Pre-owned ·,Sold 8 Feb 2026,https://www.ebay.co.uk/itm/117007647918?_skw=Heliot+Email+Jacket&itmmeta=01KK9BN70SGKQRQKGAQWMMK0H7&hash=item1b3e3304ae:g:AEMAAeSwGvNpe3xo&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCVY2s7tD--sJ6cSym87t4TZV22gZS86biJ6mMsxrDjbAsN4qRzDvhOKtHhLNbp%2FIKHY1bQrU%2F7QEnPZvJ7knFx0FmxPUWPcyZecCr84X1%2FOikJLMCYsnEEZFcOp3UusADaKufzmYq3iUNsYcUct%2FZM3GP%2BhGId2iRTUUHuYCwSHwNctXi9XPBKfgXv5mZDusaXFXepFluJgDNMG3Lpr7%2F2TxtCls03kS4FsV1XrUX%2BAeQghTUi%2FlMD1UgmbnA3Dso%3D%7Ctkp%3ABk9SR9Dw1KuaZw
Safety Hi Vis Viz Reflective Work Visibility Vest Waistcoat Jacket Orange Yellow,4.99,Brand new,Sold 22 Feb 2026,https://www.ebay.co.uk/itm/255342237171?_skw=Heliot+Email+Jacket&itmmeta=01KK9BN70SZ5PSBDW5AD5GQ4EG&hash=item3b739555f3:g:kd4AAOSwH5Rin2K7&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCH1NFc5meC8%2FJN92W94OICs%2Bv3bdDhnKBObxa%2F8NXWZ74sSNSgbp0fiWyTuTjlJAozz9JeyDq%2FtywRti%2FtQY3whtEMKCSToSU1kTqjw5sfFZgLkm4FLuQhV5t0AdY4XGs40SfLJV7pxOw%2Bj8LaRUkcqqKgg3a04oA1i2usk0ckPopdpvxf59lYTsBOO38Ps6iXEdqY%2FV2dPhqxwyShJz3FLlwv7R9FqwpH%2BnzatbuRmjaodBYPXwH0Iqf7yt6dtDDDrCCNs8tWDiWQ1Q79Th24rfD8i7XkpfAdtfigiPk%2Bcw%3D%3D%7Ctkp%3ABk9SR9Dw1KuaZw
Heliot Emil Fashion Jacket Size Large Unisex New Condition Heavy Jacket Rare,62.89,Pre-owned ·,Sold 2 Mar 2026,https://www.ebay.co.uk/itm/127670447240?_skw=Heliot+Email+Jacket&itmmeta=01KK9BN70SB8K0V7X4M9ZRFJQR&hash=item1db9c06c88:g:YJoAAeSwRXhpTchM&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAFFcD0Hoig90EsGw1pLRJOVWHjKdVUlM3WdGWBzbQO5yBkpaabD2iasnN%2FKuNjo03jqhT2H6tMfwr9OfFkIZ42OVlAi9qlldM3ef0osuAZ8lpYdRG17X2ntW3hoieSN7jR29wJ8UpD9a5jM%2FutgvbON9apn9DN%2FMYKHAHrYY0n1cvLr6DCijuOhwo8WC8Sgapz4hLL4ZbRic3Iu4Izu7HjaakJrqtgKzc71onbitqBsx%2FLuTs7xQeAGW7TDasZzTw%3D%7Ctkp%3ABk9SR9Dw1KuaZw
HELIOT EMIL FIREFIGHTER TECHNICAL JACKET BLACK DENIM JACKET SZ LG READ,149.11,Pre-owned ·,Sold 29 Jan 2026,https://www.ebay.co.uk/itm/317814124320?_skw=Heliot+Email+Jacket&itmmeta=01KK9BN70S7N2C1W08F97GHKJ6&hash=item49ff32af20:g:bkUAAeSwEclpUrq6&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAfmYRIgctf4kO6hREbnOqYkzMTlRyYwYcedwWTA%2BtmW1%2Bct8xTKT%2FhLU849E1j3myDHcLsxYQVMkX3kz%2FwySus2pj1iXJs9ZXV166XibLR1r1Qp99XoR3I7HkZUS%2FkCf%2FG1V%2BT8h83%2BmrzqwsfoGgkxh9TV8PfAsPdToDGsDKbFICBFMhUNCG8ajxcDRf8czRhxbD6%2BO7oR2GrXlPC7Cww2SJ90u7ecasHwQ1igUn1KTYdWgqiOj3sjc3KAQVVMG0%3D%7Ctkp%3ABk9SR9Dw1KuaZw
HELIOT EMIL FIREFIGHTER TECHNICAL JACKET BLACK DENIM JACKET SZ LG READ,64.12,Pre-owned ·,Sold 28 Jan 2026,https://www.ebay.co.uk/itm/317787184808?_skw=Heliot+Email+Jacket&itmmeta=01KK9BN70SZWBPG6EMY2173NXG&hash=item49fd979ea8:g:bkUAAeSwEclpUrq6&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDxd7JqMz0y4rfHCfPW66nV2uWHe3F4jl75A2q1uXs%2FX20d3dLGe39z8iLxL3jQF0XK2VGDSdv0U4NJGq6TQAV7%2BJh2k0l%2FVEdwhMriqGM5ezQ6dRmxMEs%2Fgv7w4zR2JK%2BgsW%2BRc5MQDFCuvcxQ3YRY7oMby3IFKIo6sXlw404bHEB2Ma643qivh6%2FpBr9LD1ex%2Bg8PvPPUTCfc4sypvuT5C0jflOktmkeKVrN32o1SqWinWvX9g3s5GG8hC6SCgdluOhKMMgpfOdgFC6erg0zBh6XcZAdAkCf%2Bn8BtS4AcUA%3D%3D%7Ctkp%3ABk9SR9Dw1KuaZw
heliot emil tailored deconstructed shirt jacket,149.11,New (other) ·,Sold 20 Jan 2026,https://www.ebay.co.uk/itm/306666343633?_skw=Heliot+Email+Jacket&itmmeta=01KK9BN70S768M3G3XZPVMN98G&hash=item4766bd0cd1:g:eb8AAeSwQIRpRa1U&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xD5lT0TS2NTW5jBSM8Kxoef4MuhqyY6iICiXUMpnBOPf7BvGyExUbyTLm1QHIWQXHCjzNukqeVJVMm3seY2u1U6ns63WyEW9zdHV3TCZB4WRD967bIGsUEkcFQfiLUukkOoW9h4I8hcBQFTszg6yPIZ7gq6aSvGNVDPhZl0yu%2BkfxxREsL3xZ8IN%2FF%2FPAoqQ0HffSGlPbh6QITjPJwxrrVqrONP78Wjgm9tdrhsdMeq%2B7bltXZQCa%2BUj%2FEoxt6sUrI%3D%7Ctkp%3ABk9SR9Lw1KuaZw
Rare Heliot Emil Vest Down Puffer Jacket,372.77,Pre-owned ·,Sold 16 Dec 2025,https://www.ebay.co.uk/itm/316016627947?_skw=Heliot+Email+Jacket&itmmeta=01KK9BN70SNERHJKHT51J1JEPR&hash=item49940f10eb:g:FlMAAOSw-9NlfSU1&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBtmZKyBfWd9vwkeIppZFJ3nrKkIdbQEBDt3xjfdOFc0c07CX5QedFjC6Cnmek9A0O4p0Xyxom2eOnPJcwptBDceJvYLoPV%2Bazn%2Fv%2FBw59Kvjk4U0IZLDr6x1LWzg%2FtDZS3EP5nKsIl5VDQff%2Bh0lNoR6vaVstMtbQdL1nJ83Fhv%2FhAwa7ouYZhwY3KkGsOTGnfphCgVby1qWdKn5So75XWmfWDdGeGOPaxzyzyz30NurJBIKtPRjGAH6pBgBFid9Czd6SiU44rF7kIT2nFVp%2BbrI2wZfk7y4x7vxb2Xds4TA%3D%3D%7Ctkp%3ABk9SR9Lw1KuaZw
HELIOT EMIL SS20 'TORQUED ELLIPSE' BULLFIGHTER TECHNICAL JACKET SZ LG,298.19,Pre-owned ·,Sold 10 Dec 2025,https://www.ebay.co.uk/itm/267471186145?_skw=Heliot+Email+Jacket&itmmeta=01KK9BN70SP3XTGEACCZSAEJZG&hash=item3e468668e1:g:pDgAAeSwZKJozsk1&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDnel0V5Ha1OENyIU5XMWLXLc%2B8FpaALrOE1YeAKM3BWTv4%2FXEx3Al49wEzkYKCLG2lL0bREoBR1%2FsXQqL2mMTq35xOWwUYBeh14eVv6iS%2BsZsMbMv3LLrjrzfkEqDOBygWXtQ%2B92LH3ZF%2FqGBEmKFyrWVuypHeBFidxE40jyPFud5wJiQEIOz4ppQOaOtDtwPpscx4zdokm%2FQ5hfz5DQP9TxmWYQwvC2ZCwC0W32WBaAt7LAEkajWebPJFMXxHvsqjwW%2BR78YZHhyWNUQYVUZRLOVADZIzX%2FVeUmtkItmGzw%3D%3D%7Ctkp%3ABk9SR9Lw1KuaZw
