title,model,price,shipping,date_sold,days_ago,condition,url
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
NEW LISTING,,£104.81,delivery in 2-3 days,4 Mar 2026,0,Pre-owned,https://www.ebay.co.uk/itm/287177378439?_skw=Iphone+11+pro&epid=11034210273&itmmeta=01KJWWJQNGCTRZRFV0VZJ01PGM&hash=item42dd1b0a87:g:jvMAAeSwOndppbRV&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDskmM5NdfS771yfVtjrLyWYwpEM6sAlmydQwF88HFqT9LBg42vqknryxs1YJPOBbwaOktvZ5By0tiWUcK4JQRDEJ%2BBjSMHMavpuZmKolwrc68pvpY9Qae6B0gbf8VC1pwWfIW2QIRAg1so%2BX6isb6cCC7Ybbxgfde5yEGGFadDEOBaQmNgE0xOrmn63uTZrxA%2B8UHDYqodQypmWigb1gfLUip5ZZZTTfG%2B%2FGH5845wvnIXfW3AiVQqm10OUBHCji9qQ4Cq5Nry0gDDeEGB4xfvI6Ilib982yZDbRsQW%2Blnow%3D%3D%7Ctkp%3ABk9SR_76ypyXZw
iPhone 11 Pro 64GB Unlocked,,£97.04,+£2.94 delivery,4 Mar 2026,0,Pre-owned,https://www.ebay.co.uk/itm/157722635507?_skw=Iphone+11+pro&epid=11034210273&itmmeta=01KJWWJQNGVGEM5V99AQTK0YSZ&hash=item24b9006cf3:g:y8YAAeSwfKFppvRT&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAGXtSrGdm5Q8jbekbXm%2BuYTp3IkpBn2VruMWw4xD15PFqh819EkpTp%2FF5keLKIZ2vTWYGDHAFGUfIwkd7cnO8cn5FU%2BadNDwig9duRJv6kEnFIdQEuIU2i60MMP%2FyI5ggFNLsdK5f%2F60w2wDC%2F4DtpdIOiw3ZJxlvOORocMB36YNKyVc4tNCrt5FCNru8MnAjvYyW3biY%2Bnj%2BERp1bT3l87DBwImLd%2BjA0Jrog6h2iWL7EESBJg6kJKNylNwCntU0%3D%7Ctkp%3ABk9SR_76ypyXZw
"iPhone 11 Pro, Silver, Unlocked, 64GB",,£97.08,Free delivery,4 Mar 2026,0,Pre-owned,https://www.ebay.co.uk/itm/366227747694?_skw=Iphone+11+pro&epid=4034210697&itmmeta=01KJWWJQNGMB230FF07NVHHFJ8&hash=item5544dff36e:g:O-cAAeSwjW9pnxMZ&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBsG8DY29Hx95bVkHccJ8sxIK46bMZoet5Nh3MOi6lpk7IlElwJiKM2Ja8Ai9ENLnYINWvn7%2FyYRlrQh68xxWmYGzR9WXpXPqC0hOW%2FMm2LM3ajrj9OasuZXO6WyAx6jGZ9QQ7m3ME0EJOI2ZuHVf1aKy%2FBU4PrzPCWopEBXBZOW5bAMtNrtdyiuVKQxACCbWvpMl31SeSaBbagMSfV2lTAxYxJxvpsIi%2Fg%2FrR%2FLsMamKa2wNxn2TgA2xxaRuwJlok%3D%7Ctkp%3ABk9SR_76ypyXZw
Apple iPhone 11 Pro Max 256GB Unlocked Silver - Battery Health 80%,,£169.95,Free delivery,4 Mar 2026,0,Pre-owned,https://www.ebay.co.uk/itm/117067752595?_skw=Iphone+11+pro&epid=11034210143&itmmeta=01KJWWJQNG61S1EQ1TWAJKS9CY&hash=item1b41c82493:g:c8sAAeSwJEJpoDst&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAAelzPsDZsbWC5xxyUH4d%2ByW3PkTMLKULwU67wtMKdiGyIo8fsGCGSntA1eAy1CuC0j2DmwXH3seuhKmATIa9Mv22JlUjyN%2BoeEL6WqOO0AwO9F%2B3xMBX7U9UVdIxH1SYUCEG575pEIIEnErkPWaDFIvfvBPgMSUgtNaOwjXn4r5ECMSovru7XO6DBb6IxJgKR601huoMpeEEeAmnHaMYVNyVw8as7WIADkVTfhX19I2IYcy7tsfh557XdDw54T3I%3D%7Ctkp%3ABk9SR_76ypyXZw
NEW LISTING,,£120.30,Free delivery,4 Mar 2026,0,Pre-owned,https://www.ebay.co.uk/itm/188119408134?_skw=Iphone+11+pro&epid=8034218244&itmmeta=01KJWWJQNG20P9N9AZ5F1Q8R6X&hash=item2bccca5e06:g:78cAAeSwCONpqAGI&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xA6VK1HABKKSAMb%2B1f9XHe8EfAvq8BiCbgS96uAOvuqqx7oFN4uCgGZsG26kJm5JsaeVI4hAU5NuwsCIBg%2Bqkgs1BhQhpYiZ7SuRrsdO3j%2BteiqZ3fZL0N7AYV9nOHKmbAycdZtxIn8PIfLhSlVhbO65vDGNfb4HGzNdXaEIctkOul3s1InWdgRqEAhEmnAqIlEEzy%2B1LeThy4DbTsOtMC6%2BboA0F0qD0BWooNcibxnstkDEpUUMF9xS698t%2B3llzOzbG1rwbwQmRovD3c1QOyZZA63l4lr2%2Btk14UkF%2BgHnA%3D%3D%7Ctkp%3ABk9SR_76ypyXZw
NEW LISTING,,£140.00,+£3.42 delivery,4 Mar 2026,0,Pre-owned,https://www.ebay.co.uk/itm/366243774902?_skw=Iphone+11+pro&epid=11034210143&itmmeta=01KJWWJQNGA14XW1R9KVF084PZ&hash=item5545d481b6:g:QkUAAeSw-RRpp0Ch&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAJuXFdDRvtgp7WBYOX2tHjekiEOnp0VIy4tv92jMK6hAAkFPm%2Fp9sfMgrLHBFEn%2BMDrGzne0GAatqh6LbIMbVoOA9hIevsKzd9wlV0IUpaddLiRKNK4AGmlxDfVWweZX6KkxtkKO7GQXssY22emYAuS3XMlL8rKfAxgWfDPYVONmntdfal46zshq92uvTRbn96N6c%2BfHQmJSVOw9FKipNzf58PwM1B3ZRGwB0s0YF8izfF1exCOjWcD78AYbkXnAk%3D%7Ctkp%3ABk9SR_76ypyXZw
"Apple iPhone 11 Pro 64GB, Space Grey, Unlocked, Fully Functional",,£137.98,delivery in 2-3 days,4 Mar 2026,0,Pre-owned,https://www.ebay.co.uk/itm/358127341701?_skw=Iphone+11+pro&epid=8034218244&itmmeta=01KJWWJQNG73318VD291RSJHMZ&hash=item53620d9085:g:hNgAAeSw8nNpbCn-&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCQsoYUMxLuAOFrNwOu3GViZoAsBfvTxo9zTDIlCPH7gZQoOlWJj9EEhqyQdO8Fac4UdLWKFbxkiXa5Qtem9TSzhl7YSc4MBNQfadGoxpK%2Bj0h2g%2Fvu7%2BpXdthStVGEGTK2ZbXSBE4dQlPUxLoYDtkUk5%2B0Z0Kvu%2F8ac8dao9FiYTMlY4dFUyI1%2BIobGVbautFVSWx%2Bv8MMp1RuROERmOV7Nd3z3RgOrliE67BScAMvGULPYWghxMBNh7qH8niCNKw%3D%7Ctkp%3ABk9SR_76ypyXZw
iPhone 11 Pro Max 256GB Space grey (see description),,£124.46,+£3.42 delivery,4 Mar 2026,0,Parts only,https://www.ebay.co.uk/itm/277674978424?_skw=Iphone+11+pro&epid=20034530783&itmmeta=01KJWWJQNGGH6MCP49TBW8B6WR&hash=item40a6b7ec78:g:iJUAAeSwnnNpY8VL&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAQbZYJuQ7HCKzSnV3LWZ0ccoCF%2B1zCIZ5f4kjR5vqA7fA33Ro%2F4UgPf8qFcC6Oe7%2F2YKxO83f0Qk4H6Ri3amBPmuM5DuMOPwXdQyR0HfdZJJwYaYfMBnXMg1Dkd4W0yig%2FP4OYoYapN7PLS6KXLWBY7S1vpHpW%2BjtlnFmB454iTaDHyPPZJUP1kk0Vlhq7xtibfQ7suZ7zRjLZi5TLY0bbGu0p5xsECkGvDXHmCAeRsObGO1YY8ORK%2Fe3xJ2ZJDrOWWEnnjheL5WbBtET6w5q%2FcOV6Bj5KHCGorc8YX1EwnA%3D%3D%7Ctkp%3ABk9SR4D7ypyXZw
