item_id,title,category,size,price,currency,shipping,best_offer,end_time,listed_at,condition,short_desc,seller,seller_feedback,location,listing_type,url,fetched_at,search_query,last_seen,times_seen,presumed_sold,sold_at
v1|236669065370|0,Phone Case Protection For Apple iPhone 13 Pro Cover Bag Pouch Bumper Black,Other,s,11.78,GBP,£6.32,False,,2026-03-04T21:55:58.000Z,New,,koenig-design-de,99.3,DE,FIXED_PRICE,https://www.ebay.co.uk/itm/236669065370?_skw=iphone+13+pro+phone&hash=item371a93589a:g:qlwAAOSw5fhn3IGx,2026-03-04T23:25:08.010953,iphone 13 pro phone,2026-03-04T23:25:08.010953,1,False,
v1|366246279582|0,Protective Case For Apple iPhone 13 Pro Cord Strap Phone Chain Case Bag Cover,Other,s,10.08,GBP,Free,False,,2026-03-04T21:28:57.000Z,New,,coolgadget_de,99.5,DE,FIXED_PRICE,https://www.ebay.co.uk/itm/366246279582?_skw=iphone+13+pro+phone&hash=item5545fab99e:g:tXwAAeSwrtFpqBPi,2026-03-04T23:25:08.011029,iphone 13 pro phone,2026-03-04T23:25:08.011029,1,False,
v1|366246277162|0,Protective Case For Apple iPhone 13 Pro Phone Flip Case,Other,s,10.08,GBP,Free,False,,2026-03-04T21:27:37.000Z,New,,coolgadget_de,99.5,DE,FIXED_PRICE,https://www.ebay.co.uk/itm/366246277162?_skw=iphone+13+pro+phone&hash=item5545fab02a:g:m7EAAeSwIY9pqBOv,2026-03-04T23:25:08.011065,iphone 13 pro phone,2026-03-04T23:25:08.011065,1,False,
v1|389699564399|656988935841,Protective Case For Apple Iphone 13 Pro Max Cord Band Phone Chain Case Bag,Other,s,10.08,GBP,Free,False,,2026-03-04T21:27:36.000Z,New,,coolgadget_de,99.5,DE,FIXED_PRICE,https://www.ebay.co.uk/itm/389699564399?_skw=iphone+13+pro+phone&hash=item5abbe7736f:g:AJwAAeSwwNlpqKSD,2026-03-04T23:25:08.011097,iphone 13 pro phone,2026-03-04T23:25:08.011097,1,False,
v1|177921869296|0,Protective Case For Apple iPhone 13 Pro Max Flip Case Phone Bag Folding Cover,Other,s,10.08,GBP,Free,False,,2026-03-04T21:27:34.000Z,New,,coolgadget_de,99.5,DE,FIXED_PRICE,https://www.ebay.co.uk/itm/177921869296?_skw=iphone+13+pro+phone&hash=item296cf845f0:g:wB4AAeSw2J9pqBRA,2026-03-04T23:25:08.011127,iphone 13 pro phone,2026-03-04T23:25:08.011127,1,False,
v1|389699563605|0,Protective Case For Apple iPhone 13 Pro Cord Strap Phone Chain Case Bag Cover,Other,s,10.08,GBP,Free,False,,2026-03-04T21:27:31.000Z,New,,coolgadget_de,99.5,DE,FIXED_PRICE,https://www.ebay.co.uk/itm/389699563605?_skw=iphone+13+pro+phone&hash=item5abbe77055:g:0IUAAeSwo~lpqBQr,2026-03-04T23:25:08.011157,iphone 13 pro phone,2026-03-04T23:25:08.011157,1,False,
v1|177921869137|0,Protective Case For Apple iPhone 13 Pro Max Flip Case Phone Bag Folding Cover,Other,s,10.08,GBP,Free,False,,2026-03-04T21:27:30.000Z,New,,coolgadget_de,99.5,DE,FIXED_PRICE,https://www.ebay.co.uk/itm/177921869137?_skw=iphone+13+pro+phone&hash=item296cf84551:g:agwAAeSwtwtpqA1Q,2026-03-04T23:25:08.011186,iphone 13 pro phone,2026-03-04T23:25:08.011186,1,False,
v1|177921869151|0,Protective Case For Apple iPhone 13 Pro Phone Bag Protection Slim Case Cover,Other,s,9.2,GBP,Free,False,,2026-03-04T21:27:30.000Z,New,,coolgadget_de,99.5,DE,FIXED_PRICE,https://www.ebay.co.uk/itm/177921869151?_skw=iphone+13+pro+phone&hash=item296cf8455f:g:9bAAAeSwO5ZpqBsB,2026-03-04T23:25:08.011218,iphone 13 pro phone,2026-03-04T23:25:08.011218,1,False,
v1|336463732396|0,"GaoBao for iPhone 13 Pro Max Phone Case, Slim Fit iPhone 13 Pro Max Case",Other,M,13.56,GBP,Free,False,,2026-03-04T20:40:11.000Z,New,,miwatom,0.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/336463732396?_skw=iphone+13+pro+phone&hash=item4e56cd1eac:g:jdAAAeSw635pqJlo,2026-03-04T23:25:08.011251,iphone 13 pro phone,2026-03-04T23:25:08.011251,1,False,
v1|336463731308|545946619254,Gorgeous Butterfly Phone Cover For iPhone 17 Pro 14 13 15 16 Custom Hard PC Case,Other,s,9.64,GBP,Free,False,,2026-03-04T20:38:33.000Z,New,,wonderinthebox88,99.6,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/336463731308?_skw=iphone+13+pro+phone&hash=item4e56cd1a6c:g:pUYAAeSwEIFppalm,2026-03-04T23:25:08.011278,iphone 13 pro phone,2026-03-04T23:25:08.011278,1,False,
