title,model,price,shipping,date_sold,days_ago,condition,url
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Disney Mickey Minnie Love Phone Case iPhone 16 15 14 13 Pro Max XR XS 7 8 SE,,£4.99,Free delivery,20 Feb 2026,12,Brand new,https://www.ebay.co.uk/itm/317860988444?_skw=iphone+13+pro+phone&itmmeta=01KJXJMQW1RYB3QZH2AJWP8EJF&hash=item4a01fdc61c:g:G4IAAeSwjbBpik8G&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xB1TzacamPZ1ag66YHaiSP6bD%2BqHeDrYFObajZlzO7vsrEakLptdnk%2BmscQ0DKzelTZC9p41EBRrzAnd7xksdLMCcTJ84PZbInZ3aYX3gUP4jG1OLPBfr3eAKZ%2FUCrwwnuu6KEB8SG%2B77kXW8h7ZC%2FzwWtVQ1%2F6uHjHhE8g7S0N%2BGu8AhduEv2ZMgsHUWvPsp%2B5raIf6lWgQGCKO9Riju1%2FA2BzMJNpLGvSg6RrAIwMxlYcNOQUVqT8ATS8XqROYwk%3D%7Ctkp%3ABk9SR5b_0rKXZw
Cars Lightning McQueens 95 Phone Case For iPhone 17 16 15 14 13 12 11 Pro Max,,£4.99,Free delivery,28 Feb 2026,4,Brand new,https://www.ebay.co.uk/itm/317845161393?_skw=iphone+13+pro+phone&itmmeta=01KJXJMQW12GMXZ5BXB47N6P6Z&hash=item4a010c45b1:g:4YsAAeSwGf9pkIxw&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAucZrNfMfoyGZHA7AhS1aeRg42RaZdSCYUElQwrtGCLU8b9klUO1O1POCMyF8fYihzXnAnVAp6RJFmDK2MuiTqSCkAZZbRA%2BWRcam8FSvtWA3sS4JM1e9JbLottGS%2F%2BGmcV0wezz1N982CzMlij6MgnE4%2BJHb7Lvc%2B5rZwcOEe%2Bq%2BnqV%2BKGc7q8J8QFbo46w2hAtCBuCMtlwpqE3NrfnLTV5NuZe%2FdgVq3DsMX9PMNyxZZUm1PzZpFIOA2Fg%2Bontg%3D%7Ctkp%3ABk9SR5b_0rKXZw
MagSafe Case Luxury Frosted - Shockproof Cover for iPhone 17 16 15 14 13 12 Pro,,£5.69,Free delivery,1 Mar 2026,3,Brand new,https://www.ebay.co.uk/itm/127702331132?_skw=iphone+13+pro+phone&itmmeta=01KJXJMQW1PK05GV8AY4MXFXG2&hash=item1dbba6eefc:g:fx0AAeSwe4ZpnZH~&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBOoEMRaQkCFcYyU%2B425DCakFpdTG9yHOaahzgdizJV9qF35CweZAqQERCZZBWFI8VUYpcywdfeZH4%2BtklIrbQbvONgoCZCAbcV7s08JWXHSTKUqimKdKM4pqBVDvPtxbNQHnxxcbAoMOMAtYD8gMQpN2vVKt7L1LX0iMRzP0wQrwUAhyOc2gffehZkIFd63kn%2FHnvyOorlA0gZCktl%2Bq%2F90ynhlHjZRej5P9AK5YDiwMU8PaFfVQUVnS%2BApJQwNf9dXXYi7kEJ5ZnwFrPWszUyw3bbYaNjJRaVFc0l%2FfbtuQ%3D%3D%7Ctkp%3ABk9SR5b_0rKXZw
Leather Wallet With Card Slot Stand Phone Case For iPhone 13 Pro,Leather,£5.45,+£3.40 delivery,4 Mar 2026,0,Brand new,https://www.ebay.co.uk/itm/187119343568?_skw=iphone+13+pro+phone&itmmeta=01KJXJMQW1BGFXF7546Q1RJ9Z0&hash=item2b912e97d0:g:ZHUAAeSwcZRn8qlr&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBT%2FJkJKxFACQE8%2FI2Z2zO1q3HPL0xEvdcUnc3WwQbWgtXOugq84iNKo%2BprtBcLEaciewln2J0M4wxNlz7zm4bWIRXYELb5LPR50g9DvwyVnXTIlMRf7O8sYG6f0D7iYWDwaUr4StfU0dSaCLId%2Bg4SAKw%2BIin2StjGfCaNsCa8fuigz3TMkcYqJ4xDqF%2FCaHlcdKMYl1JKXZtbJvLArN5LTrUoNqDWF4TYOEKgrtaRwv3BEKxw5dIg2OTaO9ULQXg%3D%7Ctkp%3ABk9SR5b_0rKXZw
For iPhone 11 12 13 14 15 16 17 Pro Max Leather Flip Magnetic Wallet Phone Case,Leather,£1.95,Free delivery,4 Mar 2026,0,Brand new,https://www.ebay.co.uk/itm/127606959301?_skw=iphone+13+pro+phone&itmmeta=01KJXJMQW1VZHN8631EPXHJ3MM&hash=item1db5f7acc5:g:oUYAAeSwdOFpXLXQ&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDfv36CMuIy%2BO1KC%2BRr%2FeoOoakJwGG0Nw7GqY%2BFSDRB7vZ6TthiBgQqd44Q5eP2sytpfSOq9OTdwEnEcd5i5fzxpNdRYLaqiU6F5RqsXIqy%2F5ldmeSvMSPHOQ5nAGcrRbbMCV6T3AQteC9eKbtGzSLkmDgiliWipyP0FZjzqmx%2Fnz87YMmUDFr9D7owSwD9gEAVOykmoXdBzC9vCzSItOeCw5zHEfoeLhKBTDhTSPNIkEdmYh0bCYXLHvZ87Gw200oA2jaUtrp%2BlmM7UefSn%2FFFmcAqwfevAGb7hRWBJ6U8Sw%3D%3D%7Ctkp%3ABk9SR5b_0rKXZw
Case For iPhone 16 15 14 Pro Max Plus 13 12 11 7 8 Clear Cover Shockproof Phone,,£0.99,Free delivery,4 Mar 2026,0,Brand new,https://www.ebay.co.uk/itm/397629695974?_skw=iphone+13+pro+phone&itmmeta=01KJXJMQW1WMA7N9W0EWCPYVJC&hash=item5c9493a7e6:g:j1wAAeSwbFlpl6I4&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDVWx3MPvYfoXPGXF%2Ba%2FXQdabilPBgYX%2Fn6K%2Ft0Xut6FsdinxiNWbqHMuNnLbHB6aDX6XsijgA2zvXk3u7wmYz%2BLP%2BP1MGRn00Bg6WjvQp%2B4LKBrg%2F2Q2oaotFj662FE%2B%2BKW0LrGDjsQuTYAyyauT3pqS4w9fvVqwb5RbvDspeE14WByqxsUF8%2FCXUoNORsOSeQO94tM5RbFsAlNheGcxjzm3uyge4CcJMvWasLnjxW6hRNPzLyRhPtGh9YIwVaDGI1JaPRfAAH6K2nMzu8gZ9zOZrpw1CaXchibj5zJNL5vA%3D%3D%7Ctkp%3ABk9SR5b_0rKXZw
BLACK Case For iPhone 17 16 Pro Max 15 14 Plus 13 12 11 Shockproof Phone Cover,,£0.99,Free delivery,4 Mar 2026,0,Brand new,https://www.ebay.co.uk/itm/135443359031?_skw=iphone+13+pro+phone&itmmeta=01KJXJMQW16JBWDJRT2RJ3MBFB&hash=item1f890da537:g:l2AAAOSwGQVnXrH2&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xD7pghL6rBDkBieijUcSeMjawc0oJ9il4YdOhJVDrIoskq%2BYtOYeC2qpc7XL7dUO2Sd6vVpPpXO3mJfLoPToKX%2BLwLDE%2BDTQ4oE0G11nTG22zGiewH23%2BzRqis%2FHCG1%2FQt99mVaeG%2F0KNHbv1aVa9v31ezXfa3iVhQ5UnA%2F9t3%2BmdaqCggYFW7pVkBvK2VFPfyPsWw7XL%2Bmpe%2Fjd0lHgATbb%2Fa4uJjUC7avFGPuk%2B8jxUWAjoM5zniqZWMdqFX4QwiueVBHFkI0hnsRrVmx8IHJLTRStaxWRDcGE3CeFbaB6A%3D%3D%7Ctkp%3ABk9SR5b_0rKXZw
Case For iPhone 17 16 15 14 Pro Max Plus 13 12 X Shockproof Silicone Phone Cover,,£2.99,Free delivery,4 Mar 2026,0,Brand new,https://www.ebay.co.uk/itm/115855412673?_skw=iphone+13+pro+phone&itmmeta=01KJXJMQW2ASAXVTJMCM3SY5BB&hash=item1af9854dc1:g:vg4AAOSwbVJmmFsD&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDo6naVeTOLS5UR7gkYovIEuuJfT3yhf%2BzgPYUAJdccD4SL%2FrHvfFUBjFdZSQqaD0uYPHe4qUrEAp%2FTdMPxHdk6LOjqBDqHXPq46iMbX3%2FpgRcaOKuKOW5%2BKGoY2R9dO1%2Fvewc%2FWDLrV8Bo8g6O02TutLt539G%2F7MPswnhXGaU8g63YnxYm5qIdVG95STl0lZA1ytqA11VcbAiH%2BmentLrXDtEqCRiPBTaP3QBo%2FRTwWxv0JTUfftgOgJeDWqAR%2BqWlHZ6OkvyyF6ZEwAXPZ1mtm9UCQ%2FXyJO2%2BHdzHzi3SrA%3D%3D%7Ctkp%3ABk9SR5b_0rKXZw
