title,model,price,shipping,date_sold,days_ago,condition,url
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Vintage Scully Tan Suede Fringe Western Jacket Size S Rodeo Cowboy Boho Leather,Leather,£34.99,+£4.06 delivery,6 Mar 2026,0,Pre-owned ·,https://www.ebay.co.uk/itm/267556738552?_skw=leathr+jackets&itmmeta=01KK1T4PN7NNNSQH86EQZ33CJ0&hash=item3e4b9fd5f8:g:gdoAAeSwlE9o1VUo&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCxDo%2BxS31QBL0%2F%2BiQtj4SkGmRFCbiPulxaEvwToWl1EdHqQYOi%2BnmrYh3CmN43HJWm%2ByjXxk2eUVobKweCfgvTmQe6AlTHnaaxDaQMQRuSSa87z9eknD%2B4%2FVyhzt3wwv9AQ5vW14NjJiSp4l969OvjVQJKAC9S1yyJmOiZ1Q%2FVVOaFjRaoqcZvmRWm--CPZAvRiuc3JPEU65NK6yHwECdeXh40cawjg%2Bv6n4kHY7xR%2FJNP6PeV7UZyreJspoqmRx0%3D%7Ctkp%3ABk9SR9zskrqYZw
LAB Black Biker Jacket -100% soft lambs leather size M 10-12 REDUCED!!,Leather,£21.50,+£2.94 delivery,6 Mar 2026,0,Pre-owned ·,https://www.ebay.co.uk/itm/236617562607?_skw=leathr+jackets&itmmeta=01KK1T4PN7HG5MGKDAV2X348ZP&hash=item37178179ef:g:u-YAAeSwDXtpg1Ff&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xD3sjrFjc7wf7epaQ0z86znDkOOBJk6pR3qIirS9gvMf9r6pjJ0fYWjRFgegQpI9WsCc2I93NHy6%2BfwGmyyXWR7WEPFTaKEHryKJHNN8WUpXdQU2rXbFYaptSX0OYPF9V4%2B7UJlRcGZSIk3J0NEA551KYTtwgJ03OhcinQblsBTz3qhE1rG0F7z5Y1lTJCYPYmCHEqBB%2BP%2BB4vbDMUIwK9XN6tko5MbNWsA24Y7LxydGF3BG%2BTrgDt4F3yWX%2BQD%2BDU%3D%7Ctkp%3ABk9SR97skrqYZw
Vintage Gap Black Leather Blazer Jacket Women's Size XS UK 6-8 Y2K 90s,Leather,£36.58,+£2.94 delivery,6 Mar 2026,0,Pre-owned ·,https://www.ebay.co.uk/itm/136969336631?_skw=leathr+jackets&itmmeta=01KK1T4PN78171DT7895ZB47Z0&hash=item1fe4023737:g:SosAAeSwZ41pcSJc&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDfmN29yvkRw3jOdDz%2B9e3GotGA%2Ff7zgwQJvxQLUM6p5FdAIZFjd3kN7xwHUabbqxSlwTMPe6IKUIydYODz47EeUxqyBNes2Ls%2BXeYIDDkZ1UyVlRl4SQK1%2FUofXI7%2F2wKiFZoFeZqWVPPsqfg5vWbvdWaRecDunFJ0tUZEcjEJ1zB64hmGN9F8DjfoTOayyAEw3ym2pXhb3GZQqRG5rxyGxKQkCW3J4vCxabdkQX9eKJ%2BIEPKkIZ1%2FjgG09WcMN4Q%3D%7Ctkp%3ABk9SR97skrqYZw
VINTAGE GAP LEATHER JACKET WITH BLOUSON STYLE SLEEVES SIZE MEDIUM,Leather,£19.29,+£3.38 delivery,6 Mar 2026,0,Pre-owned ·,https://www.ebay.co.uk/itm/198146571831?_skw=leathr+jackets&itmmeta=01KK1T4PN78MHWSCCXR67H3P47&hash=item2e2274be37:g:G5oAAeSwmxlppEkF&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAoAb6BKSx0gykfT5T5bK3KNQUOQ11OY4SSOEKSECN3ksThOStqTrRqFEcDq%2BKpvAu2mIjlp7L%2FmL0AN2W1dRxdUO9ZOa0krLw5n1o8uOeIjArk9%2Bzt58y63e07L2JMW9zvJZoFWVPiN3TASAo671WPj1BaY%2BicgTenCvgXCAF2LfssD8v7rMgSMbITURLuYG5Oo7myxqtzCbo0X6hvz1bf22IfBfnZpdUPPiRwZq9Y5Cb8m7iU2Ay%2BHfQmShEZZst4tQ6ibWV18QmlSDaD4MOYvRMkykISYWKkji669Qt6aA%3D%3D%7Ctkp%3ABk9SR97skrqYZw
Brunello Cucinelli Beige Chamois Peplum Jacket IT 42 | UK 10 | US 6,,£387.19,Free delivery,6 Mar 2026,0,Pre-owned ·,https://www.ebay.co.uk/itm/204186376592?_skw=leathr+jackets&itmmeta=01KK1T4PN76N4XZNT81MJ9WMBH&hash=item2f8a74d990:g:1ogAAOSwugRjma-6&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCnSJelb4nw80sqbOPG4%2B02I8dRPLYqO4%2FI2bxjSn5N10PIe562jGBZk%2BDD7C2OzwOZTgVRAmSRniKUYROeV0GeWKFMDI6gZtn5IqD2aG4CT0hEAqHs04LQFOmWom2NsMXKmO7fu8fmgd5MIT5R%2BH17QXzgsyfatGXZKi39NV2cld5x8W7ka%2FX0R%2FY60VJoDVea9Lpo61F2OuyFCZAAQW5jJ1H5IrepYbQsgeuH1bk%2BEWszl%2Bddgwh4s7iIJgNAxx%2FErYzOC0f7coWr1djJOAcsUIgHShyGjzIzz3%2Fi8VaQSA%3D%3D%7Ctkp%3ABk9SR97skrqYZw
Skintan Black Real Leather Bike Jacket Women’s Size 32 Excellent Condition,Leather,£10.69,+£3.71 delivery,6 Mar 2026,0,Pre-owned,https://www.ebay.co.uk/itm/397663747096?_skw=leathr+jackets&itmmeta=01KK1T4PN7H1EYR4VPHVCA7JTA&hash=item5c969b3c18:g:BmcAAeSw0ihpGyVt&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCUnje0LkjvFBe3wfPlEOBfnS88%2BCzB7ruYHZ%2BANKq96xnH2LQZQUCCEFhubahNp%2FOoHKmLRKhwFm9t20tS5uy2b%2FZ1PYUHTDs4spnBJicD%2B0YbEKRR%2Bp6qSIBfzZzbvgzKmlauIzsfzFKt%2FFUY1Dit58%2FuOGN9fXy1QCEy2FmLvQ51zpTLCRqI6kqh20HZKFk1zxnUEyzdK88c2cwanZ%2Blm3KcJhj%2BUAbV7EHkMc2ErEEg7HJWd1lK0d%2BkOatQN7o%3D%7Ctkp%3ABk9SR97skrqYZw
"Ridex Leather Motorcycle Jacket, Large size",Leather,£24.25,+£5.21 delivery,6 Mar 2026,0,Pre-owned,https://www.ebay.co.uk/itm/188052335162?_skw=leathr+jackets&itmmeta=01KK1T4PN7PFX25DVNASXYVJF7&hash=item2bc8caea3a:g:Ln4AAeSw3~Fpjc4F&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xB8ictw5dBKbDzw4AJRr8%2FoeW97Vw%2Faf10HGUxIFOB6JkTFiirXHmif%2FCIf4KygkuQQEk4Ioz6D%2BJbRuZEOfTjhZ9%2Bitu5LZvMp6Xl210lgYr0LOS%2BeMRR7Mppiz5WhLg5lZXzFzZvkgiy6rV%2BFdbfTncyUSDjVfcfSzvnVJfw%2FLOMdY2UQz%2B0TvNNn1VZUmR%2BEEZEoixO%2FCigfYZLotnj4Ud6XjpBT8SSFchGPfwS68cJ%2FXOHPeXKJ6YVLEJvxQ8AUOOq6V%2Fa1bid36RGaKp4wdlCFMIBqtLIrk%2B0Aw0HOMA%3D%3D%7Ctkp%3ABk9SR97skrqYZw
TIMBERWEAR Rodeo International Tan Brown Leather Men’s Jacket S Vintage,Leather,£21.50,+£6.65 delivery,6 Mar 2026,0,Pre-owned ·,https://www.ebay.co.uk/itm/127408104388?_skw=leathr+jackets&itmmeta=01KK1T4PN7V3SS1EF4B61DYEZA&hash=item1daa1d63c4:g:EQEAAeSwqPlo3liF&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAAJU7nBr4a%2BFz76AAv2kgvpnyQVa%2BiFqiJFwQ24BCNUUR%2B%2BdqasODG07zMNFidtbcNEpZE9b0DB29ZQ%2FVuRKUUM6hKZLhvMngAVzNJxkClV36GFkpFgjTNudBwWtWzaZ5v1uz7ZCJODAb3kOY0KL5zPNCGrlukRbVt%2BuI0ClFAjys0Td8jWYAdhS46UJ7TPpjdgwemKAvF%2Fmw3bjD7AXvQKyevqqNnHeHHIyhDG55%2FlrO0dEJHyyCagHCrAmSpR2g%3D%7Ctkp%3ABk9SR97skrqYZw
