platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
ebay,v1|397721827320|0,Montbell Jacket Men’s Medium,206.62,GBP,Pre-owned - Excellent,,,4hd8r_21,GB,,https://www.ebay.co.uk/itm/397721827320?_skw=Montbell+Jacket&hash=item5c9a1177f8:g:1DMAAeSwciBpuCpG,,2026-03-16T23:26:40.281493+00:00,Montbell Jacket
ebay,v1|406773358082|0,Montbell Ex800 Men’s Puffer Jackets Black Size M Brand New with Tags,89.10,GBP,New with tags,,,rusboa0,GB,,https://www.ebay.co.uk/itm/406773358082?_skw=Montbell+Jacket&hash=item5eb594de02:g:lHsAAeSwTkFpuCfo,,2026-03-16T23:26:40.281523+00:00,Montbell Jacket
ebay,v1|389756674293|0,Men’s Montbell Storm Cruiser Jacket - Size M - Excellent Condition,156.70,GBP,Pre-owned - Excellent,,,ben_22_vr46,GB,,https://www.ebay.co.uk/itm/389756674293?_skw=Montbell+Jacket&hash=item5abf4ee0f5:g:CI0AAeSwZzRpt~hT,,2026-03-16T23:26:40.281538+00:00,Montbell Jacket
ebay,v1|188168498609|0,Montbell Thinsulate Insulated Jacket Grey Black Full Zip Outdoor Hiking Size S,52.69,GBP,Pre-owned - Good,,,ga-319810,GB,,https://www.ebay.co.uk/itm/188168498609?_skw=Montbell+Jacket&hash=item2bcfb76db1:g:ZLMAAeSwYs9pt8d8,,2026-03-16T23:26:40.281543+00:00,Montbell Jacket
ebay,v1|188168451574|0,Montbell EX800 Gore-Tex Down Jacket Black Size 100 M/L Vintage Techwear,135.89,GBP,Pre-owned - Good,,,ga-319810,GB,,https://www.ebay.co.uk/itm/188168451574?_skw=Montbell+Jacket&hash=item2bcfb6b5f6:g:E-YAAeSwMcVpt8U1,,2026-03-16T23:26:40.281548+00:00,Montbell Jacket
ebay,v1|188165718199|0,Montbell genuine EX 800 down puffer coat jacket in deep blue,33.98,GBP,Pre-owned - Good,,,mill_vintage,GB,,https://www.ebay.co.uk/itm/188165718199?_skw=Montbell+Jacket&hash=item2bcf8d00b7:g:jksAAeSwwXdptvGy,,2026-03-16T23:26:40.281562+00:00,Montbell Jacket
ebay,v1|177963016656|0,Montbell Men’s Windproof Jacket Red Size XL,52.70,GBP,Pre-owned - Excellent,,,eastldnvintage,GB,,https://www.ebay.co.uk/itm/177963016656?_skw=Montbell+Jacket&hash=item296f6c21d0:g:ylMAAeSw6IJptsQq,,2026-03-16T23:26:40.281567+00:00,Montbell Jacket
ebay,v1|236689729258|0,Montbell Plasma Ultra Lightweight Down EX1000 Men’s Puffer Navy Jacket Size S,104.70,GBP,Pre-owned - Excellent,,,japo2088,GB,,https://www.ebay.co.uk/itm/236689729258?_skw=Montbell+Jacket&hash=item371bcea6ea:g:FHkAAeSw20xptqlo,,2026-03-16T23:26:40.281571+00:00,Montbell Jacket
ebay,v1|236689724846|0,Montbell Plasma Ultra Lightweight Down EX100 Men’s Puffer Navy Jacket Size Small,104.70,GBP,Pre-owned - Excellent,,,japo2088,GB,,https://www.ebay.co.uk/itm/236689724846?_skw=Montbell+Jacket&hash=item371bce95ae:g:3pIAAeSwo~lptqgS,,2026-03-16T23:26:40.281576+00:00,Montbell Jacket
ebay,v1|257406030162|0,🧥 Montbell Women’s Cloud Padded Jacket Red,38.50,GBP,Pre-owned - Excellent,,,vintagecs2024,GB,,https://www.ebay.co.uk/itm/257406030162?_skw=Montbell+Jacket&hash=item3bee985152:g:w2MAAeSwOt5ptPRt,,2026-03-16T23:26:40.281645+00:00,Montbell Jacket
