title,price,condition,date_sold,url
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Montbell Dark Blue/Navy Down Puffer ‘EX800’ - S,125.00,Pre-owned ·,Sold 16 Mar 2026,https://www.ebay.co.uk/itm/376968867045?_skw=Montbell+Jacket&itmmeta=01KKWFR3FFRJP13GTGDAT82CZS&hash=item57c5186ce5:g:~RkAAeSwemNpgNsy&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAmc43NxW4ekYXG8fIy2UIwQGgG2S4o%2BDhDlRi%2BTrDSnmJZJov1DQkBVS5XcDJuFrhqRka4bkLM%2BRQ9f65wpEyi7UfEtS4IjqVWWEymeWHj9rFhp1NrmYtrVEDzfxNHC5D7oJr%2BktZ5ovNxPo3c%2FGOGUR7q0pGqaBHNEgV5Pe6GUgCSnuEaUfp0qWRpZF1bs85TA22WLlsv%2F9RYplikqYe3jwBnX1jp7FcBZUeSwD9HIzVvOOFGC0aWIkGQA6fONRQ%3D%7Ctkp%3ABk9SR4644I-fZw
Montbell Plasma EX1000 Ultra Lightweight Down Men’s Puffer Jacket Size Large L,104.70,Pre-owned ·,Sold 16 Mar 2026,https://www.ebay.co.uk/itm/236689733964?_skw=Montbell+Jacket&itmmeta=01KKWFR3FGPPRPV58JXJSQBDRC&hash=item371bceb94c:g:G5IAAeSwfKFptqpI&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCSkz227tNFqEKStxD00ArJ%2FmIWgPrkllSvxP13sj4zzYu2Z3cqC893iLWTT0LSMlv3qXWT67PCHOLsYt8g6gnp3vq%2Fu2eSRqqoaNWrucT3A2vfhzMAAMCNsSjx2%2FVQZXX4dLUCKLtWKbQSfPjCRlWUPSqwgfDyQqfxS71ypNXnecYXs69YY4FdJMGLxfQd1jtxAa2nUFA8gL4jul3q9q%2FhlKa5w06S4BigrfNU3Sw1CquIo8f7AoO6x8fcACO3btAaJofh7rabhqFgKkf8%2FgHmeioA5TZ7Ctk13E10Zr3Mjg%3D%3D%7Ctkp%3ABk9SR4644I-fZw
Montbell waterproof jacket size M rain trekker hiker jacket in blue nylon thin,46.46,Pre-owned ·,Sold 16 Mar 2026,https://www.ebay.co.uk/itm/298089517314?_skw=Montbell+Jacket&itmmeta=01KKWFR3FG2H426XJP2NEB3SEF&hash=item4567851102:g:7soAAeSwZQRpqKGe&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xChOU0ArodRIXeEQxcxT%2B%2F4bXgJO%2BxOv1fgfZKyiHxwW5n5ZtPvURPqlrD%2FREPm0OO167gSBMH9jMAxsntFA1SW0rhNRvOIu3nrdcFgpnYsMOy36R28asqjTFqqJnIJvfR7WUIZMVb1yyV6wf1A7V1pLhsDOLnnbgYaMR5cAczKdK7oa8GNWrmycxnNFlRMXPivLhAznReOo4fQxOul0RT9ccLqWd7iOItx4ZQclggovppoI4dUhn2EjMbnUQ8oALU%3D%7Ctkp%3ABk9SR4644I-fZw
MONTBELL Green Lightweight Windbreaker Jacket Size EUR L,22.98,Pre-owned ·,Sold 15 Mar 2026,https://www.ebay.co.uk/itm/206113128457?_skw=Montbell+Jacket&itmmeta=01KKWFR3FG6QR15R9PAF4PZDFV&hash=item2ffd4cc009:g:fkcAAeSwHGNpjyeJ&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBrPK%2FknqM1IuF%2F35pmatsu34%2BHsCqM3oHGq8hUG%2BqQrmDBzSb6LxJ9mkDAlxxGVB2kxrGzuTIfWcIxXVGkgEqFOs93Sz%2FM%2Bt4FIu%2FtvsPx0J9roeJWC6mWpnA12gSc53yBr7F9N8Pb4cfRiYmBDZHj90J480LgdYhJX3uZbG9jwDgfzuRHy2s2yrpPO45D6L%2F%2BdlnCb3jctn0u44ZETDydiN6f%2F4QFb1zwWnjjyupemtILxOUDxDA9xglIz%2FUL9XF%2B771WVaurlHgdd0F5%2BNx55BBWfzDYL2cUsOFemNK%2FUg%3D%3D%7Ctkp%3ABk9SR4644I-fZw
Montbell Men’s Lightweight Down Jacket – Size M Dark Navy – Barely Used,31.04,Pre-owned ·,Sold 15 Mar 2026,https://www.ebay.co.uk/itm/298101492643?_skw=Montbell+Jacket&itmmeta=01KKWFR3FGHN7T6W53KXE10210&hash=item45683bcba3:g:kHAAAeSwUappraig&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBIbkYS%2BCm%2B10DuaJeZb%2Fu5BcE8ELoZWdrdg15YiYEamwHetkbzxuhjSKglkUznv4la4fWV70kTu4CMQEW4tn8H69nnriY3a6gbSfCBvtnYMJGK80g53gPyTyl%2B8Nka5SsRkEV2TPw%2F0KhIKz%2FaG0vhG1TOQDBPXhur7oTJnyGlEXRiyRfBfjISLrivKM%2Fy11uJ5onYH%2BXJZIvyZwop%2BlOW%2FqubYLOf%2BXgEcEVKg6KqL3tkzK%2BRO9QQxIY1x6FmL0t75EVtNzOYxfaDSBQwtJxDXqFw3puW%2FiifXp8HVRxYqg%3D%3D%7Ctkp%3ABk9SR5C44I-fZw
Montbell Alpine Light Down Parka Puffer Jacket - Brown - UK Medium - RRP £320,89.10,Pre-owned ·,Sold 15 Mar 2026,https://www.ebay.co.uk/itm/198166532097?_skw=Montbell+Jacket&itmmeta=01KKWFR3FGXZC33CC6PA5QT4SF&hash=item2e23a55001:g:ZCwAAeSwRaFpc1HB&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDNG9QzcLhRhWZHowm6Wkn30fB1PeK%2FozxK6P7fCTIFjpydeePKmWN5TrIvX09B0NNaHqu0ykO%2FdJRNQaDn1YnvL5vxGVgQW4XPf8gHZ0Bue35qdg0Sb1LCAqTivvWQg4F%2B6Bb7iK1wPgul2%2Fp1OXvM4fhL61Lbaqh20iSet8%2BA%2BrWU94n5W4Snu2Jh8LeZSLMCiVbhweDNXIyCFCE5Ogc3Gvik5vuNtXXTFL%2FYUF0OjPZy%2BUckPuIgFe20NtC64n8vq5aBY8xJy67VmR6snOmW6FogaRu7VwH049SmiIdDqA%3D%3D%7Ctkp%3ABk9SR5C44I-fZw
Montbell Men's Puffer Jacket Size XL,54.99,Pre-owned ·,Sold 14 Mar 2026,https://www.ebay.co.uk/itm/317985538603?_skw=Montbell+Jacket&itmmeta=01KKWFR3FGY4BBSHYHAZ7BT54D&hash=item4a096a422b:g:LGYAAeSwKL1psWMC&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCv7qrGLmCvsnzzrI9vNSle6gSdWAMmFtVsZMH5yZo74vTzDfhingRm3ziLj0y1b5mrGqQKPo9o1cpVuqPyg3X%2FY9gWelrLCUOQAjqS01J8nWWeiZLh4qr13ixLkbFzK9%2Fny5%2Fe4YJz03KfhxpMQonbItFj2EknjGXcpu%2BRwNYBiAHaBzC4TtB6yXPjxshsRCgLVQVECF0lZPI39q7HVz%2F39uzD64d3WXUsCrNwu7SaanIfw9muKfj2ZF7tsPjkk6aaymfFtgiRQqBTklhPEGj--HwJCBRam2kKI5NZQAi7hA%3D%3D%7Ctkp%3ABk9SR5C44I-fZw
Montbell Men’s Puffer Jacket Size m,73.50,Pre-owned ·,Sold 14 Mar 2026,https://www.ebay.co.uk/itm/177884425192?_skw=Montbell+Jacket&itmmeta=01KKWFR3FGERDEH7ND9FQWQDQ5&hash=item296abcebe8:g:6l0AAeSwum9pmzRq&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xB5GFqYLHhhcTf%2FsI7rod3doi45lEWLCyTe4eIEkmceoPvgPhZ0EqsKgjb9SyfJQ1EuRfzZ%2B5XIcgAqHuIquMIy%2BND1WwF7VsxM58yhPTLOkZ7Su6cpxgifgKgfxrjmTtiMu2W9IhM%2FAlGlFZFMWhqpY%2BcL5o1c6gXQjPoE2HR%2FZGDMNhJ%2FRYyhHK2S31Wm%2FIILoLxsue0cgUe%2BfmiqaCNwLm5z8%2FquKLYZEzQgXJEOGKPQDChLyiD0xRw2xDg7LgGbwSMnMED104GQKobZ%2Fcox%2Bxad7glg9hzpzDItrIUoUw%3D%3D%7Ctkp%3ABk9SR5C44I-fZw
