platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
vinted,8414667369,Montbell navy jacket,65.0,GBP,Very good,Montbell,S,woodwarde,,https://images1.vinted.net/t/06_0244b_VcnjgMhZvqHZS4wfM3Nyh16R/f800/1773701018.jpeg?s=d7870690f23b6340301823e070e1c1754b2ab5d3,https://www.vinted.co.uk/items/8414667369,,2026-03-16T23:26:48.794250+00:00,Montbell Jacket
vinted,8414642095,Montbell Superior Down Parka Puffer Jacket Men's XL,80.0,GBP,Very good,Montbell,XL,sianlaa,,https://images1.vinted.net/t/06_01465_9hvrbSxvbJVMdUBHURFRdbbw/f800/1773700546.jpeg?s=6669d203791d50b7b4a4e96af3986b9e32fb7f1c,https://www.vinted.co.uk/items/8414642095,,2026-03-16T23:26:48.794253+00:00,Montbell Jacket
vinted,8414561839,Montbell EX800 jacket - M/blue,147.5,GBP,Very good,Montbell,M,bountybuys,,https://images1.vinted.net/t/01_024bf_MqKCSHBDrYPHkkvBwKvGkEFT/f800/1773698989.jpeg?s=a7d0588bedbf73c5a3678576800cb2141311ca09,https://www.vinted.co.uk/items/8414561839,,2026-03-16T23:26:48.794262+00:00,Montbell Jacket
vinted,8414524809,Rare Montbell ex800 jacket - size M,135.0,GBP,Very good,Montbell,M,bountybuys,,https://images1.vinted.net/t/05_01de2_3xNwxRZJWDpfs2XzUcSqtFv2/f800/1773698424.jpeg?s=ee5c6b915996c3ac2a74bac03041b40843502ebb,https://www.vinted.co.uk/items/8414524809,,2026-03-16T23:26:48.794274+00:00,Montbell Jacket
vinted,8412563921,Montbell Blue Patterned Water Resistant Technical Jacket Coat,62.0,GBP,Very good,Montbell,L,ashtonsarchive,,https://images1.vinted.net/t/06_015f4_TzK1EhYYCTrXQ9D7xmHVYQjL/f800/1773686779.jpeg?s=67a16b2d121b63524b244d34322e61929d44e422,https://www.vinted.co.uk/items/8412563921,,2026-03-16T23:26:48.794352+00:00,Montbell Jacket
vinted,8412911249,Green Montbell Puffer Jacket,75.0,GBP,New without tags,Montbell,S,enzoresells,,https://images1.vinted.net/t/06_00a34_yUxHdKpRqrAcomDpGMExUMSq/f800/1773685536.jpeg?s=845aa20b11ffae53f6c3b79e4571ef8478a5c25f,https://www.vinted.co.uk/items/8412911249,,2026-03-16T23:26:48.794433+00:00,Montbell Jacket
vinted,8412556944,Montbell Black Water Resistant Lightweight Technical Shell Jacket Coat,75.0,GBP,Very good,Montbell,M,ashtonsarchive,,https://images1.vinted.net/t/05_00b06_wEjjufTiy2ykaq3UjSaG2LR7/f800/1773684169.jpeg?s=0230c465ea1e61aa02d5c1bd3309c53671923dbb,https://www.vinted.co.uk/items/8412556944,,2026-03-16T23:26:48.794441+00:00,Montbell Jacket
vinted,8395582121,Montbell Alpine Down Parka Puffer Jacket Size L Black,165.0,GBP,Very good,Montbell,L,foundbyelvis,,https://images1.vinted.net/t/01_001a5_qzs3TfwspVSMnGKAePLQyA7W/f800/1773522120.jpeg?s=b366eaba0303811970c9dd32a6a712be2c63163f,https://www.vinted.co.uk/items/8395582121,,2026-03-16T23:26:48.794450+00:00,Montbell Jacket
vinted,8410444621,Montbell puffer jacket,50.0,GBP,Very good,Montbell,L,thelilyden,,https://images1.vinted.net/t/06_01b32_SLe8rnEiNZwqz3C2YHZZyEMn/f800/1773670848.jpeg?s=e6e8f5a9f8c3a3df658ef6979c3c01327661a7f2,https://www.vinted.co.uk/items/8410444621,,2026-03-16T23:26:48.794482+00:00,Montbell Jacket
vinted,8409980141,Montbell lightweight smock jacket,60.0,GBP,Very good,Montbell,L,sham218888,,https://images1.vinted.net/t/05_025d6_PUYzN7pPfx2BnNp7AJr3wBdH/f800/1773668053.jpeg?s=1fa4161e2f8abcfc38fd65d40430e709492a3a53,https://www.vinted.co.uk/items/8409980141,,2026-03-16T23:26:48.794485+00:00,Montbell Jacket
vinted,8407693451,Women’s Two Tone Montbell Goretex XCR Ski Jacket,85.0,GBP,Good,Montbell,S / UK 8-10,sidetrend,,https://images1.vinted.net/t/05_004c4_yV4EJiEi6h7EFLfg4EKG3pVe/f800/1773652544.jpeg?s=c880f572aae77414974a6087c60ad07d2585e2e9,https://www.vinted.co.uk/items/8407693451,,2026-03-16T23:26:48.794493+00:00,Montbell Jacket
vinted,8407271647,Montbell Climaplus Fleece Jacket – Size L – Ivory White – Made in Vietnam,45.0,GBP,New with tags,Montbell,L,pleural31,,https://images1.vinted.net/t/01_00958_SjZC4bxnCmRyW6utHqPtXR3i/f800/1773648105.jpeg?s=8961a023aabd0145c53beb84cef2dd4b8bd138e0,https://www.vinted.co.uk/items/8407271647,,2026-03-16T23:26:48.794503+00:00,Montbell Jacket
vinted,8407259442,Montbell Climaplus Fleece Jacket – Size M – Navy Blue – Made in Vietnam,45.0,GBP,New with tags,Montbell,M,pleural31,,https://images1.vinted.net/t/06_016e4_KnPRZ5jYZWqkzmuW1JYuBpk6/f800/1773647934.jpeg?s=e277222c9307a5be087b22e592a431f07de2bf29,https://www.vinted.co.uk/items/8407259442,,2026-03-16T23:26:48.794506+00:00,Montbell Jacket
vinted,8406908228,montbell puffer jacket black size medium,36.51,GBP,Very good,Montbell,M,lituf4ofa,,https://images1.vinted.net/t/04_00b36_mkbYaVmPexAzJHuYaETaBFYX/f800/1773635334.jpeg?s=0890af59efdec3a03f74ce253cae968db83ad657,https://www.vinted.co.uk/items/8406908228,,2026-03-16T23:26:48.794514+00:00,Montbell Jacket
