platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
depop,wesroberts-montbell-green-ex800-puffer-jacket-4d94,Montbell Green Ex800 Puffer Jacket,68.95,GBP,,Montbell,,wesroberts,,https://media-photos.depop.com/b1/417528730/3479915077_5dbf6b60b1c44366980f3b607629e0e9/P10.jpg,https://www.depop.com/products/wesroberts-montbell-green-ex800-puffer-jacket-4d94/,,2026-03-16T23:30:12.813959+00:00,montbell puffer jacket
depop,ab_officials-montbell-black-puffer-jacket-m-ad47,Montbell Black Puffer Jacket M,63.69,GBP,,Montbell,,ab_officials,,https://media-photos.depop.com/b1/299656466/3462973305_13177f59b2f346e4947ac14f430f9a53/P10.jpg,https://www.depop.com/products/ab_officials-montbell-black-puffer-jacket-m-ad47/,,2026-03-16T23:30:12.814011+00:00,montbell puffer jacket
depop,jeresell123-orange-mont-bell-puffer-jacket-d5f1,Orange Mont Bell Puffer Jacket,63.70,GBP,,Montbell,,jeresell123,,https://media-photos.depop.com/b1/41133355/3492242214_004f1e31689844b0a203afb04d449a2a/P10.jpg,https://www.depop.com/products/jeresell123-orange-mont-bell-puffer-jacket-d5f1/,,2026-03-16T23:30:12.814021+00:00,montbell puffer jacket
depop,phaseo-montbell-green-puffer-jacket-800-4de1,Montbell Green Puffer Jacket 800,74.20,GBP,,Montbell,,phaseo,,https://media-photos.depop.com/r1/4589016/3495798807_39e13d9973bb44ca8a371ee74259c4e3/P10.jpg,https://www.depop.com/products/phaseo-montbell-green-puffer-jacket-800-4de1/,,2026-03-16T23:30:12.814060+00:00,montbell puffer jacket
depop,ollietompson-green-montbell-puffer-jacket-size-e2b3,Green Montbell Puffer Jacket Size,84.70,GBP,,Montbell,,ollietompson,,https://media-photos.depop.com/b1/33493129/3514235674_10545db51d1e4cecba5b9732adab076c/P10.jpg,https://www.depop.com/products/ollietompson-green-montbell-puffer-jacket-size-e2b3/,,2026-03-16T23:30:12.814065+00:00,montbell puffer jacket
depop,olliecrooke08-montbell-blue-puffer-jacket-size-b5cf,Montbell Blue Puffer Jacket Size,64.75,GBP,,Montbell,,olliecrooke08,,https://media-photos.depop.com/b1/39127954/3444395167_14e42213ab7b4f5397a20fd4e6c9b80c/P10.jpg,https://www.depop.com/products/olliecrooke08-montbell-blue-puffer-jacket-size-b5cf/,,2026-03-16T23:30:12.814113+00:00,montbell puffer jacket
depop,fussyarchive-montbell-puffer-jacket-l-khaki-753f,Montbell Puffer Jacket L Khaki,147.70,GBP,,Montbell,,fussyarchive,,https://media-photos.depop.com/b1/39031779/3427076486_e25365526b824786956c3ad054a31d05/P10.jpg,https://www.depop.com/products/fussyarchive-montbell-puffer-jacket-l-khaki-753f/,,2026-03-16T23:30:12.814128+00:00,montbell puffer jacket
depop,styledbyestela-montbell-puffer-jacket-ex800-size,Montbell Puffer Jacket Ex800,137.20,GBP,,Montbell,,styledbyestela,,https://media-photos.depop.com/r1/441435861/3331207092_a1aa7b1ff16749aeb60c22667d10e110/P10.jpg,https://www.depop.com/products/styledbyestela-montbell-puffer-jacket-ex800-size/,,2026-03-16T23:30:12.814141+00:00,montbell puffer jacket
depop,olllieedd-tankhaki-montbell-puffer-jacket-medium,Tankhaki Montbell Puffer Jacket,63.70,GBP,,Montbell,,olllieedd,,https://media-photos.depop.com/b1/13882873/2318347129_a6598ce4bed449c2a7f8f3072c559584/P10.jpg,https://www.depop.com/products/olllieedd-tankhaki-montbell-puffer-jacket-medium/,,2026-03-16T23:30:12.814151+00:00,montbell puffer jacket
depop,nostal9ia_-montbell-genuine-puffer-coat-jacket-fd24,Montbell Genuine Puffer Coat Jacket,65.80,GBP,,Montbell,,nostal9ia_,,https://media-photos.depop.com/b1/33745593/3374418921_01484b802f51463fa9b1dbf7a65bb9c8/P10.jpg,https://www.depop.com/products/nostal9ia_-montbell-genuine-puffer-coat-jacket-fd24/,,2026-03-16T23:30:12.814166+00:00,montbell puffer jacket
depop,logan19jh-blue-montbell-800-puffer-jacket-abea,Blue Montbell 800 Puffer Jacket,147.70,GBP,,Montbell,,logan19jh,,https://media-photos.depop.com/b1/53428263/3382751381_7a590fba1a3448d2854489a7edc4790d/P10.jpg,https://www.depop.com/products/logan19jh-blue-montbell-800-puffer-jacket-abea/,,2026-03-16T23:30:12.814176+00:00,montbell puffer jacket
depop,kaspargoetz626-montbell-black-puffer-jacket-with-5505,Montbell Black Puffer Jacket With,68.95,GBP,,XS,,kaspargoetz626,,https://media-photos.depop.com/b1/245591712/3481794387_31b0c04b87364d028fa76a9c4fd9580c/P10.jpg,https://www.depop.com/products/kaspargoetz626-montbell-black-puffer-jacket-with-5505/,,2026-03-16T23:30:12.814205+00:00,montbell puffer jacket
depop,fin_cob-montbell-puffer-jacket-size-medium,Montbell Puffer Jacket Size,86.80,GBP,,Montbell,,fin_cob,,https://media-photos.depop.com/b1/22823323/2972910495_77bf99bb2255470d8f50ca2048e27c82/P10.jpg,https://www.depop.com/products/fin_cob-montbell-puffer-jacket-size-medium/,,2026-03-16T23:30:12.814224+00:00,montbell puffer jacket
depop,ferridaysvintage-montbell-down-filled-puffer-jacket-0156,Montbell Down Filled Puffer Jacket,105.70,GBP,,Montbell,,ferridaysvintage,,https://media-photos.depop.com/b1/526817/3418855963_6e57af243ec94a80ae4e94ee0d815772/P10.jpg,https://www.depop.com/products/ferridaysvintage-montbell-down-filled-puffer-jacket-0156/,,2026-03-16T23:30:12.814229+00:00,montbell puffer jacket
depop,cherleyfolk-montbell-down-puffer-jacket-fits,Montbell Down Puffer Jacket,87.85,GBP,,Montbell,,cherleyfolk,,https://media-photos.depop.com/b1/219579605/3344505459_6fc60ba4019140099568652e42b63526/P10.jpg,https://www.depop.com/products/cherleyfolk-montbell-down-puffer-jacket-fits/,,2026-03-16T23:30:12.814245+00:00,montbell puffer jacket
depop,froidvetements-black-montbell-puffer-jacket-seamless,Black Montbell Puffer Jacket,158.19,GBP,,Montbell,,froidvetements,,https://media-photos.depop.com/b1/45903787/3076029326_3bce206c3156471285704627b608198c/P10.jpg,https://www.depop.com/products/froidvetements-black-montbell-puffer-jacket-seamless/,,2026-03-16T23:30:12.814250+00:00,montbell puffer jacket
depop,coregarms-montbell-down-puffer-jacket-samenext-373e,Montbell Down Puffer Jacket Samenext,95.20,GBP,,Montbell,,coregarms,,https://media-photos.depop.com/b1/221394313/3389849165_55ac31fd387845629bf858bbb4d60373/P10.jpg,https://www.depop.com/products/coregarms-montbell-down-puffer-jacket-samenext-373e/,,2026-03-16T23:30:12.814255+00:00,montbell puffer jacket
depop,georgiehall99-montbell-puffer-jacket-mustard-yellow,Montbell Puffer Jacket Mustard,68.95,GBP,,XS,,georgiehall99,,https://media-photos.depop.com/b1/4622945/repop_3675900_2953709414/3100855901_b4d7cadd93ba40e78daaad19a7720f20/P10.jpg,https://www.depop.com/products/georgiehall99-montbell-puffer-jacket-mustard-yellow/,,2026-03-16T23:30:12.814278+00:00,montbell puffer jacket
depop,sortedvintage-vintage-montbell-down-puffer-jacket-ca87,Vintage Montbell Down Puffer Jacket,84.70,GBP,,Montbell,,sortedvintage,,https://media-photos.depop.com/b1/1978365/3532482867_329f16fc80154ed9b9931082568dd278/P10.jpg,https://www.depop.com/products/sortedvintage-vintage-montbell-down-puffer-jacket-ca87/,,2026-03-16T23:30:12.814283+00:00,montbell puffer jacket
depop,tackaberry-blue-montbell-puffer-jacket-size,Blue Montbell Puffer Jacket,76.30,GBP,,Montbell,,tackaberry,,https://media-photos.depop.com/b1/340622801/2933282522_b50eb68caa2d456d8ca778987ec2d3a8/P10.jpg,https://www.depop.com/products/tackaberry-blue-montbell-puffer-jacket-size/,,2026-03-16T23:30:12.814288+00:00,montbell puffer jacket
depop,studio__98-montbell-puffer-jacket-in-dark-7ca4,Montbell Puffer Jacket In Dark,95.20,GBP,,Montbell,,studio__98,,https://media-photos.depop.com/r1/3866625/3385056765_ab5827aeca5545a198885b12ff2a773a/P10.jpg,https://www.depop.com/products/studio__98-montbell-puffer-jacket-in-dark-7ca4/,,2026-03-16T23:30:12.814298+00:00,montbell puffer jacket
depop,graysstore-vintage-montbell-puffer-jacket-whitesilver-ish,Vintage Montbell Puffer Jacket Whitesilver,105.70,GBP,,XL,,graysstore,,https://media-photos.depop.com/b1/20611994/3274873205_c1d51b48b6984ecdb44790f2e22a7aa3/P10.jpg,https://www.depop.com/products/graysstore-vintage-montbell-puffer-jacket-whitesilver-ish/,,2026-03-16T23:30:12.814309+00:00,montbell puffer jacket
depop,offthepond-mens-montbell-puffer-jacket-feather-d982,Mens Montbell Puffer Jacket Feather,147.70,GBP,,Montbell,,offthepond,,https://media-photos.depop.com/b1/17806668/3374021924_e42f1a3e822743879181af4240a2c500/P10.jpg,https://www.depop.com/products/offthepond-mens-montbell-puffer-jacket-feather-d982/,,2026-03-16T23:30:12.814332+00:00,montbell puffer jacket
depop,msgsupplies-montbell-stone-grey-puffer-jacket-979f,Montbell Stone Grey Puffer Jacket,168.70,GBP,,Montbell,,msgsupplies,,https://media-photos.depop.com/b1/261724314/3365267225_60342fe77acc49b397879c0eb59fc9c5/P10.jpg,https://www.depop.com/products/msgsupplies-montbell-stone-grey-puffer-jacket-979f/,,2026-03-16T23:30:12.814337+00:00,montbell puffer jacket
depop,larr23ed-montbell-black-puffer-jacket-with,Montbell Black Puffer Jacket,94.15,GBP,,XL,,larr23ed,,https://media-photos.depop.com/b1/279659209/3123644723_12e46901299448da8a23a6db7510079e/P10.jpg,https://www.depop.com/products/larr23ed-montbell-black-puffer-jacket-with/,,2026-03-16T23:30:12.814359+00:00,montbell puffer jacket
depop,souceke2020-mont-bell-puffer-jacket-really-3219,Mont Bell Puffer Jacket Really,63.69,GBP,,Montbell,,souceke2020,,https://media-photos.depop.com/b1/231391498/3461846113_7cc79ac45687451183252334ac8096ca/P10.jpg,https://www.depop.com/products/souceke2020-mont-bell-puffer-jacket-really-3219/,,2026-03-16T23:30:12.814373+00:00,montbell puffer jacket
depop,depopcharlie_-black-montbell-puffer-jacket-winterjacket,Black Montbell Puffer Jacket,79.45,GBP,,XL,,depopcharlie_,,https://media-photos.depop.com/r1/38451398/3103851421_e5fa8f759f414f34b4cd8ba15aabae7f/P10.jpg,https://www.depop.com/products/depopcharlie_-black-montbell-puffer-jacket-winterjacket/,,2026-03-16T23:30:12.814378+00:00,montbell puffer jacket
depop,ferridaysvintage-montbell-down-filled-puffer-jacket-c83a,Montbell Down Filled Puffer Jacket,168.70,GBP,,Montbell,,ferridaysvintage,,https://media-photos.depop.com/b1/526817/3521534323_ab264b277826419e9914701821e5c2c3/P10.jpg,https://www.depop.com/products/ferridaysvintage-montbell-down-filled-puffer-jacket-c83a/,,2026-03-16T23:30:12.814392+00:00,montbell puffer jacket
depop,rowhstephens-montbell-square-stitch-puffer-jacket-f41f,Montbell Square Stitch Puffer Jacket,105.70,GBP,,Montbell,,rowhstephens,,https://media-photos.depop.com/r1/52163260/3437362425_1a5811fec0cf40a994579f2bd0e6c0aa/P10.jpg,https://www.depop.com/products/rowhstephens-montbell-square-stitch-puffer-jacket-f41f/,,2026-03-16T23:30:12.814397+00:00,montbell puffer jacket
depop,j3rttorm3y-montbell-800-down-puffer-jacket-a19f,Montbell 800 Down Puffer Jacket,98.35,GBP,,Montbell,,j3rttorm3y,,https://media-photos.depop.com/b1/281990191/3385575575_8c82a867679b4cf8b86f2d1af738632f/P10.jpg,https://www.depop.com/products/j3rttorm3y-montbell-800-down-puffer-jacket-a19f/,,2026-03-16T23:30:12.814421+00:00,montbell puffer jacket
depop,loose___threads-montbell-puffer-jacket-in-teal-4cc0,Montbell Puffer Jacket In Teal,68.95,GBP,,Montbell,,loose___threads,,https://media-photos.depop.com/r1/3866625/3129227825_41bb89f1101e4b02a7d2d853bac80f24/P10.jpg,https://www.depop.com/products/loose___threads-montbell-puffer-jacket-in-teal-4cc0/,,2026-03-16T23:30:12.814425+00:00,montbell puffer jacket
depop,loose___threads-montbell-puffer-jacket-in-grey-e1a4,Montbell Puffer Jacket In Grey,82.60,GBP,,Montbell,,loose___threads,,https://media-photos.depop.com/r1/3866625/3167967896_466754d1c25d4356bb573254c9364644/P10.jpg,https://www.depop.com/products/loose___threads-montbell-puffer-jacket-in-grey-e1a4/,,2026-03-16T23:30:12.814430+00:00,montbell puffer jacket
depop,epountain-green-montbell-puffer-jacket-pufferjacket,Green Montbell Puffer Jacket,109.90,GBP,,Montbell,,epountain,,https://media-photos.depop.com/b1/53705665/3215626432_11a95b7660aa46ab98737952eacc421c/P10.jpg,https://www.depop.com/products/epountain-green-montbell-puffer-jacket-pufferjacket/,,2026-03-16T23:30:12.814464+00:00,montbell puffer jacket
depop,fh7sells-montbell-streetwear-y2k-puffer-jacket-bf3b,Montbell Streetwear Y2K Puffer Jacket,63.70,GBP,,Montbell,,fh7sells,,https://media-photos.depop.com/b1/47475753/3234664768_90a1f9f29f8a459fb7e3309051ca3497/P10.jpg,https://www.depop.com/products/fh7sells-montbell-streetwear-y2k-puffer-jacket-bf3b/,,2026-03-16T23:30:12.814478+00:00,montbell puffer jacket
depop,marshallsattire-montbell-puffer-jacket-a178,Montbell Puffer Jacket,68.95,GBP,,Montbell,,marshallsattire,,https://media-photos.depop.com/b1/420586763/2452072068_fb1579b3b9f84425b7f24e58e992d8da/P10.jpg,https://www.depop.com/products/marshallsattire-montbell-puffer-jacket-a178/,,2026-03-16T23:30:12.814482+00:00,montbell puffer jacket
