platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
ebay,v1|406773358082|0,Montbell Ex800 Men’s Puffer Jackets Black Size M Brand New with Tags,89.10,GBP,New with tags,,,rusboa0,GB,,https://www.ebay.co.uk/itm/406773358082?_skw=montbell+puffer+jacket&hash=item5eb594de02:g:lHsAAeSwTkFpuCfo,,2026-03-16T23:29:49.448266+00:00,montbell puffer jacket
ebay,v1|188165718199|0,Montbell genuine EX 800 down puffer coat jacket in deep blue,33.98,GBP,Pre-owned - Good,,,mill_vintage,GB,,https://www.ebay.co.uk/itm/188165718199?_skw=montbell+puffer+jacket&hash=item2bcf8d00b7:g:jksAAeSwwXdptvGy,,2026-03-16T23:29:49.448311+00:00,montbell puffer jacket
ebay,v1|236689729258|0,Montbell Plasma Ultra Lightweight Down EX1000 Men’s Puffer Navy Jacket Size S,104.70,GBP,Pre-owned - Excellent,,,japo2088,GB,,https://www.ebay.co.uk/itm/236689729258?_skw=montbell+puffer+jacket&hash=item371bcea6ea:g:FHkAAeSw20xptqlo,,2026-03-16T23:29:49.448315+00:00,montbell puffer jacket
ebay,v1|236689724846|0,Montbell Plasma Ultra Lightweight Down EX100 Men’s Puffer Navy Jacket Size Small,104.70,GBP,Pre-owned - Excellent,,,japo2088,GB,,https://www.ebay.co.uk/itm/236689724846?_skw=montbell+puffer+jacket&hash=item371bce95ae:g:3pIAAeSwo~lptqgS,,2026-03-16T23:29:49.448319+00:00,montbell puffer jacket
ebay,v1|298120198377|0,Montbell Grey Puffer Down Jacket In Size M Hiking Mountain Japanese Coat Vintage,73.50,GBP,Pre-owned - Excellent,,,kong-8316,GB,,https://www.ebay.co.uk/itm/298120198377?_skw=montbell+puffer+jacket&hash=item45695938e9:g:GycAAeSwojBptJEK,,2026-03-16T23:29:49.448390+00:00,montbell puffer jacket
ebay,v1|177956989627|0,Montbell Puffer Jacket (Tan & Brown),125.50,GBP,Pre-owned - Excellent,,,avresells_09,GB,,https://www.ebay.co.uk/itm/177956989627?_skw=montbell+puffer+jacket&hash=item296f102abb:g:nMQAAeSwrA1ptG-S,,2026-03-16T23:29:49.448395+00:00,montbell puffer jacket
ebay,v1|206134670524|0,Montbell Down Puffer Jacket Full Zip Orange,50.62,GBP,Pre-owned - Excellent,,,slims.stuff,GB,,https://www.ebay.co.uk/itm/206134670524?_skw=montbell+puffer+jacket&hash=item2ffe9574bc:g:WrkAAeSwciBptBms,,2026-03-16T23:29:49.448402+00:00,montbell puffer jacket
ebay,v1|277800178986|0,Montbell Womens Daisy Down Parker Parka Puffer Coat Jacket Size XS Blue Hood,69.99,GBP,Pre-owned - Good,,,bagsandboots,GB,,https://www.ebay.co.uk/itm/277800178986?_skw=montbell+puffer+jacket&hash=item40ae2e552a:g:2CwAAeSwcU5oyCuk,,2026-03-16T23:29:49.448405+00:00,montbell puffer jacket
ebay,v1|306819339098|0,Montbell superior down puffer men’s jacket size medium zip up brown 800 BNWT,150.00,GBP,Pre-owned - Excellent,,,dripbydams,GB,,https://www.ebay.co.uk/itm/306819339098?_skw=montbell+puffer+jacket&hash=item476fdb935a:g:gvYAAeSwcrlps-df,,2026-03-16T23:29:49.448413+00:00,montbell puffer jacket
ebay,v1|287200106487|0,Montbell Puffer Down hooded coat / long jacket black size 95/ UK S (165 cm tall),57.90,GBP,Pre-owned - Good,,,tatime11,GB,,https://www.ebay.co.uk/itm/287200106487?_skw=montbell+puffer+jacket&hash=item42de75d7f7:g:hM0AAeSw9vJpsnvm,,2026-03-16T23:29:49.448417+00:00,montbell puffer jacket
