title,price,condition,date_sold,url
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Montbell Dark Blue/Navy Down Puffer ‘EX800’ - S,125.00,Pre-owned ·,Sold 16 Mar 2026,https://www.ebay.co.uk/itm/376968867045?_skw=montbell+puffer+jacket&itmmeta=01KKWFRCP4SPFZ2ETMQDD6CFVA&hash=item57c5186ce5:g:~RkAAeSwemNpgNsy&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBZPvKKvpgOVWUdFuyyRrHcIMyY1ExNfZPzzs7ZfhruNFUPOgb1lr3gJ3Vgn%2FFgi9MuKkP0uXtNu4DFk9ezugcoFec4SQJp%2BCH31PuGtt3DZUJnwjO9Vg40zry4vLIWLkZjal%2F5RE7%2BPBJY3antZe6ZZ95Emf3XBZI18g4PBpbkk7ykxahNYkY2QV9tlcErnOWaihFuBxznA7S5yilSZG1mQlhOXCO68h2kyZAnYq2SAkNfdIBEnim248lX2w16%2FYSoYHWNEc39oWN%2BUpirQXorqd1%2Bea69M0Hyj60YXOnFgw%3D%3D%7Ctkp%3ABk9SR8TL4Y-fZw
Montbell Plasma EX1000 Ultra Lightweight Down Men’s Puffer Jacket Size Large L,104.70,Pre-owned ·,Sold 16 Mar 2026,https://www.ebay.co.uk/itm/236689733964?_skw=montbell+puffer+jacket&itmmeta=01KKWFRCP4KRXNNZNVR2BD4YPC&hash=item371bceb94c:g:G5IAAeSwfKFptqpI&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xALj7IHK0fOwdGF4y4O8o9ZrMVSHg%2BeW7g6Y6bUXOtboAQB9xP9%2FaE9v8evoXz14vQ2jAPxAYTw97Pnb1%2BBGbWKjGRl%2BHemr7HK2P9KkGwK%2FAOPAAGzu6tcbFEN4LQo0ElC4aU5sk8e0nBm%2FIQSk5aFpaLIT99uPCH9IFgGGQLofDFLx2SO976NqYLPGZL7yUk4Pc2BCAFzIC0%2BOM7U%2FU3WrlZDBx3csucvmO84bszOSFL7GCuBxCXtiiC4bCg2ajA%3D%7Ctkp%3ABk9SR8TL4Y-fZw
Montbell Mens Down Puffer Long Coat Red Size M Miss Hood,47.00,Pre-owned ·,Sold 16 Mar 2026,https://www.ebay.co.uk/itm/157677441785?_skw=montbell+puffer+jacket&itmmeta=01KKWFRCP4NJ9FVDHZVGW3TK41&hash=item24b64ed2f9:g:KQUAAeSwz6xpfLQZ&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xC1DH5DEtLP%2BMzVw89wBHxPhdDyHc%2Bj%2BCtW0LD2QAJs%2FfJtbxou51EtlZqs%2FlhzylciFnHIJ3Gs6oGUUNgdK2A1weHqh76tn91zczhzzUvyxFVNEE3gUqm6gVq4yHTDSC3SWbuACGHEGzXLLEZEIV6wbWsOQ9JiXb5RV5fqXmln1oi%2FN%2BiceqMmGL7amSDNIa15XvzcQe%2FTCxIRFY7x3nkWou%2BxR5Cp6D6dVaVNHgVuhDAxWe8--%2FFIEfHKkTLyF8%2B0DI5Wr7LOJWEpIEDzGqpQ2Z3dPJlT0pDe3wmUdj17tA%3D%3D%7Ctkp%3ABk9SR8TL4Y-fZw
Montbell Men’s Lightweight Down Jacket – Size M Dark Navy – Barely Used,31.04,Pre-owned ·,Sold 15 Mar 2026,https://www.ebay.co.uk/itm/298101492643?_skw=montbell+puffer+jacket&itmmeta=01KKWFRCP4FM8GMHFCB01CYP48&hash=item45683bcba3:g:kHAAAeSwUappraig&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCSskayQ1QEIJ9wEUAEfpeP1jmkpvITNFjA%2FGKXjKK7JIElJXs2D0s3S8qfpTUiHt1gV%2FJTCPTqA%2BNMVDGW5%2FalCbR8WJxY7pqOS43meS0ao9zhm99b%2FYNcAzgGwt74506hZLV%2FPLHJJ7iGVhahmbZ6P5J1fqXVx3NfhiKMZDW1SqwmYLV07zjd23m9QZUmApP3LI25eJHNW4cAjmGNaIaJbP32Aq6RjKtHNy2DGzk3XGuer3H4Tj3uavGJTkP5pYU%3D%7Ctkp%3ABk9SR8TL4Y-fZw
Montbell Alpine Light Down Parka Puffer Jacket - Brown - UK Medium - RRP £320,89.10,Pre-owned ·,Sold 15 Mar 2026,https://www.ebay.co.uk/itm/198166532097?_skw=montbell+puffer+jacket&itmmeta=01KKWFRCP5T3BTXFGCG8WE0E50&hash=item2e23a55001:g:ZCwAAeSwRaFpc1HB&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBce2x%2FgaY9YlHzn%2FcAy6%2FtOzzzKn7d9hIFNLuOxvxYnWY787TUq6I38mIyQAx%2FWmi3VKMCHawi3rFRVHb0bp3Ih%2Bvp54UuDYcVCxwMg9yxscyPt7MUa8rnYZw%2FvPGXgZP6puRfCdT5a6p%2B%2BzV3X%2F5FyCd%2BFOD6YqXvsgzb%2BKWW1doJKmQmTtelPN2NKrgKOudr0qjyYzSjqLnnxc6f1DJcX40hJvAoKeaLEUZRDdR6ZdXVdDizvQyn3rR9xfvT8tU%3D%7Ctkp%3ABk9SR8TL4Y-fZw
Montbell Men's Puffer Jacket Size XL,54.99,Pre-owned ·,Sold 14 Mar 2026,https://www.ebay.co.uk/itm/317985538603?_skw=montbell+puffer+jacket&itmmeta=01KKWFRCP5VNMY8P4C5DPZQ9M6&hash=item4a096a422b:g:LGYAAeSwKL1psWMC&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBGbXxuSScf3dm%2FTKGzePqC8DXf3lOg15pUrpitoHUfnf5dMKy%2FrV95DR7yL4ZP6kNkfSHAQdeDSi%2FrRs2ea%2Bm8wfq%2BQY7uPnkbV5FzC8rGk1PJj%2F4Fq4FsFzdAQjrneofbuk2ROvHh%2BY2qPzkzRDdGKGM0JRmPZBmdIOrwMPM5BaoHwdpbbC8v25ug7pqciR0ToaYTVSSTupz0pq21cwnu85zrQQRYHc1OZBm6UUqtfwPsth1NKTIpzscOgMh%2BhEw%3D%7Ctkp%3ABk9SR8TL4Y-fZw
Montbell Men’s Puffer Jacket Size m,73.50,Pre-owned ·,Sold 14 Mar 2026,https://www.ebay.co.uk/itm/177884425192?_skw=montbell+puffer+jacket&itmmeta=01KKWFRCP5J8QQG796AVA1V5CH&hash=item296abcebe8:g:6l0AAeSwum9pmzRq&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAln18feXpx5zoEqcegeMdFyXB%2BUmsogi7LvO2X6hdcHGKmppNq1emjydy1vVP9aoMVc7HQdNkOsB8CAREZV5rQJqCPoo9%2FIiEzUMq6HuP79O%2BnBQ0rLGOGu6VBKgTabaB8RVDjt8c0YTpPNdj6qQdaQq3CHtTSuhYHJZnobwcL6agjpxaeX11qk091pBNzD6uy6DmZb72Vinx3kwolHv8qMNUCx87haO5Y2hWflq68MCsFiivQpbMD%2FqHH88fcKbM%3D%7Ctkp%3ABk9SR8TL4Y-fZw
Montbell Men’s Hooded Down Gilet Bodywarmer / Puffer Vest - Size L - Charcoal,50.00,Pre-owned ·,Sold 14 Mar 2026,https://www.ebay.co.uk/itm/358298765958?_skw=montbell+puffer+jacket&itmmeta=01KKWFRCP5PTM5QDBD2BTJCXX7&hash=item536c454a86:g:89cAAeSwd6FprEwq&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xApj3RjQJLSSC%2BM%2Buc90Pr3Xkp%2BCLA%2BlC8DcAPmj2%2BRkd3TlfeYycctCW162dBBbaRJ1DsPyiURaiS4N4afee27qOLPlr3nqYkUTjh7Bvb9yNvm4xt1Q4ggZ3l82aGR1nqTbn1q1R45psrCYTlwul%2FnvmDin46%2B8d9jWioIKBk49lBoKWGWtrr8Hti4QN2GdfkflzYSKBC9cb8UbUHznxqbTPXaN8Pe%2FHNh%2FKFwqJKgrqJcLNiMVdnFNdqN%2BGnuJdo%3D%7Ctkp%3ABk9SR8TL4Y-fZw
