platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
vinted,8414753204,Montbell Puffer Jacket In Red,34.51,GBP,Very good,Montbell,XL,vononimarepebi,,https://images1.vinted.net/t/03_01a11_jnmcUDCnzDkZezyKA586La58/f800/1773703659.jpeg?s=0c977eac39f602e9840ea6529f2063688d8c4a8a,https://www.vinted.co.uk/items/8414753204,,2026-03-16T23:29:57.945632+00:00,montbell puffer jacket
vinted,8414642095,Montbell Superior Down Parka Puffer Jacket Men's XL,80.0,GBP,Very good,Montbell,XL,sianlaa,,https://images1.vinted.net/t/06_01465_9hvrbSxvbJVMdUBHURFRdbbw/f800/1773700546.jpeg?s=6669d203791d50b7b4a4e96af3986b9e32fb7f1c,https://www.vinted.co.uk/items/8414642095,,2026-03-16T23:29:57.945678+00:00,montbell puffer jacket
vinted,8412911249,Green Montbell Puffer Jacket,75.0,GBP,New without tags,Montbell,S,enzoresells,,https://images1.vinted.net/t/06_00a34_yUxHdKpRqrAcomDpGMExUMSq/f800/1773685536.jpeg?s=845aa20b11ffae53f6c3b79e4571ef8478a5c25f,https://www.vinted.co.uk/items/8412911249,,2026-03-16T23:29:57.945781+00:00,montbell puffer jacket
vinted,8395582121,Montbell Alpine Down Parka Puffer Jacket Size L Black,165.0,GBP,Very good,Montbell,L,foundbyelvis,,https://images1.vinted.net/t/01_001a5_qzs3TfwspVSMnGKAePLQyA7W/f800/1773522120.jpeg?s=b366eaba0303811970c9dd32a6a712be2c63163f,https://www.vinted.co.uk/items/8395582121,,2026-03-16T23:29:57.945797+00:00,montbell puffer jacket
vinted,8410444621,Montbell puffer jacket,50.0,GBP,Very good,Montbell,L,thelilyden,,https://images1.vinted.net/t/06_01b32_SLe8rnEiNZwqz3C2YHZZyEMn/f800/1773670848.jpeg?s=e6e8f5a9f8c3a3df658ef6979c3c01327661a7f2,https://www.vinted.co.uk/items/8410444621,,2026-03-16T23:29:57.945831+00:00,montbell puffer jacket
vinted,8406908228,montbell puffer jacket black size medium,36.51,GBP,Very good,Montbell,M,lituf4ofa,,https://images1.vinted.net/t/04_00b36_mkbYaVmPexAzJHuYaETaBFYX/f800/1773635334.jpeg?s=0890af59efdec3a03f74ce253cae968db83ad657,https://www.vinted.co.uk/items/8406908228,,2026-03-16T23:29:57.945852+00:00,montbell puffer jacket
vinted,8406804584,Montbell Superior Down Puffer Jacket Men's Medium Orange And Brown,60.0,GBP,Very good,Montbell,M,mssuh,,https://images1.vinted.net/t/05_01b61_7gVG2KJxRTFLGtbaLks611Cj/f800/1773619419.jpeg?s=9c33b883a4552f9542faba1ebf39ba1547103de2,https://www.vinted.co.uk/items/8406804584,,2026-03-16T23:29:57.945857+00:00,montbell puffer jacket
vinted,8405574123,Vintage Montbell puffer jacket,30.0,GBP,Very good,Montbell,L,phoenixhounzee,,https://images1.vinted.net/t/04_00bc8_MKLGCittR6SnizaaumwQwsmA/f800/1773603965.jpeg?s=93eeb1afc820a168ce552b7403d1e0c29ec79826,https://www.vinted.co.uk/items/8405574123,,2026-03-16T23:29:57.945947+00:00,montbell puffer jacket
vinted,8414777915,Montbell Men's Plasma EX 1000 Packable Down Puffer Jacket Size XL,36.36,GBP,Very good,Montbell,XL,8nnelutinooditet,,https://images1.vinted.net/t/05_00fcc_ajBg9oRZfY43jb54pVshvm6B/f800/1773704753.jpeg?s=3ba3fddfce5672db5acc03e923b670e6e863269e,https://www.vinted.co.uk/items/8414777915,,2026-03-17T00:03:31.302825+00:00,montbell puffer jacket
vinted,8414763361,Montbell Puffer Jacket In Green Superior Down Parka Square Stitch,34.51,GBP,Very good,Montbell,L,woqanitenud,,https://images1.vinted.net/t/05_01546_ZTp7g2kAVEH1sQ9Vaadbbm1w/f800/1773704072.jpeg?s=1c47ffe1f56f47102fb9698e0364d2addb39046f,https://www.vinted.co.uk/items/8414763361,,2026-03-17T00:03:31.302829+00:00,montbell puffer jacket
vinted,8414819565,Montbell light alpine down puffer jacket - black,34.53,GBP,Very good,Montbell,M,875tomestoza,,https://images1.vinted.net/t/05_0133a_pGf8QUYDUM3AtSXu2S4kN62d/f800/1773707568.jpeg?s=48523efbde39f9f5b0c3e30e003bf2fa180699ac,https://www.vinted.co.uk/items/8414819565,,2026-03-17T00:33:51.416271+00:00,montbell puffer jacket
vinted,8417805883,Vintage Montbell Down Puffer Jacket (M),118.75,GBP,Very good,Montbell,M,henrydarlington,,https://images1.vinted.net/t/04_01a76_T2Durc3MGKqXMZTtSgmoPgx6/f800/1773753558.jpeg?s=903d552611c4c75e78b3cda78065a314754591f0,https://www.vinted.co.uk/items/8417805883,,2026-03-17T13:45:35.769964+00:00,montbell puffer jacket
vinted,8417686979,Montbell Puffer Jacket,80.0,GBP,Good,Montbell,M,j.sneade,,https://images1.vinted.net/t/06_009c9_dQykLW9ijPYqrAjXoSRj8E5V/f800/1773752758.jpeg?s=2852c36b443002adf60920eb1fff49969f943f3f,https://www.vinted.co.uk/items/8417686979,,2026-03-17T13:45:35.770058+00:00,montbell puffer jacket
vinted,8417157117,Montbell Two Tone Red Vintage Puffer Jacket ( Men’s Small ),115.0,GBP,Very good,Montbell,S,harryburr1xc,,https://images1.vinted.net/t/05_023eb_KoKoNACBYUpEzVtxrDP52owR/f800/1773749233.jpeg?s=98cb78c88ea665798ef703add98be9a28e90c32d,https://www.vinted.co.uk/items/8417157117,,2026-03-17T13:45:35.770073+00:00,montbell puffer jacket
vinted,8416306353,Montbell Puffer Jacket In Blue - Superior Down Parka,175.0,GBP,New with tags,Montbell,XL,joem36,,https://images1.vinted.net/t/06_00e35_ZvurF6Bf9Bg72JJ7cGTJzGM2/f800/1773743242.jpeg?s=2ed992941d84d33801df318b3608061ffb8af3f3,https://www.vinted.co.uk/items/8416306353,,2026-03-17T13:45:35.770168+00:00,montbell puffer jacket
vinted,8415723154,Red Montbell Diamond Puffer/down jacket,85.0,GBP,Good,Montbell,M / UK 12-14,maddijolliffe,,https://images1.vinted.net/t/05_002c7_kmtH9iz1AHdfVVJwoeRfB1PS/f800/1773738805.jpeg?s=c43f06f89c2a82552a364492183341c9e36fad44,https://www.vinted.co.uk/items/8415723154,,2026-03-17T13:45:35.770191+00:00,montbell puffer jacket
vinted,8432928909,Montbell Down Parka Coat Long Puffer Jacket Khaki Green Size 90 (S),76.5,GBP,Very good,Montbell,S / UK 8-10,tonyham1981,,https://images1.vinted.net/t/05_0269d_UJgnY64yuuofCjduXYJagkBu/f800/1773926943.jpeg?s=18e07c02526e2a119aeacbee01f4132db1340e6d,https://www.vinted.co.uk/items/8432928909,,2026-03-19T13:53:20.073124+00:00,montbell puffer jacket
vinted,8431800300,Montbell puffer jacket ‘Ex800’ cream size small,75.0,GBP,New without tags,Montbell,S,streetwear_clothez4,,https://images1.vinted.net/t/01_01ad7_ETTxmFDncEKoqhVHSHnUe5eH/f800/1773918463.jpeg?s=056e7844707069b2f9e585652e73449437b7812e,https://www.vinted.co.uk/items/8431800300,,2026-03-19T13:53:20.073136+00:00,montbell puffer jacket
vinted,8431751382,Montbell Navy Puffer Jacket Size L/XL,55.0,GBP,Very good,Montbell,L,shopaspree,,https://images1.vinted.net/t/03_0246c_kuAjUecDcnaNm6TaSbXe3S48/f800/1773918094.jpeg?s=bf45cfa909c6a7fb1e0818ec40f0950a3d597250,https://www.vinted.co.uk/items/8431751382,,2026-03-19T13:53:20.073139+00:00,montbell puffer jacket
vinted,8429405352,Montbell Alpine Light Down Parka Men’s Blue Hooded Puffer Jacket Ultralight #1101385,100.0,GBP,Very good,,S,louchids5,,https://images1.vinted.net/t/06_016eb_CLNYQPp3jRVuGLdCRhmFMLxg/f800/1773867500.jpeg?s=c26302e9e6ee80cd6fd46e0d503a8eafe4a34fc7,https://www.vinted.co.uk/items/8429405352,,2026-03-19T13:53:20.073182+00:00,montbell puffer jacket
vinted,8428984041,Montbell EX 800 Down Puffer Jacket - Blue - Size L (with stuff sack),120.0,GBP,Very good,Montbell,,sambrankin,,https://images1.vinted.net/t/06_02557_fvaRMZatQvJHpiA72GrRk1e4/f800/1773863887.jpeg?s=8e2c7f3948ae55c65cdd092eb439c980bbc16a20,https://www.vinted.co.uk/items/8428984041,,2026-03-19T13:53:20.073198+00:00,montbell puffer jacket
vinted,8428831105,montbell light alpine puffer jacket,110.0,GBP,Very good,Montbell,M,abn24_27,,https://images1.vinted.net/t/06_01f67_uxsgGUF5vxpW6xd1nMvhU7TL/f800/1773862687.jpeg?s=ed834ea2e540e68d63222599d6f0bf7844cde4af,https://www.vinted.co.uk/items/8428831105,,2026-03-19T13:53:20.073211+00:00,montbell puffer jacket
vinted,8428519230,Montbell down puffer jacket,45.0,GBP,Very good,Montbell,S,noodle39,,https://images1.vinted.net/t/03_0250b_jfrQWpjhkVRgqWgNhoqFhLm5/f800/1773860240.jpeg?s=7b7b3f10d0caef0237cd1a9d4b407ea7b1c3ab8a,https://www.vinted.co.uk/items/8428519230,,2026-03-19T13:53:20.073227+00:00,montbell puffer jacket
vinted,8403016238,Montbell Grey Ex800 Square Stitch Superior Down Puffer Jacket,50.0,GBP,Very good,Montbell,S,jxkoa,,https://images1.vinted.net/t/06_02211_Y94MTbsAPHQ5Y8sZBdqYr7YQ/f800/1773591221.jpeg?s=f0fb19c8a779a4349fe166bdded904b188a432d9,https://www.vinted.co.uk/items/8403016238,,2026-03-19T13:53:20.073270+00:00,montbell puffer jacket
vinted,8420960992,Montbell Navy & Blue Superior Down Parka Puffer Jacket,110.0,GBP,Very good,Montbell,M,vrwd,,https://images1.vinted.net/t/06_01132_iSm1VBajKEfPrEpowZv1nfwk/f800/1773774066.jpeg?s=a3b1cff8532701dc77bbe6b690bf3722c1158700,https://www.vinted.co.uk/items/8420960992,,2026-03-19T13:53:20.073356+00:00,montbell puffer jacket
vinted,8420934127,Montbell diamond stitch puffer jacket,50.0,GBP,Good,Montbell,S,ernesto649,,https://images1.vinted.net/t/06_01172_AzD6F6GaiEP9ishNtpYtnzbF/f800/1773773870.jpeg?s=c560b44505260e686cb43d2fbf5063b4aef72f13,https://www.vinted.co.uk/items/8420934127,,2026-03-19T13:53:20.073359+00:00,montbell puffer jacket
vinted,8420869567,Montbell Lightweight Puffer Jacket,50.0,GBP,Very good,Montbell,M,joefoxmoran,,https://images1.vinted.net/t/06_00301_d4VRvdPozmQMXSGMWgTan27k/f800/1773773394.jpeg?s=b0716a26a6d1737f901b633155b50945eb55ce3a,https://www.vinted.co.uk/items/8420869567,,2026-03-19T13:53:20.073364+00:00,montbell puffer jacket
