title,model,price,shipping,date_sold,days_ago,condition,url
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Cipriata Ladies Floral Boots Lace-Up Combat Vintage Festival Womens Shoes Girls,,£23.70,Free delivery,6 Mar 2026,1,Brand new ·,https://www.ebay.co.uk/itm/317032154840?_skw=new+rock+boots+gothic+shoes&itmmeta=01KK55T531GHZBD7H0J1D1HR7B&hash=item49d096c6d8:g:EyMAAeSwkp9pgJzw&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xAJQCO78bGv03qLnc2ghCYpFdjJ5VzsZ3P1GcL8zwbjpafRLwbYlZB3GJy7jPWBuniGyyQL4FidX2cUVCQChTvMTlNByislOPggch6ty9o10GhQVJDp2KZrerfwBbeVDn5GoiH5koiCDV%2BNOfzq0K93PqdxdyEH67v9fcSNfFU01eopC9s2%2F19%2BE%2BlDQGJNZzR5oRD5wtQyTmHNJlsNDJMvKwBAuEMJaI7R0UOA7rQeqmPJ0dZIh7OL2aCoES6SrF07DqDzOxKdgNiIO56FBLPb%7Ctkp%3ABk9SR4LS6KWZZw
NEW**ROCK TOWER SHOES Metallic Black Leather Biker Gothic Boots UK,Leather,£55.99,+£1.50 delivery,6 Mar 2026,1,New (other) ·,https://www.ebay.co.uk/itm/388335223296?_skw=new+rock+boots+gothic+shoes&itmmeta=01KK55T531PFQRP1NY959K8CCH&hash=item5a6a954200:g:KjkAAOSws4Jn5jvX&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xAhWo7umEUtYIbdw01bEPFYpt11ZFKUMyTCTPxmITXOUqzUdj8yTeBPdqZtw%2BwPDIRmwAhR2zcjwjZfrHs5KHwP0W6njg2vwAn%2FQy68lhqORJfk0%2BfYmgF826Nt%2F5%2Buc5Wj2EqKWUt4RwN0zzbjjyn7r54MZOPqbPFHiEDHrV4UC5VESoygLiTw2qzvUiLlwwC8UoKqkR7OEzjCoF2AXqizsMtkqI8Xrzj1N6704YXv8qGgehNv0r9s0z8V7AXTaPHwh0akilbzVCcBwJ2%2B%2BaE18arUUOg9a7SbY6VMyw6EOBWYY1y8BDqx10Kx4%2BkCPnU%3D%7Ctkp%3ABk9SR4LS6KWZZw
ASOS Creeper Zebra Uk 13 Brand New-goth punk rock #shoes #boots,,£11.54,+£3.38 delivery,4 Mar 2026,3,Brand new ·,https://www.ebay.co.uk/itm/188109812928?_skw=new+rock+boots+gothic+shoes&itmmeta=01KK55T531KFPQ0HDA5QVG2G81&hash=item2bcc37f4c0:g:-2gAAeSwBk1ph1a-&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xBgLdPpcpHW4U2g9QXxWzm3xXf5qe6xbT8NHE0HQe1kHPQdvpBVLFl%2BDVjtuF04UluLDh7bWNqMaNf7%2FyvadVpl%2FEmJ7z8qPlLgsVglEcZJUawm2UEyYKpoQ8s7wot2xn4xh%2B0%2FXahZVNDKq%2Frl6YpPoyAVYjBNkHlF7bL4S28tiyfbtbCN89lHgdzj4PvPF42Xm7wu1MWQFvuGKU%2BphtQFvgzqw0PZGNVl6M66CDp8Yc0SGihxELESPHSjN3lvcWAHkyCzspZpVOwUE%2FwzUAdTxKM94u4CDQxJlx0YOVnPg4B%2FsN1gndcQOrryBVdW4fU%3D%7Ctkp%3ABk9SR4LS6KWZZw
NEW ROCK 7960-S7 Shoe EMBOSSED VINTAGE Blue Leather Buckle Steel Heel Shoes,Leather,£189.99,Free delivery,3 Mar 2026,4,Brand new ·,https://www.ebay.co.uk/itm/255313526771?_skw=new+rock+boots+gothic+shoes&itmmeta=01KK55T531K4SSBCKZ1NY6G658&hash=item3b71df3ff3:g:KuAAAOSwfnNh1GVG&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDFg66TcWM1o194UIl0Q%2Feq5yiKEZQVJTckCP5CqPzxuxTgk0JnE7itQSeUc7V4wX1CRcObAVY%2FPvMHa%2BY32189TD88v9UAyNreJ514qusky0h7s99s2PAxZjmgEb18WphkBmnh5p0rLnFutLH4tht%2Bfj7mFO5F1rARg%2FpVlkr3fZE5WMgaKdYLBaKNOZNcpLYoJlREkozkzSYsQR7XrlHRIqnXLDEYiFJvADqznfC%2FqKVG8%2BXn3MmSnvZFkbdfjugHyMWJSQvWEzPQ872GWT6o%7Ctkp%3ABk9SR4LS6KWZZw
Men Tactical Boots Military Combat Shoes Lightweight Outdoor Non-Slip Motorcycle,,£51.99,Free delivery,1 Mar 2026,6,Brand new ·,https://www.ebay.co.uk/itm/317368396736?_skw=new+rock+boots+gothic+shoes&itmmeta=01KK55T5314RW2E5ADXKJRXJZ7&hash=item49e4a16bc0:g:r0IAAeSwqBtpXRYT&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xBuy9EIIzRonwR52WRlF%2B%2BRqdRposzHeNqPdovnsmy6KJCLuohDfVrWmvEh5LgJe9KsVlzKLCbZ%2B0vfdh%2BIfPy4Nux95bjaJdCEMAmIvvxfvuhGGNxLZnJt9VAHl94vmXSaHahDvmZI5guJ1pH7sii1ihLY3nFVfTImp0VhxHNJg2qlXrD0NkpSFfq9%2BtGXN%2BPDVxnq2WtbFni84FHVUnYIfbYmcHFKuxxayKUE1Jwun2rl72a14MuzjuxbH%2BRP8x7Ds61GQLhC8NjZRwu4jl0j%7Ctkp%3ABk9SR4LS6KWZZw
Girls Childrens Low Heel Front Zip Goth Punk Casual Party Ankle Boots Shoes Size,,£9.45,Free delivery,28 Feb 2026,7,Brand new ·,https://www.ebay.co.uk/itm/198085931277?_skw=new+rock+boots+gothic+shoes&itmmeta=01KK55T532JVPEY9CRDSBD949G&hash=item2e1ed7710d:g:bkcAAOSwGw5hSZzU&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xDlmaMnbasastUUlufddSrw9s0WfsclZPWiknmEhHOPL0pOxl%2Fpvt0V86Lzc3z7k9BoTIvp%2FlXavphQoXGRghCA%2F5obIb1ojMHzFj1DJmK5jMBQcB9VzX--gbuEgWu3doZnWqSvWH3OkTDhDeJjJuyF7gBYXAidPnaKq8PzntQmVkobKX4Ek57WB3Wen5nrKaYCus80wR9fto2ROg03Zn7IUiVohakVv2FXLU1KGfa5oXC34LB1t0z2vR%2F8CgiaHP%2Ff2j2sAbrj3IoILWmVoAQvN6x5xraje%2Bi20eiprwAtUas3D311TkmDfBgmvpbo3Gg%3D%7Ctkp%3ABk9SR4LS6KWZZw
New Rock chunky platform shoes black leather EU39 UK6 goth punk,Leather,£115.10,+£4.48 delivery,26 Feb 2026,9,Pre-owned ·,https://www.ebay.co.uk/itm/317856630581?_skw=new+rock+boots+gothic+shoes&itmmeta=01KK55T532X0YX100W0DE4FV59&hash=item4a01bb4735:g:4PIAAeSwrHtpiOX2&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xD4vF8TSC5VLXb1lgugIunjq46mGvqeH4CbZ2f3Altm6yM6OvH9RDcsekYv6X9vn2gVnsAhtclyTeMKx6AAS0iUNmL2%2FYtJbDGHARii%2FY7wc4lrIYzUJoXL4OeatxMmyJnazGVuYQmLiyS5%2Fwxfx0OH%2B4sRkiS51jAXZyxdvD41dNuelkSXgQRQQednvRubuI%2BP%2BzOZqAy0mvKlgN10j4YKj0dmkdXMJAq20%2B7c2c3j%2Bz0nABdM3vWbWivGv64Wkdp48a8wcjVVr4HCrP0buUJ3WJ9aprBqGDzj17oS7J1H1AGjCcPW3YJJ9I7UtFP2its%3D%7Ctkp%3ABk9SR4LS6KWZZw
NEW ROCK M-7960-S14 EMBOSSED VINTAGE SHOES Black Leather Buckle Steel Heel,Leather,£205.02,delivery in 2-3 days,24 Feb 2026,11,Brand new ·,https://www.ebay.co.uk/itm/265243142638?_skw=new+rock+boots+gothic+shoes&itmmeta=01KK55T532AWTE0DY0S10YK5CJ&hash=item3dc1b929ee:g:h9YAAOSwgGdg~sFy&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xB%2FTCUH977er4B6lYKiSS4ic8JKUREjWbujHQyJ5TNrp7g7%2BXyLSqkzvpXoOxkzveUtmaEvORukUoPaMEEe4rgq1rcWTyrbi%2FmQf5BJLeHA4D4f778Frl2EuyjUISeF96Sn4aMrgHpIsyXsCBzGWzxeo8M4JWhU%2Bp%2F8MRU%2Bn2adRuWjubaQC3gUpGcqF2SqLffVD5F9vRGhZpFDkEdxbI13Qm5U2yyjh2RjHk4N9xI7O%2B%2Fn6tbsQ6%2BnGK6UwTm6HUDzPaIGZ8ihAo4uXJ3%2F7uea4reQr4eLJPC7a6t29kXlccvE2p8EtK3jj%2Fk1BwqNwQQ%3D%7Ctkp%3ABk9SR4LS6KWZZw
