title,model,price,shipping,date_sold,days_ago,condition,url
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
IAN DURY NEW BOOTS AND PANTIES STIFF RECORDS 1977,,£8.65,+£2.94 delivery,7 Mar 2026,0,Pre-owned,https://www.ebay.co.uk/itm/306793882972?_skw=NEW+ROCK+BOOTS+PUNK&itmmeta=01KK55VMN5KETN52DXSCDTRF9G&hash=item476e57255c:g:S6wAAeSwoO5pV8xv&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDh82B5Fmb3bSPCZQggBn%2Baj%2F5pNMJ1AxJX2GDnN2m0XN3tZAztZ7gTH7EG3crsZrJ58J3pCrChr7DRJrqcQoOdELYiMWFgB51aXCgurjzQFPJ%2F7nX7Uv2CBlCp1I5ncrqqLgfqQYIgiGrCTDN1a%2FaVn0FDvtjtVFqDwG8GjmPGPDkUeHqZttMa1f%2Ftz%2FDOE71cHXvpglDW8U6F6MBvbkBvoyzTETwPK7ukY%2F%2BtqEWYu14Tavbw9EG4DYKrn0yrFvU%3D%7Ctkp%3ABk9SR_bK7qWZZw
"New Rock Malicia Collection, Steam Punk Mid Calf Leather Boots Size 6/6.5 womens",Leather,£64.99,Free delivery,7 Mar 2026,0,Pre-owned ·,https://www.ebay.co.uk/itm/167775605742?_skw=NEW+ROCK+BOOTS+PUNK&itmmeta=01KK55VMN506NKC5SFHSAV1JYR&hash=item27103493ee:g:5H4AAeSwupBovMFY&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBQf8JGIQZKkQzD4x3xqp%2BN5aAqUBM7HM3RF7E6a4IuxWasWTsIl5uRMhkWB1%2FmjvPnXQq6StgalFFu%2FplViJ5YWQuciLeSxjL3gw3k90EQFtTECJZ4RmTrBVGA604KW93lHBZDuEWc51KACwIP%2F3OQgbIIegzWib9cCtol%2BT8bV3lAXDU6Z0WZ1zPVamiwEeitjiwJEuFaSW7uH%2Bj%2B2NLHi%2BydfVvq8oB7xCO6urNIF2pUx6CLT23HDwmromREMhSCBaxsmjeNonTLEa0ybL5K03s%2FhsWwNEBFuaEHM7qTKg%3D%3D%7Ctkp%3ABk9SR_bK7qWZZw
Black Leather New Rock Boots UK Size 9 Excellent Condition,Leather,£156.70,Free delivery,7 Mar 2026,0,Pre-owned ·,https://www.ebay.co.uk/itm/406706604541?_skw=NEW+ROCK+BOOTS+PUNK&itmmeta=01KK55VMN5YRHAP8SJ47SJ8XS2&hash=item5eb19a49fd:g:20EAAeSwJ05pljkY&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAV8sRP99uWGaptjofBPjwg3wzepqTMdKQhod%2BVuVmXa3x%2BQ1DygRIo%2B6rcpAjlJnIYYWkFEMCZR20BvqpXcbDFK4o83iCwDHpzRvDhOWj5o2OiPSOctN3BOYcgVTtzaj8uVgg0OvvZWlLwBSMIqUYW40MDbosyVVXtIbiNjnkmvi6IekXLhmqjEwF1XRzCPO0Jab8%2BHY9MwleuopqouyiI5e0vvSF9%2BPJpIBaLKnlnR%2B0d5nxQds1FVkuRiHTLY3U%3D%7Ctkp%3ABk9SR_bK7qWZZw
New Rock Boots Women’s Size 40 Leather Boots,Leather,£45.00,+£10.80 delivery,7 Mar 2026,0,Pre-owned ·,https://www.ebay.co.uk/itm/168194369363?_skw=NEW+ROCK+BOOTS+PUNK&itmmeta=01KK55VMN5MD9708YK25SXNSBE&hash=item27292a6753:g:4YIAAeSwVE9poxYq&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAgYN8VIjXjjZsUeyQqwQ9QJ8HnZsg%2FBAo6JVE0UWvKUD7K9NnGDYXOtEEdASFOQbTHfareFfypzJQS%2FB1l9%2F1vWSpow%2BuN6%2BYktvIFp5bsg4XT8m1BxQT5uTAzX41BLC%2FyXdzpsLn%2FKG7gLSQAvY6cFb6Ssg%2Fu4xFltdn8rp2pA0yETzISeFfGswA2aGU1j06qP9TwMYoWhvfT6iSf3opn%2BslNHe28j0YabyhVLEOD6ri8FbwuGb1a%2BGcorRaPxKI%3D%7Ctkp%3ABk9SR_bK7qWZZw
New Rock Boots Women Size 40 Leather,Leather,£37.04,+£10.80 delivery,7 Mar 2026,0,Pre-owned ·,https://www.ebay.co.uk/itm/168194360866?_skw=NEW+ROCK+BOOTS+PUNK&itmmeta=01KK55VMN5ECM9GGBQPCK0E72K&hash=item27292a4622:g:2ncAAeSwYsBpoxRg&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBviHnVHybxE51O20oLjbwsCUfems3yng%2FhCQzHStqH5U8aLcKhdgEP%2B6bvOasYPngnixr6%2FKixYkSEYd%2Fy%2BOet1nOMoyrjR1m6WcdQfuFloEOcwihMaekoDMF%2BGWmY%2Fyb46OeeyitIh6rXh4kK5I34%2FhD5iJ53IRgTnVOrRn3wSsgl9PrWrH8gS%2BRaO5%2FnTvDIo5B50tbQpscxZr3CLmud0gpO6KC6zHjxKaLtKIvwZThdrqWHRvAmnsGQRL7e0Bs%3D%7Ctkp%3ABk9SR_bK7qWZZw
"New Rock goth boots, black leather with metal, size 38",Leather,£87.08,Free delivery,7 Mar 2026,0,Pre-owned ·,https://www.ebay.co.uk/itm/298074913327?_skw=NEW+ROCK+BOOTS+PUNK&itmmeta=01KK55VMN5K4WT0SAN4CZQFM9A&hash=item4566a63a2f:g:OqMAAeSwqHhpovLG&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xB70jl3KThqZHheF22U9DcO6h0hwX4rD81f83anYoJxSdqCqGOJJMqCbskKaYonPNWjDeZNeoSnNvSrevcj%2B1AyD2m5lz08gaESOsPSrk1wAoTjBSoJyf4y34wFH%2FP0wGRYXxTGCAS5kwIx3ImKp6SnUzfQO1H5WhWSXzv9nKw4BBpNIjo7Akb05%2F4epk6RmUit5vWUf9Gcri9EB0bElRuv729QXcguuGF0rsGc3ZjhIm%2Bh6Tr1Plw1a%2BGpyhaNKMA%3D%7Ctkp%3ABk9SR_bK7qWZZw
"New Boots and Panties!! by Ian Dury (Record, 2022)",,£2.58,+£2.94 delivery,7 Mar 2026,0,Pre-owned,https://www.ebay.co.uk/itm/147183204014?_skw=NEW+ROCK+BOOTS+PUNK&epid=12057484662&itmmeta=01KK55VMN5KGQ1SM04SJ3SMJ6T&hash=item2244cd76ae:g:EDEAAeSwCONppy3L&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCTtYozAPml6HR0vZCix%2BrrOaDlWwMYB4r8BJ8N807VaSqTAyjo%2FLbs%2BLFwgG%2BK5x81wXjGYeNYwDY9lcOO%2FKKiDIKjAt%2BinDZUzXLaRTY0HKocUO0ur4MXMvsAwwlT9z0V34rTdvBGhC632QwgMh4tHAc%2FTirdWKdhqvR6zBMA7oOQhW5PnZIt%2FZYgIdrf6psnoObTWkMxlsmTXnsLmIxT3V8WYTPpZTwTDiaUIjzCZKH6klM%2FhcVI2b5GSV0%2FvLyOnI6%2B5N1UDKbbSZY4yhkdJckvROdCs8%2Fjh3Howi5q9Q%3D%3D%7Ctkp%3ABk9SR_bK7qWZZw
PUNK PATCHES iron on patch ROCK Hardcore metal crust anarcho grindcore,,£4.81,+£0.90 delivery,7 Mar 2026,0,Brand new,https://www.ebay.co.uk/itm/285878332416?_skw=NEW+ROCK+BOOTS+PUNK&itmmeta=01KK55VMN5Y74B0TA3DQCV1JX8&hash=item428fad2c00:g:kocAAOSwRqhmU0x~&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCLxH8C%2B0x5D0TnU5ZfNr9ZDbggUiE59lB85nygwIglsGvjvXYoDmwV1X4xU2U7K3FZMEAJm8iEjrcJjTzXUTHn6VXMBKJwy9f%2Bz4hQyz4W46gTXVWWKePm49IYIszNHf7ZzEG6qUajSwFosBFn0PizvQeFryhug8KjHluDs38%2F9gVrXvFtwJy5JgDVuSezJjLj3wfv%2BqEtTcZ8J5ibcuJ%2B%2FSOC3veOcuHsZkoSveICmBz%2FetCjHoyEkpWVSzRgldKGMaIf77AZK9QXGjXSukD1cZvhHoc0NdBIjtooE5SAZg%3D%3D%7Ctkp%3ABk9SR_jK7qWZZw
