title,model,price,shipping,date_sold,days_ago,condition,url
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Stone Island Yellow/Mustard Light Crewneck Knit Jumper XL RRP €215,,£84.08,+£2.94 delivery,7 Mar 2026,0,Brand new,https://www.ebay.co.uk/itm/406720978014?_skw=new+rock+boots&itmmeta=01KK55Q8NH6XDZ0E217ZRVQ7KD&hash=item5eb2759c5e:g:UVkAAeSwPllpnuk8&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBXwXY16AacHCVPFT7Avi%2FJ8k2aahxv19Tkjs8W1pA4l%2FzajTo1IuQKtZdNkGLN%2Bmu28ipT%2BXAddZ%2FsWNAU5hYKr6jQ6Adq%2Fuy5Y71cb5CP03UiovmZlf00Lkay7nfmoqNNSrWiLbIxO%2BkgiY240AAxKHK52s2NB5zLlXQQZMMcdqwaiLB0DdtzqKs5w7GhXfWb48mCCO6qovdIQK%2FWWsasbNeXlq%2FFDR1gc9rZZJ9ia4FfJu1BwY4q6wST9dZVbyQ%3D%7Ctkp%3ABk9SR9CL3aWZZw
Stone Island Sweatshirt,,£37.10,Free delivery,7 Mar 2026,0,New (other),https://www.ebay.co.uk/itm/397502268364?_skw=new+rock+boots&itmmeta=01KK55Q8NJHMJKG9TGFGRF7A97&hash=item5c8cfb43cc:g:dYcAAeSwbqVpahgB&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDqIj6G6Q2Um4od%2BK2sT087ezkCbheftU95EqVIQ%2FLD7sZNdCGnSzp2ub9oWFODcCU7H%2BLC06FZKogdVWVPVyYTUF2U4Cd3506pDUm8FLaCDGGc8TtI9Y2gJrSdykaXFvQxPxRVJwJRo0uUCc%2B4v4A9cONpepDMeA78HmiuRm4K6dcqPR94Z62hn3J%2Fw5on3vQ7OIFRlh3fyuF4We4cRH48u%2F055ruURRiX4woSTiSqXEV1vMl6eW%2B2UJczkPU1sUU%3D%7Ctkp%3ABk9SR9CL3aWZZw
NEW BALANCE 204L MUSHROOM ARID STONE UK10.5 🤎 TRUSTED SELLER 🤎 U204LMMA,,£99.99,+£8.95 delivery,7 Mar 2026,0,Brand new ·,https://www.ebay.co.uk/itm/127491354609?_skw=new+rock+boots&itmmeta=01KK55Q8NJV85SRPN8A7YFXHN9&hash=item1daf13aff1:g:62YAAeSwFk9olQyb&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBztfWq86p3wDvRqc1ohspbIbvZZPrRIPbKpMXJ%2FC2YXv3LVLTlM4GOQ6PYmYZ7z59lu%2Ft1KyejfeO8b5loh20kh0e1Ria3lc5axos7UUll0VQYbHbCJ8WuFsYnb3bsFWijcJegNct4aFbokDc1KeEEPgqjxD1U3D1r1zjY0KyO0BDD6GlTVJ%2F9FRxYEQTUQVh95errQKUZPJoWy1QggLmiwMYGBDSGIyrckL6qlOutHJE8Ojyu6O17bzZqTN0kZ3E%3D%7Ctkp%3ABk9SR9CL3aWZZw
Tommy Hilfiger Iconic Elba Sling Wedges UK 6 US 8.5 EU 39 REF M1117+,,£17.49,delivery in 2-3 days,7 Mar 2026,0,New (other) ·,https://www.ebay.co.uk/itm/297468555120?_skw=new+rock+boots&itmmeta=01KK55Q8NJ3MJ1D02JJMJT2N39&hash=item454281ef70:g:KBwAAOSwS71oHJTi&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAhvxCWST7HFJfppqzqNTGb7%2BOif3YobTJlyGJD42gAb7CGepPBa84PYhNDTOFI00pDQQVcisi3Eg3SgO5bH4OAW421yOu5iUBFmNT61IFC60gniSPONO20MTloTQwHZvfOSQr9c8wgpGTy4on0p%2FK9ZrKoX2tyyyMIbPyxCfocEOcOUNzFG3hmAd4Bu3oFHnO1PEaoBhpGVGfRvUq3mwEjGmlyinqZvpMLefv0PRHZxRPsEE5xOKmWf7goYtXnOpE%3D%7Ctkp%3ABk9SR9KL3aWZZw
Motel Rocks Zova Pu Wide Leg Trousers Size M Brand New With Tags,,£5.45,+£2.94 delivery,7 Mar 2026,0,Brand new,https://www.ebay.co.uk/itm/267400892633?_skw=new+rock+boots&itmmeta=01KK55Q8NJTK021BAQS0J4WPAM&hash=item3e4255d0d9:g:R5cAAeSwr3BoxEeG&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAOL7l4HqSfrwvKrzfl8i4R21U5mDB08zJsMxeS9d64%2Bcax7yJRtQlTA9wTRZ4P4YAiu0vJuIodgm%2Fz2JOL114x5nmjV9Xr0BOyHqDozPR6VmQBZ7T%2FOlyg24oozSvnJW9xtJ3OHPMYFpvE6NAFA8TJkuMq9EBtRHC6ZtWI1SG7QIdFf%2Felf9AFYDuHyagq8Gl7%2FLUfwgZvVUTQyhtAU2kAyNp570x4MKNR749Ka55bx0P%2BR4JJNdADSNy1B9DU1Y4%3D%7Ctkp%3ABk9SR9KL3aWZZw
ZADIG AND VOLTAIRE ALMA 'ROCK AND ROLL' JUMPER-LARGE,,£203.50,+£4.26 delivery,7 Mar 2026,0,Brand new,https://www.ebay.co.uk/itm/267589909400?_skw=new+rock+boots&itmmeta=01KK55Q8NJMN69X8AYSSXW968G&hash=item3e4d99fb98:g:9ogAAeSwMT9pmh8h&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xD5bot2HdgiAUMNSlGOpgnGsoL7gkQaBzkA88oA9QqwDY4LFZN3HRTf6Zpf6a%2FpeGy3V6Ic%2BwY%2FWmhGK6uo2%2F6ocMx9y5c6grP7QlEcLwV2uIB7GTAUaISU%2BF1iWhu%2FndrYuwgvJiEtZDXhbM0K6vd%2BfrwYcEGCNuF9536t%2FgAaLwMkIQeZMUolZuKCLMIzckY3FCP0vfRDjGrW%2BwMqF04uV%2BoT8XuF%2F4LPGDSkhvbdZ4aGTPrRsb2oqrm2u9tWiCRr0catntS5uRJEZZBVoEzpu7usFPPcJL7tIPGQuQKbLA%3D%3D%7Ctkp%3ABk9SR9KL3aWZZw
Levi's 551z Men's straight leg Jeans size W48 L34. New without tag,,£26.70,+£2.94 delivery,7 Mar 2026,0,New (other),https://www.ebay.co.uk/itm/227226604541?_skw=new+rock+boots&itmmeta=01KK55Q8NJP7XY45DBAHM2E9PT&hash=item34e7c2d3fd:g:26wAAOSwCKFnfBAk&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAj0idOMhPMMbrSLP2YsXsadqcWjF6G7F7PSwTeS5Mj%2B5hbhBh6fjFO8Bk%2BHn%2BD0NKPSCZS4pcHSy7JyGQ5LKTzWdRIAR1LxMYjred0kFPlmbwRCN9xbSTOawYxezoDe8rfmbA1aD%2BkGczenzFnBH%2B3ic0P3iP%2FCPe4wIFqywhxTbL%2BATkLxuM%2FwQC%2FhjbWq88NDdYJsqKuWLoOzskikkobEbs7jlSnUOPk1Wlc4NcI9lhkxeDYG1RlicVXHdM1H5o%3D%7Ctkp%3ABk9SR9KL3aWZZw
Stone Island Joggers trousers Chestnut Size M/L Zipped Fly - Zipped Side Pocket,,£104.70,Free delivery,7 Mar 2026,0,Brand new,https://www.ebay.co.uk/itm/317907207807?_skw=new+rock+boots&itmmeta=01KK55Q8NJCM1K67VC68K097BH&hash=item4a04bf067f:g:1PEAAeSw3tlpdTWE&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCebhxHVXJ%2Fwnr6Pkc58LIKeT%2FKyzvZUHkYBiBfTvZNLbsssm9TobMWkG16O895w7swNjdHN7m8hGp5%2FTWgKVh4hzorSe58FAO1r9A7cooXGgF5jKSz36KSdxKBAuIGpyntLctgMtBJxAf%2FyJITnpHPUkOr6iVnF%2FL8jRfH69Cu0qhHgP7lXW1BkhKNd6IImTllZDp2J4XHbTOe8Alhk69qa%2FIVypFVsN7zie2lO1D%2BAmc37p6YqAjJscXz1jlDMLIwRMJg%2FBrffcoGwwXV3HXhsT4nfc1C--8wAoGBY1C%2F9g%3D%3D%7Ctkp%3ABk9SR9KL3aWZZw
