platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
ebay,v1|287190754921|0,M-373-S33 New Rock Boots Size 7 40 Black Leather platform Goth Punk Rock,125.00,GBP,New with box,,,blondbear73,GB,,https://www.ebay.co.uk/itm/287190754921?_skw=New+Rock+Goth+Boots&hash=item42dde72669:g:fK0AAeSw~Wxprsuj,,2026-03-09T16:22:17.422126+00:00,New Rock Goth Boots
ebay,v1|127728910809|0,New Rock Tower 106-S29 platform leather boots GENUINE W/BOX UK 5 EU 38 Goth,167.10,GBP,New without box,,,leep_9459,GB,,https://www.ebay.co.uk/itm/127728910809?_skw=New+Rock+Goth+Boots&hash=item1dbd3c81d9:g:JZwAAeSw8TRprr~W,,2026-03-09T16:22:17.422141+00:00,New Rock Goth Boots
ebay,v1|177942380433|0,New Rock Reactor Leather Biker Boots Black Metal Sole Gothic Punk EU 40,115.09,GBP,Pre-owned - Good,,,smorvintage,GB,,https://www.ebay.co.uk/itm/177942380433?_skw=New+Rock+Goth+Boots&hash=item296e313f91:g:FugAAeSw-LlprrFM,,2026-03-09T16:22:17.422152+00:00,New Rock Goth Boots
ebay,v1|127727576462|0,New Rock Reactor Black Boots Size 10/44 Unusual Skeleton Design Goth Biker Punk,208.70,GBP,Pre-owned - Excellent,,,be-mine-originals,GB,,https://www.ebay.co.uk/itm/127727576462?_skw=New+Rock+Goth+Boots&hash=item1dbd28258e:g:HEsAAeSwTyVprfOQ,,2026-03-09T16:22:17.422162+00:00,New Rock Goth Boots
ebay,v1|127727360963|0,Stunning gothic new rock platform shoes/ boots high quality size 5 uk us size 7,135.90,GBP,Pre-owned - Excellent,,,tandjsecondlove,GB,,https://www.ebay.co.uk/itm/127727360963?_skw=New+Rock+Goth+Boots&hash=item1dbd24dbc3:g:Z-YAAeSwIO1prcpY,,2026-03-09T16:22:17.422172+00:00,New Rock Goth Boots
ebay,v1|306810359652|0,New Rock M.8304 Skull Flames Chunky Heel Black Mid Calf Goth Boots Uk 6 Eu 39,199.99,GBP,Pre-owned - Excellent,,,reloved_planet,GB,,https://www.ebay.co.uk/itm/306810359652?_skw=New+Rock+Goth+Boots&hash=item476f528f64:g:Rj4AAeSwhgxprZDp,,2026-03-09T16:22:17.422202+00:00,New Rock Goth Boots
ebay,v1|306810359627|0,New Rock Vegan Leather M-tr001 Chunky Heel Platform Punk Goth Boots Uk 8 Eu 42,149.99,GBP,Pre-owned - Excellent,,,reloved_planet,GB,,https://www.ebay.co.uk/itm/306810359627?_skw=New+Rock+Goth+Boots&hash=item476f528f4b:g:C8IAAeSwK9ZprZGD,,2026-03-09T16:22:17.422211+00:00,New Rock Goth Boots
ebay,v1|306786427697|0,New Rock Reactor Demon Flames Leather Chunky Platform Gothic Boots Uk 6.5 Eu 40,149.99,GBP,Pre-owned - Good,,,reloved_planet,GB,,https://www.ebay.co.uk/itm/306786427697?_skw=New+Rock+Goth+Boots&hash=item476de56331:g:oAEAAeSwQUNpnA5F,,2026-03-09T16:22:17.422220+00:00,New Rock Goth Boots
ebay,v1|306786427661|0,New Rock Reactor Knee High Black Leather Chunky Tall Goth Boots Size Uk 4 Eu 37,159.99,GBP,Pre-owned - Good,,,reloved_planet,GB,,https://www.ebay.co.uk/itm/306786427661?_skw=New+Rock+Goth+Boots&hash=item476de5630d:g:VwsAAeSwcJ5pnAcb,,2026-03-09T16:22:17.422257+00:00,New Rock Goth Boots
ebay,v1|287190067603|0,New Rock Boots Purple Real Leather Size UK 5 Trail Biker Punk Goth Rare,125.00,GBP,Pre-owned - Excellent,,,blondbear73,GB,,https://www.ebay.co.uk/itm/287190067603?_skw=New+Rock+Goth+Boots&hash=item42dddca993:g:C0oAAeSwW5RpqyBv,,2026-03-09T16:22:17.422267+00:00,New Rock Goth Boots
ebay,v1|236672261536|0,NEW ROCK TR003-S1 Ladies Metallic Black Leather Biker Heel Goth Punk Shoes Boots,135.90,GBP,Pre-owned - Excellent,,,anikarann,GB,,https://www.ebay.co.uk/itm/236672261536?_skw=New+Rock+Goth+Boots&hash=item371ac41da0:g:R4wAAeSwZAFpquAf,,2026-03-09T16:22:17.422276+00:00,New Rock Goth Boots
