title,price,condition,date_sold,url
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
New Rock black studded cowboy boots UK 9 EU 43 silver heel goth biker skull,150.00,Pre-owned ·,Sold 9 Mar 2026,https://www.ebay.co.uk/itm/326877531910?_skw=New+Rock+Goth+Boots&itmmeta=01KK9PGP836VSSNB0702DVRHGT&hash=item4c1b6b4f06:g:LGMAAeSwUoNpNe0Y&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCL9B7%2BAKZAkNLu7RsVnANIx6qTH8BG8EtiLBmhDKfQ%2F2noZH48qCgylTDEp9dRVN0hf3C1u9kCWC4cYJMQ8rqSGm0iBszsMpCSPufBxZVxaSXNtNiuaIyq89X%2FNhnMdPKP0%2F2KXAMKvk--5zFDKBBRGC1b%2BWGQEPBXKJtduaVkOH7AadA8adQ%2Bl6NXX5z4EQn7faJ8%2BEluQW1k99TAUeAZSYAVP2NSKHIJ1rsOlB%2BTG2OPKhNNJvj7a9MeLwz%2BaOVAeb%2Fy%2BfNb%2Fpu6TteZKJqceO03hHHZlksTK0XwktWcAQ%3D%3D%7Ctkp%3ABk9SR7DkwraaZw
new rock boots metallic black goth knee high zip buckle boots,135.90,Pre-owned ·,Sold 9 Mar 2026,https://www.ebay.co.uk/itm/168166057122?_skw=New+Rock+Goth+Boots&itmmeta=01KK9PGP83CKZDMCAFVD5TY5V1&hash=item27277a64a2:g:WC8AAeSwirJplBy8&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xB%2FPjLwV0h5wbhPnmJ05fXCXHyN2SSILJgPkRl2l4UO4qyTuU0IIjvnPHqy3epA0lzGEfv6t2GYcx8fYhRFGsAGEDTkfurGM2s79O5OiNpO2KWkX7Xg9nyEj28VumCgWAf7RMEAyHnYh7EKDx37GHySdG4Bj%2BDP1KyQDsYZ5K0aS9RB8e4Crd9XUfYSCiVSdJRixo8WbQ5oFD%2FbQtW5MzydwqFx94jixOpp0mSMpD%2Fv8nF%2BxDN8tV3Gk24XjRq9xKv%2BLEPZ0lN3bEfaPUelFuUpvKeYxx1u6yWWLsh5Dc3gyg%3D%3D%7Ctkp%3ABk9SR7DkwraaZw
VOLATILE BLACK FAUX LEATHER UK SIZE 4 LACE UP KNEE HIGH COMBAT BOOTS GOTH,21.50,New (other) ·,Sold 8 Mar 2026,https://www.ebay.co.uk/itm/306795494153?_skw=New+Rock+Goth+Boots&itmmeta=01KK9PGP83TRZQB0B0B2Q8AVZB&hash=item476e6fbb09:g:v5UAAeSw1RdpCfSC&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCG4itnYji6lBG2i2K8y4igqqBj%2FQ4OFaMVES65nIaS%2BAefvexWv7qeYaOAWPARQTjUgfjyzZKHtyW8EsLIuJ%2FOuVpy0UIHNZ9MRTAcwEk7wCgnPfWg0RHV8xLfxi7Z5mZz4MhSb0Ej2OfYrvSRcCqm2v%2FuUFQ%2B0oaPduOAH%2FDCxn7bY3jEIKPFFzbQCRabvULfcRlTiApRaCWPP0cTOmAQWFQntqUeU7vatzu2kVzHm8QD%2BOKrBD4pU2yJN1CouIUvFMoG1YfPKlWLls7Jau%2FnH%2FnAq8MGElNEeqlWprWT7A%3D%3D%7Ctkp%3ABk9SR7DkwraaZw
2 PACK WOMENS BOOTLEG TROUSERS LADIES BOOTCUT STRETCH FINELY RIBBED WORK BOTTOMS,15.49,Brand new,Sold 8 Mar 2026,https://www.ebay.co.uk/itm/182155235704?_skw=New+Rock+Goth+Boots&itmmeta=01KK9PGP83SYR1N8W03E0VP2C7&hash=item2a694c5178:g:nRUAAOSw499kdghL&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAkPrCMQzcSKaHu3LRQSw672ipK2GjWBxh%2BiAhBmEI5TpL3DlYCVltHSGWMCXVgKl%2BwegTfi%2Br5P%2FzQ7k3njgZgZVXLbJUb%2BCbZ%2BnyIhcwe0usV5GjZM4TWuDunnVdn1B8RkV2tihPQtxcKgZmXqd8VmTkdjkd3oa%2FK0zwDziXMtBuo2Ds8dFxVnBPoA2xDsD4PecHfqnUKIT504z4bg--8vLXjDOM7oX4jqfFSb92JRzvmrzbBSEhzxq%2BsDTem3Tw%3D%7Ctkp%3ABk9SR7DkwraaZw
Cipriata Ladies Floral Boots Lace-Up Combat Vintage Festival Womens Shoes Girls,23.70,Brand new ·,Sold 8 Mar 2026,https://www.ebay.co.uk/itm/317032154840?_skw=New+Rock+Goth+Boots&itmmeta=01KK9PGP83C2M4AHQ48E773BST&hash=item49d096c6d8:g:EyMAAeSwkp9pgJzw&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAd2H8iheb9R4z2017copYep8TIcHkAN9KFsj%2BOMqmKZs%2FVbF3GxacraCeTtcgGQWPellYMkTKfSBxokjDuiPKpY5amIJzrer%2BcjNYeZ9%2B3uHyYFdIL5UgNHw0f6c5dSShMr7U1hFAvde%2FUHbe94tiddMeoM21OYvCUF5qYDwSraLQ9vUTBXLOZJyaOBhqU4G%2FP2n%2FzhOBRMpRoWgJIWNgUUE1XL4qz%2BU3aGwHxdcQ92BeTbSzKBAqeLjudxgPg2awjf8ZkRPzkHIpUvLxCfGjTMfl%2BCR7yzrCzjFbcbNKJsQ%3D%3D%7Ctkp%3ABk9SR7DkwraaZw
New Rock Block-heel In Metal-look Unisex Platform Boots in Black,198.49,Brand new ·,Sold 8 Mar 2026,https://www.ebay.co.uk/itm/387336761068?_skw=New+Rock+Goth+Boots&itmmeta=01KK9PGP83AEY4WXHFGWB4YB22&hash=item5a2f11eeec:g:v58AAOSwF-1mzxDx&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xA9JBVAn2Y3o%2BwTGgP%2FywEp2zHh6t7kQX%2FgOSUL6bq%2B0RUOawGLYQYIw0FzlgDbiuUJHhSz7Ki1085J28gIwv22PEW1T2xJN2FcyvqjrcUS12w8mGNHXVFGd60lF%2B8VbJnbrjRWDeRo81lTejkCBWuyVchW7Xlvm1jjcV3Q%2FY1uISbNlG7jl3mszkp%2FzjtvO6qxOId%2BSbnw0Y9g%2BTf9GaRovwE5vv7uFpQysja72Im%2Bu2ap1%2FxK9ZmTxW6MGlRL3QE%3D%7Ctkp%3ABk9SR7DkwraaZw
Size 7 Black DM Style Ankle Boots Zip Up Boots Goth Rock Emo Biker BN,18.17,New (other) ·,Sold 8 Mar 2026,https://www.ebay.co.uk/itm/137080497154?_skw=New+Rock+Goth+Boots&itmmeta=01KK9PGP8329XSK6BPGY8AN9TD&hash=item1feaa26402:g:3B0AAeSwmxlpotpl&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBBlCRHZzX1leR4IdSfic%2FHDBG7qllVKJpkZFa6ptzX9q%2BMc%2BoVD1b0DogDsKaKD%2B9acfOKl5T8ZUuoFywJZNYA7XAyvTS2qlV2et4bcgee73ukQ4DE4%2Fc2f%2FWc69XniuaPswoVoQ6s18lHUb6Ut1zOgTNbvSVhWPko%2Fcm8IzUahspjdEVmIc%2B1Ig%2B1EMSgQYbIYjmPG2G8MZv%2FgKCzxUij%2FALGYrBsFusUDoYzCxMXV8ZBfkgyDjhmfkmC0hueJDMjH4gjxolXab2Z6fnpIT20yKIPYrUBgg2T2Xlnl5fyBg%3D%3D%7Ctkp%3ABk9SR7LkwraaZw
Brandit Military Combat Para Boots Steel Cup Security Leather Footwear Black,59.51,Brand new ·,Sold 8 Mar 2026,https://www.ebay.co.uk/itm/282840115197?_skw=New+Rock+Goth+Boots&itmmeta=01KK9PGP831SZEWND8H30YSBFC&hash=item41da95a7fd:g:Su4AAOSwAGhafCth&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCII%2B1gaz6%2FVCYucdA70eP8PBr776TRUDOaQC6eX69sXpfk4AXGnA%2BPXizRb2mxfR6174FMMtKX7vlRTGOpJG0nDyCeIUFgQq7NVivUZNi0Xwog201qsWB1ysA6qlGFcqOpg2Xpq3Pt7IEBXqoHdnJpGOzq8jMDwh5837TpND%2F6U8%2BmdKwE%2F9Qznpk8PpMkyQn%2FDNzyLMRZV%2FTVCotNCDfvL34S7XkDhjY3AqPpEoM%2B5dPNEdqS0%2BfZiu9dG1h1xCoVppjAEUQIXokzBXCPbV0tuiVYG97tmHN1j0qQUaHWzg%3D%3D%7Ctkp%3ABk9SR7LkwraaZw
