platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
vinted,8347258847,Stunning goth/rock boots worn for less than an hour size 4 (37) Bargain,8.0,GBP,New without tags,Shein,4,clothesaddict1970,,https://images1.vinted.net/t/05_00775_TVEbpeKmw4VMf7fi5GfjZjbw/f800/1772994271.jpeg?s=74370110eb7c4bd7b9ad7c750f3cc85908e33d56,https://www.vinted.co.uk/items/8347258847,,2026-03-09T16:22:25.469072+00:00,New Rock Goth Boots
vinted,8338430929,"Leopard Print Boots Size 5 Brand New!  Rock, Goth, Alt, Festival, Boho, Punk",10.0,GBP,New without tags,,5,dexterl74,,https://images1.vinted.net/t/06_0173a_SrjsHWCRnBADobLWauufGhjT/f800/1772916137.jpeg?s=ed6a3c1a06d22cf786e40093f5a809c0d31bfc80,https://www.vinted.co.uk/items/8338430929,,2026-03-09T16:22:25.469113+00:00,New Rock Goth Boots
vinted,8337885713,New Rock boots silver and black goth alt genuine,170.0,GBP,Very good,New Rock,11,jemmakara,,https://images1.vinted.net/t/01_01f4a_nTciw4BQr1psfBNMM5hBSYM1/f800/1772911246.jpeg?s=ac93ff2f2627522a9ae16e866ab937226677f491,https://www.vinted.co.uk/items/8337885713,,2026-03-09T16:22:25.469118+00:00,New Rock Goth Boots
vinted,8334075251,Killstar Gloomed and Doomed vintage style goth rock boots in black chains womens size 6 rrp £105,53.99,GBP,New with tags,Killstar,6,gazelle2026,,https://images1.vinted.net/t/01_00c33_1GqjEAFecwYTSiTooxrGykYn/f800/1772888553.jpeg?s=f4fd7cf89b54dfb3f3f6548150a44a935b082163,https://www.vinted.co.uk/items/8334075251,,2026-03-09T16:22:25.469141+00:00,New Rock Goth Boots
vinted,8328637616,Swear Vintage Platform Boots Camden 1990s Super Rare Goth Spice New Rock Buffalo Cyber,300.0,GBP,Good,SWEAR,6,goff_goff,,https://images1.vinted.net/t/06_01d59_FQuT6gJePwadEpngnuVPvhRA/f800/1772817619.jpeg?s=ef73251e2b9de02c8a4f8b2fd397e83dafd469e3,https://www.vinted.co.uk/items/8328637616,,2026-03-09T16:22:25.469191+00:00,New Rock Goth Boots
vinted,8328734943,New Rock Reactor high leather boots rock/punk/goth UK9,137.0,GBP,Very good,New Rock,9,vinadvantage,,https://images1.vinted.net/t/05_025d8_7fq2WSX7rJERzt4j9AE8M2B5/f800/1772818334.jpeg?s=b549226a9881196f6908acf8a1f1a8e8bace2908,https://www.vinted.co.uk/items/8328734943,,2026-03-09T16:22:25.469197+00:00,New Rock Goth Boots
vinted,8328237826,Demonia cult platform battery ashes-55 boots goth rock punk size UK 7 US9,45.0,GBP,Very good,Demonia,9,poacher9532,,https://images1.vinted.net/t/01_020c2_fBoDrrKuzJZTjrbbU5U7poN2/f800/1772814773.jpeg?s=dbdac9cb4e952e9ca8eff76bc4b437a0eadff39a,https://www.vinted.co.uk/items/8328237826,,2026-03-09T16:22:25.469226+00:00,New Rock Goth Boots
vinted,8318109081,New Rock Ladies Floral Gothic Leather Ankle Boots,110.0,GBP,Very good,New Rock,4,missviolet24,,https://images1.vinted.net/t/06_01dbb_VqDgMGNEXyynYG6nw33FaquJ/f800/1772706674.jpeg?s=ff4015727accffa4babe514e73f4c57d9c850a0d,https://www.vinted.co.uk/items/8318109081,,2026-03-09T16:22:25.469303+00:00,New Rock Goth Boots
vinted,8309104102,Vintage New Rock Original gothic mid calf platform boots,145.0,GBP,Good,New Rock,5,tia_grant,,https://images1.vinted.net/t/06_02492_eHZLCZFAAUcpjATzoe15gwZj/f800/1772575703.jpeg?s=141ac4599425a7d9a1e9d9aa9971f18b755e62e6,https://www.vinted.co.uk/items/8309104102,,2026-03-09T16:22:25.469411+00:00,New Rock Goth Boots
vinted,8307081326,Topshop leather 6 studded block heel ankle boots buckles goth rock grunge,19.0,GBP,Very good,Topshop,6,seller9061214,,https://images1.vinted.net/t/05_00615_VxQ9byjhEF2UDmrpDJEMmn1i/f800/1772558807.jpeg?s=fa8b6d6eb8bee6bfb80daefc6b8b7395933632dc,https://www.vinted.co.uk/items/8307081326,,2026-03-09T16:22:25.469438+00:00,New Rock Goth Boots
