title,price,condition,date_sold,url
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
WWE Action Figure - Series #156 - The Rock,17.00,Brand new,Sold 24 Jul 2025,https://www.ebay.co.uk/itm/376323650230?_skw=New+Rock+Shoes&itmmeta=01KK9PGA694C6SNAN5QD36JRXH&hash=item579ea332b6:g:JqUAAeSwX8loRvqX&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCMDHXOq18wxhBiyUfuNJ1lptS85pkW4pBHLDISQY2OkIG%2BS1Kus9C6HSqp%2B9IDDWOJjs6yg0Hr7hN8Vo2nwmLR4zkh7uaIOf6qMz1TMByk8cafr7xa2yHkabfWh2sUdE3unJtRhn5DeAQLvrOSTP8CFNEdE2%2BUj5KMCaP1%2BI08kkU1lMWxZmQo4rP0XQghW34LucR2xHJNue8h%2FXhv6FdZnA4HWBhxyinWwltZvXcrqnVJtr%2Bje3FcWK4PsTzV7nbPiluqeF1ZyRm86sNUu9qBzliBGzWEFGxLFmwnjQ4IOQ%3D%3D%7Ctkp%3ABk9SR_ijwbaaZw
"PRETTY WILD. DOO WOP, ROCK'N'ROLL DANCE CD ,JIVE, STROLL",4.65,Brand new,Sold 9 Mar 2026,https://www.ebay.co.uk/itm/358203794082?_skw=New+Rock+Shoes&itmmeta=01KK9PGA69X9FPENZTYR06ZVA4&hash=item53669c22a2:g:gIUAAOSw-XFkhHsf&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xB%2FoVXgES9CYWCJnMzlY2w6EpNaIu7cnEktuh0DhGwIj5T4S5GbUgxkcS5R4tzWxFYC2%2F4F9AumFDYNeA1dMK0IYxAaxHqED1xyvCBG%2BNsI0lKYbQBdCWzPKvkek8Kx1%2FyMKWAV%2F%2BgHMDKNS0HJf%2BGAtDf37NwOQMqHl5UHXw7rzVFuooPmVeEHfbMPPgIXZGYFK%2BO3vXLHEMNhscN5VgMH0YI1rSxzU9zxOCjf%2FZpntum%2BacNTyo5sXjYivKXz7ReZK5f5cqdqyPbAi0uwwzW709%2FLVYxB6YMmDg%2BwnVjmNg%3D%3D%7Ctkp%3ABk9SR_ijwbaaZw
Mens Leather Suede Boots Desert Boots Mens Boots Genuine Suede Sizes 7-13/14/15,34.99,Brand new ·,Sold 25 Apr 2025,https://www.ebay.co.uk/itm/116225896118?_skw=New+Rock+Shoes&itmmeta=01KK9PGA69GEKDQQS1YJASCTTB&hash=item1b0f9a6eb6:g:KMUAAOSwFJdnH38i&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBvZEsy6ePsKAgxjIKoP06gCKZ38AH%2FEfN1LeSN0rrhjQAT1l9bd7sg8BgPQbzmNzb7k1xAaecFWnTXW46fWRAD%2FzxU%2Fyb1mU6ikAypmcJ%2BdHzvzG5EBRxdoHRwovGSNX1vJBm7tG6YxYp6eEuo2sUetrAOIArY4qAdeINtXxZOZzskvIWpq185cZD5%2Bez3gipLsol2Wpl5wfwvJrZEVF6D3J4nYU1EBtACmPgbhHSBYKDE1zPqHQ3H%2FBVzpxgnZxM%3D%7Ctkp%3ABk9SR_ijwbaaZw
Pink Floyd The Division Bell 20TH ANNIVERSARY DOUBLE LP New and Sealed,114.95,Brand new,Sold 25 Feb 2026,https://www.ebay.co.uk/itm/227177116775?_skw=New+Rock+Shoes&itmmeta=01KK9PGA6AF061BXXWV6KTP3MZ&hash=item34e4cfb467:g:-Z4AAOSwO0Fn6uco&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBIuZCJMVKC1gbR9aNMzMFlSqdYBxjbr6UGpU2mSXnwF6DcYIB4hZrcQWuiXHu%2FR6lCHHJgF0D1kTACVEBCcfj93atE%2BCqswMZLBivgBATJugaqOF3LK3YRHLaTX69U0nb%2FoWuCJ1K2IYxhbUfw4GLwy53%2B6xjZT9KRWs9gfhS%2B%2Bq%2BowDdEeIW9fp0UTpbPGt7IRnHsWEH9S1Aw287DiLge3AKcCL8%2BkWttPVEErvueuDnrcj78BfRL5QCW8R4nd0NDshm5Cne5QibivGvu1SN%2FuhkArJB5ec0gi%2B87siH45w%3D%3D%7Ctkp%3ABk9SR_ijwbaaZw
"Celine Dion CD Bundle – A New Day Has Come, Let’s Talk About Love, Courage....",9.99,Pre-owned,Sold 9 Mar 2026,https://www.ebay.co.uk/itm/336407613116?_skw=New+Rock+Shoes&itmmeta=01KK9PGA6A6SAKC2QZ4295EX49&hash=item4e5374cebc:g:LbAAAeSwDeJpd8Eu&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAPrMgDANtMd1CUNxE3%2B3vG9uuCHr4nY4XRM3u5CdAhyGfAOl%2FzQ4QWzmkyMwtMeJMXQyrjC4bVtoQO3QABxmLIE4XkI6IN7yd6RAEmVMFFw3Kd0cUnTUQda%2FTX6LTQPGpea%2B%2FCzUsFh49UIhdb1DxYO38XRAXmfN6tB6dQOJoDJykHmHYBQlwly0%2F90BkK0DnzFGbmtzWsA0R76w7%2FASqXu928YkZe9LJNO4J4zReOgsdi96fW9WNbqJ4eJZiXx%2Fo%3D%7Ctkp%3ABk9SR_ijwbaaZw
Grippa Tent / Awning Rock Peg Set with Peg Puller - PG0016 Kampa/Dometic,16.99,Brand new,Sold 15 Aug 2025,https://www.ebay.co.uk/itm/123637560640?_skw=New+Rock+Shoes&itmmeta=01KK9PGA6A2QT73PRFBRMFA4J8&hash=item1cc95f7540:g:BNQAAOSwRVJhHm4q&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAkBD2xsEKprK%2BU0K7XUE9li7f7FYKHTQMdzc5HM43k2eezVdZ%2FCXV1BSMcKmibkprBBcrjvQBK37BUykrs5wjkJPw4he7tbHWk5ztsW%2B3e%2Bg6XcAh09fAUsqCCPSXlexyQSGyTDOJA420H92tow4hhvrUojMwquH8jBlE8Pz43lXTBa1io3zjeyIdOQjTmsiPSiYCn1fWX6K6qM4ML0SvCADzSQhkzUopWhMA4bn3hT0kFxWklm9awCD2D7Qn18oG5195NTOAzwtftIZMSoPCg8%2FHRfsw5XHUUtQdKF1p%2F0Q%3D%3D%7Ctkp%3ABk9SR_ijwbaaZw
6mm Open Hook Eye Bolts Rawl Shield Wall Anchor Expansion Brick Stone 8 Pack,5.43,Brand new,Sold 9 Mar 2026,https://www.ebay.co.uk/itm/406448638484?_skw=New+Rock+Shoes&itmmeta=01KK9PGA6AVB77SMWGVV0Q56QW&hash=item5ea23a0a14:g:O4gAAeSwr-VpMXLZ&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xC%2BaC81NSSM%2FV6EhQnMs0dOH0qfbEwwWBYqT%2FTWiB75Z8g6gEC63Baal%2FeEqTGDjMNDjA1oN8nRyul4gA%2B164NrII6UZJ7L9odmWLrKCB0jtLR1M0vopMDjvrpEh5MIyB2whYbv%2B9cvChwjHdF175a0tK0k9hYBLlIGZ21IiGq2tCsQCG9Aw%2FMQIZzcTK9jYw%2F9%2BljZr%2Bw7dL2MPTMDPOVS%2BEL2a0Kp0sHm8t7QDdA7jxtz%2B%2B4O6dTVjj7opaKvX9E3i1sq37JPD%2B5GVZ1JVHG%2Fi7jSDWYHHKj%2FKyzq8xdTMw%3D%3D%7Ctkp%3ABk9SR_ijwbaaZw
Centipede : Septober Energy CD Remastered Album 2 discs (2022) ***NEW***,16.49,Brand new Product from musicMagpie. 13m+ Feedbacks,Sold 12 Apr 2025,https://www.ebay.co.uk/itm/385602326902?_skw=New+Rock+Shoes&itmmeta=01KK9PGA6A7AQ549FPRMJKGG9D&hash=item59c7b09176:g:q4sAAOSwYNtkWmHP&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xB2DMcrD0ov3uTna66q86XI%2FHf1YNZCjAQgz6qFjgIfrLjL7HE6sX%2BAv0ftplQNuvJL7rRlMMVEfxCpNNLgTscxw4LLu1fVvBmjOsccN3oYU8E4blnIIvNiSm0co96%2BVG1hjmLUN53njBrX2nbsqTEJHWypmpKswDGWZzWpz7%2B02LwbkMTFY%2Fwrye68KRVQbNT%2FRxAp9uihU57D809vrFkWs%2FCBcJboXIzFbRCRGWWTOraOTQRKfG6Lec0ge4rAZlqezMl64vb0mXL8Ag1iTzDyM4LXyQliNfgNdwgE4EBH4Q%3D%3D%7Ctkp%3ABk9SR_ijwbaaZw
