item_id,title,category,size,price,currency,shipping,best_offer,end_time,listed_at,condition,short_desc,seller,seller_feedback,location,listing_type,url,fetched_at,search_query,last_seen,times_seen,presumed_sold,sold_at
v1|177921424648|0,"2000994 SHOCK ABSORBERS STRUTS SHOCKERS REAR KAMOKA 2PCS FOR AUDI A4 B8,A5,Q5",Leather,S,79.89,GBP,Free,False,,2026-03-04T17:10:28.000Z,New,,masteda-parts,99.4,DE,FIXED_PRICE,https://www.ebay.co.uk/itm/177921424648?_skw=q&hash=item296cf17d08:i:177921424648,2026-03-04T17:13:29.023856,q,2026-03-04T17:13:29.023856,1,True,2026-03-04T18:27:11.093858
v1|198155243016|0,VW TOURAN II III 5T 24R FUSE BOX 5Q0937125D,Leather,S,58.46,GBP,£25.98,True,,2026-03-04T17:10:17.000Z,Used,,shopmercparts,100.0,PL,FIXED_PRICE,https://www.ebay.co.uk/itm/198155243016?_skw=q&hash=item2e22f90e08:i:198155243016,2026-03-04T17:13:29.023934,q,2026-03-04T17:13:29.023934,1,True,2026-03-04T18:27:11.093858
v1|389698945506|0,Lightweight Aluminum Sliding Plate for Manfrotto 503HDV MH055M0Q5 Models,Leather,L,10.31,GBP,Free,False,,2026-03-04T17:10:10.000Z,New,,kfzlh17,99.3,CN,FIXED_PRICE,https://www.ebay.co.uk/itm/389698945506?_skw=q&hash=item5abbde01e2:i:389698945506,2026-03-04T17:13:29.023958,q,2026-03-04T17:13:29.023958,1,True,2026-03-04T18:27:11.093858
v1|358285813691|0,SUSPENSION SPRING ZCA6086H FOR SKODA FABIA/II CHTA/CGPA/CEVA/BZG/BBM/CHFA 1.2L,Other,S,40.2,GBP,Free,False,,2026-03-04T17:09:59.000Z,New,,elartcom,99.8,LT,FIXED_PRICE,https://www.ebay.co.uk/itm/358285813691?_skw=q&hash=item536b7fa7bb:i:358285813691,2026-03-04T17:13:29.023997,q,2026-03-04T17:13:29.023997,1,True,2026-03-04T18:27:11.093858
v1|227242100920|0,BLUE PRINT ENGINE COOLING WATER PUMP ADN19190 FOR MERCEDES-BENZ NISSAN RENAULT,Other,L,43.31,GBP,Free,False,,2026-03-04T17:09:55.000Z,New,,partevo,99.3,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/227242100920?_skw=q&hash=item34e8af48b8:i:227242100920,2026-03-04T17:13:29.024028,q,2026-03-04T17:13:29.024028,1,True,2026-03-04T18:27:11.093858
v1|188120502416|0,Fuel Filter Housing Assembly 6510902852 OE Fit INFINITI Q50 MERCEDES-BENZ Black,Leather,l,26.99,GBP,Free,True,,2026-03-04T17:09:47.000Z,New,,bonuspace,99.7,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/188120502416?_skw=q&hash=item2bccdb1090:g:j4UAAeSwkt9pqGdK,2026-03-04T17:13:29.024050,q,2026-03-04T17:13:29.024050,1,True,2026-03-04T18:27:11.093858
v1|198155241575|0,2019 AUDI Q8 Exhaust System 4M0253211S  ,Leather,s,309.99,GBP,Free,True,,2026-03-04T17:09:47.000Z,Used,,silverlake-automotive-recycling,99.8,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/198155241575?_skw=q&hash=item2e22f90867:i:198155241575,2026-03-04T17:13:29.024074,q,2026-03-04T17:13:29.024074,1,True,2026-03-04T18:27:11.093858
v1|227242100778|0,6pcs ABS Car Seat Adjustment Button Cover for For A3 A5 For A6 A7 Q3 Q5,Leather,s,14.23,GBP,Free,False,,2026-03-04T17:09:47.000Z,New,,qianqianstore,98.7,CN,FIXED_PRICE,https://www.ebay.co.uk/itm/227242100778?_skw=q&hash=item34e8af482a:i:227242100778,2026-03-04T17:13:29.024091,q,2026-03-04T17:13:29.024091,1,True,2026-03-04T18:27:11.093858
v1|397674869235|0,SENSOR WHEEL SPEED 32 92 3804 FOR SKODA E-CITIGO ROOMSTER/Praktik FABIA/Combi,Other,S,28.2,GBP,Free,False,,2026-03-04T17:09:47.000Z,New,,hok-is,99.9,LT,FIXED_PRICE,https://www.ebay.co.uk/itm/397674869235?_skw=q&hash=item5c9744f1f3:i:397674869235,2026-03-04T17:13:29.024117,q,2026-03-04T17:13:29.024117,1,True,2026-03-04T18:27:11.093858
v1|298088968372|0,CLUTCH KIT ADR163073 FOR RENAULT MASTER/III/Platform/Chassis/Van/Bus  VAUXHALL,Other,L,159.24,GBP,Free,False,,2026-03-04T17:09:46.000Z,New,,unitedmotorsparts,99.7,LT,FIXED_PRICE,https://www.ebay.co.uk/itm/298088968372?_skw=q&hash=item45677cb0b4:i:298088968372,2026-03-04T17:13:29.024144,q,2026-03-04T17:13:29.024144,1,True,2026-03-04T18:27:11.093858
v1|206110786912|0,For KAMOKA UK�ADY HAMULCOWE 104020 BRAKE DRUM REAR RENAULT KANGO97-,Other,M,44.66,GBP,£13.86,True,,2026-03-04T17:09:42.000Z,Neu,,autoteilezentrumde,99.8,LT,FIXED_PRICE,https://www.ebay.co.uk/itm/206110786912?_skw=q&hash=item2ffd290560:i:206110786912,2026-03-04T17:13:29.024188,q,2026-03-04T17:13:29.024188,1,True,2026-03-04T18:27:11.093858
v1|206110786974|0,For Kamoka UK�ADY HAMULCOWE 1070048 BRAKE SHOES MOUNTING KIT FORD FOCUS 98-,Other,m,10.53,GBP,Free,True,,2026-03-04T17:09:42.000Z,Neu,,autoteilezentrumde,99.8,LT,FIXED_PRICE,https://www.ebay.co.uk/itm/206110786974?_skw=q&hash=item2ffd29059e:i:206110786974,2026-03-04T17:13:29.024220,q,2026-03-04T17:13:29.024220,1,True,2026-03-04T18:27:11.093858
