title,price,condition,date_sold,url
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Size 9.5 - Converse x Rick Owen’s Drk Shdw Turbo Hi White Black AO3943C,43.00,Brand new ·,Sold 9 Feb 2026,https://www.ebay.co.uk/itm/317824632836?_skw=Rick+Owen+geobasket+UK+9.5&itmmeta=01KK6TJ0P80CSE067H0HA188G6&hash=item49ffd30804:g:ZrYAAeSwj4dpPwIZ&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xB5PwaJg7nMtz1QJWyJG7cD%2BgTaR86%2FLI88%2FsoD%2Fi1JCxK5cxeFakKUxMOB5QRm0AEkJjQGo%2BvxBSD20FJO3kWEliN5QvcSu8x9W%2BEeIv%2FjwnIVYcPhInybOaTykDxSqsRLLqT65kHOvigXXhPLThxhEP4cxIDgdGFgwUqpZ02Sf52hhwjBke8pXtcLHoO0uOacv3b%2FnVth%2B6ylzX1rCV2UOSFl3wV%2Fo0S3%2BcYc3UdDjg18Qv8iDMr0IqRS9fGqRGi7PI34j8Y6ft4TrP8rEEvxV1R5Vdm1RANYAGHNlg1n%2BYfiP%2BOJi29imB9ptrjtlYY%3D%7Ctkp%3ABk9SR6yLyNqZZw
Size 9.5 - Converse x Rick Owen’s Drk Shdw Turbo Hi White Black AO3943C,49.99,Brand new ·,Sold 30 Jan 2026,https://www.ebay.co.uk/itm/317760659927?_skw=Rick+Owen+geobasket+UK+9.5&itmmeta=01KK6TJ0P8DNZGPYVQ2JQDAK91&hash=item49fc02e1d7:g:ZrYAAeSwj4dpPwIZ&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xD7xOCjUH7iha%2BorNs8YdQ8r5wNCtD7oQKCPUkKh0XiGFtO0tNaprgHeII6TStyBTAeXgj6oh9rf7p3Lsz1r2BilYYKnLeeUfE9kJAedBGzHuadx8GXuryYjSRGs0UR0JIPFH5VCq3sAQv6Gy37o4jh3A6ZJX%2BFjdwCa%2BbqS%2FaSKlE9sYYyhv7Ty36pq3De7iwXAu7%2BBLn5FfvfXT3addOnNdPUYJ2gIxIb7UyNHFZJmHPfjlwp7dfwmPMsLY5vLQHO4U2Undnk7YyEchKAkC21wvhRuv2W3kYguI7PZbpfvSq5p19pWoQexWuvTjPd17w%3D%7Ctkp%3ABk9SR6yLyNqZZw
Dr Martens Rick Owen’s Uk 9.5,384.10,Brand new ·,Sold 15 Feb 2026,https://www.ebay.co.uk/itm/236637505591?_skw=Rick+Owen+geobasket+UK+9.5&itmmeta=01KK6TJ0P84QAFXMBGTT3XRAY6&hash=item3718b1c837:g:e24AAeSwIaRpkdh5&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDlGO4bxEt7y05GHP6xaZylDUVhGBMqD%2BHsfKzzWKoa308PAoGc2e19aVBIowfIQnWmciXUHl9liL2oEgvV%2B0zMltff0niOEJ%2F3uyhPgigpdY2%2FysJFx%2F67W28E1egoqGwq3N0Yr9nRsCWr%2BOxpyClhathMo4YIJZvv0FljdDi1Mz6EQOlBv75u7rVpMjd5IRz6TaJIpJYAA0bMJw98QN1%2FyegRHeARS%2Bpdeoi%2FLL2EvkVWp7tf0JoLBxEkf26FNhlvwfCw30MJKIE06%2B6qiQAO%7Ctkp%3ABk9SR6yLyNqZZw
Rick Owens x Converse DRKSHDW TURBOWPN Mid Cloud Cream UK 9.5 US 10.5 New,109.95,Brand new ·,Sold 27 Dec 2025,https://www.ebay.co.uk/itm/157528999513?_skw=Rick+Owen+geobasket+UK+9.5&itmmeta=01KK6TJ0P8ZSS2A31C1HC2J702&hash=item24ad75c659:g:LF4AAeSwoo1pNf06&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xD4RNnfy2XDGR3Y%2BMyQoPWmfht6Bb%2F4tcVG02kljfVTD%2BK2NGNRfEqkDFROMj7n4UhDzq7ver907esZyEUFejranTEnkjadRf1zVF1UWX0W1yEAxIeLLYIcLJ8bjRDPhUpfvgx7Q2KWjP8%2Bh6PmbJR8aT4x%2BiCccbktMxk--90E0OmX629fhl8q%2BeMP37T8X9dwdFdncyBr08a7Le7jLBPq6v1H6KhvPJXU4dZYVrpFP8h23ecgF%2FBk35rWzpJr1gPYP8ySEm3PA0ztIhEU7Pcr%7Ctkp%3ABk9SR6yLyNqZZw
Rick Owens X Dr Martens 1461 - UK9.5,193.10,Pre-owned ·,Sold 12 Jan 2026,https://www.ebay.co.uk/itm/306606722825?_skw=Rick+Owen+geobasket+UK+9.5&itmmeta=01KK6TJ0P8X6ZJK6WN82NW8YQQ&hash=item47632f4f09:g:NNMAAeSw1xFpGhR5&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xBYSUjhLyYMzjYivtuM6qRYFfKd%2F3NtKcCvxUuSqtJ7KCs9mEQlsI84CykM%2FNYP60E3Km%2FhveWUAGpphaCUEIk9jMjyeNkGa3ygYFrEEwo0kaxGF4HXzIe4lj8qVbuf%2FL3gEg4DwWTdgrQr8k7eQcBjIQo9RSBqcCWMhVLMQh4c5khA9T84CUTfV%2B0ZLkM7wwgDtPdc4VAz8lT18KaSj%2BKeXyNbvqSBty3DdHpLbw8tX%2FDrVlQBI05llNidx83Lej5EpPebfxIVfu67GcmrlLpQt0YV7%2BxQlShRC8sDE%2FmDTfDDy9SDkG6ohL0uLFJcReA%3D%7Ctkp%3ABk9SR6yLyNqZZw
Converse Rick Owens TURBODRK Chuck 70 Low Trainers Silver New UK 9.5,79.95,Brand new ·,Sold 8 Feb 2026,https://www.ebay.co.uk/itm/157622810334?_skw=Rick+Owen+geobasket+UK+9.5&itmmeta=01KK6TJ0P8CYF75V2RCNPVDMD0&hash=item24b30d36de:g:IA4AAeSw40tpbgsu&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDfjJtY4Fjd5zHoXX1objRvice12SiH0xGtmPH7S2MtbBgdP3J60PJMUAcGvsPOV1E9A7Torr3BYkaVI6ljew77OvMLdcMB50ilOCit3JPKi5bcrKxLdk3UcNQznTOh9YjgCD%2BHGJvoFShYwTDmukDv229C9tkBzCy%2Bbsv1%2B9DVtDs4kO6WD6LFx4SdXy2po3mwASriztqM2WmXKkn%2FYpMSrC9%2B3XT%2BTrcM%2FyD3%2BZV5O6Bc9vl6Y2R8GgfKiYMJzhq6v6RqzCPmyGWTM90HqQXW%7Ctkp%3ABk9SR6yLyNqZZw
Converse Rick Owens TURBODRK Chuck 70 Low Trainers Silver New UK 9.5,89.95,Brand new ·,Sold 29 Dec 2025,https://www.ebay.co.uk/itm/157577642620?_skw=Rick+Owen+geobasket+UK+9.5&itmmeta=01KK6TJ0P8E6M0BNP5QVP03RZQ&hash=item24b05c027c:g:5WQAAeSwErZpUwdV&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xDWbLmYL4FXPLEIhE7Iybegmu0R%2FwER9%2BU4rs89K0hTt9Yi7hzuxwr5P0cp7f4d3jbUpUijLb%2FyE4LvVZ0VNDEoWQ%2FH5y0GFaYu2itufCSJc5%2BAneI7LnwKQM41nPqWnSHvKD0880GTjyMeyFtdCHrOu9ecyNHAMJ3VypuE9p9O7Z6cBDHRtf3lFfo8WsgcM4j%2BsazqBt6EBQv3VT8q4chsvVe6Kl000WUcY20K%2B2rMp7HVJ9xpR2dCnqW7vRkjDYix5d0lOEo6NRMra8lQuGaKkloigHUQcyfU%2BgKXkOsgfK5eqL%2BDrdl%2BqrBg%2FTIhJ%2B0%3D%7Ctkp%3ABk9SR6yLyNqZZw
*LIMITED EDITION* Rick Owens x Doc Martens 1460 Megalace Quad-Sole Boots UK 9.5,349.99,Brand new ·,Sold 21 Jan 2026,https://www.ebay.co.uk/itm/376780161300?_skw=Rick+Owen+geobasket+UK+9.5&itmmeta=01KK6TJ0P8ME5GZVT8GFXNDJP8&hash=item57b9d90114:g:u90AAeSwXXlpIg5F&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xCAfzOrc5Uca5aamuY90QJp1GNrNbQkNX8NDfWJNzJWM8hkf%2BEKQcpDXne9hGDiHjHfvkRCI7g34gTqB4gCNJXg0uYltEjrIjXfzMzNfNbqLFCar8gld1kv8DThr%2BmlQi%2BDPH7RqR41z%2FGO37xs0%2FdLW0aFyZeL0eVlDhrtzakDlBy1NlIQZZJ7S2F%2Bu8%2BVUmMUtxXnTxBjQp1tGRDV3nIPOjOJjp2SmsGh%2FLwDOy01u956aH9cAUoe45r2CBkYnTxMUZl7RybaPrS0TKtNaQvM%7Ctkp%3ABk9SR6yLyNqZZw
