platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
vinted,8326902539,ROA Sella Hiking Shoes,74.99,GBP,Good,ROA,10,jajbaugh,,https://images1.vinted.net/t/05_01922_h2EMqrrX5FfCSd3AySmt43vr/f800/1772805468.jpeg?s=d052e88cdef8be4019c5470462ec1f4aea2638ab,https://www.vinted.co.uk/items/8326902539,,2026-03-09T13:15:05.569527+00:00,ROA hiking shoes
vinted,8226772307,ROA Hiking Shoes,100.0,GBP,Very good,ROA,Other,seanshakes,,https://images1.vinted.net/t/06_007b2_c2CjAtsReMhM5QMMU9LHxBRZ/f800/1771684959.jpeg?s=cfd37e372128f17080a17956fb5e0cf6ddc5eb14,https://www.vinted.co.uk/items/8226772307,,2026-03-09T13:15:05.569615+00:00,ROA hiking shoes
vinted,8141100590,Roa Neal Hiking Shoes,135.0,GBP,New with tags,ROA,7,jcarts123,,https://images1.vinted.net/t/06_0266a_6V4m7nfKe9UW5TDFqxeCQtq6/f800/1770668033.jpeg?s=bba0b5503502c57c031a8375e8f4d5bfc8a22fa9,https://www.vinted.co.uk/items/8141100590,,2026-03-09T13:15:05.569671+00:00,ROA hiking shoes
vinted,7595272169,Roa Hiking Mountain shoes 7uk 41eu New with box,140.0,GBP,New with tags,ROA,7,luxury_wishes,,https://images1.vinted.net/t/01_01a64_nVMwNixarMLFuFufQfGHPomt/f800/1763582244.jpeg?s=7f94f6ff471a402c9a452a27bfe157e8a245cb9f,https://www.vinted.co.uk/items/7595272169,,2026-03-09T13:15:05.569928+00:00,ROA hiking shoes
vinted,7369769512,Roa hiking shoes / boots lime green / yellow,65.0,GBP,Good,ROA,5,ehloweez,,https://images1.vinted.net/t/03_0185e_QFFF3fBu8N1LU7LR6EiNV272/f800/1760999871.jpeg?s=6244b971f978fd9094d6ed37d73edba9b8b4378e,https://www.vinted.co.uk/items/7369769512,,2026-03-09T13:15:05.569980+00:00,ROA hiking shoes
vinted,6912721976,Roa Neal hiking shoes,35.0,GBP,Satisfactory,ROA,9.5,albie.fay,,https://images1.vinted.net/t/01_0081b_QJs1YusS5crJkXd8iemwFfWp/f800/1755791074.jpeg?s=3d57f4d8d0c5ed9143f2537845adcbc9ae0e8f29,https://www.vinted.co.uk/items/6912721976,,2026-03-09T13:15:05.570052+00:00,ROA hiking shoes
vinted,6895835872,Roa Hiking Shoes,25.0,GBP,Satisfactory,ROA,9,royflynn,,https://images1.vinted.net/t/01_00b6b_esy7kGTBsjRMrxuyL1PuT3BT/f800/1755590933.jpeg?s=947e5dfd6118d89fa093aa7d58a3fd5776f98602,https://www.vinted.co.uk/items/6895835872,,2026-03-09T13:15:05.570057+00:00,ROA hiking shoes
vinted,6846963463,ROA oblique hiking shoes,30.0,GBP,Satisfactory,ROA,8,jzs171,,https://images1.vinted.net/t/04_0168e_vJnUoj9VMf4CFQpBGVrF9nJv/f800/1754842621.jpeg?s=e1f46e5b6de7f58e17339899788877069f985254,https://www.vinted.co.uk/items/6846963463,,2026-03-09T13:15:05.570079+00:00,ROA hiking shoes
vinted,6782838624,ALYX x ROA hiking shoes,100.0,GBP,Good,1017 ALYX 9SM,9,line31_archive,,https://images1.vinted.net/t/01_0042d_z1Mnt8AFJMguVi97TzT4Xz5R/f800/1753949100.jpeg?s=6d63a434da4197c6dc53b7ad77b4da8fd4c40d57,https://www.vinted.co.uk/items/6782838624,,2026-03-09T13:15:05.570089+00:00,ROA hiking shoes
vinted,6561341314,Roa Lhapka Hiking Shoes,120.0,GBP,Very good,ROA,9.5,patrickoreilly,,https://images1.vinted.net/t/01_0071c_EbmezJ4uCRMxzPMh8ES8JAG4/f800/1750669880.jpeg?s=f46f1773b72fbf297fed1179a4703e8dd9a44e62,https://www.vinted.co.uk/items/6561341314,,2026-03-09T13:15:05.570112+00:00,ROA hiking shoes
