item_id,title,category,size,price,currency,shipping,best_offer,end_time,listed_at,condition,short_desc,seller,seller_feedback,location,listing_type,url,fetched_at,search_query,last_seen,times_seen,presumed_sold,sold_at
v1|206096376985|0,Saint Laurent Paris Wyatt Harness Boots Suede Size 41 with Receipt Authentic,Suede,S,449.17,GBP,£41.93,True,,2026-02-26T23:25:56.000Z,Pre-owned - Good,,erosas03,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/206096376985?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&hash=item2ffc4d2499:g:0X4AAeSwJ4ZpoNW7,2026-03-04T17:35:01.348799,Saint Laurent Paris Wyatt Harness Boots,2026-03-04T17:35:45.727958,2,False,
v1|366227092020|0,"Saint Laurent Paris Nut Suede Wyatt 40 Harness Boots | Size EU 42, UK 8, US 9",Suede,S,414.7,GBP,£5.88,True,,2026-02-25T10:06:18.000Z,New with box,,fjardim,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/366227092020?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&hash=item5544d5f234:g:wbMAAeSwmsdpnsim,2026-03-04T17:35:01.348855,Saint Laurent Paris Wyatt Harness Boots,2026-03-04T17:35:45.727958,2,False,
v1|366227089217|0,"Saint Laurent Paris Nut Suede Wyatt 40 Harness Boots | EU 41.5, UK 7.5, US 8.5",Suede,S,414.7,GBP,£5.88,True,,2026-02-25T10:05:30.000Z,New with box,,fjardim,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/366227089217?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&hash=item5544d5e741:g:wbMAAeSwmsdpnsim,2026-03-04T17:35:01.348876,Saint Laurent Paris Wyatt Harness Boots,2026-03-04T17:35:45.727958,2,False,
v1|366227087153|0,"Saint Laurent Paris Nut Suede Wyatt 40 Harness Boots | Size EU 41, UK 7, US 8",Suede,S,414.7,GBP,£5.88,True,,2026-02-25T10:04:29.000Z,New with box,,fjardim,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/366227087153?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&hash=item5544d5df31:g:wbMAAeSwmsdpnsim,2026-03-04T17:35:01.348894,Saint Laurent Paris Wyatt Harness Boots,2026-03-04T17:35:45.727958,2,False,
v1|406718930007|0,Saint Laurent Paris Wyatt Harness Suede Boots 38.5 Brown,Suede,S,359.73,GBP,Free,False,,2026-02-24T15:06:32.000Z,Pre-owned - Good,,ks-mart-japan,100.0,JP,FIXED_PRICE,https://www.ebay.co.uk/itm/406718930007?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&hash=item5eb2565c57:g:IoUAAeSwpllpnb9r,2026-03-04T17:35:01.348911,Saint Laurent Paris Wyatt Harness Boots,2026-03-04T17:35:45.727958,2,False,
v1|376986580496|0,SS18 Saint Laurent Paris Wyatt 40mm Tan Suede Harness Boots EU 41.5,Suede,S,288.22,GBP,£48.10,True,,2026-02-23T18:09:46.000Z,Pre-owned - Good,,rokuzzz,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/376986580496?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&hash=item57c626b610:g:ligAAeSwlNdpm~Gb,2026-03-04T17:35:01.348929,Saint Laurent Paris Wyatt Harness Boots,2026-03-04T17:35:45.727958,2,False,
v1|406716684995|0,Saint Laurent Paris Wyatt Harness Boots Black 37.5 335240,Other,S,399.39,GBP,Free,False,,2026-02-23T14:27:42.000Z,Pre-owned - Good,,ks-mart-japan,100.0,JP,FIXED_PRICE,https://www.ebay.co.uk/itm/406716684995?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&hash=item5eb2341ac3:g:phUAAeSwx-1pnGjv,2026-03-04T17:35:01.348980,Saint Laurent Paris Wyatt Harness Boots,2026-03-04T17:35:45.727958,2,False,
v1|406638883158|0,Saint Laurent Paris Wyatt Harness Boots Size 10.5 by Hedi Slimane Harry Styles,Other,S,717.77,GBP,£50.35,True,,2026-01-25T20:37:46.000Z,New with box,,thethriftyposey,99.4,US,FIXED_PRICE,https://www.ebay.co.uk/itm/406638883158?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&hash=item5ead90f156:g:lBwAAeSwhd9pdn11,2026-03-04T17:35:01.349014,Saint Laurent Paris Wyatt Harness Boots,2026-03-04T17:35:45.727958,2,False,
v1|267552245439|0,【Boots】SAINT LAURENT PARIS Wyatt Ring Chain Harness Boots Leather Size 37.5,Leather,s,361.58,GBP,£32.19,False,,2026-01-21T00:46:45.000Z,Pre-owned - Good,,mikasho350,97.8,JP,FIXED_PRICE,https://www.ebay.co.uk/itm/267552245439?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&hash=item3e4b5b46bf:g:eUsAAeSwnSppcCKs,2026-03-04T17:35:01.349044,Saint Laurent Paris Wyatt Harness Boots,2026-03-04T17:35:45.727958,2,False,
v1|205993011507|0,SAINT LAURENT PARIS STUDDED WYATT HARNESS BOOTS / LEATHER / BLACK / SIZE 40,Leather,S,561.46,GBP,£59.89,True,,2026-01-12T09:24:55.000Z,Pre-owned - Excellent,,vermont_la,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/205993011507?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&hash=item2ff623e933:g:THAAAeSwOr5pZLt5,2026-03-04T17:35:01.349060,Saint Laurent Paris Wyatt Harness Boots,2026-03-04T17:35:45.727958,2,False,
