title,model,price,shipping,date_sold,days_ago,condition,url
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Saint Laurent YSL Wyatt Harness Boots EU Size 41 RRP $1390,Ness,£445.30,+£4.48 delivery,26 Feb 2026,6,Pre-owned ·,https://www.ebay.co.uk/itm/168182181079?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&itmmeta=01KJWYNK1RBW2W07N35FT4DTPB&hash=item2728706cd7:g:ChUAAeSw~8dpnPrX&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xByDFRuBLSQMknNaHopdvKQMTDGZXcvTQtAXLiVGGUugo4jDBUQRpxlQ6cBrPvKCtE7c0nBz4iZ7dZM2JpgU1tV070rZMH5OQizCqYVbpb6nXllow60xSXOS%2B9MEFaEexN3H5yHG2Y98qq0Vg497VV4uzgNSXUk%2BS%2B6bpSD2jR3pUNQYXw4W9X4hwxw3z7i1VSPu8JI2wet132HNg49Q4nQmmaKH6EEwSR%2BPtXGZoc2CJDAavqoWgpr%2FWiCx7rMz5AUKEs0TBMrHB4q%2Bz2BXcOzmXOfM%2F8Q%2BvC8uh3oVSmaC0AtX5t0VojxRTAnSG3Lawk%3D%7Ctkp%3ABk9SR4qx1p6XZw
Saint Laurent YSL Wyatt Harness Boots. US Size 43. $1390 Brand New!,Ness,£409.60,+£7.27 delivery,5 Jan 2026,58,Brand new ·,https://www.ebay.co.uk/itm/177721860226?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&itmmeta=01KJWYNK1RMB2PN5D8A364T5A8&hash=item29610c6082:g:kdcAAOSwWkRnX6H5&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xArWae%2BwYj62CarKrmJhtbJdf%2FLzUqQ4Pq9XmqXpZl4gBtL2sM4zTAJw7NOsvev4gjy60VAoYSYnTpcJmmweeNIn5hNav2vl994rA09I1j1I8GqoskNm73ZpbGAFeoAjgw1qB3JXaXQvRI8pyTCCSfbrumrRlbKQ1CJ07kbe2CRIpekT1jdceTFEyLagGi%2F3bkfXI3tqYOocPhYKdE%2Fs%2Bb8EegsdozNaZr0eBYXDOP3R5HJ9rpsslBxVp1zZP7LnQK0uH7cVAp6s%2FkSeGCYnyYIKNU236r28ZUqksdDKaBrbuH2aCN205Jg1%2FlljJIL578%3D%7Ctkp%3ABk9SR4qx1p6XZw
Saint Laurent - Wyatt 30 Chelsea Boots Suede - Sigaro - EU44/UK10/US11,,£299.00,+£4.48 delivery,2 Feb 2026,30,Pre-owned ·,https://www.ebay.co.uk/itm/336416308929?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&itmmeta=01KJWYNK1RWB6BHZRXYZ2GMNP2&hash=item4e53f97ec1:g:e2AAAeSwSahpf4wn&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xC1sn2WNd3jGYoQ%2Fyv6bqDlvubXtWy4Ryzw%2FqPVLBLNFaG3M9uxYjDMfVrs2vNHH1HzDkeVYnFnU2ngn0pwatyo4df8Z%2FH10ydAgKcGiqw2vjG95LS7zTSpS4IVSvX7X7sNmlClvnCDT5XFqt4P%2B4Ve1YpMgw71lJA5jCE2gZWmi%2BQEXcqzaK84soRbwrOYq6s4J%2BrG0Ezw2wK%2BiIRXSo%2B770BG%2By6p7jc3HuHhsd4aUT1AaqUIgOlCs2VtOV7DcKMKUKx9nlEJseOxFxVn2mYb%7Ctkp%3ABk9SR4qx1p6XZw
Saint Laurent Wyatt Black Leather Chelsea Boots - Size U.K. 9 / EU 43 - RRP £900,Leather,£312.70,+£4.26 delivery,24 Feb 2026,8,Pre-owned ·,https://www.ebay.co.uk/itm/287161121484?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&itmmeta=01KJWYNK1RR1KVKKXQR9HD55WF&hash=item42dc22facc:g:kIgAAeSwLkhpnUbx&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xBcpMfLOADBt3s5o2nO32p06e4v%2B1KcTBRvo%2FiET8Yl2UmBEcIhgpBJ4Yav4Czm80NEZFnP5YhElkyxJ%2B8M23EHgKhiDDxqKHzmAquK1PrZa4NnTN5R%2BqVX2K67FCQUqz0q7nad6yAskDRlVYYzvTHriQlGHn9OQJjlkKT3yO9FwXqoPe%2BE2mD6ACjtsJQCI4TVeVoOikLToiUgIuJvTllCDbGD21nEf6hYA4CMRfEGUW9oOzZJrxWD5EIOTrIOJXhI0cKor74a4unbuAslyq%2FdX2BnSfxF3BWYqaUgjgQH0SVEJIMQ9ylh929AzHbO%2BPE%3D%7Ctkp%3ABk9SR4qx1p6XZw
Saint Laurent Wyatt Suede Boots Beige UK 7 EU 41 & Box & Dustbag Luxury Footwear,,£312.69,+£4.26 delivery,17 Feb 2026,15,Pre-owned ·,https://www.ebay.co.uk/itm/257119259462?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&itmmeta=01KJWYNK1RFHJFHB9W2JEFGPT8&hash=item3bdd808b46:g:zGQAAeSwivlo5uV9&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xB7yrKORKFuRIfouWB1U9jN2dnhdW1gul2xHqg%2FfAMgnjFzIbNWuii2apa9AOCV8ge1wjMgqRdQq6x7T7vVbiDUcGVLw7Es19x9x%2BY7weJmeGw0EwktvP%2BJOHA5uXc4EN%2FiiqVS9384IAke%2BBee8xtsUFM9A%2F%2BCSFDJJbuBbVmOrDMaEiV4%2BesGfL%2F%2Bb7Z70%2F01pTZcX0HVad25kI%2Bxu8LG7ZqTDkQVyM9IFhH7%2FUUYVuw8r1rnJKRJgA5lVsRipVLRNQLTxJsIXNy%2B3McJJl6j%7Ctkp%3ABk9SR4qx1p6XZw
Saint Laurent Wyatt / Jodhpur Boots Size 42,,£414.70,+£5.88 delivery,5 Dec 2025,89,Brand new,https://www.ebay.co.uk/itm/405430014452?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&itmmeta=01KJWYNK1R7YKJKTFS944D5FG4&hash=item5e658311f4:g:irMAAOSwWgVnZG0c&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xAkFnQVd3RKPvyrlTp1EZMbgHul8Af4kXhJxBSP67FKVfQRbrZ7cmmIXMu1PER4hrL3iZ4mE0hKRrpOuAa2TqBEgUsmEAf4s0lQsuGluSRF80T6bjgq21OIf4kLvW83OTrRWSTFYvV%2BRtyhME%2FIzHmrp8nQsfmJzgt6vUVACJguUS%2FRBOcM62CRcTQl0tXIP4KQqZkfdYjkQLfvqMImgTwfsndTIH75AaPw84LjaYmlvpd6bcWTM8szJjHFjnQL4qgWwZ538TJb9tanEW%2BlRzPT%7Ctkp%3ABk9SR4qx1p6XZw
SAINT LAURENT WYATT 30 JODHPUR SIZE 44 UK 10,,£440.20,+£4.26 delivery,12 Feb 2026,20,Pre-owned ·,https://www.ebay.co.uk/itm/135294193918?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&itmmeta=01KJWYNK1R1ZJGB147EFTPZK80&hash=item1f802990fe:g:S-QAAOSw3uhnB-YL&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xCSOJ9LDRMNl2AUziOhwIdudQf7nngJSeYwhnYXVrlgZt43dJYiLkzomL2mrAUadXMdV4RyhCnkLVPgE0Q4areFnBfPCoH7ip8o7%2FMIi2e2Kx%2BByfbBypT7f%2FC2i1PNYG7H%2B02eTNTb80DXva7jmUSpldw5RIFpiQdjPbtdmG%2FyDPguWagsxFxeDMeu%2BsJLC9NEZvFfjxe5cMNFuJzQTH1fe8%2FpBEgFrq7OVhkmQfxwSTsOZnSv1z%2F5Od9wceXQGJPcheIJgtme44YDBHLqw0%2FN%7Ctkp%3ABk9SR4qx1p6XZw
Saint Laurent Wyatt / Jodhpur Boots Size 41 *NEW WITH BOX,,£430.00,+£4.26 delivery,20 Jan 2026,43,Brand new,https://www.ebay.co.uk/itm/326958817042?_skw=Saint+Laurent+Paris+Wyatt+Harness+Boots&itmmeta=01KJWYNK1R8637B7ZKQ3V5SCDA&hash=item4c20439f12:g:KPMAAeSwBqxpaprx&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xC1wjvHQG5ydximjvmwheR0CWau9EUykMxpHWt6MUe%2F1OzHVChgLcvezNI6lSXnR4loR59Ht4r8qSjbHCbPZ4gs7wfuqSUbQxAprvqpMPkswWQKxLxgTqonooWYz28n3INrslZid%2FDiqXJej7p7gLq1zszO0sd8oVFuT0DAA25BPJxL1xmf5Vqz6fGiGhwu%2BaAnl0C4JYHayVG0Xs7tQirrWH4dkE%2BQFx0UADF%2FgM8igtEKuoXz1BoKVBoq3YTYvbdxpQIQYjeN79c0HFYb9cQN7IDW0InZkUhXePx7ue4bLgr7STV3cc%2Fzdo7%2FxO%2FKAEs%3D%7Ctkp%3ABk9SR4qx1p6XZw
