title,model,price,shipping,date_sold,days_ago,condition,url
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Saint Laurent YSL Wyatt Harness Boots EU Size 41 RRP $1390,Ness,£445.30,+£4.48 delivery,26 Feb 2026,6,Pre-owned ·,https://www.ebay.co.uk/itm/168182181079?_skw=Saint+Laurent+Wyatt+Harness+Boots+Leather&itmmeta=01KJWZ0WTRHKCTN8XFMESXB9EQ&hash=item2728706cd7:g:ChUAAeSw~8dpnPrX&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xByDFRuBLSQMknNaHopdvKQMTDGZXcvTQtAXLiVGGUugo4jDBUQRpxlQ6cBrPvKCtE7c0nBz4iZ7dZM2JpgU1tV070rZMH5OQizCqYVbpb6nXllow60xSXOS%2B9MEFaEexNyityEnJd3G8i76G71ZynFwrBfmjB0oMAJepllNMjL%2F0Jw3DLy5lNbRh4EvxtqkJicGNYV8CNm3jhRlpE2LMmxWyueUtx7P5k5p9Mke7BTpXiYgvYxRUSwbxWuIIZKb9KL9QhjDucnuR9aqjdtR5dyB1ZyC2%2FCuOVMZEfsPD0gkkMDphcbWzXFq%2BB7UtSat%2Fg4RZZsVCsGHz%2Fp2j7uJ3s3%7Ctkp%3ABk9SR9jNg5-XZw
Saint Laurent YSL Wyatt Harness Boots. US Size 43. $1390 Brand New!,Ness,£409.60,+£7.27 delivery,5 Jan 2026,58,Brand new ·,https://www.ebay.co.uk/itm/177721860226?_skw=Saint+Laurent+Wyatt+Harness+Boots+Leather&itmmeta=01KJWZ0WTR0T7QCVGFP8C8TBXR&hash=item29610c6082:g:kdcAAOSwWkRnX6H5&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCyn5ToCwnPI7YADSKnKm6NctgtQCgMJzZwBWiQvSJwWhCI8cnfsDx4ais%2FDPsAv7Y%2BWP2vO3cBTjSE%2F76LiXqSrXRTXhoXZZSbDQyNNY%2BAbCtCN%2Bcj1dPOJHSd0RLfXPUt6ar3TU1RwP8Fyq%2FqNw4n4xq4ZwQZz0hrui6pspgk5gxreWMZXM1Armt2UOY4dyChzC4WX8EdJ3imHELxxNnT9YIh3YnpEcP8eLaiR%2FEGiX7x5OQH%2Fy9aOsFOU3tqOM79o3BqTSsPddYRwEQeGBsqErMBjh2rhTc%2BZUkQlB9zyw%3D%3D%7Ctkp%3ABk9SR9jNg5-XZw
£860 Saint Laurent Wyatt Chelsea Boots in Suede - 443208 BT300 1000 - NEW - UK8,,£193.10,+£4.26 delivery,19 Feb 2026,13,Pre-owned ·,https://www.ebay.co.uk/itm/177875241144?_skw=Saint+Laurent+Wyatt+Harness+Boots+Leather&itmmeta=01KJWZ0WTRNZPVEF9ZNGFKBNVN&hash=item296a30c8b8:g:AtwAAeSwCm5pT7jS&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xCHGJODGvFk6PBvD55IWLWq6W%2Fs6o7Nke7ZExN0J5mv1R%2Bi7CygUwC1KhGPL2sboaL3qMR9aLiW5BSX170zex%2FhLUcTDi%2FdRpXNBwFa0WxPH9au1wrtfkCrMSyHPvLMxMmVHx6xl3FnQE2Pfn4%2BYEE3Vo5I04rzSkE1xcp9lUNfdm8pdm9Z6JvzBROFFDuwg24fwWZZTApBuJrzNDnP9qt%2F2NfASjg9fBj9jfKAfmwxdDoje%2FEKHXGZ9srYyyHOGVGF5QzNfPAz7UWL5yc%2BPge3XFQvyfywyOLYhqiYRzAzG3UWHZMc4UcJ6ZP7CIX7uUs4%2BJOisSEDgs8L6pmdUsxR%7Ctkp%3ABk9SR9rNg5-XZw
Saint Laurent Wyatt Black Leather Chelsea Boots - Size U.K. 9 / EU 43 - RRP £900,Leather,£312.70,+£4.26 delivery,24 Feb 2026,8,Pre-owned ·,https://www.ebay.co.uk/itm/287161121484?_skw=Saint+Laurent+Wyatt+Harness+Boots+Leather&itmmeta=01KJWZ0WTRMZFFA6F1MWKWA119&hash=item42dc22facc:g:kIgAAeSwLkhpnUbx&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xBcpMfLOADBt3s5o2nO32p06e4v%2B1KcTBRvo%2FiET8Yl2UmBEcIhgpBJ4Yav4Czm80NEZFnP5YhElkyxJ%2B8M23EHgKhiDDxqKHzmAquK1PrZa4NnTN5R%2BqVX2K67FCQUqz3bwdqOVi4p2b8kuuaHHyVOoTdHF%2FGBF63TanlZfE0xgwSrjiRGhSy3C6drCn8gw073ckDzBvs9FUgBOEB4QAFBUsl8%2FH6QEuXHdnGFuNDRot8gHqdrcubKMskrNdHJk%2FCpECNuKslZ%2BCzSmJ8gARpDQ2ys6fBnBouBPVVjeKlNf07iLGd%2F1yMRr1alNaUpCTKYiL5V2bVMcSYaEjWe2%2F48%7Ctkp%3ABk9SR9rNg5-XZw
Saint Laurent Wyatt Chelsea Boots UK 11 Grey Suede Leather Men,Leather,£146.30,+£4.26 delivery,27 Jan 2026,36,Pre-owned ·,https://www.ebay.co.uk/itm/236595274355?_skw=Saint+Laurent+Wyatt+Harness+Boots+Leather&itmmeta=01KJWZ0WTRWE9JVSK1RDNCDZ0E&hash=item37162d6273:g:wt4AAeSwc51pcjtO&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBsDateFv%2FXBL%2FfvmcvPcFR7AcMZWegfLIy6n9n6g8jKyh1ph%2Flwo6cH1YFmqENi7n%2BfIBSfbOTabwO1rquKxYtMgmx3KYwKwzlI7gJbvrUT0RuK%2FPjBksUQxR7%2F8QELOYODyj5jm12tktkWV3fEUV4WMudL1b9t%2BqgPx0uOnhlD0o%2FpORQWR5DfqK4U5odsaeqwfb7Mh1zVsLl1LRs5UHu6onxHwqxiqnA1LPljGBXJPrV3ZeErsLzCrTvS%2FqMLm1NbGpZX2UMGvZ2ZbiLA14L5Un7hIHyWl14ifEFfIgH1A%3D%3D%7Ctkp%3ABk9SR9rNg5-XZw
Saint Laurent - Wyatt 30 Chelsea Boots Suede - Sigaro - EU44/UK10/US11,,£299.00,+£4.48 delivery,2 Feb 2026,30,Pre-owned ·,https://www.ebay.co.uk/itm/336416308929?_skw=Saint+Laurent+Wyatt+Harness+Boots+Leather&itmmeta=01KJWZ0WTR3MF6QDE583QCNER5&hash=item4e53f97ec1:g:e2AAAeSwSahpf4wn&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xC1sn2WNd3jGYoQ%2Fyv6bqDlvubXtWy4Ryzw%2FqPVLBLNFQbEVlUZsrRWKHqVO3IQ3A35ZqZ5sm%2FtzQntDjemdzG1YU3cG1HHQ5mv0VLnDmcLa39%2BkbR7NIVMx0COMXuoDF9Qvu8gnEbYe9A8ETubMaMI7QO3DCMrcN%2BNE6IIUZHt4n7VhTG5%2FwYiGo59O3LIqcjgFasdEEW3Vl7aLlUdThNK1GvEiPNUd55QyIQtLt3775zHRC29wF10WBCP06IVXcmfCwypKJimmRSQ4Ch%2BlzbrZRTe8UfBOCV%2BMHPqoQHvlQ%3D%3D%7Ctkp%3ABk9SR9rNg5-XZw
Saint Laurent Wyatt Suede Boots Beige UK 7 EU 41 & Box & Dustbag Luxury Footwear,,£312.69,+£4.26 delivery,17 Feb 2026,15,Pre-owned ·,https://www.ebay.co.uk/itm/257119259462?_skw=Saint+Laurent+Wyatt+Harness+Boots+Leather&itmmeta=01KJWZ0WTR4XSXVXJGPZ34YHNN&hash=item3bdd808b46:g:zGQAAeSwivlo5uV9&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xB7yrKORKFuRIfouWB1U9jN2dnhdW1gul2xHqg%2FfAMgnks3QiggoaSA2wk9u0uSq%2FJOZPrrPc46pADTqpErSOgmwmRuEYQftchzWeo8ydllaUxyZs7jucl98xp8wD78H52j9h8AhhZTpnA%2BtMfS%2BB3hCLf%2FkAtYeJ8QvOtUIveQ%2B8uIa7mbRMgT1xKGcvyyLfAyRwJF%2FkqNby5IDDkO3ug2BIs4e7u0NBwTd1MXlcMmYVEyl6gjbf7O5WEKNLBCmgYQvcqp3xPiYt9A4QVplH7eK%2FJqveJMxl0E2EruP96RMw%3D%3D%7Ctkp%3ABk9SR9rNg5-XZw
Saint Laurent Wyatt Black Leather Chelsea Boots - Size U.K. 9 / EU 43 - RRP £905,Leather,£550.00,+£5.00 delivery,4 Mar 2026,0,New (other) ·,https://www.ebay.co.uk/itm/277689466945?_skw=Saint+Laurent+Wyatt+Harness+Boots+Leather&itmmeta=01KJWZ0WTRBKQEQ7AV564NC04C&hash=item40a7950041:g:2eQAAeSwOnFpfhkR&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCzmkJXVqaCO%2BlyDSrlexsIOjHpd6wVGOxGG81xy88g79HTfCTwEh3O85NCq%2FIxrv7UxP4DKubrDSkSvBUAEvnoNNEJdDaXsYNpvxTaTEfNy4EqCQyUHoZ5YLZ1x4D6vjFG2PoHtHrwY6%2FlJYeGkrp7%2BRQeYwFtH6OySM7iA8%2BHmGHBgGViMWAl9Yi2X6DiFTGsX%2BN7XluvxR2TdahORMWJWBt%2ByXSE0FjYRyQ6JeehciW2bxl0%2BzuJJbC4XxzUIvkrRCemkL%2F5ZacxTFPuSzQjEztFLTgTSniBeZ0rytxMPA%3D%3D%7Ctkp%3ABk9SR9rNg5-XZw
