item_id,title,category,size,price,currency,shipping,best_offer,end_time,listed_at,condition,short_desc,seller,seller_feedback,location,listing_type,url,fetched_at,search_query,last_seen,times_seen,presumed_sold,sold_at
v1|358286380361|0,Supreme DNA Tee Black Size Medium T-Shirt FW17 Crewneck Money USA Made Black,Other,S,52.1,GBP,£29.92,True,,2026-03-04T20:59:32.000Z,Pre-owned - Good,,ccs-closet11,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/358286380361?_skw=supreme+t+shirt&hash=item536b884d49:g:qIoAAeSwd0BpqJy7,2026-03-04T21:11:00.748953,supreme t shirt,2026-03-04T21:11:00.748953,1,True,2026-03-06T14:54:04.879796
v1|147185374011|445647165811,$40 CHAMPION x HONEY BRAND Burgundy DELADESO Regular Fit Supreme Mens T-shirt,Other,M,16.16,GBP,£21.72,False,,2026-03-04T20:49:04.000Z,New with tags,,timelessteesandmore,99.4,US,FIXED_PRICE,https://www.ebay.co.uk/itm/147185374011?_skw=supreme+t+shirt&hash=item2244ee933b:g:SEIAAeSwUappqJn4,2026-03-04T21:11:00.749019,supreme t shirt,2026-03-04T21:11:00.749019,1,True,2026-03-06T14:54:04.879796
v1|327029123995|0,Supreme Jordan Biggie S/S Top Black Shirt HJ8385-010 Size Men’s Large,Other,S,80.85,GBP,£29.02,False,,2026-03-04T20:42:22.000Z,New with tags,,obey46,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/327029123995?_skw=supreme+t+shirt&hash=item4c24746b9b:g:7rkAAeSwn0Fo4ro5,2026-03-04T21:11:00.749311,supreme t shirt,2026-03-04T21:11:00.749311,1,True,2026-03-06T14:54:04.879796
v1|147185363703|445647052237,$40 CHAMPION x HONEY BRAND Black DELADESO Regular Fit Supreme Mens T-shirt NWT,Other,M,16.16,GBP,£21.72,False,,2026-03-04T20:41:09.000Z,New with tags,,timelessteesandmore,99.4,US,FIXED_PRICE,https://www.ebay.co.uk/itm/147185363703?_skw=supreme+t+shirt&hash=item2244ee6af7:g:GlgAAeSwyndpqJfT,2026-03-04T21:11:00.749347,supreme t shirt,2026-03-04T21:11:00.749347,1,True,2026-03-06T14:54:04.879796
v1|206111101478|0,Supreme Nati T-shirt Black XXL Brand New,Other,S,174.01,GBP,£74.86,True,,2026-03-04T20:29:51.000Z,Pre-owned - Excellent,,k-stargoods,96.3,KR,FIXED_PRICE,https://www.ebay.co.uk/itm/206111101478?_skw=supreme+t+shirt&hash=item2ffd2dd226:g:VQ4AAeSwRbRpqJdx,2026-03-04T21:11:00.749370,supreme t shirt,2026-03-04T21:11:00.749370,1,True,2026-03-06T14:54:04.879796
v1|206111098422|0,Supreme Nati T-Shirt Black L New Condition,Other,S,183.41,GBP,£74.86,True,,2026-03-04T20:29:03.000Z,Pre-owned - Excellent,,k-stargoods,96.3,KR,FIXED_PRICE,https://www.ebay.co.uk/itm/206111098422?_skw=supreme+t+shirt&hash=item2ffd2dc636:g:QnEAAeSwSHlpqJc~,2026-03-04T21:11:00.749392,supreme t shirt,2026-03-04T21:11:00.749392,1,True,2026-03-06T14:54:04.879796
v1|147185341053|445647124599,$40 CHAMPION x HONEY BRAND Navy Blue BOX LOGO Regular Fit Supreme T-shirt NWT,Other,M,16.16,GBP,£21.72,False,,2026-03-04T20:25:56.000Z,New with tags,,timelessteesandmore,99.4,US,FIXED_PRICE,https://www.ebay.co.uk/itm/147185341053?_skw=supreme+t+shirt&hash=item2244ee127d:g:CiAAAeSwYs9pqJQf,2026-03-04T21:11:00.749418,supreme t shirt,2026-03-04T21:11:00.749418,1,True,2026-03-06T14:54:04.879796
v1|358286277931|0,Supreme Arabic T Shirt,Other,S,90.0,GBP,£2.94,True,,2026-03-04T20:17:18.000Z,New with tags,,jason_2501,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/358286277931?_skw=supreme+t+shirt&hash=item536b86bd2b:g:ppgAAeSwBhJpqJIV,2026-03-04T21:11:00.749439,supreme t shirt,2026-03-04T21:11:00.749439,1,True,2026-03-06T14:54:04.879796
v1|397675417486|0,Vintage 1960s NATO Tshirt SHAPE (Supreme Headquarters Allied Powers Europe) Belg,Other,s,149.72,GBP,£30.44,False,,2026-03-04T19:44:05.000Z,Pre-owned - Excellent,,team_molu,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/397675417486?_skw=supreme+t+shirt&hash=item5c974d4f8e:g:XwAAAeSwc-BpqInw,2026-03-04T21:11:00.749488,supreme t shirt,2026-03-04T21:11:00.749488,1,True,2026-03-06T14:54:04.879796
v1|327029039159|0,Supreme Arabic Box Logo Shirt Size Small,Other,S,156.7,GBP,£3.42,True,,2026-03-04T19:16:40.000Z,New with tags,,v_deciov,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/327029039159?_skw=supreme+t+shirt&hash=item4c24732037:g:w~cAAeSwFWNpqISH,2026-03-04T21:11:00.749509,supreme t shirt,2026-03-04T21:11:00.749509,1,True,2026-03-06T14:54:04.879796
v1|188120767512|0,VINTAGE STUSSY PUBLIC ENEMY YO MTV RAPS T-SHIRT LARGE WHITE PALACE PATTA SUPREME,Other,S,94.3,GBP,Free,False,,2026-03-04T19:15:10.000Z,Pre-owned - Good,,mockneywanker,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/188120767512?_skw=supreme+t+shirt&hash=item2bccdf1c18:g:oWYAAeSwNctpqIOA,2026-03-04T21:11:00.749534,supreme t shirt,2026-03-04T21:11:00.749534,1,True,2026-03-06T14:54:04.879796
v1|198155368238|497311135183,Supreme Spider-Man T-Shirt White 26SS,Other,S,189.06,GBP,£29.94,False,,2026-03-04T18:31:03.000Z,Pre-owned,,krks_krackers,88.7,KR,FIXED_PRICE,https://www.ebay.co.uk/itm/198155368238?_skw=supreme+t+shirt&hash=item2e22faf72e:g:qnwAAeSwEGZpqHs1,2026-03-04T21:11:00.749569,supreme t shirt,2026-03-04T21:11:00.749569,1,True,2026-03-06T14:54:04.879796
v1|227242173540|526442292701,Supreme Spider-Man T-Shirt Royal 26SS,Other,S,179.65,GBP,£29.94,False,,2026-03-04T18:31:00.000Z,Pre-owned,,krks_krackers,88.7,KR,FIXED_PRICE,https://www.ebay.co.uk/itm/227242173540?_skw=supreme+t+shirt&hash=item34e8b06464:g:7LgAAeSwjlJpqHqm,2026-03-04T21:11:00.749588,supreme t shirt,2026-03-04T21:11:00.749588,1,True,2026-03-06T14:54:04.879796
