item_id,title,category,size,price,currency,shipping,best_offer,end_time,listed_at,condition,short_desc,seller,seller_feedback,location,listing_type,url,fetched_at,search_query,last_seen,times_seen,presumed_sold,sold_at
v1|227241225658|0,WOMANS FRYE WYATT WESTERN HARNESS BROWN SHORT PULL ON LEATHER BOOTS SZ 9B,Leather,M,80.84,GBP,£44.64,True,,2026-03-04T03:04:41.000Z,Pre-owned - Fair,,fab_6798,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/227241225658?_skw=Wyatt+Harness+Boots&hash=item34e8a1edba:g:dOgAAeSwqAhpp6Es,2026-03-04T17:30:38.770005,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|377002161707|0,Frye Womens Wyatt Harness Western Cognac Leather Size 10 Boots￼,Leather,m,187.15,GBP,£40.67,True,,2026-03-02T01:03:59.000Z,Pre-owned - Excellent,,2wear-andtear,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/377002161707?_skw=Wyatt+Harness+Boots&hash=item57c714762b:g:h-sAAeSw47FppODG,2026-03-04T17:30:38.770316,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|188109712136|0,Frye Wyatt Short Brown Leather Harness Boots 76686 F973 Women’s US 9 B Cowboy,Leather,S,64.68,GBP,£45.59,False,,2026-03-01T17:00:19.000Z,Unknown,,craveandsave,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/188109712136?_skw=Wyatt+Harness+Boots&hash=item2bcc366b08:g:6pgAAeSw9DdogYCF,2026-03-04T17:30:38.770347,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|206096376985|0,Saint Laurent Paris Wyatt Harness Boots Suede Size 41 with Receipt Authentic,Suede,S,449.17,GBP,£41.93,True,,2026-02-26T23:25:56.000Z,Pre-owned - Good,,erosas03,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/206096376985?_skw=Wyatt+Harness+Boots&hash=item2ffc4d2499:g:0X4AAeSwJ4ZpoNW7,2026-03-04T17:30:38.770373,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|157709602213|0,FRYE Wyatt Harness Brown Distressed Leather Boots US 7.5 B Western Short Boot,Leather,s,47.0,GBP,£44.24,True,,2026-02-26T04:48:35.000Z,Pre-owned - Good,,maderaexpressstore,99.6,US,FIXED_PRICE,https://www.ebay.co.uk/itm/157709602213?_skw=Wyatt+Harness+Boots&hash=item24b8398da5:g:ywUAAOSwiYJmfDtA,2026-03-04T17:30:38.770384,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|358259987316|0,Saint Laurent Wyatt Harness Ring Boots Brown Suede Eddie Slim Era EU41 Italy Rar,Suede,S,440.18,GBP,Free,True,,2026-02-26T00:56:23.000Z,Pre-owned - Good,,kokoyasimura-0729jp,99.3,JP,FIXED_PRICE,https://www.ebay.co.uk/itm/358259987316?_skw=Wyatt+Harness+Boots&hash=item5369f59374:g:lZwAAeSwwkBpn5qy,2026-03-04T17:30:38.770395,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|366227092020|0,"Saint Laurent Paris Nut Suede Wyatt 40 Harness Boots | Size EU 42, UK 8, US 9",Suede,S,414.7,GBP,£5.88,True,,2026-02-25T10:06:18.000Z,New with box,,fjardim,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/366227092020?_skw=Wyatt+Harness+Boots&hash=item5544d5f234:g:wbMAAeSwmsdpnsim,2026-03-04T17:30:38.770405,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|366227089217|0,"Saint Laurent Paris Nut Suede Wyatt 40 Harness Boots | EU 41.5, UK 7.5, US 8.5",Suede,S,414.7,GBP,£5.88,True,,2026-02-25T10:05:30.000Z,New with box,,fjardim,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/366227089217?_skw=Wyatt+Harness+Boots&hash=item5544d5e741:g:wbMAAeSwmsdpnsim,2026-03-04T17:30:38.770416,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|366227087153|0,"Saint Laurent Paris Nut Suede Wyatt 40 Harness Boots | Size EU 41, UK 7, US 8",Suede,S,414.7,GBP,£5.88,True,,2026-02-25T10:04:29.000Z,New with box,,fjardim,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/366227087153?_skw=Wyatt+Harness+Boots&hash=item5544d5df31:g:wbMAAeSwmsdpnsim,2026-03-04T17:30:38.770425,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|406719614760|0,Frye Wyatt Harness Leather Short Boots Cognac Brown 8,Leather,s,76.36,GBP,£31.47,True,,2026-02-24T22:28:06.000Z,Pre-owned - Good,,cheeseburger64,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/406719614760?_skw=Wyatt+Harness+Boots&hash=item5eb260cf28:g:KH0AAeSwkQ9pniTe,2026-03-04T17:30:38.770437,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|406718930007|0,Saint Laurent Paris Wyatt Harness Suede Boots 38.5 Brown,Suede,S,359.73,GBP,Free,False,,2026-02-24T15:06:32.000Z,Pre-owned - Good,,ks-mart-japan,100.0,JP,FIXED_PRICE,https://www.ebay.co.uk/itm/406718930007?_skw=Wyatt+Harness+Boots&hash=item5eb2565c57:g:IoUAAeSwpllpnb9r,2026-03-04T17:30:38.770447,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
