title,model,price,shipping,date_sold,days_ago,condition,url
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Saint Laurent YSL Wyatt Harness Boots EU Size 41 RRP $1390,Ness,£445.30,+£4.48 delivery,26 Feb 2026,6,Pre-owned ·,https://www.ebay.co.uk/itm/168182181079?_skw=Wyatt+Harness+Boots&itmmeta=01KJWYDF1JEN213A7D6ANATSBB&hash=item2728706cd7:g:ChUAAeSw~8dpnPrX&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCngHVqW3O7CbqZVTZKQQh0yc1jyLMBLsfdCe204ORQD9KBcODgPkpimD6uxDRgGFaKh8bxaFE%2BMjkCjQTKc5%2B4BUdC1p11epq8zpRgekOtQa%2B5i1JFC36A8SM%2BnUl1jP77C72gPYU7g8%2BbgsfyAjyayTrFvLoOMpPejhNz%2FUNJJr7pfjwzUm47b3zE%2FkHf6HBiroMyduQ7kaZPk1IaZBR9ycAIoRPB4Ig9kWORo%2BpRIPK8js3iLzgXw4YxhT2mQWg%3D%7Ctkp%3ABk9SR4rxtZ6XZw
Saint Laurent YSL Wyatt Harness Boots. US Size 43. $1390 Brand New!,Ness,£409.60,+£7.27 delivery,5 Jan 2026,58,Brand new ·,https://www.ebay.co.uk/itm/177721860226?_skw=Wyatt+Harness+Boots&itmmeta=01KJWYDF1JRN2CBTT54TE7HPBX&hash=item29610c6082:g:kdcAAOSwWkRnX6H5&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCyn5ToCwnPI7YADSKnKm6NctgtQCgMJzZwBWiQvSJwWk5cbO8qiBIhoQlhVulnYB2e2oz%2Fcq%2FwO4oW4ind7M%2Bq3w%2Bz%2Bu%2FEHmslYiiOLKBUF2%2BnpxHSj7aG526om0AhGu%2FpM0j%2F2Ovc2E06sE%2FtzlrzQlmb9RSF9xYHnrw4gu4XJjdS8pODk%2BclHAuoaKXM7%2Fa7CA2YKs3rZB4OrhIPaGjo4UcUWERJsMbfdaER9wRUuAO5sqDsmcrGylze5M20Tm0%3D%7Ctkp%3ABk9SR4rxtZ6XZw
1460 BUCKLE HARNESS LEATHER LACE UP BOOTS UK 9.5 EU 44 Biker Ring,Leather,£125.50,+£5.88 delivery,3 Mar 2026,1,Brand new ·,https://www.ebay.co.uk/itm/157720270667?_skw=Wyatt+Harness+Boots&itmmeta=01KJWYDF1J853J4CM711H401KR&hash=item24b8dc574b:g:kNwAAeSwJ2xpovgr&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCk7ZjUeKjC56ii071ozUEqcn1jCYHMMlSuz7kOiT1%2F0ZJx8hUW%2B7Pk99jcHQc6KrunptgSBuVU0Yy9B6U%2B4m%2BhrbEXlRlyuxOD6nw6PuNXRP5Oa6RfLhLHTp6s6b85hNZxYq1saeGLoRZFkSNPApyU%2FpXzISJzVlvB4flD0XW3ZxizTukSDM7oP9AUAN5pFwFKMaNdFvksHneK6pSndqX6v7SjYnfYAO%2F5OBTUyJ%2FfCa6MYFBTqzY3XQDuR8bOSvanir%2B%2BzHVgvnvJNYFyCA9RNP9RuxgZViAhWRowmiWlAQ%3D%3D%7Ctkp%3ABk9SR4rxtZ6XZw
1460 BUCKLE HARNESS LEATHER LACE UP BOOTS UK 9.5 EU 44 Biker Ring,Leather,£99.00,+£5.21 delivery,2 Mar 2026,2,Brand new ·,https://www.ebay.co.uk/itm/157715150897?_skw=Wyatt+Harness+Boots&itmmeta=01KJWYDF1JG766HF37D2TW4341&hash=item24b88e3831:g:kNwAAeSwJ2xpovgr&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCJxZUoR7WYUJS1e%2BYxs1IK25upZwZuytz68GhH%2FzykhulDhJWeLGHaz6jrzakq5UjqU2%2FmO7sdP5Gg2yS8R4%2B6182APdqigkBXnCczL3%2F8eSMqT7w9%2BfcQxQbUmZXMQeXA4ekfDff357YYFZ%2F0MW3S%2F3uEvJ6chy0MFMw2cNzrEhbi8aMGt03iC4A7rUPZLN1JjgsrZ5ZKFyt82EncSua1xejk%2FZDw%2B%2B2FZMeAYAcPZUUugBsgX1jq2V2xuViL4cBxTc5u6MDFXnH4nNGC%2Bka4GUzyM3HzsImUp6geKuhZDQ%3D%3D%7Ctkp%3ABk9SR4rxtZ6XZw
Goodwin Smith Wyatt Apron Boots Brown Leather Uk Size 12 RRP £189,Leather,£34.99,+£3.45 delivery,4 Mar 2026,0,Pre-owned ·,https://www.ebay.co.uk/itm/127714400528?_skw=Wyatt+Harness+Boots&itmmeta=01KJWYDF1JJRT959WB05F3EXDZ&hash=item1dbc5f1910:g:SGcAAeSwDGBppasE&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDqPw1uLViGweZ3pAsNJO8NlpdjBaNubyI%2FqMgiZvK09j3J99TQhoJojVqIBTgZo89D%2B7exgmZlkW7CeFhp5VAXE5zlbf%2F6Bi2sP9k9AcanPLHPnjlGalpixyIzN7mUyaZ55Jkblj%2FTwNoUAlGFtR%2Fg9K2N%2BMNBBHiMLWLOWCURT5lxg8ZGgMJRUG9awmVy57nN5oGZVrisf8Sidhpsjf0HV5galSiaU5vBR7qYkXADXaAjc6ng%2FsVfi%2Fx1HX%2FXHhjPafpWpEypMEVFMRA%2BwfkDfueBvCumQfztGS3D3cTFdw%3D%3D%7Ctkp%3ABk9SR4zxtZ6XZw
Stars & Strips Boots Mens Brown Leather Cowboy Boots Size UK 10.5,Leather,£30.00,delivery in 2-3 days,27 Feb 2026,5,Pre-owned ·,https://www.ebay.co.uk/itm/397654212886?_skw=Wyatt+Harness+Boots&itmmeta=01KJWYDF1JMJMN2KZAQRS3CR4F&hash=item5c9609c116:g:83AAAeSwG6ZpoIhp&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAK6um33rBzNg7j3cfIOMLYBzvLtCdjpxRl8kHoVjhmQMyjFAA8FKxbRfs22s%2FTRWQfbdTTFKw9IzZ%2FtjgRn%2BSzkzpGU40A2GmQi2aZBXqfV2H%2FIjGdmoQzMiOmxqUh%2FydA%2FP%2BmQDBDyzCoEAX73GGDhrc38H9I6s0Yi7Zis20YpFshQ4YxuQuRr7WUe4VYEFND%2FvGVZBYo9rRRAaryRa4cbUb0H1B%2BPlu6%2FWPvHSsRvnbyVB9OMv9h05EsDW%2FMI4VlA5j9xckkfgWynj5u17EZ126H%2FAmZuEKCI4BlIrqOig%3D%3D%7Ctkp%3ABk9SR4zxtZ6XZw
Dr Martens Anistone hi black leather harness chunky biker boots UK 4 EU 37 US 6,Leather,£100.00,Free delivery,27 Feb 2026,5,New (other) ·,https://www.ebay.co.uk/itm/358265330719?_skw=Wyatt+Harness+Boots&itmmeta=01KJWYDF1JGGJBQWT54PT5ERYR&hash=item536a471c1f:g:RvMAAeSwQ6JpfjKi&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xC%2FKqSe3YgCjhYj4jPYLJ%2BrO7cB7MbKfrvo10HDAU5k6qRbZnGtahPHQmQegnLg9GP3uxocrNcRmqnZxxl2vbg4WcN5DcuiO2MI184TnZjmUYR2zDSemibfsZPz0SwDao2Hx9weSe85vR4%2FcbAd53FHdlsoagYkAccEs93FDXyWUvifaLdvt%2BdIEeTPS9KaRsmffTSpbrM5%2BVpvJrWUkkVIL740zyVigBCtnnD0g7e6R%2BxCFPx0TITrMq3grYureVc%3D%7Ctkp%3ABk9SR4zxtZ6XZw
Jaguar XF Boot Wiring Harness. With Camera. DX23-13A444-BA. 2012-2015,Ness,£55.00,+£7.50 delivery,26 Feb 2026,6,Pre-owned,https://www.ebay.co.uk/itm/327019775498?_skw=Wyatt+Harness+Boots&itmmeta=01KJWYDF1JRE0H5VG5HQ85YGXK&hash=item4c23e5c60a:g:FYEAAeSwQQppoGFr&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xB8j5n1GCK%2F5hHu604fq3A%2F8g4fxQ%2B3uTzUmEu306YQHoZJBft4EqvNKtexABoYQHaKaogSjugr%2FkcYS98IDKM42guPx3fI7oAtFT34l3fd7GsOld1LNqAVsXb9a8m8dvNu8l8EKCShfVbtNiQ%2FY14nbZudBv1grAumd%2B%2B%2Br7cI%2B4d9iSv3Vr5u77ziGEJmJEM97hl4RrV2zlGrlHLTZlCALz625LrepCPZU72aFCv8%2Bq61p1IXvs3ZLHlxSJ3djpXSXA6C3AtIUjUtcExKrFLzDjTUSlEubbdXlN2iOdzyjQ%3D%3D%7Ctkp%3ABk9SR4zxtZ6XZw
