item_id,title,category,size,price,currency,shipping,best_offer,end_time,listed_at,condition,short_desc,seller,seller_feedback,location,listing_type,url,fetched_at,search_query,last_seen,times_seen,presumed_sold,sold_at
v1|267583417763|0,YSL Saint Laurent Men's Brown Suede Wyatt Harness Ring Ankle Boots Size 42 US 9,Suede,S,523.99,GBP,£39.18,True,,2026-02-22T18:16:38.000Z,Pre-owned - Excellent,,rosao67,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/267583417763?_skw=YSL+wyatt&hash=item3e4d36eda3:g:PWgAAeSwkI1pm0dz,2026-03-04T17:20:22.198884,YSL wyatt,2026-03-06T14:53:56.873724,9,False,
v1|397637756862|0,YSL Saint Laurent Men's Wyatt 40 Harness Ring Boots Shoes Brown Suede Size 42,Suede,S,384.93,GBP,Free,False,,2026-02-22T14:02:15.000Z,Pre-owned - Good,,zentreasure-japan,99.5,JP,FIXED_PRICE,https://www.ebay.co.uk/itm/397637756862?_skw=YSL+wyatt&hash=item5c950ea7be:g:8IMAAeSwx-5pmwvR,2026-03-04T17:20:22.198917,YSL wyatt,2026-03-06T14:53:56.873724,9,False,
v1|267582619134|0,Womens Saint Laurent Wyatt Embroidered Star Sz 40 Boot 416469 Chanel 1000 YSL GG,Other,m,516.54,GBP,£38.55,True,,2026-02-21T17:25:58.000Z,New without box,,amssneakersalesuno,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/267582619134?_skw=YSL+wyatt&hash=item3e4d2abdfe:g:4hkAAeSwGjNpmep3,2026-03-04T17:20:22.198944,YSL wyatt,2026-03-06T14:53:56.873724,9,False,
v1|287154303319|0,Yves Saint Laurent Side Gore Chelsea Boots 45 Gry Suede Wa442376 LZQ98 Wyatt YSL,Suede,s,142.15,GBP,£28.45,True,,2026-02-20T20:52:57.000Z,Pre-owned - Good,,goodoldaysmia,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/287154303319?_skw=YSL+wyatt&hash=item42dbbaf157:g:UwoAAeSwm4BpmMkc,2026-03-04T17:20:22.198959,YSL wyatt,2026-03-06T14:53:56.873724,9,False,
v1|306781045985|0,Saint Laurent Paris Wyatt derby Shoes Men w/  box  Sz: 42.5/10.5 YSL ,Other,S,449.17,GBP,£39.43,True,,2026-02-20T10:56:11.000Z,Pre-owned - Good,,juanrizo-9,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/306781045985?_skw=YSL+wyatt&hash=item476d9344e1:g:ghgAAeSwNoRoFbxs,2026-03-04T17:20:22.198978,YSL wyatt,2026-03-06T14:53:56.873724,9,False,
v1|206075193329|0,YSL Saint Laurent Men Wyatt 40 Side Gore Chelsea Boots Tan Leather Size 42 US9,Leather,S,799.52,GBP,£59.89,True,,2026-02-17T00:52:47.000Z,Pre-owned - Excellent,,chorisdeportesetcllc,97.4,US,FIXED_PRICE,https://www.ebay.co.uk/itm/206075193329?_skw=YSL+wyatt&hash=item2ffb09e7f1:g:YnIAAeSwx~Fpk7uU,2026-03-04T17:20:22.198987,YSL wyatt,2026-03-06T14:53:56.873724,9,False,
v1|168157979276|0,Saint Laurent Paris UK 12 US 13 EU 46 Wyatt Chelsea Boots SLP YSL Hedi Slimane,Other,S,599.95,GBP,Free,True,,2026-02-13T22:28:59.000Z,New with box,,jjjjoshua,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/168157979276?_skw=YSL+wyatt&hash=item2726ff228c:g:NAIAAeSwuGtpj6UB,2026-03-04T17:20:22.199006,YSL wyatt,2026-03-06T14:53:56.873724,9,False,
v1|366180102867|0,Saint Laurent YSL Wyatt Chelsea Boots Men’s Size 9.5 Haunting Green,Other,S,224.58,GBP,£40.87,False,,2026-02-06T09:15:14.000Z,Pre-owned - Good,,zaphize,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/366180102867?_skw=YSL+wyatt&hash=item554208f2d3:g:y9QAAeSwlQFpha98,2026-03-04T17:20:22.199039,YSL wyatt,2026-03-06T14:53:56.873724,9,False,
v1|366165604725|0,Hedi Slimane Saint Laurent Wyatt 44 US 11 Chelsea Men’s Boots Leather Y2K YSL,Leather,S,546.48,GBP,£49.39,False,,2026-01-31T23:27:04.000Z,Pre-owned - Good,,surrealism,99.4,US,FIXED_PRICE,https://www.ebay.co.uk/itm/366165604725?_skw=YSL+wyatt&hash=item55412bb975:g:AboAAeSweq5pfo9k,2026-03-04T17:20:22.199061,YSL wyatt,2026-03-06T14:53:56.873724,9,False,
v1|187992251772|0,NIB Saint Laurent YSL Wyatt 40 Land Tan Brown Suede Zip Boots Sz 42 US 9 $1250,Suede,S,718.66,GBP,£62.57,False,,2026-01-26T03:42:24.000Z,New with box,,msa2189681,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/187992251772?_skw=YSL+wyatt&hash=item2bc5361d7c:g:-DUAAeSw3FlpduE-,2026-03-04T17:20:22.199075,YSL wyatt,2026-03-06T14:53:56.873724,9,False,
