title,price,condition,date_sold,url
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,$20.00,Brand New,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
NEW LISTING,120.30,Pre-owned ·,Sold 9 Mar 2026,https://www.ebay.co.uk/itm/206120728988?_skw=YSL+wyatt+boots&itmmeta=01KK9TNV15KQSVMKJBQDJ85Y7A&hash=item2ffdc0b99c:g:1p4AAeSwDwJprbzj&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBf%2B1tGaQuo1n7XXxX8t88lWks4jJlBywAkkpm5spa2StGB%2BZSENfQ5cEq0ddn%2FVwCXMYlsU5D2Z2kPlbLwGIZNxea98k7u8hZJi%2FXCZr4dN4L58LznddLC%2B5Gk6AGmyXZrkziZ9DeXVqBkmw1Zwnqm9Ch2uTv6hLQ2GP3hqezE4Tz75Agfi44HJ67zTjUmha%2BDdcfaqHpTPRx6m0CjQh5GqzWSLMM7IRTq%2B7YI1ZeqT%2FZInzM6F5fLQjF4uWMq8DRkoWkAZJCfjj2yjFjRZaXrEGTUZPsb%2F5n0yc5P5N9fxw%3D%3D%7Ctkp%3ABk9SR-yw17qaZw
Saint Laurent Paris UK 12 US 13 EU 46 Wyatt Chelsea Boots SLP YSL Hedi Slimane,599.95,Brand new ·,Sold 8 Mar 2026,https://www.ebay.co.uk/itm/168157979276?_skw=YSL+wyatt+boots&itmmeta=01KK9TNV151ZDWR7JR6MESSGSC&hash=item2726ff228c:g:NAIAAeSwuGtpj6UB&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDV%2BYubd4r8QwiFG6BapmU3470M6OB76hwvGD60Glx7Dil5vTu9Sg9EDsMiClrA9cg4NsvGakUrVwNCHzY4hstQ05MutvBABGWeAB1tKgU2%2FrfRUFqE%2FzRCpx00%2BvAzsUo2eN9ykLJYIzWODNMzE080%2Ft8nfH4rX7oXdrNiWBp3jaJ6ONQTxYxRj%2FCL5t2FWQ6aEuuWVyzNMSTyGJ92ghlZvRBR7aZI7VkucoqHglJX5M3zzZV5vAMion23doH1qc5Nj7fD%2B6NOLy0vaxXGjJrkj0HB4AaNhtnHIcaX%2Fj%2BEIg%3D%3D%7Ctkp%3ABk9SR-6w17qaZw
Saint Laurent YSL Wyatt Harness Boots EU Size 41 RRP $1390,445.30,Pre-owned ·,Sold 26 Feb 2026,https://www.ebay.co.uk/itm/168182181079?_skw=YSL+wyatt+boots&itmmeta=01KK9TNV15258MK7NHWBD7X4HF&hash=item2728706cd7:g:ChUAAeSw~8dpnPrX&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xByDFRuBLSQMknNaHopdvKQMTDGZXcvTQtAXLiVGGUugo4jDBUQRpxlQ6cBrPvKCtE7c0nBz4iZ7dZM2JpgU1tV070rZMH5OQizCqYVbpb6nXllow60xSXOS%2B9MEFaEexMGVkuazIMTJYI%2Fd9Rz7iax7ALO54XdAduKZrk83EiIHnbK2%2FUT5sKk8Vorn5IwB9gGQr791pk0y%2BwPwHzalLD7hs7LBSC7peEd9rkN2Jiw9p9wGhK7tmXRNsmi%2B4y%2Fcu2Mljk5Enflm4UaQjuK2wmiaOqT%2F9tkymuLrtpi38%2FTQA%3D%3D%7Ctkp%3ABk9SR-6w17qaZw
Saint Laurent Wyatt 30 Jodhpur Suede Boots Hedi Slimane Era YSL SLP Brown Tan,167.10,Pre-owned ·,Sold 1 Feb 2026,https://www.ebay.co.uk/itm/326600222602?_skw=YSL+wyatt+boots&itmmeta=01KK9TNV15ECQQTS913VEVW8VP&hash=item4c0ae3e78a:g:SsMAAeSwHWxoM2NE&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBwiGAOlaqJ7mcZ3uTmvQq5Gp4p7ThwVyVbnyQwm3NPCtyw8WjcMoOT%2BR%2FT85CBQZFTYL4nkZYKq1778%2B%2FfaC5Lra1laO2TmHVy5S74SuCaEslaPhQK%2BOIrYaBFFypxZokJzXj4nVKTlxBme6ydnaXqQSUyjPupeIadDPKXw3B1P%2BngmqBBLkg3%2FNgftFGn%2FAAg%2Bj9sTXnRe%2B8tzcqfL3a6ponpuwYE2feqOkzhDAf7cBAEtrx7dGgNI%2B%2FBdO62ycw0hSguQOdeYXnYha60jx33NB%2Fgao3A3VCyz6%2FO4pc17w%3D%3D%7Ctkp%3ABk9SR-6w17qaZw
Saint Laurent YSL Wyatt Harness Boots. US Size 43. $1390 Brand New!,409.60,Brand new ·,Sold 5 Jan 2026,https://www.ebay.co.uk/itm/177721860226?_skw=YSL+wyatt+boots&itmmeta=01KK9TNV15THXT1DFWX3KXRTB6&hash=item29610c6082:g:kdcAAOSwWkRnX6H5&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCyn5ToCwnPI7YADSKnKm6NctgtQCgMJzZwBWiQvSJwWu7SftzuYb5efnOb2LzA%2FK736um2cWRdszkwYT18CXwtSpsdLW%2FcMCqJ0q1xHAzVsPUCGJVqzBUAvWtjr5S89XhGYHwoJSPx%2BuR3aVHyXrOKkRSZyYLkR2ZgCXzlLQAwNQPI6hPFXMs5CXXzxqg0VI2yom2x8bQ%2Fe6nI1VkAkTnnaUjdVPLhaVEk4064jR%2FrM668WTb16hncJjeXQGdfUOw%3D%7Ctkp%3ABk9SR-6w17qaZw
Saint Laurent Wyatt Black Leather Chelsea Boots - Size U.K. 9 / EU 43 - RRP £905,550.00,New (other) ·,Sold 4 Mar 2026,https://www.ebay.co.uk/itm/277689466945?_skw=YSL+wyatt+boots&itmmeta=01KK9TNV15TCPKM6V7KH3D1RHX&hash=item40a7950041:g:2eQAAeSwOnFpfhkR&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCzmkJXVqaCO%2BlyDSrlexsIOjHpd6wVGOxGG81xy88g76cabOxnnZQbixeBNnqXZd0x%2BWHuKIzOSMRBZpR26XWWfQbCZfsFc3egKhPfVSHpverMHvW%2BQWU%2BbORSUM0825jj16Aio30biBQNqkahUldDxLG58YDovPyzRftqPtpRYNytf9411Op6hNw4%2B2OfIxGBFoTdwgpch39QunfLZ7SbELUBlUK0oX8IT0bY%2BScGWSVWWM8MsS4Ia5ePg%2F22mME%3D%7Ctkp%3ABk9SR-6w17qaZw
Saint Laurent Wyatt Black Leather Chelsea Boots - Size U.K. 9 / EU 43 - RRP £900,312.70,Pre-owned ·,Sold 24 Feb 2026,https://www.ebay.co.uk/itm/287161121484?_skw=YSL+wyatt+boots&itmmeta=01KK9TNV15QRACG68FWYNY9QJK&hash=item42dc22facc:g:kIgAAeSwLkhpnUbx&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCFbULwSmLJFrSGAQDE2ocHeUwFs%2FBF1sEmDeh6NHuLg04frVv11InOxTFnS3PMoOGmq532s6BhbidjEq1HF%2BeRt8Z2YvTg2NX9QK89luukKelsfegP7fH5ZdWFfJ%2BajGti6Prs8nuXMhr71ZIM8JC54w22q0eHd7V1BiX1QFb4wOjCpbvL7OKnUdXm2vnWg1Fu8Pvl3g0r3%2BogNOlzfpOVSL2vILclmQid7IXPrL5q%2BWBPj8uWY3bvE540alQGoEo%3D%7Ctkp%3ABk9SR-6w17qaZw
Saint Laurent - Wyatt 30 Chelsea Boots Suede - Sigaro - EU44/UK10/US11,299.00,Pre-owned ·,Sold 2 Feb 2026,https://www.ebay.co.uk/itm/336416308929?_skw=YSL+wyatt+boots&itmmeta=01KK9TNV153NCR6YHYA8ANR1PC&hash=item4e53f97ec1:g:e2AAAeSwSahpf4wn&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDnUsGMKHiOq9tocvq5Ve2l4LU8%2FV2EQxCYWCKha1MjQklkc40yhoGevq04qfdOVBC1SmE%2Fk%2BW7hzS7QZR3dX9rKC7D%2FwMAvPFytMbrxggJnOR6z3r4R53z5Z2xrZDTdwLu87fnzwNZ0SJrc25H1WNV%2B6dLR78YaFd8knzxI8OdX6%2Fu4gcZ29Jf%2BJgn4j9W0Ge%2BYN2DNwxt85xDpgnC7kujAF5qHCEk5HvoOilIVdEsnVAup524bDZkfj4wkvO9Zl9LMmotBvN4vUpcaZJCtcsVapBG8NvkQFImBXyWmiBzPA%3D%3D%7Ctkp%3ABk9SR-6w17qaZw
