title,model,price,shipping,date_sold,days_ago,condition,url
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Saint Laurent YSL Wyatt Harness Boots EU Size 41 RRP $1390,Ness,£445.30,+£4.48 delivery,26 Feb 2026,6,Pre-owned ·,https://www.ebay.co.uk/itm/168182181079?_skw=YSL+wyatt&itmmeta=01KJWXTPPCYVW9363KFA2XNY28&hash=item2728706cd7:g:ChUAAeSw~8dpnPrX&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xByDFRuBLSQMknNaHopdvKQMTDGZXcvTQtAXLiVGGUugo4jDBUQRpxlQ6cBrPvKCtE7c0nBz4iZ7dZM2JpgU1tV070rZMH5OQizCqYVbpb6nXllow60xSXOS%2B9MEFaEexMWURCAqFm9RjuzbGOQXCMnoGJIjLiWKQcQ%2BK4J7y8tISwYbtWjgHM8KQ1IpPvEYvqEeF5hCvyrfVfvC1e1F5QaZfFcpqG%2F%2B8txKk3dyVxNQF97%2FAGcKb3yDwJcabc7FmD3Nd%2BN1eRWwYsr3QOJHAZOFvEyqu61SV3UN%2BjHDs%2FpUA%3D%3D%7Ctkp%3ABk9SR7jr6p2XZw
Saint Laurent Wyatt 30 Jodhpur Suede Boots Hedi Slimane Era YSL SLP Brown Tan,,£167.10,+£12.47 delivery,1 Feb 2026,31,Pre-owned ·,https://www.ebay.co.uk/itm/326600222602?_skw=YSL+wyatt&itmmeta=01KJWXTPPC03N912AFPFFCA0XJ&hash=item4c0ae3e78a:g:SsMAAeSwHWxoM2NE&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBwiGAOlaqJ7mcZ3uTmvQq5Gp4p7ThwVyVbnyQwm3NPCtyw8WjcMoOT%2BR%2FT85CBQZFTYL4nkZYKq1778%2B%2FfaC5Lra1laO2TmHVy5S74SuCaEslaPhQK%2BOIrYaBFFypxZomExj%2BJtezEh72tM%2Bhd36SN2gkEFDdijx5Cds%2FGM%2FYc%2F3WsdeQZ72JjI9l1m%2BSbHKnHdSXqEbBVSyvrVbFm%2FjfRjBRFyCCZjbbezN8M07YCe0ZQtf6TKnE7YK30sNb5mz0hgnMna1%2BA2VpWfwzBt1j3QxpI%2FYAkRb%2FAOkUOD2yPzQ%3D%3D%7Ctkp%3ABk9SR7jr6p2XZw
Saint Laurent YSL Wyatt Harness Boots. US Size 43. $1390 Brand New!,Ness,£409.60,+£7.27 delivery,5 Jan 2026,58,Brand new ·,https://www.ebay.co.uk/itm/177721860226?_skw=YSL+wyatt&itmmeta=01KJWXTPPCSGMTJC55SWAJZJ4P&hash=item29610c6082:g:kdcAAOSwWkRnX6H5&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCyn5ToCwnPI7YADSKnKm6NctgtQCgMJzZwBWiQvSJwWiP9PJSAMxHblbtcYukciW%2FmJe1V7DBd%2FQQ2EHBqGtdd0X38JqsUUKzZwvGmfQrVhaoYnjMAvux05r9LxVYX4Ex5fUHMUkvAuF%2FFRm%2F5DwB0S1WnGe9PPHSwXeJqFiArFj6GEaybY6pXpfZU654vUuNtosz0nU2NdnvbY9LctjUbrOPvVMydE%2Fuh1obF7s1vrokrRq3k1Ln%2FKxoxPsBonp0%3D%7Ctkp%3ABk9SR7jr6p2XZw
Saint Laurent Men's Wyatt Jodhpur Boots Sigaro 12 US / EUR 45 Italy Designer,,£194.56,+£41.49 delivery,2 Mar 2026,2,Pre-owned ·,https://www.ebay.co.uk/itm/287144032586?_skw=YSL+wyatt&itmmeta=01KJWXTPPDJGDJCFHJ9ZQPC6MW&hash=item42db1e394a:g:zxEAAeSwirJpkhLl&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDCJkiGca9IY50kKUNPMwJSKmFRcvP7t6L5OmDkaq5czSRmYPfjuZ%2BXQPEJPlkIEuUUiml33ruKy1p%2Fl%2FCPO6QUEop7Z2v%2Fj3eRn34OAbjOKgbLICx1fDi%2FAIv4lJr0HKKTzKIrTYg8XoUbV3U0jtLgMjb7De5lc2SDQ2G7n4juNq1Jkrvv%2FHvJYoD6NKYXLKhiBFKZuZvpYdfkfA6n%2BdjAvrt791QToUnGgpXU578KIMyxYgNmd%2B5mQGylfZfzx4M%3D%7Ctkp%3ABk9SR7jr6p2XZw
YSL Mens Saint Laurent Wyatt 30 Chelsea Boots Icon Grey Suede Size 43 with Box,,£331.49,+£84.45 delivery,28 Feb 2026,4,Pre-owned ·,https://www.ebay.co.uk/itm/389365439177?_skw=YSL+wyatt&itmmeta=01KJWXTPPDHRYX1S2S1GK2P6X0&hash=item5aa7fd1ac9:g:oCAAAeSwZzFpPIj9&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xACvsQON%2FuRiYcHSOtwiPfXZipiH1JlztzRvjoXLSWRCwXK7A7MC8fJ%2BlWH1g6RexISCS2CU%2FFwERSxBSaSWqCeXp1C5vAYCzYj8knJAmxGnforCpNgb4jbOecZ49vRzvV%2Bwug%2BUV4qF%2B1u76HsIiSjP2XKUYTpiqSyEyUpR1i%2FHZIQonyAY%2BsR9sWr--vErqcIdOodJN9QlW77Gl40EabRLrkXSjCCMPuV3Kku4xWXmFqZNlzos5rgTCxdmeV3EC4%3D%7Ctkp%3ABk9SR7jr6p2XZw
FREE TARIFF-Saint Laurent YSL Men TOM FORD Roy Jodhpure Chelsea Boot wyatt Shoes,,£486.60,+£35.56 delivery,14 Feb 2026,18,Pre-owned ·,https://www.ebay.co.uk/itm/186176324398?_skw=YSL+wyatt&itmmeta=01KJWXTPPD45YG1Y2FPKFGFD59&hash=item2b58f9432e:g:7RYAAOSwr9VkOYuS&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAVIEA3Y6qMAMmWbROd77SWlRvhcwKIv2K9hnA6AGhd3wlYFOZQDBt5wopd6r9Emji2%2FJwRcMPadw86hUgTHsRf3vgZzmz1AqqtxfGWpQcruvvPFUu3BxZttl0YNHV9Zu%2FwjvvoKboRN1oSnlraajS6ijTUobKwYsNoTHy0tvNytzBt53C6fnmQkXsgwoQ3MrQQy0gV7xSCOH35Sp0ZMfPUWt1LHXlYqb40kKcSIFv3jiEz1g0%2B3hOIHqGw0fyOI27r5JEVQuCv6MxJq7pQjmxtBMd2S6NUjzwQEphkEOdEzQ%3D%3D%7Ctkp%3ABk9SR7jr6p2XZw
YSL Saint Laurent Wyatt Harness Boots Brown Suede Leather Men Size 43 / 10 US,Leather,£366.81,+£43.61 delivery,27 Feb 2026,5,Pre-owned ·,https://www.ebay.co.uk/itm/358195603780?_skw=YSL+wyatt&itmmeta=01KJWXTPPDFVJNZ67J64A6DGCT&hash=item53661f2944:g:UAwAAeSwXgJphlNQ&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xB7fncnuYVo8eKvqfxoB5MiJ372TCDVpbKWEf%2FuCe9CUoNaPVpjOAUzCULSye2S0dr3C8fKxg5NpcnscdC9hBxOzvYaEeqZjqKDeoZ2DO7CXbpQqwvoC%2B%2BgcH702rRwu6BnExLmjSl%2B%2B1LZLjYlK2b1o42a04%2Be6rMjl5DVRiMg3H%2BMs%2FquwIL5px4vkjdyfDZ7eQgjzACkiDQ0z3z9ZwvJaSvxFzIOPnDDcMeoC0royD1Bj2vPs%2F2QgkTucMkBtuXENRqYy6IFzbf4a%2BYknc9RYuLyRT2n9r4PT4tv3w5VmA%3D%3D%7Ctkp%3ABk9SR7jr6p2XZw
Saint Laurent Paris 'Wyatt' Zip Boots Size 42 in Brown Suede,,£299.45,+£28.39 delivery,26 Feb 2026,6,Pre-owned ·,https://www.ebay.co.uk/itm/406569459131?_skw=YSL+wyatt&itmmeta=01KJWXTPPDSSNPS1X3W649XF2R&hash=item5ea96d9dbb:g:1ooAAeSw6z9pXFs6&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAndDsGoyUJwE4o2N0IrUyia4NSZAXa1XqvcGmnp%2B6HbFFczsirbRYZ82ciCU94MfGvEOll6ZmwgrdT0518xddxcuWaE8%2FEk6ZF%2F3MsopdyDUfCpPrVYmi%2BJJffIWVWDIZdmrEwO8ss1wbrMjp7WBlv5TRZTTyyW%2BDn3dxKkUaC9uMJiQTHJyrzwuUd8KvQVDjDZkMTzN2FS7WCygrWtudCO0nK9bu4YJQsjlQsJK9fiTkcIK3LjvyotHP5XHegTuSGJX3zldbRNUUGkOw1c29W7Ku%2BW1T8SSjKe39t%2BMUrXw%3D%3D%7Ctkp%3ABk9SR7jr6p2XZw
