item_id,title,category,size,price,currency,shipping,best_offer,end_time,listed_at,condition,short_desc,seller,seller_feedback,location,listing_type,url,fetched_at,search_query,last_seen,times_seen,presumed_sold,sold_at
v1|366245673574|0,VINTAGE YVES SAINT LAURENT RIVE GAUCH SETA PURA JACKET SIZE 50,Other,S,276.3,GBP,£4.26,True,,2026-03-04T15:38:56.000Z,Pre-owned - Excellent,,hazzie4,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/366245673574?_skw=Yves+Saint+Lauren&hash=item5545f17a66:g:Ir4AAeSwxxJpqFHq,2026-03-04T17:31:00.278680,Yves Saint Lauren,2026-03-04T17:31:00.278680,1,False,
v1|267593952786|0,Authentic Luxury Vintage YVES SAINT LAUREN Rive Gauche Red White Cotton Shirt 42,Other,L,53.89,GBP,£17.96,True,,2026-03-04T12:16:39.000Z,Pre-owned - Excellent,,bondar88,97.9,AT,FIXED_PRICE,https://www.ebay.co.uk/itm/267593952786?_skw=Yves+Saint+Lauren&hash=item3e4dd7ae12:g:E6oAAeSwtwtpqCHR,2026-03-04T17:31:00.278751,Yves Saint Lauren,2026-03-04T17:31:00.278751,1,False,
v1|137093817392|0,Vintage Yves Saint Lauren short sleeved shirt - size XL,Other,s,26.7,GBP,£2.94,True,,2026-03-04T11:40:38.000Z,Pre-owned - Good,,atikvi-56,98.9,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/137093817392?_skw=Yves+Saint+Lauren&hash=item1feb6da430:g:0QcAAeSwojBpqBoR,2026-03-04T17:31:00.278783,Yves Saint Lauren,2026-03-04T17:31:00.278783,1,False,
v1|287179018892|0,Yves Saint Lauren Yves Saint Laurent Gold Ballpoint Pen,Other,s,83.49,GBP,Free,True,,2026-03-04T09:43:56.000Z,Used,,hanamaru_shoten,99.5,JP,FIXED_PRICE,https://www.ebay.co.uk/itm/287179018892?_skw=Yves+Saint+Lauren&hash=item42dd34128c:g:95EAAeSww-Vpp~9d,2026-03-04T17:31:00.278813,Yves Saint Lauren,2026-03-04T17:31:00.278813,1,False,
v1|306802119837|0,"Yves Saint Laurent Saint Laurent Watch Black Bangle Yves Saint Lauren,17814",Other,s,196.14,GBP,Free,True,,2026-03-04T03:38:05.000Z,Pre-owned - Good,,maskos16,100.0,JP,FIXED_PRICE,https://www.ebay.co.uk/itm/306802119837?_skw=Yves+Saint+Lauren&hash=item476ed4d49d:g:1y4AAeSwh79pl35f,2026-03-04T17:31:00.278839,Yves Saint Lauren,2026-03-04T17:31:00.278839,1,False,
v1|306801767590|0,Yves Saint Lauren Kate Small Bag In Grained Leather,Leather,s,822.7,GBP,£14.75,True,,2026-03-03T22:13:34.000Z,Pre-owned - Excellent,,victsha1174,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/306801767590?_skw=Yves+Saint+Lauren&hash=item476ecf74a6:g:-8cAAeSwJMhpp1xA,2026-03-04T17:31:00.278853,Yves Saint Lauren,2026-03-04T17:31:00.278853,1,False,
v1|397670307702|0,SET OF 6 Original Hermes Yves Saint Lauren Fendi Bags,Other,S,31.3,GBP,£15.65,True,,2026-03-03T10:47:24.000Z,Usato - Buono,,c.taglia,95.7,IT,FIXED_PRICE,https://www.ebay.co.uk/itm/397670307702?_skw=Yves+Saint+Lauren&hash=item5c96ff5776:g:IyMAAeSwNKxppsye,2026-03-04T17:31:00.278878,Yves Saint Lauren,2026-03-04T17:31:00.278878,1,False,
v1|177915510042|0,Yves Saint Lauren - YSL The Slim Leather Matte Lipstick “18 Reverse Red” New,Leather,s,29.82,GBP,£2.70,False,,2026-03-02T23:39:05.000Z,New,,im298447,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/177915510042?_skw=Yves+Saint+Lauren&hash=item296c973d1a:g:Zn0AAeSwA1Rpph8Z,2026-03-04T17:31:00.278902,Yves Saint Lauren,2026-03-04T17:31:00.278902,1,False,
v1|177915457957|0,Yves Saint Lauren - YSL The Slim Leather Matte Lipstick 22 Ironic Burgundy -New,Leather,s,29.82,GBP,£2.70,False,,2026-03-02T23:33:21.000Z,New,,im298447,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/177915457957?_skw=Yves+Saint+Lauren&hash=item296c9671a5:g:mwAAAeSwWK9pph3I,2026-03-04T17:31:00.278914,Yves Saint Lauren,2026-03-04T17:31:00.278914,1,False,
v1|157720506274|0,Yves Saint Lauren Pour Bomme Vintage Sun Faded Full Zip Jacket Men’s Size Large,Other,s,89.83,GBP,£17.07,True,,2026-03-02T20:28:15.000Z,Pre-owned - Fair,,maake_yoour_stylee,100.0,UA,FIXED_PRICE,https://www.ebay.co.uk/itm/157720506274?_skw=Yves+Saint+Lauren&hash=item24b8dfefa2:g:N4EAAeSwJ0tppdR8,2026-03-04T17:31:00.278945,Yves Saint Lauren,2026-03-04T17:31:00.278945,1,False,
