title,model,price,shipping,date_sold,days_ago,condition,url
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Yves Saint Lauren Blazer Jacket 40R Men’s Double Breasted Blue Glenplaid Wool,,£55.00,delivery in 2-3 days,1 Mar 2026,3,Pre-owned,https://www.ebay.co.uk/itm/376991379800?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45R7MBNXDYK1P44AZDR&hash=item57c66ff158:g:phEAAeSwTqFpnw8q&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xByzCqjTrWoTV1YTcwrN20jFGnW5xRCfTopgrJsPpLpu9KMsfYPRjlXUKHweQnP%2BkBlyyY7BfU0j3uAP9hvzdMyU9Hg4WTPxH8QEyJr0W4e1OpqAcxz9Shd0Oq1iLdprxvd9s6Y8C0wC6TelWGie88Wge62YMRBlDYT45W7X0Qd0LMIF9P8gNaCQ6oC6kYi5YYlRoZFhrtyHCbGV9CmK--0iIL4Q5d%2BKVFC9NXEd4I9xB5oCNNoZNiEGHOMPzKpJOU%3D%7Ctkp%3ABk9SR57DuJ6XZw
VTG 1980s YSL Yves Saint Lauren Baby Pink Houndstooth Collar Bomber Jacket 12 M,,£78.70,+£2.94 delivery,27 Feb 2026,5,Pre-owned,https://www.ebay.co.uk/itm/277485639757?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45S5X395PH1CVH4KCQG&hash=item409b6ed84d:g:QMQAAeSwUBppCljg&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBUHf4wmh4OJDWdFMHhlbUVDcmDHtATpinwFf5Y76yEFouujf1IkQkVdVaARqGQ8fkV1iHiCJ0mdENK71zmbDGWgkmvCzc7uDXn86n1p0VgOk5FksEPsXkP%2FsqjvT2qqHmAnJcyCxUQzCAHTtre2LPWfRXBvx6NXRzokyf0lMHM2CEdNG2BoCqZBC6PJrBvICbe8DTrLcF4T1ytu5jLOpZRaJxdHOdqNh1VCd1ZpBAP9Q8Cg3--pvPHWhCrsAxWiic%3D%7Ctkp%3ABk9SR57DuJ6XZw
Used Yves Saint Lauren Mens Tuxedo 2-piece UK40/EU50S -- Good Condition,,£52.70,Free delivery,24 Feb 2026,8,Pre-owned,https://www.ebay.co.uk/itm/336311171943?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45S1142FXEFNDRWW0GS&hash=item4e4db53b67:g:luwAAeSwKf9piyWq&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCJJUkLyG3GeaSTpBGEeYNF32m53jQgFqRwMlPukKTQjtR0F%2FtVSGYWTJy3eoguC%2FRb%2BH4nFlv1UbdyaFwAkodG9gEZ895%2BrxfxTjn6Lcvd9Kmx22%2BBAS5c53InYhOnKceszvcjhhcV0c4SEYN2OPzmKH5MwrQVMP%2Fx%2Fx3GyD0q%2FZ14qE%2FsGUNPCHwT%2BcPl3Xn3YXik4rTeKsN5dJL%2BbsjpHeueccE%2BOThos3RB5vQULI7Aa7eaYq0N9WbJeLvk%2FKY%3D%7Ctkp%3ABk9SR57DuJ6XZw
YVES SAINT LAUREN MENS JEANS - 30/32 Bootcut - £440 New!,,£51.66,+£2.94 delivery,22 Feb 2026,10,Pre-owned,https://www.ebay.co.uk/itm/236637810135?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45SEF9MG5Y0Z6ZA7JB7&hash=item3718b66dd7:g:9G4AAOSwiMJlhV6J&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xA4DSPK2G%2BvO4Z0QXvLYUznLzEAEJdOhUv1zNeb%2B7JlVMEuHmwn1FIWSSDBYZ03usKNFRx6OxcGO8CZv3wafLqQ5YcaCXg1U1FN30RiyvkUDGEe4gOtKpgyHDrksY1LFqBNCNjN6uzg8FbKRIJQlbIf0fHavSfOTUwMo37BewE8KfNQ20Y0rXt84Izt65SBmu2xiCsKAOhYgadvjwC7qkr%2B8OR1McGPwFTnJeHY%2FL62asK2arTnN1FWtRmev3DTxMHxsb5I6GVAY5TnSTDTaCmXPSu1%2FSDOv9yzwxFsDkvVOg%3D%3D%7Ctkp%3ABk9SR57DuJ6XZw
Vintage YSL Yves Saint Lauren Reversible Harrington Jacket Size M,,£57.89,+£2.94 delivery,20 Feb 2026,12,Pre-owned,https://www.ebay.co.uk/itm/326996551928?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45SF57ACAMKVXAY5MBB&hash=item4c228368f8:g:NGwAAeSwVjJpjETy&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCJAc3BjLc7xDP0Utr1fxFZzJFPgVOKgWe2HEnIU%2BIPuQbM1r0C9kXX4cM%2FkvIla5HBKraShnWgdlyWfrZ9cgHz5MrXQedsZ6OTvW9x1jc40V9Q47P2hg%2FgYNKNTuzjvDQ2JJ5H0SfQRsgZYMAFDdJjEfDDkr9tbYWsDh1u5Qipa7%2FZSomfsE85P0JzzXPNblvFH%2FhHpoVGRqyGWS%2BenI9f%2FFK%2FkRij3z1Cv%2B7IPIIDOiA5FOBgv7mhvD%2Buu%2BmQ3Qw%3D%7Ctkp%3ABk9SR6DDuJ6XZw
Yves Saint Lauren YSL Men’s Polo Shirt White Size Large Short Sleeve,,£10.79,+£3.38 delivery,19 Feb 2026,13,Pre-owned,https://www.ebay.co.uk/itm/287086323857?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45SMME5JWCZQ7YS5SQV&hash=item42d7ada891:g:IeoAAeSwCABpbkKN&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCxGduLGmRcVmELJidIfzvTVB4vknLGOoaaRA3Hej5p5oFTNhTKTEZlILj8xauNkovZPLBkLm4XQMR1mfwiSDkYJWS1sJx6s27gfFuo4k7jQR4C3wMD%2FgX8QrMIDeuzw77FJ1ED%2BGNbj%2BgPSzwuEwTd06GluaRmdsuuJs0NL7ASTbaJFZX%2FXU4%2FUpH37MZdLRtcss2EC3XqIhOByKAEfqdf8qKjG2PRrXrWSiKc%2FhD0e5JmwBffAbmvlyV84xS1W9t4%2FwN%2Fj2yHMqanMsTlyqNyJvAIgb%2B3Ob1PdpjpGkAZ6w%3D%3D%7Ctkp%3ABk9SR6DDuJ6XZw
Mens YVES SAINT LAUREN Grey Textured Buttoned VNTG Shirt Size UK L M12,,£9.99,+£4.25 delivery,18 Feb 2026,14,Pre-owned,https://www.ebay.co.uk/itm/376962577219?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45SW564YFZS2QWV0C0D&hash=item57c4b87343:g:CGoAAeSwtydpj4qQ&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAggFjOt6sM83ZTrFFbhbda9Z0mzZA6LA7d7A4ZPQ27dzGrpnOfMD%2FmTHaRe9pMzqk0pbE9zc7JWl4%2FET0yl5NZc74w7bDruH54usKKI47UYpXgYjTNqRwr83yvGAhCeXBnbb6fACgq0y%2Be8yGyP2vkxNx4hve32IemFWQGuXIN%2BLc2dybHthSEjdfEKSs7Bl7cOtvwQjhgcNujFPYMTlHhBPYkxuvQycUXhKAb%2FYcrpvGLoLZPr%2FYbrfmHrrkHB3E%3D%7Ctkp%3ABk9SR6DDuJ6XZw
Yves Saint Lauren Mens Long Sleeve 100% Twill Cotton Navy Blue Shirt 4 X,,£10.00,+£3.38 delivery,17 Feb 2026,15,Pre-owned,https://www.ebay.co.uk/itm/236622713521?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45SWJDB7VB2Z6XRZ3Y4&hash=item3717d012b1:g:SCUAAeSwjdlpedhU&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCmRPg0qPyPh1E4jPzStZI6PaFfuxsIRpvr0lim4c6EgM1thaMf8WRwVDRdr0Wt%2F1yenx%2BMbe1t99vfxV3%2FWjfkTIFSUvBQwJE7hIWZ9SOmY2jBNdctwc4NGD4McH6PzxVgRld5ly5%2FEiMtCX9m9nYE0cUyS%2B1V%2F5vDISSUxMNzI6lrILCsCHswDRt%2FJms5VqoSLp5ZRSopbAuyvuevMQkHTgThTkJWwkiPRnQSzOIInB3tBHZXb7JokmmexHCxh9qv1JvhVds43bjBRbvRigXQ%2B43vOvH2JEQrw5GFeQlXxw%3D%3D%7Ctkp%3ABk9SR6DDuJ6XZw
